Accuracy	Precision	Recall	F1	MCC	BM
0.8863636363636364	0.125	0.018518518518518517	0.03225806451612903	0.009303331945392602	0.0037505860290669712
0.8825757575757576	0.0	0.0	0.0	-0.04186499375426671	-0.016877637130801704
0.8901515151515151	0.25	0.037037037037037035	0.06451612903225806	0.06047165764505191	0.024378809188935868
0.8863636363636364	0.2	0.037037037037037035	0.0625	0.044812458519213	0.020159399906235276
0.8863636363636364	0.125	0.018518518518518517	0.03225806451612903	0.009303331945392602	0.0037505860290669712
0.8977272727272727	0.0	0.0	0.0	0.0	0.0
0.8901515151515151	0.25	0.037037037037037035	0.06451612903225806	0.06047165764505191	0.024378809188935868
0.8825757575757576	0.0	0.0	0.0	-0.04186499375426671	-0.016877637130801704
0.8825757575757576	0.0	0.0	0.0	-0.04186499375426671	-0.016877637130801704
0.8939393939393939	0.375	0.05555555555555555	0.09677419354838708	0.11163998334471123	0.04500703234880454
