"Time"	nadR	nadB	pnuC	nadA	pncB	crp	rhaR	rhaS	zraR	melR	feaR	malI	mtlR	prpR	ascG	marR	rbsR	chbR	nagC	fucR	chbC	chbB	chbG	chbA	chbF	nagB	prpC	fucO	fucI	fucK	rbsD	prpD	zraS	nagD	malY	rhaD	nagE	rhaA	ascF	melA	rbsB	fucP	ascB	melB	rbsK	prpB	rbsC	fucU	rhaB	malX	fucA	prpE	rbsA	nagA	nanM	nanC	rhaT	manX	mtlD	manZ	mtlA	manY	galP	marB
180	1,0000000	0,3069503	0,2919587	0,0380507	0,4359471	0,8336520	0,5857547	0,2877314	0,7239558	0,9239344	0,9330865	0,0676130	0,8870074	0,5365714	0,1090902	0,4542131	0,2544735	0,1559022	0,2694423	0,3382120	0,9262254	0,0640337	0,5319613	0,9306081	0,2734664	0,3344302	0,5324202	0,7526171	0,2110818	0,5019763	0,7752850	0,5979732	0,8171417	0,9742656	0,3965622	0,5037339	0,8706917	0,6957112	0,9677598	0,1721002	0,9955269	0,4801116	0,4436172	0,9427182	0,9350155	0,8825398	0,9236278	0,6047516	0,1198011	0,2888261	0,0368295	0,1863514	0,3756773	0,9932930	0,4211337	0,5402926	0,3024487	0,6078843	0,4778534	0,9154427	0,1193374	0,4243776	0,8093023	0,3533939
200	1,0000000	0,3069503	0,2919587	0,0380507	0,4003326	0,8674905	0,6810813	0,4099725	0,7685856	0,9446099	0,9459040	0,0508111	0,9077760	0,5676647	0,1090902	0,4638619	0,2895300	0,1851606	0,2593953	0,3911352	0,9388808	0,0705876	0,5494826	0,9476107	0,2663329	0,3438340	0,5843555	0,7920037	0,2797838	0,5996016	0,7310188	0,6153386	0,8600931	0,9773691	0,3856339	0,5746627	0,8542008	0,7223502	0,9765481	0,1976671	0,9953015	0,5323246	0,5135058	0,9468566	0,9450908	0,9064207	0,9192124	0,6714591	0,2426134	0,3241111	0,0393224	0,2443138	0,3539048	0,9932100	0,4564528	0,5749326	0,4426443	0,6526905	0,4853040	0,9399407	0,1204628	0,4506364	0,8396481	0,3853739
220	1,0000000	0,3069503	0,2919587	0,0380507	0,3691319	0,8933438	0,7624921	0,5202285	0,8061152	0,9599935	0,9555507	0,0392093	0,9233774	0,5953824	0,1090902	0,4716091	0,3083380	0,2094655	0,2528756	0,4372222	0,9477991	0,0781410	0,5656250	0,9593561	0,2620958	0,3511214	0,6320443	0,8312754	0,3534227	0,6811642	0,7055949	0,6303290	0,8934031	0,9802792	0,3753666	0,6525783	0,8421786	0,7452737	0,9819218	0,2194075	0,9941703	0,5775622	0,5708854	0,9501141	0,9516344	0,9254124	0,9130298	0,7271610	0,4072234	0,3562936	0,0438115	0,3114756	0,3180993	0,9933740	0,4860373	0,6044895	0,5742808	0,6929180	0,4897268	0,9571618	0,1233896	0,4733555	0,8665401	0,4159328
240	1,0000000	0,3069503	0,2919587	0,0380507	0,3422955	0,9129242	0,8270607	0,6108446	0,8371126	0,9712949	0,9627678	0,0312167	0,9349516	0,6190443	0,1090902	0,4777201	0,3159745	0,2279733	0,2485860	0,4765524	0,9538613	0,0860425	0,5793477	0,9670749	0,2596377	0,3566518	0,6747011	0,8668371	0,4252573	0,7462533	0,6937327	0,6434871	0,9188083	0,9828796	0,3659225	0,7261391	0,8337549	0,7660647	0,9851941	0,2373393	0,9926224	0,6158761	0,6163354	0,9526280	0,9558485	0,9402960	0,9074475	0,7726359	0,5651397	0,3864386	0,0506857	0,3820083	0,2808188	0,9936649	0,5100012	0,6287627	0,6641085	0,7276011	0,4923080	0,9690971	0,1270880	0,4923921	0,8892945	0,4439556
260	1,0000000	0,3069503	0,2919587	0,0380507	0,3196354	0,9276497	0,8758204	0,6813633	0,8623398	0,9795128	0,9681453	0,0257142	0,9434586	0,6385859	0,1090902	0,4824703	0,3174776	0,2412517	0,2456607	0,5097178	0,9579019	0,0937826	0,5903818	0,9718458	0,2582517	0,3607873	0,7119445	0,8969249	0,4909016	0,7965418	0,6903298	0,6550849	0,9379344	0,9851217	0,3574369	0,7864942	0,8280250	0,7849690	0,9871880	0,2517879	0,9911297	0,6476179	0,6514378	0,9545399	0,9586314	0,9517943	0,9035277	0,8090796	0,6943937	0,4152993	0,0599590	0,4504184	0,2490606	0,9939997	0,5288990	0,6481362	0,7171727	0,7565986	0,4938006	0,9772770	0,1309121	0,5079673	0,9079054	0,4687736
280	1,0000000	0,3069503	0,2919587	0,0380507	0,3008271	0,9386609	0,9114176	0,7344005	0,8826227	0,9854385	0,9721409	0,0219234	0,9496679	0,6543171	0,1090902	0,4861188	0,3164733	0,2504226	0,2435887	0,5375193	0,9605841	0,1010009	0,5989303	0,9745762	0,2574995	0,3638475	0,7437686	0,9211960	0,5481708	0,8345087	0,6915908	0,6652500	0,9521878	0,9870036	0,3499804	0,8315906	0,8242229	0,8016927	0,9884089	0,2632205	0,9899605	0,6734379	0,6780709	0,9559777	0,9605602	0,9605648	0,9014073	0,8378624	0,7913522	0,4431840	0,0712879	0,5127452	0,2252020	0,9943291	0,5434971	0,6632829	0,7471580	0,7802746	0,4946614	0,9828350	0,1344953	0,5204934	0,9227461	0,4901353
300	1,0000000	0,3069503	0,2919587	0,0380507	0,2854537	0,9468565	0,9367811	0,7733978	0,8987673	0,9896814	0,9751039	0,0193071	0,9541767	0,6667308	0,1090902	0,4888939	0,3150461	0,2566309	0,2420823	0,5607834	0,9623793	0,1074741	0,6054003	0,9759807	0,2571138	0,3660954	0,7704567	0,9401212	0,5964828	0,8627066	0,6950389	0,6740563	0,9627258	0,9885511	0,3435575	0,8633432	0,8217606	0,8159582	0,9891631	0,2721382	0,9891738	0,6941661	0,6980289	0,9570500	0,9619612	0,9671839	0,9007452	0,8603472	0,8602767	0,4699926	0,0840967	0,5668365	0,2088957	0,9946277	0,5546023	0,6749533	0,7642988	0,7992507	0,4951594	0,9865877	0,1376597	0,5304452	0,9343548	0,5081005
320	1,0000000	0,3069503	0,2919587	0,0380507	0,2730560	0,9529330	0,9545291	0,8016264	0,9115115	0,9927013	0,9772981	0,0174962	0,9574388	0,6763748	0,1090902	0,4909880	0,3140952	0,2608134	0,2409743	0,5802680	0,9635999	0,1130952	0,6102311	0,9765820	0,2569347	0,3677382	0,7924790	0,9545214	0,6362464	0,8834122	0,6992034	0,6815751	0,9704687	0,9898036	0,3381208	0,8848820	0,8202095	0,8277070	0,9896346	0,2790158	0,9887042	0,7106756	0,7128570	0,9578442	0,9630061	0,9721368	0,9010499	0,8777776	0,9075442	0,4953635	0,0977292	0,6120499	0,1985845	0,9948856	0,5629575	0,6838534	0,7744809	0,8142380	0,4954500	0,9891104	0,1403452	0,5382826	0,9433020	0,5229273
340	1,0000000	0,3069503	0,2919587	0,0380507	0,2631745	0,9574244	0,9667785	0,8218340	0,9215023	0,9948400	0,9789213	0,0162383	0,9597926	0,6837752	0,1090902	0,4925579	0,3137944	0,2636509	0,2401581	0,5966262	0,9644448	0,1178475	0,6138119	0,9767344	0,2568678	0,3689347	0,8104010	0,9652869	0,6683853	0,8985035	0,7032907	0,6878965	0,9761305	0,9908048	0,3335884	0,8991646	0,8192659	0,8370940	0,9899338	0,2842719	0,9884466	0,7237826	0,7238094	0,9584295	0,9637878	0,9758183	0,9018669	0,8912250	0,9391481	0,5188511	0,1115715	0,6487614	0,1924584	0,9951013	0,5691947	0,6905911	0,7808073	0,8259358	0,4956219	0,9908018	0,1425601	0,5444141	0,9501190	0,5349765
360	1,0000000	0,3069503	0,2919587	0,0380507	0,2553782	0,9607356	0,9751432	0,8361837	0,9292895	0,9963479	0,9801211	0,0153609	0,9614883	0,6893986	0,1090902	0,4937288	0,3139806	0,2656045	0,2395588	0,6104018	0,9650391	0,1217764	0,6164563	0,9766613	0,2568586	0,3698042	0,8248134	0,9732352	0,6940194	0,9094559	0,7069272	0,6931313	0,9802552	0,9915969	0,3298593	0,9085176	0,8187187	0,8444081	0,9901267	0,2882593	0,9883075	0,7341939	0,7318673	0,9588589	0,9643646	0,9785409	0,9028588	0,9015761	0,9598901	0,5400713	0,1251219	0,6779073	0,1889574	0,9952778	0,5738252	0,6956642	0,7848980	0,8349788	0,4957254	0,9919346	0,1443482	0,5491856	0,9552661	0,5446446
