"Time"	hns	cspA	bolA	bglJ	leuO	cadC	stpA	nhaR	gutM	srlR	appY	caiF	gadW	gadX	rutR	nemR	gadE	rcsA	ydeO	evgA	mdtF	mdtE	cadA	cadB	bglG	bglB	bglF	yhiD	hdeA	hdeB	gadA	hdeD	gutQ	srlD	srlB	srlE	srlA	gadB	osmC	gadC	nhaA	fliC	gadY	yjjQ	nemA	dctR	slp	yjjP	ampC	pgaC	gmr	yegR	proW	leuA	leuL	hchA	ybaS	leuC	cspD	mukE	evgS	yciE	gnd	proV
180	0,2063135	0,6856288	0,0302816	0,4901245	0,0120998	0,7929239	0,4916044	0,1367371	0,3138152	0,4764827	0,5045621	0,8106197	0,6813839	0,0020458	0,3713163	0,1166492	0,4069351	0,3922745	0,0347695	0,1495183	0,5161031	0,2833397	0,6721675	0,2537677	0,4063633	0,1850311	0,1443942	0,4860536	0,5306369	0,5221094	0,2801184	0,3224448	0,4657293	0,0361902	0,1116931	0,6602905	0,4842507	0,0207479	0,2730398	0,0144120	0,7013584	0,1166389	0,3656500	0,1395265	0,1950259	0,1640787	0,7376620	0,5704648	0,8192131	0,1640622	0,4184615	0,5352483	0,4589532	0,0070815	0,5455246	0,1193982	0,0657394	0,1484903	0,4676304	0,2024310	0,0872528	0,5047623	0,1451065	0,4164504
200	0,1508639	0,6905156	0,0185686	0,5918563	0,0162971	0,7585720	0,4447237	0,1867297	0,2766837	0,5388806	0,4643565	0,6624596	0,6320601	0,0019097	0,4378445	0,0514055	0,4180030	0,4243648	0,0406718	0,0758171	0,6327168	0,2694611	0,6606284	0,2634435	0,4498740	0,2129018	0,1230508	0,5967399	0,5672815	0,6639016	0,2867708	0,4445662	0,3893116	0,0619271	0,1089746	0,5439309	0,4606171	0,0218204	0,2406517	0,0089436	0,7240892	0,1051060	0,3543256	0,0630535	0,1907008	0,2389967	0,5807364	0,6167970	0,6248147	0,1222489	0,5061451	0,5257175	0,4116284	0,0086726	0,4427218	0,0921137	0,0819134	0,1666358	0,4667287	0,2037563	0,1090910	0,4606332	0,1778349	0,4573403
220	0,2035154	0,6203867	0,0302176	0,7897957	0,0158651	0,7383587	0,4382463	0,1445456	0,3421074	0,4653617	0,5186632	0,7637766	0,5901400	0,0014826	0,3433790	0,0508992	0,4153330	0,4074038	0,0271313	0,0882753	0,6229576	0,3993286	0,5390940	0,3104771	0,4283837	0,1887552	0,1523992	0,5754901	0,7209417	0,5845659	0,2554388	0,3292160	0,4184612	0,0558421	0,1186990	0,5578076	0,4859342	0,0134829	0,2538394	0,0108747	0,7885181	0,0980341	0,3371544	0,0845416	0,1975118	0,2446449	0,6745252	0,5670678	0,7378415	0,1556457	0,4868460	0,6266197	0,4227468	0,0035332	0,5495692	0,1491542	0,1085018	0,1111196	0,5068285	0,1918161	0,0650233	0,4361478	0,2371382	0,4204568
240	0,1361336	0,6787105	0,0333546	0,6435578	0,0186146	0,6368746	0,4116452	0,1680245	0,2891102	0,5013614	0,5601297	0,6646623	0,5545612	0,0027008	0,3432820	0,0678152	0,4317315	0,5041496	0,0183316	0,0828009	0,6158275	0,2421337	0,6803434	0,1609827	0,4188688	0,1832010	0,1278473	0,5891139	0,6363292	0,7013023	0,2840667	0,3516050	0,3698461	0,0573457	0,0946695	0,5473321	0,4360208	0,0041050	0,3576158	0,0188297	0,7534042	0,0735015	0,3821171	0,0276049	0,1947429	0,1806384	0,7197967	0,5978367	0,6969674	0,1733627	0,4681480	0,5584296	0,4977485	0,0021232	0,4752697	0,0920689	0,1078617	0,1190102	0,4497936	0,1549815	0,0897865	0,5285805	0,1750285	0,4517959
260	0,1454718	0,7531603	0,0414931	0,6940894	0,0220132	0,8057641	0,5088801	0,1644665	0,3332410	0,5902612	0,5426132	0,6533310	0,5966410	0,0041956	0,3184663	0,1042109	0,4449563	0,4995669	0,0107368	0,0732096	0,8171088	0,2613087	0,7107632	0,1963774	0,3418492	0,2404821	0,1994928	0,6414660	0,7828301	0,7252496	0,2462422	0,4682626	0,3412284	0,0769282	0,1105431	0,5900883	0,4251890	0,0104909	0,2506787	0,0049895	0,7428494	0,0520613	0,4107366	0,0388140	0,2635845	0,1792459	0,7083518	0,5160819	0,7885662	0,1471894	0,4229000	0,5611112	0,3920755	0,0057936	0,4661647	0,0893924	0,0821430	0,1090288	0,4528875	0,1192477	0,0470391	0,5315763	0,1719989	0,5553024
280	0,2056180	0,7307485	0,0397486	0,6521680	0,0057821	0,7017719	0,5635426	0,1661648	0,3524551	0,4184528	0,4631244	0,7499597	0,4669380	0,0037338	0,3573633	0,1188944	0,4193793	0,5140960	0,0328781	0,0618680	0,6603218	0,2119998	0,6886217	0,2698326	0,3358552	0,2750377	0,1378644	0,5396719	0,5792848	0,6520948	0,1828125	0,3476598	0,3140770	0,0971716	0,1943218	0,6586706	0,5700699	0,0040341	0,2092305	0,0067069	0,6472795	0,0846252	0,3979821	0,0242799	0,2611214	0,1863775	0,6415857	0,6222077	0,8053716	0,2110507	0,4744643	0,4075566	0,4573351	0,0073126	0,4926190	0,0872458	0,0573766	0,1193310	0,5715835	0,2141564	0,0445214	0,5251368	0,2277794	0,4697118
300	0,1894663	0,7704009	0,0258100	0,6129520	0,0312054	0,5826348	0,5197647	0,1867051	0,4638743	0,4344939	0,4519312	0,5999480	0,4290511	0,0006106	0,4358624	0,0884761	0,3700080	0,5291368	0,0243867	0,0474151	0,5660098	0,2640343	0,8080268	0,3652848	0,2811236	0,2182506	0,1204900	0,6226714	0,5868702	0,7926653	0,2687675	0,4216924	0,2795947	0,0808145	0,1201800	0,5133149	0,5087194	0,0094392	0,2724187	0,0057528	0,6524543	0,1008565	0,4352841	0,0172205	0,2911892	0,2218028	0,6217320	0,6390366	0,7562787	0,1819172	0,4206074	0,4318381	0,5190651	0,0156497	0,3718323	0,1053714	0,0846884	0,1039840	0,5173374	0,1497246	0,0778805	0,5891977	0,1801228	0,4692913
320	0,1897211	0,6634568	0,0344254	0,6257456	0,0185436	0,6935934	0,6823436	0,0831465	0,4501355	0,3944570	0,5361372	0,7265113	0,5658335	0,0015363	0,3371121	0,0423920	0,4329812	0,4058877	0,0117523	0,0785390	0,5380959	0,1981544	0,5970846	0,2742067	0,2304918	0,2388561	0,1203219	0,5798899	0,5867754	0,6663432	0,2388396	0,3901588	0,3389308	0,0490430	0,1348999	0,5748328	0,4257987	0,0044441	0,2851110	0,0011186	0,8081459	0,0832157	0,3926432	0,0162056	0,2535518	0,2172399	0,5713393	0,6162013	0,6929429	0,1537346	0,3434116	0,5462245	0,4867342	0,0152647	0,4557874	0,0650300	0,0900315	0,0919497	0,4183693	0,1367263	0,0710361	0,5525913	0,1772018	0,5465827
340	0,1877672	0,6491915	0,0863501	0,7324573	0,0056470	0,6818635	0,5392780	0,1065966	0,2896578	0,4174418	0,4851390	0,5775394	0,5563625	0,0041863	0,3597297	0,0626304	0,4165178	0,4230811	0,0079191	0,0942568	0,6461680	0,1883914	0,6206109	0,2906791	0,2572709	0,2120643	0,1036923	0,6108934	0,5577485	0,7752183	0,2346242	0,4254141	0,4204230	0,0454460	0,1457867	0,5536666	0,5250338	0,0091795	0,2866388	0,0037448	0,6032241	0,1145774	0,3229516	0,0134216	0,2759942	0,2310808	0,6034977	0,6600736	0,7523855	0,0982758	0,4127574	0,4569882	0,4333824	0,0181066	0,4816441	0,0899708	0,0801486	0,1218276	0,3727802	0,1224611	0,0670779	0,4978308	0,2475580	0,4639875
360	0,1741029	0,7989015	0,0722638	0,6922058	0,0141034	0,6096933	0,5912692	0,1098996	0,4545138	0,4245153	0,4599300	0,7491178	0,6283739	0,0007566	0,3255035	0,0784240	0,4799756	0,4203621	0,0071173	0,0861559	0,7086199	0,2261344	0,7054222	0,2415679	0,3105498	0,1361928	0,1067257	0,6267142	0,6263364	0,5446843	0,2979646	0,3461058	0,3576306	0,0637534	0,1754783	0,7140887	0,4237745	0,0150812	0,2762765	0,0021200	0,6623403	0,0913973	0,3376853	0,0152450	0,2735523	0,2269099	0,5914086	0,5708476	0,7215113	0,1265727	0,4389936	0,4308850	0,4772553	0,0070674	0,4439336	0,0944748	0,0793133	0,0561526	0,4615816	0,1150518	0,0612612	0,4065313	0,1880977	0,4537124
