"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	yhiD	hdeB	hdeA	rutB	rutG	rutC	rutE	rutF	rutA	rutD	cadB	gadB	fadL	cadA	gadC	sra	rprA	nemA	wcaB	wza	lldP	osmB	betT	betB	wcaA	wzc	gadY	wzb	betA	lldD	bdm	treC	slp	hdeD	treB	dctR	rpoS	yjbF
180	0,6167931	0,9302652	0,4246119	0,0561741	0,9361796	0,3210295	0,2950406	0,8059326	0,8339521	0,7192159	0,7450589	0,0802675	0,8309792	0,6547631	0,9933078	0,8605260	1,0160129	0,1834473	0,4127578	0,8537052	0,9810560	0,5117745	0,1886750	0,8665928	0,1045987	0,3664829	1,0196648	1,0153071	0,5847138	1,0101142	0,0294638	0,8625612	0,8740287	0,0891667	0,6848383	0,6410441	0,8835338	0,6309763	0,3014966	0,5615469	0,1406208	0,0597770	0,9390599	0,3803552	0,8499673	1,0506230	0,7769850	1,0765616	0,0150158	0,6563537	0,7825144	0,7786447	0,5736149	0,8575061	0,4501253	0,1250701	1,0293421	0,7062358	0,9880575	0,8275569	0,7087209	0,6668708	0,4275418	0,9843223
200	0,6049523	0,9701985	0,4549633	0,0560258	0,9867279	0,3623518	0,2728064	0,7859072	0,8684569	0,8071296	0,7659680	0,0682079	0,8238467	0,6166608	1,0079493	0,9119380	1,0334777	0,1341427	0,3901770	0,8112416	0,9645758	0,6749541	0,2020303	0,8845763	0,1461476	0,4247944	0,9061203	1,0135373	0,5590251	1,0201964	0,0398360	0,8621730	0,8318724	0,0839936	0,7107557	0,6436279	0,9462010	0,6808573	0,3409784	0,6052397	0,1446397	0,0679130	0,9749990	0,3582770	0,8357522	1,0039953	0,7932189	1,0063674	0,0104364	0,6856807	0,7707298	0,7358172	0,5899353	0,8525001	0,4353695	0,1535206	1,0587885	0,6378150	1,0196761	0,8145423	0,7043801	0,7253075	0,4215703	0,9483928
220	0,6173946	0,9713107	0,4380178	0,0346055	1,0182641	0,3730714	0,2952659	0,6806094	0,8645122	0,8018450	0,8418850	0,0599730	0,8884420	0,6228251	1,0653747	0,9207765	0,9952828	0,1272329	0,4367605	0,7889364	0,9393527	0,7094057	0,1829764	0,9422043	0,1374864	0,3813252	0,9392342	1,0233647	0,5647829	0,9587148	0,0328836	0,8531931	0,9025825	0,1096079	0,6874994	0,6272455	0,9350287	0,6995744	0,3109443	0,6030461	0,1571505	0,0576504	1,0092382	0,3787870	0,8687045	0,9377308	0,8151024	1,0427575	0,0052087	0,6633068	0,7568073	0,7730829	0,6486982	0,8476636	0,3993388	0,2135019	1,0554510	0,6721102	0,9160695	0,7770696	0,6906663	0,7291258	0,4758262	1,0025379
240	0,6156539	1,0261479	0,3871361	0,0407800	1,0128973	0,3919251	0,3307401	0,7067537	0,7981560	0,8297778	0,8858092	0,0532844	0,8213063	0,6029287	1,0930795	0,8586538	1,0874344	0,1187195	0,4693393	0,8691275	0,9287862	0,6030505	0,1833604	1,0505580	0,1139711	0,4163155	0,9734575	1,0207987	0,5618746	0,9623059	0,0219013	0,9033322	0,9145163	0,1013770	0,6805159	0,6431816	0,9538848	0,7468473	0,3353007	0,6179879	0,1934635	0,0552763	0,9479529	0,3391438	0,9516374	1,0464566	0,7471927	1,0844090	0,0090396	0,5902143	0,8149799	0,7334096	0,6741666	0,8485690	0,4073955	0,1653042	1,0271943	0,6560097	0,9097071	0,8235020	0,6758468	0,6843714	0,5033501	1,0581427
260	0,6062150	0,9885472	0,3898060	0,0437127	0,9126533	0,3696144	0,3011280	0,7197243	0,8462178	0,7819234	0,8126029	0,0711089	0,7849881	0,6714779	0,9912797	0,9052938	1,0398733	0,1135257	0,4610512	0,8697222	0,8854306	0,5092730	0,1868561	0,9732285	0,1151601	0,3855038	0,9369221	1,0028954	0,5215164	0,9324527	0,0146322	0,9042388	0,8641345	0,0925429	0,7205302	0,6941851	0,9401781	0,7425219	0,3087502	0,6571961	0,2196310	0,0567067	1,0190249	0,3103535	0,8588827	1,1011169	0,8321891	1,0910403	0,0072028	0,5879930	0,8618081	0,6995362	0,6982586	0,8519085	0,3650842	0,1479412	1,0291667	0,6655489	0,9866244	0,8845275	0,6606317	0,6029875	0,4366230	1,0950719
280	0,5709674	1,0315913	0,3921992	0,0323852	0,9086311	0,3897735	0,2884558	0,6967562	0,8878703	0,7154516	0,8294416	0,0721631	0,8370042	0,6372232	0,9232071	0,8869754	0,9892909	0,1461312	0,4299552	0,9136168	0,8999691	0,5129307	0,2103225	0,9223240	0,1495742	0,4248710	0,8860698	1,0406037	0,5002426	0,9092637	0,0257295	0,8464562	0,8209848	0,0995533	0,7694433	0,6960338	0,9267053	0,7550477	0,3047006	0,6590308	0,2508005	0,0630312	0,9882603	0,3175508	0,9000425	1,0465390	0,7609634	1,0134662	0,0076068	0,6128201	0,8875315	0,7071381	0,6174124	0,8787376	0,4001421	0,1696052	1,0235371	0,6803808	0,9895155	0,8931302	0,7105530	0,6117541	0,4542114	1,0179842
300	0,5718663	1,0012645	0,4009009	0,0421864	0,9666801	0,3592284	0,3317665	0,7179702	0,8802572	0,7638535	0,8138193	0,0518671	0,8927998	0,5970873	0,9141465	0,9156086	1,0116180	0,1295645	0,4255883	0,8812347	0,9067374	0,4920230	0,2008061	0,9429186	0,1257671	0,4788988	0,9615963	1,0170681	0,5466801	0,8858436	0,0279806	0,9351521	0,7605959	0,1105865	0,7559655	0,6683419	1,0163200	0,7164610	0,2971538	0,6817503	0,2738717	0,0690055	0,9442889	0,3712897	0,8527900	0,9463648	0,7605392	0,9614212	0,0029718	0,6348262	0,8219537	0,8168303	0,6123984	0,9477595	0,3959821	0,1621742	1,0252554	0,6440825	0,9777828	0,8373858	0,6358268	0,5780843	0,4312426	0,9518065
320	0,5555965	0,9531742	0,4245056	0,0406677	0,9807812	0,3819872	0,3551925	0,7328446	0,8535069	0,7995500	0,8368108	0,0802770	0,9050800	0,5980360	0,9347997	0,8812103	1,0698344	0,1623194	0,4037569	0,8957552	0,8975455	0,4967015	0,2044580	0,9374896	0,1169683	0,5047086	0,9556065	0,9953106	0,5215338	0,9345999	0,0402243	0,9101636	0,7954602	0,0831275	0,7967231	0,7207846	0,9988633	0,7548120	0,3353789	0,7036293	0,1901145	0,0543690	0,9436781	0,3654466	0,8664202	0,9101282	0,7309967	1,0043828	0,0085350	0,7043607	0,8018302	0,8157759	0,6531546	0,9727743	0,4163152	0,1883806	0,9799137	0,6123967	0,9785281	0,7872869	0,6493335	0,5469354	0,4524285	0,9391935
340	0,5533206	0,9490770	0,4304235	0,0439969	1,0438966	0,3690571	0,3091212	0,7260565	0,9275104	0,7540559	0,8008267	0,0919828	0,8749459	0,6022133	0,9585272	0,9512077	1,0257073	0,1431238	0,4158457	0,8799127	0,9921313	0,4540456	0,1604889	0,9598287	0,1050299	0,4624543	0,9878349	1,0951406	0,5189022	0,9704752	0,0477201	0,9055773	0,7792081	0,1183037	0,6995122	0,7527649	0,9603512	0,6681446	0,2988488	0,7030931	0,1887241	0,0404149	0,9553690	0,3323635	0,8640333	1,0097446	0,7548621	0,9528733	0,0095229	0,6764546	0,8473131	0,8505505	0,6594595	0,8966282	0,4381325	0,2147313	0,9708698	0,5790288	0,9746560	0,7901682	0,5938265	0,6086012	0,4973796	0,9869710
360	0,5806007	0,9527643	0,4605947	0,0629205	1,0413712	0,3401007	0,2517246	0,6782640	0,8795797	0,7716684	0,7713965	0,1023509	0,9026453	0,6514491	0,9570492	0,8841019	0,9956177	0,1506690	0,4464787	0,8920232	0,9799835	0,4907871	0,1383137	0,9022298	0,1015873	0,4706963	0,9713169	1,0083214	0,5142182	0,8887437	0,0432902	0,8641007	0,8371528	0,1091926	0,6682462	0,7460361	0,9672425	0,6361112	0,2967754	0,6174876	0,2326917	0,0529076	1,0022430	0,3425165	0,8623906	0,9915634	0,8052014	1,0376170	0,0057749	0,7491294	0,8957756	0,8108865	0,6452588	0,8790952	0,4452014	0,2605695	0,9500569	0,6075034	1,0383601	0,8432462	0,6628459	0,6350276	0,4626037	1,0584220
