"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	yhiD	hdeB	hdeA	rutB	rutG	rutC	rutE	rutF	rutA	rutD	cadB	gadB	fadL	cadA	gadC	sra	rprA	nemA	wcaB	wza	lldP	osmB	betT	betB	wcaA	wzc	gadY	wzb	betA	lldD	bdm	treC	slp	hdeD	treB	dctR	rpoS	yjbF
180	0,4562094	0,6112649	0,2373835	0,0275019	0,6841002	0,2784306	0,2594742	0,5758694	0,6171435	0,3746197	0,4888111	0,0941947	0,5288976	0,5701035	0,7193189	0,6709609	0,6809773	0,1002352	0,3021315	0,5187722	0,6115840	0,4150212	0,1360978	0,6761951	0,0878339	0,2010117	0,6190892	0,7803747	0,4209269	0,7358023	0,0260258	0,6877159	0,6105404	0,0547412	0,5699945	0,5231733	0,6297659	0,4365367	0,2308080	0,3487646	0,1176524	0,0587654	0,5454304	0,1743023	0,6540425	0,7430532	0,5451404	0,6988439	0,0138239	0,4298931	0,6578866	0,5134375	0,4152165	0,6182098	0,2558128	0,0443048	0,7016350	0,4661560	0,6749031	0,5597130	0,5250701	0,3928660	0,3477746	0,7598788
200	0,4810546	0,6168136	0,2994492	0,0165407	0,5945349	0,2915057	0,2137866	0,5063705	0,5527699	0,4366144	0,4918134	0,0655289	0,5026797	0,5029602	0,6890548	0,6858820	0,6113396	0,1018031	0,3107443	0,5340675	0,4984261	0,4008135	0,1313043	0,5998469	0,0867642	0,2656043	0,6345363	0,6272700	0,5713203	0,7576730	0,0116133	0,6563112	0,5537920	0,0304314	0,4891960	0,5284382	0,7875826	0,4322292	0,2137031	0,4108842	0,1554498	0,0339228	0,5855603	0,2845520	0,4939034	0,7533903	0,5153166	0,7282626	0,0129020	0,4214202	0,4532369	0,5782032	0,3887273	0,6445837	0,2905316	0,0512324	0,7869529	0,4208805	0,7473715	0,5565069	0,4997862	0,4609473	0,3688643	0,8118277
220	0,4765410	0,7128843	0,2617528	0,0307995	0,6816668	0,2523607	0,1698329	0,4740430	0,5854482	0,4674391	0,6145810	0,0535551	0,4463578	0,5145282	0,8062374	0,5722365	0,8218690	0,1140426	0,2792663	0,5089926	0,8050906	0,4555878	0,1968038	0,7318710	0,1466760	0,2861627	0,7300781	0,8184085	0,3492021	0,8466598	0,0403203	0,6739676	0,5952273	0,0740955	0,6053325	0,4755289	0,6329915	0,5356978	0,1849068	0,3264270	0,1284953	0,0324732	0,7098998	0,2446583	0,5593755	0,6856323	0,6158146	0,7636241	0,0116427	0,4042565	0,5296819	0,5253063	0,2977228	0,6221391	0,2168784	0,1167217	0,7232640	0,5138777	0,8240882	0,5887551	0,4918266	0,6140534	0,3558879	0,6833050
240	0,4500398	0,6645830	0,2615526	0,0395551	0,6893341	0,2742417	0,2427939	0,5357553	0,5909934	0,5550117	0,5807514	0,0449244	0,5030911	0,4220079	0,8619395	0,6106669	0,6165122	0,0925809	0,2573948	0,5411294	0,6492236	0,4549737	0,1381419	0,7092967	0,1100494	0,2291236	0,5399037	0,7539289	0,4187990	0,5911135	0,0173492	0,6386252	0,6597174	0,0797971	0,4887133	0,4745272	0,6840852	0,4925659	0,1992450	0,3101275	0,1394233	0,0347799	0,6359478	0,2580739	0,5231026	0,6574687	0,5310895	0,8145837	0,0039820	0,4576586	0,4772239	0,3645998	0,4457324	0,6521285	0,2621863	0,1178468	0,8373992	0,5912083	0,8841244	0,6041817	0,5658028	0,5146209	0,4173560	0,7339829
260	0,5646347	0,6305595	0,3222230	0,0234264	0,7572274	0,2566922	0,2266797	0,6117987	0,5684285	0,6582405	0,5623199	0,0438277	0,5473061	0,4257335	0,6324575	0,5032970	0,7387617	0,1015856	0,3085141	0,5734852	0,5730280	0,4603538	0,1282041	0,7468989	0,1194732	0,3066111	0,7106924	0,6534606	0,3146354	0,7390438	0,0145806	0,5695528	0,6834967	0,1012666	0,5124029	0,5431000	0,6885152	0,5006207	0,1782936	0,4884500	0,1313375	0,0669598	0,6590423	0,2396215	0,5697908	0,7458994	0,5250967	0,6018163	0,0090066	0,4883826	0,5744928	0,5063705	0,3890437	0,6199696	0,2347488	0,1124712	0,7876537	0,4362548	0,8373596	0,7330052	0,4031037	0,6216396	0,2614956	0,6762916
280	0,5021554	0,7632352	0,2358192	0,0374928	0,6981738	0,2466945	0,2145266	0,4643937	0,6022493	0,5504838	0,5009682	0,0476733	0,5449582	0,5750468	0,7118296	0,6014127	0,7490686	0,1082045	0,3139515	0,7237541	0,5406520	0,4793129	0,1016256	0,7853061	0,0692699	0,3219360	0,7044946	0,7084728	0,3097822	0,6846903	0,0252961	0,6106948	0,5425901	0,0399352	0,6064670	0,4555239	0,7494825	0,5914130	0,2509369	0,5456284	0,1342520	0,0360295	0,6442545	0,2174590	0,6152846	0,6445910	0,5243812	0,8456412	0,0046148	0,4360327	0,6178616	0,4230334	0,4669357	0,5986032	0,1919538	0,1093412	0,6956905	0,4864105	0,6560572	0,6732927	0,5077527	0,4750148	0,3023309	0,6433194
300	0,4787557	0,6208644	0,3373553	0,0348301	0,6743387	0,3090756	0,1797793	0,5804317	0,5832981	0,5079180	0,4973104	0,0757550	0,6201771	0,4356777	0,7763659	0,5750478	0,6557840	0,1606265	0,3517958	0,7105844	0,6273769	0,3498550	0,0955108	0,7051475	0,0970466	0,3449916	0,6426326	0,7648740	0,3775575	0,7073139	0,0311045	0,7045342	0,5811160	0,0870690	0,4713757	0,4359827	0,6720888	0,4527175	0,2948256	0,5584548	0,1434598	0,0414497	0,6311453	0,2271651	0,6322522	0,7456998	0,5401181	0,6821348	0,0201669	0,4619829	0,6022689	0,4978941	0,5371877	0,5597271	0,3155160	0,1313491	0,8455566	0,4969793	0,6228444	0,6624410	0,4951743	0,4067792	0,3115623	0,7559232
320	0,5035540	0,7309729	0,2170386	0,0227879	0,6807923	0,2509771	0,2591036	0,6254727	0,7024147	0,6185914	0,5541515	0,0359326	0,5745210	0,4393737	0,6617044	0,7268688	0,6598052	0,0728040	0,3480662	0,7059165	0,6642821	0,4175259	0,1579805	0,7343844	0,1320260	0,3283645	0,6123246	0,7111502	0,3382487	0,6520209	0,0118723	0,6914744	0,5425878	0,0753522	0,4926108	0,4740117	0,6612273	0,4707169	0,2452224	0,3659628	0,1666390	0,0342089	0,7844876	0,2737022	0,7640610	0,7028350	0,5316885	0,6701364	0,0100444	0,4081472	0,6580435	0,6631873	0,5062511	0,6707748	0,2973806	0,1467998	0,7806891	0,4813452	0,6965851	0,5733469	0,5041686	0,5063597	0,3533926	0,6138700
340	0,3921215	0,7728084	0,2294020	0,0224698	0,8012164	0,3088240	0,2450221	0,5396029	0,7785445	0,5466353	0,6720545	0,0421076	0,6390745	0,4744021	0,6101902	0,6630895	0,9368128	0,1073079	0,3070827	0,6606455	0,6916133	0,2420511	0,1769063	0,6581119	0,0862967	0,2967169	0,6683496	0,6957866	0,2598993	0,7444335	0,0285759	0,6859312	0,5738876	0,0819744	0,4627926	0,4977107	0,7266642	0,4836783	0,2231663	0,4026905	0,1747314	0,0431969	0,8352667	0,2307271	0,7234515	0,5999956	0,4589764	0,6589894	0,0039857	0,4765979	0,6197018	0,6542014	0,5638964	0,8200476	0,3914811	0,1804315	0,6755483	0,4297854	0,5860572	0,6386181	0,5936939	0,4632118	0,2654636	0,6558914
360	0,4336402	0,7526729	0,2567893	0,0115124	0,7313843	0,3125506	0,2532380	0,4965060	0,6986486	0,4755262	0,6530233	0,0237653	0,6407068	0,4593996	0,5926093	0,5678275	0,5696122	0,0859029	0,2183667	0,6651957	0,6891185	0,3214128	0,1067606	0,6628939	0,1036376	0,3585881	0,5886498	0,7156445	0,3856893	0,6365123	0,0216293	0,6425748	0,6201816	0,0894567	0,4272636	0,6312061	0,7291044	0,5249586	0,2379512	0,5455083	0,1501224	0,0331925	0,7062296	0,1997224	0,5665952	0,5682517	0,5751970	0,6506715	0,0039305	0,4441059	0,6953970	0,6306782	0,5285662	0,8147443	0,3200983	0,1822961	0,8017860	0,3964685	0,6640182	0,6204177	0,5783634	0,4591786	0,3165402	0,8500285
