"Time"	flhD	hdfR	qseB	lrhA	flhC	ompR	rcsB	rcsA	csgD	bolA	rstA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtF	mdtE	csgF	csgG	csgE	yhiD	hdeB	hdeA	gadA	gadB	gadC	sra	flgM	flgJ	fliR	rprA	wcaB	flhE	fliQ	fliM	fliH	flgE	flgN	wzc	flgH	fliK	gltI	yhjH	osmB	flhB	fliN	recC	flgD	flgI	fliG	fliF	fliT	fliD	bdm	flhA	ppdC	gadY	flgA	flgG
180	0,6922533	0,3026645	0,0418003	0,0393303	0,3104820	0,9304608	0,3930900	0,7618341	0,4202688	0,0039004	0,8133609	0,8048096	0,7983593	0,9996783	0,8488010	0,6505463	0,2802156	0,4022158	0,4103111	0,9879376	0,9158875	0,8205137	0,9702182	0,1988114	0,3751509	0,6340642	0,7060603	0,6342759	0,7748785	0,4152511	0,6625110	0,6654318	0,5544264	0,1329704	1,0143376	0,2988053	0,3830909	0,5261848	0,0728647	0,3500051	0,5831339	0,3694918	0,1447529	0,1849453	0,0624751	0,5730683	0,2515112	0,1592464	0,7962700	0,5943470	0,8187467	0,3207867	0,5109167	0,0790677	0,5265282	0,9432545	0,9127533	0,5368336	0,4035376	0,0362327	0,0504623	0,9349728	0,0927165	0,1048140
200	0,6875952	0,3241078	0,0353272	0,0430176	0,3534388	0,9894078	0,3846080	0,7786946	0,4799932	0,0063360	0,8243011	0,7407558	0,8538773	1,0337557	0,8463929	0,7163148	0,2637820	0,4056729	0,4353025	1,0393053	0,9780945	0,8333625	0,9920651	0,2070193	0,4192377	0,7009031	0,7418263	0,6857816	0,7645619	0,4306057	0,7084494	0,6862688	0,6340720	0,1206550	1,0245273	0,2787024	0,3430025	0,5152068	0,1150266	0,3937747	0,6323980	0,3787411	0,1124355	0,1720780	0,0522524	0,5487180	0,3232463	0,2189503	0,8416187	0,6175887	0,8946030	0,4515583	0,5321826	0,0830277	0,6918117	0,9496079	0,8509366	0,5980636	0,4405769	0,0452835	0,0664976	0,8968630	0,1324197	0,1824420
220	0,6378110	0,3045521	0,0348370	0,0472804	0,3572997	0,9408556	0,3104927	0,7895895	0,4867146	0,0081909	0,7900187	0,7645262	0,9078455	0,9759307	0,8974771	0,6887675	0,2498605	0,3970940	0,4264882	0,9912861	0,9433809	0,8178207	0,9713851	0,2263857	0,4226036	0,7387818	0,7399797	0,6851168	0,8181250	0,4474092	0,7155448	0,6417559	0,6869275	0,1598147	1,0082146	0,2940155	0,3112645	0,5534344	0,2069239	0,3529915	0,6751261	0,3719955	0,1360027	0,1703499	0,0546184	0,6187246	0,3858605	0,2542251	0,7794079	0,5725240	0,9279309	0,5771125	0,5512394	0,0852969	0,7813298	0,9869998	0,9051017	0,6383021	0,4110114	0,0376674	0,0993134	0,9250854	0,2273669	0,2258314
240	0,6511154	0,2986013	0,0452914	0,0576587	0,3599805	0,9256864	0,3115122	0,8013764	0,4239579	0,0064250	0,7938267	0,7583160	0,9049551	0,9554263	0,8836402	0,7544834	0,3063157	0,4194080	0,4547122	0,9586880	0,9904698	0,8506476	0,9428238	0,1937192	0,4571580	0,6834653	0,7649166	0,8026347	0,8215625	0,4396803	0,6876238	0,6567791	0,7840238	0,1650774	0,9738976	0,2866999	0,2879897	0,5733527	0,2574917	0,3269420	0,7280117	0,3511503	0,2044635	0,1562404	0,0580880	0,5922474	0,4610387	0,3122448	0,7422763	0,6061214	1,0162599	0,7452626	0,5990570	0,0853841	0,7905091	0,9118909	0,8018575	0,7018481	0,3638322	0,0329163	0,1516536	0,9418169	0,2783414	0,2839500
260	0,6602738	0,2979207	0,0308355	0,0302919	0,3839780	1,0743007	0,3255147	0,7760979	0,4988067	0,0084884	0,8388877	0,7926696	0,8850072	0,9421531	0,8425741	0,7666148	0,2917910	0,3995346	0,4934033	0,9767215	0,9474036	0,8046925	1,0513771	0,2090928	0,4442002	0,7164664	0,7692464	0,7110825	0,8097521	0,4147937	0,6609898	0,6211786	0,8176646	0,1720913	0,9742670	0,2574161	0,2589039	0,6557619	0,3119292	0,3337635	0,7318770	0,3927144	0,1823182	0,1467812	0,0570157	0,6029543	0,5195734	0,3013646	0,7630782	0,6393249	0,9846373	0,8564306	0,6694187	0,0856294	0,8061153	0,9245526	0,7849654	0,7272484	0,3613039	0,0258826	0,1827657	0,9086014	0,3184455	0,3101170
280	0,6740672	0,2782883	0,0325322	0,0346329	0,3704730	0,9760681	0,3657227	0,7774453	0,5311147	0,0036892	0,7981430	0,7547059	0,8431599	1,0066863	0,8886282	0,8015428	0,3341109	0,4231009	0,4431128	1,0609796	0,8899459	0,8209049	1,0380941	0,2433051	0,4400671	0,7559240	0,8451621	0,7544236	0,7872058	0,4331733	0,6915952	0,5451686	0,8446489	0,1521614	0,9834601	0,2688490	0,2240954	0,6545458	0,3436672	0,3483229	0,7462803	0,3954943	0,2156904	0,1297463	0,0687790	0,6231694	0,6177843	0,3443507	0,8020129	0,6573171	0,9963470	0,9312666	0,6770238	0,0821155	0,8007457	0,9556441	0,8512988	0,7966733	0,3050773	0,0393056	0,2423067	0,9134597	0,3262225	0,3415735
300	0,6437101	0,2564151	0,0396108	0,0405209	0,3763056	1,0301890	0,3549550	0,7676182	0,5699100	0,0021895	0,8509759	0,8096127	0,8264241	0,9063851	0,8688349	0,7439733	0,2868839	0,4003511	0,4756295	1,0356102	0,8201892	0,8150710	0,9985184	0,2194128	0,4233403	0,6650901	0,7653131	0,6834187	0,8166200	0,4138160	0,7002629	0,5985784	0,8369368	0,1874340	1,0186483	0,2538299	0,1754769	0,6989634	0,4060326	0,3649582	0,7594976	0,4636806	0,2011995	0,0909151	0,0867085	0,6312483	0,6965518	0,3726506	0,8064057	0,6823310	1,0028860	1,0308253	0,7040286	0,0947870	0,8668575	0,9381401	0,8184857	0,8162735	0,3109971	0,0591133	0,2906263	0,9437860	0,5003111	0,4203856
320	0,6875721	0,2734747	0,0317268	0,0429806	0,4075060	1,0459469	0,3841814	0,7640609	0,6156874	0,0006822	0,7817056	0,8669870	0,8125941	1,0453015	0,8902290	0,7893646	0,2645985	0,3435838	0,4531222	0,9874874	0,9285138	0,7900391	0,9491907	0,2199792	0,4770699	0,6763436	0,7631488	0,6938458	0,8051582	0,4674474	0,6750988	0,5961963	0,7723325	0,1836582	1,0133868	0,2876223	0,1517494	0,7526497	0,4399192	0,3534736	0,7578275	0,4923179	0,2265979	0,0995650	0,0919749	0,6307246	0,7110423	0,3583667	0,8153319	0,7394324	1,0050378	0,9515581	0,7732894	0,0836170	0,8952789	1,0636266	0,8556668	0,8449894	0,3038897	0,0521587	0,3438168	0,9601763	0,5236042	0,4602192
340	0,6291216	0,2874068	0,0362270	0,0380241	0,3674393	0,9951031	0,3810578	0,7826387	0,6177661	0,0014595	0,7984631	0,8627623	0,8284649	0,9837776	0,8915514	0,8174774	0,2293077	0,3115463	0,4688236	1,0000317	0,9607788	0,7175625	1,0275819	0,2837724	0,4679390	0,6495140	0,8060319	0,6492120	0,8282857	0,4289536	0,7678005	0,5697817	0,8279039	0,1716049	1,0266493	0,2555541	0,1707993	0,7500401	0,4394674	0,3371101	0,7904435	0,4267753	0,3348803	0,0882191	0,0973328	0,6925856	0,7605047	0,4475651	0,7438654	0,7172424	0,9928939	0,9232646	0,7231469	0,1037586	0,9287986	1,0571880	0,8942996	0,8530310	0,3142496	0,0717152	0,3257372	0,9568788	0,6090457	0,5144597
360	0,6347463	0,3091660	0,0380403	0,0558916	0,4005576	1,0555827	0,3588484	0,8007778	0,6350729	0,0006244	0,8393780	0,8154933	0,7787827	0,9685683	0,8345194	0,7694285	0,2099233	0,3552468	0,4296501	0,9998214	0,9931910	0,7166168	0,9981817	0,2922184	0,4352762	0,6451776	0,8041328	0,6522992	0,8691372	0,4681226	0,7723657	0,5951420	0,8408005	0,1738989	0,9533973	0,2513238	0,1437595	0,7361367	0,4507979	0,3186928	0,8018745	0,4719141	0,3236117	0,0901145	0,0906081	0,6568492	0,6938216	0,4526972	0,8023355	0,7167107	0,9713812	0,8998747	0,7003460	0,1048644	0,8799326	1,0759282	0,8619863	0,8203042	0,3003510	0,0910392	0,3196477	1,0141442	0,6058230	0,5046894
