"Time"	dicA	ydfD	dicB	alaS	tdh	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	rcsA	csgD	mdtE	mdtF	hdeA	hdeB	yhiD	gadA	gadB	gadC	nemA	gadY	hdeD	slp	dctR	cadA	cadB	osmC	csgG	csgF	csgE	gltD	gltB	gltF	livK	livM	iraP	asnB	yfdX	lon	lysU	ydeP	livH	sdaA	kbl	livJ	livF	malZ	gnd	adrA	ybaT	yegR	ybaS	yneN	pepD	yojI
180	1,0000000	0,3710371	0,0002771	0,4192602	0,9999652	0,5168019	0,8862067	0,3246826	0,3913036	0,6303153	0,9903817	0,9202711	0,7494361	0,9999998	0,0040205	0,1607517	0,9566171	0,2765017	0,1098360	0,4911214	0,7174968	0,9380285	0,1950044	0,5102409	0,6940867	0,3242572	0,0188962	0,2668747	0,2246058	0,4442301	0,8549279	0,9338592	0,6215058	0,4392180	0,3143680	0,9693906	0,7653162	0,4010113	0,6189497	0,9573882	0,9972585	0,8610931	0,0008444	0,6665931	0,9700029	0,8332000	0,1145136	0,2662267	0,4511412	0,5504657	0,1312491	0,7430181	0,6715844	0,0401970	0,1978929	0,9679687	0,9284718	0,3505819	0,0783327	0,8939130	0,0153046	0,9473749	0,5886404	0,6755146
200	1,0000000	0,3710371	0,0002052	0,4192602	0,9999586	0,5087131	0,8775687	0,3228416	0,3890407	0,6303153	0,9931950	0,9423209	0,8094001	0,9999999	0,0042383	0,1550486	0,9667112	0,2765017	0,1098547	0,4547649	0,7754006	0,9551755	0,2144895	0,5106817	0,6964896	0,3242572	0,0188962	0,2680997	0,2417260	0,4604719	0,8883562	0,9477474	0,6215061	0,4399720	0,3162572	0,9773266	0,7422085	0,3891590	0,6024009	0,9563260	0,9971070	0,8494840	0,0005815	0,7087272	0,9631511	0,8380507	0,1603551	0,2701624	0,4781256	0,6473327	0,1460907	0,7657390	0,6437568	0,0404100	0,2053959	0,9677754	0,9319832	0,3273650	0,0783327	0,9229142	0,0153046	0,9642985	0,6320102	0,6670320
220	1,0000000	0,3710371	0,0001572	0,4192602	0,9999525	0,5032943	0,8699629	0,3216007	0,3871250	0,6303153	0,9950131	0,9579177	0,8562905	0,9999999	0,0044420	0,1515332	0,9746017	0,2765017	0,1098715	0,4207862	0,8200235	0,9673558	0,2314191	0,5110576	0,6981576	0,3242572	0,0188962	0,2692089	0,2568416	0,4725636	0,9133727	0,9572882	0,6215064	0,4406677	0,3180848	0,9832652	0,7179464	0,3809145	0,5857161	0,9554707	0,9969816	0,8390356	0,0004119	0,7421628	0,9545925	0,8411750	0,2115033	0,2728090	0,5006078	0,7259144	0,1590650	0,7834809	0,6209511	0,0406171	0,2122279	0,9675673	0,9346491	0,3039782	0,0783327	0,9441287	0,0153046	0,9757916	0,6751698	0,6605898
240	1,0000000	0,3710371	0,0001251	0,4192602	0,9999473	0,4996784	0,8635146	0,3207750	0,3855657	0,6303153	0,9961643	0,9688889	0,8923604	0,9999999	0,0046242	0,1493800	0,9806659	0,2765017	0,1098860	0,3895143	0,8537879	0,9758822	0,2457035	0,5113672	0,6993126	0,3242572	0,0188962	0,2701656	0,2696041	0,4814840	0,9319466	0,9637855	0,6215067	0,4412748	0,3197557	0,9876753	0,6929616	0,3751896	0,5692365	0,9548003	0,9968800	0,8299388	0,0003038	0,7679580	0,9439734	0,8433569	0,2635874	0,2745740	0,5187592	0,7871568	0,1699493	0,7970090	0,6028455	0,0408108	0,2181517	0,9673550	0,9366540	0,2808369	0,0783327	0,9595308	0,0153045	0,9835891	0,7169370	0,6558269
260	1,0000000	0,3710371	0,0001038	0,4192602	0,9999429	0,4972723	0,8582132	0,3202295	0,3843366	0,6303153	0,9968837	0,9765780	0,9197700	1,0000000	0,0047813	0,1480680	0,9852641	0,2765017	0,1098978	0,3612767	0,8790136	0,9817883	0,2574763	0,5116153	0,7001097	0,3242572	0,0188962	0,2709611	0,2800410	0,4880155	0,9456490	0,9681786	0,6215071	0,4417828	0,3212189	0,9909303	0,6677674	0,3712192	0,5532677	0,9542863	0,9967989	0,8222312	0,0002358	0,7874176	0,9309529	0,8450023	0,3131258	0,2757433	0,5330409	0,8335504	0,1787875	0,8071301	0,5888318	0,0409858	0,2231078	0,9671484	0,9381467	0,2583133	0,0783328	0,9706480	0,0153045	0,9888765	0,7562852	0,6523805
280	1,0000000	0,3710371	0,0000895	0,4192602	0,9999393	0,4956741	0,8539642	0,3198691	0,3833928	0,6303153	0,9973295	0,9819541	0,9404066	1,0000000	0,0049129	0,1472722	0,9887131	0,2765017	0,1099072	0,3363079	0,8976937	0,9858488	0,2669951	0,5118092	0,7006575	0,3242572	0,0188962	0,2716048	0,2883748	0,4927676	0,9557047	0,9711312	0,6215074	0,4421942	0,3224573	0,9933208	0,6429415	0,3684681	0,5380786	0,9538995	0,9967350	0,8158459	0,0001936	0,8018342	0,9152802	0,8463142	0,3578765	0,2765137	0,5440393	0,8679843	0,1857793	0,8145869	0,5782054	0,0411398	0,2271429	0,9669550	0,9392469	0,2367449	0,0783328	0,9786362	0,0153045	0,9924607	0,7923991	0,6499292
300	1,0000000	0,3710371	0,0000801	0,4192602	0,9999366	0,4946140	0,8506305	0,3196304	0,3826833	0,6303153	0,9976044	0,9857076	0,9558334	1,0000000	0,0050202	0,1467913	0,9912770	0,2765017	0,1099145	0,3146937	0,9114406	0,9886259	0,2745699	0,5119578	0,7010324	0,3242572	0,0188962	0,2721151	0,2949081	0,4962066	0,9630522	0,9731054	0,6215077	0,4425191	0,3234775	0,9950691	0,6190756	0,3665633	0,5238933	0,9536127	0,9966851	0,8106553	0,0001676	0,8123571	0,8968830	0,8473924	0,3967382	0,2770191	0,5523583	0,8931641	0,1911947	0,8200120	0,5702810	0,0412722	0,2303586	0,9667801	0,9400501	0,2164295	0,0783328	0,9843556	0,0153045	0,9948900	0,8247234	0,6482097
320	1,0000000	0,3710371	0,0000738	0,4192602	0,9999344	0,4939112	0,8480614	0,3194721	0,3821593	0,6303153	0,9977737	0,9883263	0,9673014	1,0000000	0,0051061	0,1465016	0,9931688	0,2765017	0,1099200	0,2963606	0,9215124	0,9905187	0,2805175	0,5120698	0,7012875	0,3242572	0,0188962	0,2725135	0,2999562	0,4986837	0,9684015	0,9744199	0,6215080	0,4427705	0,3242996	0,9963435	0,5967075	0,3652450	0,5108809	0,9534030	0,9966465	0,8065031	0,0001518	0,8199436	0,8759409	0,8482875	0,4294674	0,2773493	0,5585553	0,9113788	0,1953171	0,8239178	0,5644523	0,0413839	0,2328780	0,9666266	0,9406312	0,1976116	0,0783328	0,9884395	0,0153045	0,9965364	0,8529808	0,6470169
340	1,0000000	0,3710371	0,0000696	0,4192602	0,9999328	0,4934457	0,8461119	0,3193672	0,3817779	0,6303153	0,9978779	0,9901528	0,9757893	1,0000000	0,0051736	0,1463276	0,9945559	0,2765017	0,1099242	0,2810988	0,9288682	0,9918062	0,2851346	0,5121529	0,7014604	0,3242572	0,0188962	0,2728210	0,3038113	0,5004609	0,9722840	0,9752917	0,6215082	0,4429619	0,3249502	0,9972698	0,5762615	0,3643331	0,4991490	0,9532513	0,9966169	0,8032270	0,0001423	0,8253567	0,8529103	0,8490287	0,4563747	0,2775646	0,5631117	0,9244528	0,1984106	0,8267053	0,5602138	0,0414765	0,2348246	0,9664951	0,9410482	0,1804689	0,0783328	0,9913491	0,0153045	0,9976522	0,8771530	0,6461969
360	1,0000000	0,3710371	0,0000669	0,4192602	0,9999316	0,4931374	0,8446518	0,3192978	0,3815036	0,6303153	0,9979422	0,9914270	0,9820495	1,0000000	0,0052258	0,1462233	0,9955674	0,2765017	0,1099273	0,2686037	0,9342282	0,9926812	0,2886837	0,5122139	0,7015769	0,3242572	0,0188962	0,2730562	0,3067276	0,5017316	0,9750948	0,9758681	0,6215084	0,4431058	0,3254573	0,9979415	0,5580123	0,3637024	0,4887433	0,9531426	0,9965944	0,8006726	0,0001367	0,8291851	0,8284875	0,8496367	0,4780740	0,2777045	0,5664246	0,9337856	0,2007045	0,8286798	0,5571611	0,0415522	0,2363113	0,9663852	0,9413451	0,1651040	0,0783329	0,9934188	0,0153045	0,9984083	0,8974315	0,6456373
