"Time"	dicA	ydfD	dicB	alaS	tdh	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	rcsA	csgD	mdtE	mdtF	hdeA	hdeB	yhiD	gadA	gadB	gadC	nemA	gadY	hdeD	slp	dctR	cadA	cadB	osmC	csgG	csgF	csgE	gltD	gltB	gltF	livK	livM	iraP	asnB	yfdX	lon	lysU	ydeP	livH	sdaA	kbl	livJ	livF	malZ	gnd	adrA	ybaT	yegR	ybaS	yneN	pepD	yojI
180	0,6933997	0,2551560	0,0001766	0,3391193	0,6680461	0,5094308	0,5698288	0,2519775	0,2801063	0,4289251	0,8504562	0,6819284	0,4433478	0,7577508	0,0011857	0,1436054	0,7447111	0,1844460	0,1261287	0,3226499	0,5925301	0,7142517	0,1209020	0,3091971	0,3854787	0,2849947	0,0068826	0,2462327	0,1852186	0,3710710	0,6924046	0,6122853	0,4189227	0,2187163	0,2999251	0,6209726	0,5425215	0,3466202	0,3591565	0,7602098	0,4982294	0,6237300	0,0001894	0,5749840	0,7649877	0,5218891	0,0465522	0,1615065	0,4115136	0,2085941	0,0907863	0,4930147	0,4942268	0,0452021	0,1715991	0,7475657	0,5771802	0,2293268	0,0455533	0,5756055	0,0155047	0,8584244	0,4865943	0,4343301
200	0,7315150	0,3244562	0,0001119	0,2748603	0,7214080	0,4059464	0,6529848	0,1654648	0,2183044	0,3814188	0,7119548	0,7384096	0,5090956	0,7964794	0,0121757	0,1073924	0,7443279	0,1897602	0,1040613	0,4240291	0,5255647	0,7142219	0,1746728	0,2914919	0,5706450	0,1865749	0,0130670	0,2511369	0,1653570	0,3358947	0,6636819	0,6220192	0,4453557	0,3184483	0,3680006	0,7682380	0,5108101	0,3221651	0,3960077	0,7265819	0,6693466	0,5825178	0,0004104	0,4765599	0,7513405	0,7014435	0,0610125	0,2518823	0,3363104	0,3044075	0,0818429	0,4973594	0,5329189	0,0393438	0,1380504	0,7344969	0,6797846	0,2502107	0,0602353	0,5010478	0,0058893	0,7153814	0,4993970	0,5090188
220	0,7576405	0,2079341	0,0002246	0,4344492	0,7928867	0,3730117	0,7041909	0,2867264	0,2851810	0,4871597	0,6495067	0,7878074	0,4518550	0,6474627	0,0002211	0,1620783	0,7660406	0,1610372	0,0812727	0,3164639	0,6080011	0,6364083	0,1508578	0,3421130	0,4572075	0,3186028	0,0074748	0,1642107	0,1942273	0,3549774	0,7226625	0,6356280	0,4953086	0,3580355	0,2443810	0,8393963	0,6021298	0,3578758	0,4872848	0,5091854	0,5422348	0,6541642	0,0018710	0,5982740	0,6841352	0,8355021	0,0943921	0,2219551	0,3571541	0,3931592	0,0833359	0,5890743	0,4612119	0,0351259	0,1628385	0,8289477	0,6018285	0,1725622	0,0414230	0,5382519	0,0193157	0,7739782	0,4888221	0,5184135
240	0,6432775	0,2974143	0,0035891	0,2957636	0,7203495	0,3582397	0,6279068	0,2225856	0,3509595	0,5127840	0,7263089	0,7674891	0,5085767	0,6572269	0,0025398	0,0917637	0,7360695	0,2301034	0,0947120	0,2847547	0,5424024	0,6150869	0,1870531	0,3155790	0,4819652	0,3335548	0,0274176	0,2152173	0,1782766	0,2673117	0,7395043	0,5946645	0,5101345	0,2952575	0,2442791	0,6101679	0,4239058	0,2855175	0,3951188	0,6776088	0,5745262	0,6291225	0,0005149	0,5757396	0,7322053	0,6976282	0,1324990	0,2737470	0,3198080	0,6448959	0,1095990	0,4791823	0,3887464	0,0460171	0,1285710	0,6329082	0,7920690	0,1886172	0,0398704	0,5546906	0,0071482	0,7339988	0,4335545	0,4793468
260	0,7135463	0,2078198	0,0022324	0,2853153	0,7507552	0,2941833	0,6214292	0,1966401	0,3146667	0,4705930	0,6860612	0,6630848	0,5667320	0,6970736	0,0003370	0,0987750	0,6552963	0,2115915	0,0406047	0,3024557	0,5302625	0,7364320	0,2325950	0,3954770	0,5687942	0,1804448	0,0256609	0,2273906	0,1774298	0,4226381	0,6839498	0,6283183	0,4051834	0,2588522	0,2225407	0,7018437	0,4884251	0,3815725	0,3359045	0,6108512	0,6592684	0,6157246	0,0015843	0,5755738	0,6420472	0,6432051	0,1477502	0,2141122	0,4818939	0,4555532	0,1564320	0,6212594	0,3643209	0,0243982	0,1439783	0,7580701	0,8374807	0,1517891	0,0603308	0,7632829	0,0093618	0,7750150	0,4778262	0,4072457
280	0,8518369	0,2665808	0,0003068	0,2795233	0,6893767	0,3144576	0,5498007	0,2642057	0,2373301	0,5016063	0,6255172	0,7069817	0,6726539	0,7487999	0,0023313	0,0720043	0,7935376	0,2049265	0,1050915	0,2626883	0,5331786	0,6495230	0,1623839	0,3073373	0,5248183	0,2458264	0,0255314	0,1601221	0,2203236	0,3495886	0,6815683	0,7074617	0,3995953	0,3792702	0,1901133	0,7830871	0,4261689	0,1969047	0,2846846	0,6793355	0,5920275	0,4639063	0,0016728	0,5729038	0,6977873	0,6793410	0,3141485	0,2091447	0,4323494	0,5822805	0,1203304	0,6484886	0,3951940	0,0215013	0,1315042	0,6516110	0,7790200	0,1773306	0,1056631	0,6544873	0,0078284	0,7878527	0,6337204	0,4456679
300	0,5966518	0,2402558	0,0002428	0,2822641	0,7387729	0,3971880	0,6466798	0,2975790	0,2188319	0,4642965	0,9000913	0,6274761	0,5773306	0,6705616	0,0062365	0,0870160	0,6911773	0,1924937	0,0999829	0,2351021	0,5444023	0,7137182	0,2144703	0,3432480	0,4489427	0,1442882	0,0249397	0,1973593	0,3061041	0,4062436	0,8274476	0,7887971	0,3765836	0,3387712	0,1433444	0,7171461	0,3899838	0,2718297	0,2893168	0,6321150	0,6263161	0,5866220	0,0001072	0,6083202	0,6603576	0,5582327	0,2546622	0,1741150	0,5042003	0,6064372	0,1974893	0,7675053	0,4169212	0,0193946	0,1317560	0,5978297	0,7742282	0,1153144	0,0623552	0,7905621	0,0037541	0,6747081	0,5878523	0,4218182
320	0,6313162	0,3543657	0,0008461	0,3397953	0,7752275	0,3050761	0,6170288	0,2267552	0,2278698	0,5455907	0,7581828	0,8490527	0,6463616	0,6894518	0,0082418	0,0671431	0,8056688	0,1881833	0,0968068	0,2105468	0,6536507	0,7836857	0,1813280	0,4251549	0,4866341	0,2045577	0,0300356	0,1792942	0,2005096	0,3110164	0,8546422	0,8057511	0,3680467	0,3036258	0,2045061	0,7840676	0,4690440	0,1860877	0,2936172	0,7242790	0,5955930	0,6467906	0,0000000	0,5865118	0,5930165	0,5069070	0,2333104	0,1740608	0,4205626	0,6053305	0,1115175	0,5217865	0,4130585	0,0303459	0,1920626	0,5994410	0,7409627	0,1029057	0,0644695	0,7041957	0,0118078	0,7021987	0,6144412	0,4076718
340	0,7624595	0,2502476	0,0000123	0,3518253	0,9369520	0,3415860	0,6450673	0,2319719	0,2469881	0,4461270	0,7886360	0,6620818	0,6215530	0,7000293	0,0046668	0,0863050	0,7316857	0,2416983	0,0973021	0,2164070	0,5850048	0,6504906	0,2471904	0,3122531	0,4000989	0,1895063	0,0231004	0,1984038	0,2943503	0,2597882	0,6706180	0,7344784	0,4949791	0,3386784	0,2249923	0,8549764	0,3686660	0,2060904	0,3215395	0,7100945	0,7042687	0,4945688	0,0004345	0,5654796	0,7429049	0,6497322	0,2717634	0,1737517	0,5344107	0,6509105	0,1313553	0,5804764	0,4113460	0,0498547	0,1613247	0,7409922	0,6141395	0,1139532	0,0612441	0,6982526	0,0174584	0,7638044	0,6862790	0,4392763
360	0,7216846	0,2972519	0,0000341	0,3194259	0,9263450	0,2702667	0,6377500	0,2219609	0,2619553	0,6274728	0,8091883	0,7367644	0,6244744	0,7662403	0,0042261	0,0809813	0,8247747	0,1761319	0,0678100	0,2318232	0,6969825	0,6386191	0,2197361	0,2745767	0,4592314	0,1847416	0,0262657	0,1513532	0,2232612	0,3370581	0,7205744	0,7731634	0,4991162	0,3210315	0,2363021	0,7637219	0,3911095	0,1733223	0,3121247	0,6936024	0,6134320	0,5774815	0,0003146	0,7056257	0,7270498	0,5948029	0,3059203	0,1662806	0,4282314	0,4559197	0,1781365	0,6724907	0,3352553	0,0325771	0,1892601	0,7250091	0,6608213	0,0919300	0,1192443	0,7764820	0,0063408	0,7953694	0,9281003	0,4070086
