"Time"	nadR	nadB	pnuC	nadA	pncB	crp	rhaR	rhaS	zraR	melR	feaR	malI	mtlR	prpR	ascG	marR	rbsR	chbR	nagC	fucR	chbC	chbB	chbG	chbA	chbF	nagB	prpC	fucO	fucI	fucK	rbsD	prpD	zraS	nagD	malY	rhaD	nagE	rhaA	ascF	melA	rbsB	fucP	ascB	melB	rbsK	prpB	rbsC	fucU	rhaB	malX	fucA	prpE	rbsA	nagA	nanM	nanC	rhaT	manX	mtlD	manZ	mtlA	manY	galP	marB
180	1,0000000	0,3069503	0,2919587	0,0380507	0,3436671	0,9370492	0,7822175	0,5048096	0,8469664	0,9831924	0,9508355	0,0365892	0,9400327	0,5971207	0,1090902	0,4675240	0,3967589	0,2122868	0,2556709	0,4893234	0,9413638	0,0748660	0,5627948	0,9630586	0,2529387	0,3533079	0,6467279	0,8231672	0,3430893	0,7091429	0,6687564	0,6316226	0,9091809	0,9833636	0,3673331	0,6061743	0,8257892	0,7474189	0,9845435	0,2217546	0,9962573	0,5536697	0,5769725	0,9487133	0,9595561	0,9442889	0,9193425	0,7230176	0,2731261	0,3680977	0,0398116	0,2691780	0,3566163	0,9925933	0,4943054	0,6228443	0,3787003	0,7130653	0,4900491	0,9732293	0,1188442	0,5086985	0,8757539	0,4431355
200	1,0000000	0,3069503	0,2919587	0,0380507	0,3188120	0,9468691	0,8569560	0,6191721	0,8730574	0,9890116	0,9593111	0,0293512	0,9478950	0,6230332	0,1090902	0,4746528	0,3738649	0,2345808	0,2504241	0,5244764	0,9497842	0,0839595	0,5793595	0,9704893	0,2540155	0,3586485	0,6907195	0,8666666	0,4302991	0,7776208	0,6648506	0,6440349	0,9321480	0,9861536	0,3579510	0,6913757	0,8206927	0,7651165	0,9868464	0,2406471	0,9936762	0,5967174	0,6254022	0,9516305	0,9612280	0,9558552	0,9089259	0,7714242	0,5249638	0,3955702	0,0453016	0,3459504	0,2923363	0,9933847	0,5188941	0,6469553	0,5349111	0,7494228	0,4926204	0,9808774	0,1251740	0,5249626	0,9002105	0,4730534
220	1,0000000	0,3069503	0,2919587	0,0380507	0,2983687	0,9536947	0,9063183	0,6985976	0,8931066	0,9927947	0,9656058	0,0244141	0,9532999	0,6435645	0,1090902	0,4801892	0,3479084	0,2484993	0,2470409	0,5519601	0,9553169	0,0927294	0,5919169	0,9747728	0,2548692	0,3624632	0,7283960	0,9018084	0,5064457	0,8260173	0,6712077	0,6553676	0,9487603	0,9882976	0,3496135	0,7724271	0,8183078	0,7834074	0,9881995	0,2553364	0,9910579	0,6327185	0,6608758	0,9538297	0,9620123	0,9644317	0,9021213	0,8096136	0,7142966	0,4223445	0,0537430	0,4233263	0,2429515	0,9940487	0,5373831	0,6646383	0,6449331	0,7778249	0,4940237	0,9857078	0,1306596	0,5365197	0,9188256	0,4979088
240	1,0000000	0,3069503	0,2919587	0,0380507	0,2820134	0,9584527	0,9378983	0,7527111	0,9083831	0,9952543	0,9702725	0,0210302	0,9570322	0,6594229	0,1090902	0,4844334	0,3282932	0,2566674	0,2446804	0,5737554	0,9589044	0,1007579	0,6009894	0,9768984	0,2555055	0,3651857	0,7597929	0,9282784	0,5691357	0,8597130	0,6803732	0,6655546	0,9607202	0,9899028	0,3425152	0,8305915	0,8173100	0,8009442	0,9890153	0,2665886	0,9891710	0,6620432	0,6865820	0,9554716	0,9625858	0,9706417	0,8988861	0,8392621	0,8321368	0,4490988	0,0649406	0,4945549	0,2114704	0,9945582	0,5509737	0,6773638	0,7077771	0,7995602	0,4948003	0,9887551	0,1351876	0,5446060	0,9326951	0,5177274
260	1,0000000	0,3069503	0,2919587	0,0380507	0,2691962	0,9617805	0,9578891	0,7895502	0,9199566	0,9968534	0,9737280	0,0187002	0,9596228	0,6714597	0,1090902	0,4876541	0,3167735	0,2613627	0,2429399	0,5913666	0,9612480	0,1078159	0,6074050	0,9776882	0,2559650	0,3671300	0,7853879	0,9475065	0,6189844	0,8830399	0,6892490	0,6745049	0,9693070	0,9910867	0,3366497	0,8675537	0,8169902	0,8163333	0,9895210	0,2751175	0,9881764	0,6854757	0,7051342	0,9566888	0,9631880	0,9750746	0,8982336	0,8620372	0,9016572	0,4757138	0,0782220	0,5559065	0,1941167	0,9949326	0,5608334	0,6864685	0,7420510	0,8159712	0,4952383	0,9906828	0,1388095	0,5502681	0,9428981	0,5330996
280	1,0000000	0,3069503	0,2919587	0,0380507	0,2593054	0,9641165	0,9704954	0,8146931	0,9286919	0,9978934	0,9762843	0,0170874	0,9614311	0,6804871	0,1090902	0,4900788	0,3118126	0,2641276	0,2416299	0,6058630	0,9628113	0,1138135	0,6119336	0,9777515	0,2562916	0,3685208	0,8058951	0,9612108	0,6578117	0,8991928	0,6967785	0,6821819	0,9754629	0,9919533	0,3319071	0,8900283	0,8169935	0,8289352	0,9898435	0,2815332	0,9878388	0,7039961	0,7185178	0,9575861	0,9638052	0,9782176	0,8990814	0,8794263	0,9419114	0,5015368	0,0927057	0,6063068	0,1860708	0,9952031	0,5679495	0,6929996	0,7612154	0,8282534	0,4954912	0,9919100	0,1416452	0,5542755	0,9503486	0,5448034
300	1,0000000	0,3069503	0,2919587	0,0380507	0,2517609	0,9657624	0,9784391	0,8318981	0,9352697	0,9985700	0,9781740	0,0159649	0,9627003	0,6872021	0,1090902	0,4918926	0,3109817	0,2658638	0,2406464	0,6179802	0,9638814	0,1187656	0,6151594	0,9774852	0,2565218	0,3695179	0,8221037	0,9708862	0,6876942	0,9104264	0,7027767	0,6886198	0,9798734	0,9925855	0,3281348	0,9035660	0,8171439	0,8387650	0,9900546	0,2863324	0,9878417	0,7185772	0,7281864	0,9582449	0,9643612	0,9804425	0,9005758	0,8926702	0,9650571	0,5257285	0,1075432	0,6463561	0,1833013	0,9953979	0,5730851	0,6977137	0,7724849	0,8373920	0,4956413	0,9926988	0,1438318	0,5571503	0,9557668	0,5536033
320	1,0000000	0,3069503	0,2919587	0,0380507	0,2460568	0,9669264	0,9834499	0,8436994	0,9402163	0,9990103	0,9795702	0,0151788	0,9635959	0,6921690	0,1090902	0,4932426	0,3121143	0,2670465	0,2399161	0,6282235	0,9646310	0,1227589	0,6174844	0,9771153	0,2566835	0,3702343	0,8347775	0,9776929	0,7105485	0,9182954	0,7073899	0,6939117	0,9830335	0,9930464	0,3251725	0,9117851	0,8173510	0,8461814	0,9901962	0,2899073	0,9879508	0,7300722	0,7351857	0,9587268	0,9648051	0,9820203	0,9021622	0,9027607	0,9783416	0,5475619	0,1220590	0,6774486	0,1829827	0,9955386	0,5768003	0,7011377	0,7794644	0,8441649	0,4957330	0,9932117	0,1454993	0,5592357	0,9596984	0,5601639
340	1,0000000	0,3069503	0,2919587	0,0380507	0,2417734	0,9677524	0,9866177	0,8518116	0,9439340	0,9992970	0,9806014	0,0146252	0,9642310	0,6958286	0,1090902	0,4942433	0,3137395	0,2679092	0,2393797	0,6369482	0,9651650	0,1259184	0,6191757	0,9767527	0,2567970	0,3707502	0,8446022	0,9824838	0,7279863	0,9238588	0,7108619	0,6981866	0,9852987	0,9933823	0,3228701	0,9168604	0,8175668	0,8516510	0,9902931	0,2925615	0,9880438	0,7391776	0,7402635	0,9590783	0,9651266	0,9831434	0,9035484	0,9104690	0,9859747	0,5665874	0,1357902	0,7011977	0,1834300	0,9956407	0,5794954	0,7036358	0,7839753	0,8491702	0,4957908	0,9935494	0,1467603	0,5607586	0,9625481	0,5650267
360	1,0000000	0,3069503	0,2919587	0,0380507	0,2385741	0,9683406	0,9886264	0,8573991	0,9467275	0,9994837	0,9813626	0,0142331	0,9646834	0,6985177	0,1090902	0,4949827	0,3150956	0,2685635	0,2389883	0,6444145	0,9655493	0,1283814	0,6204123	0,9764411	0,2568768	0,3711225	0,8521647	0,9858678	0,7412981	0,9278347	0,7134394	0,7015889	0,9869237	0,9936271	0,3210955	0,9200614	0,8177663	0,8556222	0,9903606	0,2945270	0,9880810	0,7464391	0,7439543	0,9593340	0,9653420	0,9839465	0,9046297	0,9163838	0,9903749	0,5826622	0,1484660	0,7191317	0,1838356	0,9957150	0,5814548	0,7054627	0,7869835	0,8528615	0,4958283	0,9937745	0,1477078	0,5618737	0,9646128	0,5686167
380	1,0000000	0,3069503	0,2919587	0,0380507	0,2361946	0,9687607	0,9899048	0,8612543	0,9488270	0,9996055	0,9819243	0,0139540	0,9650069	0,7004900	0,1090902	0,4955275	0,3159415	0,2690663	0,2387036	0,6508216	0,9658274	0,1302795	0,6213180	0,9761900	0,2569331	0,3713917	0,8579519	0,9882725	0,7514870	0,9307097	0,7153364	0,7042627	0,9880906	0,9938055	0,3197371	0,9221255	0,8179386	0,8584742	0,9904081	0,2959795	0,9880676	0,7522747	0,7466410	0,9595196	0,9654783	0,9845234	0,9054124	0,9209491	0,9929239	0,5958937	0,1599628	0,7325657	0,1839509	0,9957691	0,5828813	0,7067998	0,7890334	0,8555792	0,4958532	0,9939264	0,1484161	0,5626904	0,9661086	0,5712596
400	1,0000000	0,3069503	0,2919587	0,0380507	0,2344308	0,9690616	0,9907216	0,8639182	0,9504052	0,9996849	0,9823387	0,0137544	0,9652391	0,7019345	0,1090902	0,4959281	0,3163256	0,2694516	0,2384965	0,6563282	0,9660291	0,1317296	0,6219809	0,9759947	0,2569728	0,3715866	0,8623587	0,9899952	0,7593190	0,9328142	0,7167259	0,7063415	0,9889295	0,9939356	0,3187035	0,9234847	0,8180807	0,8605070	0,9904419	0,2970510	0,9880246	0,7570014	0,7485988	0,9596541	0,9655622	0,9849395	0,9059529	0,9244971	0,9944103	0,6065520	0,1702586	0,7425711	0,1838069	0,9958085	0,5839206	0,7077783	0,7904506	0,8575775	0,4958701	0,9940299	0,1489435	0,5632880	0,9671923	0,5732013
