"Time"	rhaR	rhaS	crp	feaR	melR	zraR	malI	mtlR	prpR	ascG	rbsR	marR	fucR	chbR	nagC	srlR	gutM	idnR	xylR	uxuR	chbB	chbF	chbG	chbA	chbC	gutQ	srlE	srlD	srlA	srlB	zraS	rhaB	prpE	prpD	rbsC	rbsA	melB	nagE	fucO	rhaD	ascF	prpB	rbsB	fucU	rhaA	fucA	prpC	fucI	nagD	ascB	rbsK	fucP	malX	rbsD	gntP	melA	malY	nagB	fucK	xylF	uxuA	uxuB	rhaT	xylH
180	0,0037840	0,9273108	0,8078716	0,9402827	0,9883691	0,0229474	0,3423407	0,9529503	0,6473993	0,6513928	0,9636837	0,9286047	0,9941559	0,8206626	0,0745781	0,7907996	0,5717818	0,8906992	0,9358171	0,5468250	0,6997451	0,7858249	0,2820645	0,9679406	0,1379806	0,6267366	0,8158454	0,4916992	0,5062007	0,6813029	0,6813899	0,3973423	0,3466374	0,6147634	0,0716662	0,4573622	0,8876683	0,9982644	0,9598590	0,5132352	0,8775159	0,3643619	0,1558249	0,0655709	0,9141941	0,9930042	0,4966294	0,9977767	0,9454065	0,0863045	0,3883397	0,9119459	0,0405902	0,1464166	0,7031241	0,5523790	0,5822700	0,7314786	0,9650315	0,3305298	0,2185230	0,8066277	0,9976622	0,3352026
200	0,0039132	0,9324715	0,8194285	0,9531174	0,9929626	0,0234538	0,3557953	0,9567097	0,6534506	0,6513928	0,9744870	0,9439678	0,9961243	0,8455767	0,0655239	0,8174017	0,5858301	0,9171884	0,9516842	0,5560638	0,7033630	0,8087696	0,3293636	0,9801816	0,1499921	0,6396604	0,8187695	0,5147552	0,5150366	0,6947503	0,6855369	0,4248327	0,4317785	0,6298773	0,0640108	0,4836217	0,8999421	0,9986998	0,9643118	0,6032486	0,8795262	0,3893310	0,1577910	0,0833191	0,9268786	0,9961674	0,5560256	0,9979735	0,9533758	0,1000444	0,3874745	0,9174492	0,0276474	0,1407146	0,7434617	0,5858285	0,5559098	0,7736531	0,9738990	0,3745525	0,2858964	0,8176409	0,9987973	0,3762716
220	0,0040307	0,9361460	0,8282879	0,9622185	0,9957311	0,0239859	0,3684839	0,9589411	0,6580536	0,6513928	0,9819500	0,9550199	0,9973619	0,8645132	0,0590629	0,8372952	0,5956726	0,9356184	0,9627087	0,5640336	0,7055453	0,8259002	0,3850225	0,9875286	0,1697173	0,6481574	0,8217698	0,5297790	0,5210256	0,7044089	0,6884771	0,4462783	0,5068321	0,6413215	0,0592821	0,5008334	0,9081521	0,9990304	0,9674384	0,6716680	0,8806894	0,4082273	0,1585765	0,1009826	0,9354462	0,9978571	0,6047222	0,9980767	0,9610125	0,1118886	0,3870529	0,9217907	0,0191348	0,1390380	0,7757588	0,6114082	0,5326096	0,8093504	0,9804687	0,4111558	0,3467287	0,8252849	0,9993545	0,4112536
240	0,0041360	0,9388175	0,8350863	0,9686846	0,9974000	0,0245308	0,3799558	0,9602805	0,6615989	0,6513928	0,9871068	0,9629564	0,9981419	0,8791039	0,0544118	0,8521455	0,6024534	0,9483697	0,9703488	0,5707794	0,7068472	0,8383945	0,4421789	0,9919465	0,1992734	0,6536752	0,8247955	0,5392628	0,5251151	0,7113479	0,6906813	0,4629087	0,5703400	0,6500001	0,0565036	0,5120671	0,9136159	0,9992786	0,9696618	0,7222226	0,8813715	0,4224405	0,1588718	0,1176881	0,9412855	0,9987621	0,6439123	0,9981347	0,9674808	0,1217900	0,3869717	0,9252416	0,0135077	0,1394845	0,8010987	0,6309406	0,5122427	0,8387617	0,9853356	0,4409937	0,3975373	0,8306409	0,9996294	0,4404393
260	0,0042291	0,9407927	0,8403129	0,9732899	0,9984063	0,0250782	0,3900098	0,9610964	0,6643495	0,6513928	0,9906713	0,9686575	0,9986349	0,8904664	0,0510317	0,8632247	0,6070663	0,9571766	0,9756474	0,5764013	0,7076096	0,8473435	0,4948808	0,9946113	0,2372446	0,6572359	0,8277261	0,5451681	0,5279302	0,7163326	0,6924306	0,4757670	0,6226548	0,6566000	0,0549897	0,5194211	0,9172359	0,9994640	0,9712626	0,7590396	0,8817783	0,4331143	0,1590050	0,1328862	0,9453065	0,9992488	0,6750566	0,9981693	0,9725869	0,1298934	0,3871271	0,9279852	0,0097675	0,1409241	0,8207256	0,6458619	0,4946146	0,8624433	0,9889410	0,4649748	0,4379511	0,8344321	0,9997662	0,4644177
280	0,0043109	0,9422724	0,8443402	0,9765797	0,9990133	0,0256203	0,3986160	0,9616025	0,6664920	0,6513928	0,9931367	0,9727608	0,9989477	0,8993658	0,0485517	0,8714922	0,6101746	0,9632647	0,9793340	0,5810278	0,7080429	0,8536653	0,5398521	0,9962255	0,2794096	0,6595325	0,8304541	0,5488551	0,5298842	0,7199122	0,6938918	0,4856984	0,6649786	0,6616363	0,0542712	0,5242749	0,9196249	0,9996019	0,9724285	0,7856938	0,8820259	0,4411406	0,1591136	0,1463060	0,9481067	0,9995119	0,6995947	0,9981909	0,9764540	0,1364272	0,3874303	0,9301606	0,0072664	0,1427223	0,8358048	0,6572782	0,4794994	0,8811590	0,9916118	0,4840536	0,4691520	0,8371442	0,9998350	0,4838916
300	0,0043823	0,9433922	0,8474502	0,9789374	0,9993797	0,0261511	0,4058504	0,9619232	0,6681646	0,6513928	0,9948430	0,9757229	0,9991471	0,9063443	0,0467153	0,8776663	0,6122543	0,9674849	0,9819121	0,5847962	0,7082772	0,8580855	0,5762378	0,9972089	0,3210635	0,6610218	0,8329102	0,5511983	0,5312517	0,7224811	0,6951633	0,4933702	0,6987986	0,6654930	0,0540348	0,5275173	0,9211957	0,9997044	0,9732867	0,8049821	0,8821802	0,4471947	0,1592429	0,1578838	0,9500795	0,9996553	0,7188145	0,9982049	0,9793149	0,1416402	0,3878125	0,9318789	0,0055822	0,1445439	0,8473333	0,6660314	0,4666582	0,8957360	0,9935905	0,4991218	0,4928261	0,8391046	0,9998703	0,4995693
320	0,0044442	0,9442461	0,8498570	0,9806334	0,9996009	0,0266665	0,4118455	0,9621312	0,6694715	0,6513928	0,9960249	0,9778695	0,9992749	0,9118058	0,0453439	0,8822828	0,6136387	0,9704224	0,9837267	0,5878403	0,7083930	0,8611531	0,6046429	0,9978123	0,3588115	0,6619997	0,8350634	0,5527337	0,5322166	0,7243231	0,6963025	0,4993014	0,7255916	0,6684565	0,0540759	0,5297157	0,9222250	0,9997805	0,9739242	0,8189837	0,8822789	0,4517793	0,1593985	0,1676917	0,9514860	0,9997342	0,7338091	0,9982142	0,9814061	0,1457684	0,3882243	0,9332315	0,0044391	0,1462271	0,8561237	0,6727585	0,4558476	0,9069646	0,9950564	0,5109608	0,5106268	0,8405360	0,9998888	0,5121067
340	0,0044977	0,9449011	0,8517230	0,9818583	0,9997346	0,0271636	0,4167579	0,9622694	0,6704931	0,6513928	0,9968444	0,9794322	0,9993574	0,9160651	0,0443119	0,8857404	0,6145576	0,9724775	0,9850134	0,5902830	0,7084398	0,8632709	0,6262988	0,9981858	0,3910045	0,6626547	0,8369121	0,5537805	0,5329028	0,7256425	0,6973434	0,5038923	0,7466900	0,6707405	0,0542642	0,5312313	0,9228973	0,9998369	0,9744016	0,8292018	0,8823438	0,4552659	0,1595718	0,1758810	0,9525003	0,9997783	0,7454769	0,9982204	0,9829282	0,1490201	0,3886324	0,9342929	0,0036564	0,1477063	0,8628183	0,6779407	0,4468262	0,9155442	0,9961425	0,5202288	0,5239631	0,8415911	0,9998989	0,5220815
360	0,0045437	0,9454059	0,8531720	0,9827465	0,9998156	0,0276406	0,4207469	0,9623637	0,6712919	0,6513928	0,9974133	0,9805752	0,9994110	0,9193739	0,0435302	0,8883351	0,6151670	0,9739235	0,9859332	0,5922325	0,7084480	0,8647287	0,6425576	0,9984195	0,4173421	0,6631054	0,8384735	0,5545255	0,5333944	0,7265864	0,6983060	0,5074503	0,7632337	0,6725054	0,0545190	0,5322943	0,9233350	0,9998788	0,9747615	0,8367079	0,8823877	0,4579288	0,1597510	0,1826399	0,9532398	0,9998034	0,7545412	0,9982247	0,9840368	0,1515719	0,3890161	0,9351240	0,0031152	0,1489670	0,8679165	0,6819415	0,4393601	0,9220628	0,9969474	0,5274661	0,5339542	0,8423756	0,9999046	0,5299861
