"Time"	bolA	ompR	csgD	rstA	rcsB	rcsA	flhD	hdfR	flhC	qseB	lrhA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtE	mdtF	csgF	csgE	csgG	hdeA	hdeB	yhiD	gadA	gadB	gadC	sra	flgH	fliM	ppdA	flgM	fliT	fliF	osmB	fliK	wcaB	ygdB	gltJ	flgA	flgE	wzb	fliJ	flgG	wzc	wcaA	fliQ	fliE	fliG	recC	flgC	fliO	flgD	ygbK	fliR	fliN	yhjH	fliP	gltI	flgF
180	0,0930721	0,6611867	0,0673771	0,0348195	0,6893968	0,6680122	0,0170903	0,5486539	0,1014012	0,0461922	0,0574508	0,1127481	0,0244957	0,0103819	0,6649966	0,3386543	0,1832809	0,7001658	0,4226519	0,0805162	0,4069505	0,0340266	0,0151087	0,4820472	0,6566508	0,5079338	0,0550407	0,5686607	0,0555905	0,1815494	0,1767659	0,4021675	0,0057926	0,6538706	0,0243386	0,0048128	0,0292486	0,0959238	0,7789463	0,3750898	0,5378442	0,0708849	0,0001736	0,0267815	0,0414017	0,6310028	0,1528727	0,2142017	0,7417880	0,6195123	0,1404648	0,0110242	0,0095245	0,0040511	0,0341488	0,0111333	0,0305388	0,7572875	0,0077707	0,0173454	0,0573630	0,0805242	0,0179900	0,0367515
200	0,0696512	0,7596277	0,1065047	0,0492640	0,6554963	0,5852505	0,0234873	0,5464276	0,0328614	0,0603802	0,0316364	0,1653275	0,0406791	0,0054598	0,7037182	0,2480790	0,1520099	0,7248050	0,3230206	0,0718897	0,3905058	0,0189530	0,0192743	0,5052281	0,6669352	0,4241367	0,0830868	0,5869312	0,1234374	0,2191670	0,2096634	0,2979806	0,0014006	0,6257856	0,0129718	0,0032376	0,0143762	0,0540853	0,8173213	0,3989535	0,5261502	0,0861763	0,0004287	0,0208182	0,0337108	0,6493634	0,1788494	0,1579495	0,7171924	0,5056340	0,1160988	0,0129362	0,0230206	0,0021634	0,0344376	0,0063870	0,0875216	0,6773471	0,0091775	0,0110890	0,0504044	0,0910218	0,0311711	0,0469101
220	0,0369446	0,7618478	0,0702878	0,0416868	0,7008077	0,7012341	0,0121174	0,4265792	0,0476299	0,0528060	0,0919838	0,1754580	0,0373958	0,0051782	0,6842932	0,2242774	0,1329107	0,7942085	0,3800298	0,0831979	0,3650517	0,0132208	0,0109383	0,5786466	0,5858346	0,5006193	0,1167422	0,7331930	0,0856492	0,1533704	0,1990043	0,3763141	0,0031415	0,6622945	0,0176014	0,0034151	0,0499687	0,0445231	0,7500855	0,4474466	0,4943722	0,0667414	0,0006004	0,0278149	0,0323523	0,6990289	0,1864686	0,1858649	0,7008640	0,5227918	0,0762233	0,0197283	0,0122729	0,0081664	0,0116481	0,0011358	0,0398018	0,7365211	0,0141311	0,0185027	0,0200333	0,0535519	0,0194280	0,0365951
240	0,0273545	0,7398020	0,0552274	0,0740621	0,5807757	0,6490892	0,0039129	0,4398956	0,0704844	0,0355543	0,0589067	0,2657462	0,0034437	0,0073479	0,6574646	0,3043067	0,1257181	0,6865712	0,4229269	0,0855112	0,3790492	0,0161730	0,0184321	0,5009598	0,6263738	0,3971092	0,1243628	0,5305595	0,0954507	0,2338320	0,2682092	0,3198381	0,0133034	0,6041700	0,0153724	0,0054219	0,0323415	0,0715303	0,7338916	0,4789159	0,5208324	0,1155290	0,0004148	0,0178805	0,0152651	0,6312089	0,2844642	0,1123643	0,6091683	0,7261029	0,0883440	0,0119568	0,0079862	0,0013640	0,0330575	0,0490869	0,0510394	0,6578653	0,0096125	0,0138775	0,0402123	0,0906183	0,0301304	0,0570108
260	0,0226130	0,8151187	0,0603866	0,0232280	0,5692032	0,6311355	0,0041137	0,6070651	0,0777834	0,0499548	0,0341892	0,1777092	0,0082689	0,0113461	0,6495516	0,2386400	0,1584728	0,7778963	0,3143501	0,0815587	0,4231508	0,0410716	0,0156380	0,5360752	0,5880939	0,5896486	0,2473541	0,5656161	0,0979933	0,1550335	0,2768341	0,3583665	0,0131693	0,6097808	0,0022307	0,0084467	0,0752164	0,0464179	0,8267648	0,5459410	0,5561249	0,0784854	0,0009782	0,0336897	0,0360272	0,5447082	0,2152577	0,0917868	0,7305090	0,7044178	0,0851824	0,0200697	0,0088285	0,0049908	0,0684423	0,0049413	0,0497191	0,6618562	0,0050952	0,0144574	0,0320299	0,0854792	0,0242832	0,0512533
280	0,0402416	0,7722893	0,0453740	0,0217526	0,6175612	0,6719949	0,0125675	0,5795364	0,0836050	0,0168597	0,0856394	0,2065556	0,0062638	0,0143928	0,7836432	0,2991733	0,1567012	0,7678827	0,3117437	0,0703906	0,3225513	0,0234584	0,0162404	0,6666069	0,5537378	0,6042821	0,1756453	0,5755643	0,0976865	0,1921343	0,3517280	0,3989048	0,0118401	0,6145945	0,0126813	0,0019917	0,0364453	0,0437603	0,8073884	0,4622121	0,5095633	0,1590492	0,0010954	0,0186709	0,0604794	0,6013061	0,3415419	0,0754234	0,5649513	0,7122926	0,0734034	0,0161059	0,0102235	0,0056744	0,0166819	0,0163129	0,0799528	0,6739405	0,0034684	0,0273456	0,0486824	0,1300078	0,0327174	0,0485464
300	0,0304337	0,6754994	0,0596565	0,0391092	0,7195694	0,6933626	0,0029562	0,6401913	0,0587194	0,0617792	0,0657007	0,2686774	0,0111156	0,0094422	0,6732403	0,3553566	0,1530278	0,7133642	0,3155495	0,0629208	0,3971708	0,0425031	0,0285617	0,5165777	0,6866326	0,5935470	0,2045884	0,5282623	0,1181262	0,1528881	0,3767653	0,3803089	0,0088173	0,5537175	0,0290414	0,0066488	0,0541788	0,0530185	0,6958973	0,3346074	0,4892756	0,0578467	0,0000000	0,0206297	0,0495614	0,6947602	0,2179527	0,0586069	0,5889783	0,5515754	0,0782910	0,0093145	0,0055323	0,0032397	0,0088564	0,0264943	0,0322975	0,7843792	0,0089591	0,0199103	0,0367910	0,1252690	0,0162511	0,0975480
320	0,0290986	0,6496342	0,0592712	0,0468152	0,7000460	0,7062181	0,0009581	0,4251594	0,0630814	0,0304244	0,0446963	0,2925924	0,0026772	0,0085670	0,7165861	0,3326511	0,1854628	0,6558965	0,3352293	0,0997943	0,3433800	0,0259088	0,0052684	0,4867724	0,6962644	0,5865966	0,3057780	0,5119175	0,1045724	0,1775952	0,4552107	0,3859712	0,0149475	0,6204637	0,0190642	0,0016424	0,0576271	0,0591214	0,7935282	0,4727268	0,5323872	0,0566997	0,0000000	0,0214689	0,0393346	0,7223448	0,2213689	0,1012135	0,6112217	0,4697961	0,0210103	0,0062023	0,0107173	0,0026662	0,0173636	0,0166409	0,0514690	0,7469386	0,0069622	0,0125667	0,0653077	0,1545965	0,0169356	0,0472021
340	0,0501119	0,6136434	0,0903025	0,0198802	0,6873193	0,5548496	0,0031904	0,6050481	0,0937894	0,0270914	0,0434639	0,3280571	0,0204762	0,0055359	0,6330435	0,2183540	0,1932271	0,7495290	0,3145779	0,0833503	0,3718343	0,0335444	0,0342389	0,4633838	0,7367199	0,5131815	0,3227401	0,6644220	0,1097749	0,2172820	0,4100421	0,3561716	0,0121684	0,5838600	0,0257439	0,0016426	0,0366859	0,0548866	0,8065247	0,4011197	0,6763516	0,0876222	0,0004323	0,0302672	0,0401812	0,7039598	0,1821135	0,0339240	0,7419911	0,6536441	0,0631099	0,0150341	0,0027847	0,0034155	0,0110643	0,0238121	0,0247203	0,6947253	0,0036035	0,0287701	0,0535101	0,1296697	0,0206763	0,0431519
360	0,0361429	0,6918219	0,0689848	0,0368170	0,6979230	0,6458826	0,0020930	0,5889597	0,0387788	0,0368278	0,1071779	0,2975214	0,0041505	0,0079583	0,5439400	0,2142339	0,1900852	0,7953212	0,3072185	0,1174070	0,3326742	0,0116285	0,0146958	0,5352295	0,5564254	0,4550707	0,2366931	0,5643590	0,1466779	0,1697228	0,4981545	0,4337106	0,0056452	0,6401427	0,0091815	0,0067389	0,0194067	0,0423362	0,8313120	0,4487743	0,4702144	0,1040075	0,0000508	0,0369201	0,0210238	0,5966585	0,2876390	0,0160883	0,7199498	0,6325502	0,0392128	0,0130818	0,0049853	0,0004639	0,0040533	0,0120469	0,0831526	0,7307293	0,0048046	0,0068965	0,1033965	0,0957953	0,0413011	0,0807066
