"Time"	nadR	nadB	pnuC	nadA	pncB	crp	rhaR	rhaS	zraR	melR	feaR	malI	mtlR	prpR	ascG	marR	rbsR	chbR	nagC	fucR	chbC	chbB	chbG	chbA	chbF	nagB	prpC	fucO	fucI	fucK	rbsD	prpD	zraS	nagD	malY	rhaD	nagE	rhaA	ascF	melA	rbsB	fucP	ascB	melB	rbsK	prpB	rbsC	fucU	rhaB	malX	fucA	prpE	rbsA	nagA	nanM	nanC	rhaT	manX	mtlD	manZ	mtlA	manY	galP	marB
180	1,0587841	0,3444525	0,2793950	0,0453926	0,2905654	0,9470801	0,8137861	0,5938006	0,9361241	0,9786694	1,0230356	0,0292097	0,9718512	0,6623365	0,0899255	0,4150035	0,4266791	0,2326470	0,2809275	0,5624469	0,9751779	0,0837721	0,5752935	0,9803202	0,2533200	0,3720533	0,6358094	0,7849660	0,3509848	0,7623141	0,6662828	0,5909892	0,9007631	0,9631008	0,4095977	0,6282223	0,7722189	0,7241257	0,9288450	0,2076305	1,1214835	0,5220571	0,6660499	0,9074675	0,9860943	0,9694134	0,9678396	0,7661920	0,3251704	0,4229054	0,0416749	0,3101030	0,3829273	1,0420251	0,5080923	0,6284721	0,4112096	0,7904152	0,4529445	0,9846602	0,0815567	0,6063023	0,9859331	0,4885350
200	0,9896176	0,3607584	0,3091736	0,0466082	0,3160289	0,9460608	0,9429850	0,7009711	0,9018743	1,0150927	1,0322496	0,0267825	0,9733104	0,6326742	0,1405854	0,4865138	0,3632788	0,2585645	0,2534618	0,5244818	1,0023227	0,0939450	0,6017204	0,9820062	0,2585194	0,4068895	0,6970109	0,8318961	0,4444873	0,8036011	0,6438250	0,6594542	0,9341595	0,9672942	0,3952296	0,7336549	0,7536004	0,7215531	0,9179189	0,2554527	1,0464959	0,5753426	0,6535437	0,9447563	0,9981841	0,9500559	0,9336312	0,7997428	0,5957527	0,4104371	0,0572086	0,4139303	0,3159218	0,9276032	0,4950833	0,6728710	0,6167861	0,7668349	0,4407501	0,8800308	0,0968709	0,5192869	0,9484406	0,5721412
220	0,9319951	0,3276439	0,2901837	0,0448956	0,2942462	0,9403819	0,9399385	0,7053087	0,9596114	0,9956666	1,0237061	0,0258523	0,9754660	0,6311423	0,1271799	0,3893576	0,3397632	0,2296062	0,2471717	0,5530635	1,0433358	0,1093704	0,5814845	1,0054011	0,2599618	0,3810206	0,7153357	0,9048066	0,4648552	0,7853544	0,7000947	0,7211444	0,9769304	0,9947954	0,3538388	0,8147012	0,7595076	0,7605755	0,9281852	0,2907533	1,0338119	0,6597092	0,7030277	0,9806344	1,0602569	0,9352241	0,8774795	0,8255291	0,8046847	0,4525739	0,0510411	0,5642771	0,2679091	0,9869834	0,5200052	0,6874768	0,6739843	0,7870262	0,4921076	0,8963472	0,1374784	0,5700579	0,9578845	0,5560346
240	0,9417100	0,3105126	0,3118259	0,0384011	0,2731159	0,9658092	0,9760234	0,7562280	0,8989806	1,0469656	0,9861941	0,0197940	1,0146631	0,6907111	0,1226820	0,4545071	0,3324618	0,2309381	0,2260798	0,5315572	0,9829840	0,1175000	0,5451915	0,9821572	0,2430348	0,3826122	0,7068155	0,9206525	0,5334587	0,8405631	0,6623639	0,7717215	0,9576131	0,9553246	0,3284920	0,8058700	0,8323990	0,7320353	1,0285660	0,2740098	1,0262291	0,7290267	0,7219377	0,9435420	1,0689524	0,9597229	0,8949794	0,8952444	0,8896171	0,4811685	0,0649591	0,6248771	0,2380910	1,0178529	0,5797110	0,7384617	0,7217607	0,7919006	0,4710427	0,9783423	0,1367670	0,5726021	1,0073368	0,5223144
260	1,0281776	0,3807246	0,3158446	0,0405851	0,2865891	0,9158616	1,0137717	0,7880102	0,8412026	1,0604936	1,0171441	0,0144472	0,9982337	0,6634615	0,1073840	0,4289872	0,2877824	0,2314112	0,2467816	0,5431053	1,0203790	0,1121644	0,5943753	0,9559548	0,2435329	0,3459374	0,7496454	0,9226336	0,5946444	0,8296208	0,6464104	0,7122573	0,9996351	0,8925030	0,3079073	0,8716653	0,8434605	0,7856439	1,0119087	0,3147485	0,9809138	0,5989311	0,6212345	0,9121020	0,9671021	1,0308154	0,8752418	0,9138653	0,8486707	0,5240849	0,0809978	0,6121194	0,2268459	1,0427528	0,5688056	0,8133586	0,7679976	0,8323694	0,5094487	0,9566540	0,1662807	0,5481245	1,0103775	0,5175208
280	1,0384821	0,3368357	0,3123152	0,0353958	0,2913326	0,9398575	0,9954001	0,8323243	0,8920861	1,0956726	1,0284850	0,0137197	0,9920895	0,6040682	0,1021218	0,4301941	0,2907295	0,2149897	0,2748312	0,5307823	1,0216379	0,1061317	0,5624136	1,0051135	0,2451089	0,3457544	0,7149744	0,9976840	0,6653191	0,8950045	0,6233784	0,7199163	0,9480884	0,9549839	0,3505109	0,9200389	0,8159289	0,8363606	1,0265544	0,3301891	1,0230420	0,6100442	0,6379968	0,9690861	1,0011758	1,0032586	0,8245383	0,9488079	0,9383333	0,5673906	0,0783435	0,6450590	0,2179646	1,0136458	0,6044099	0,6672185	0,7980975	0,9003127	0,5093546	0,9596673	0,1722364	0,5671089	1,0079086	0,5497976
300	0,9927166	0,3446412	0,3223236	0,0301265	0,3010625	0,9573027	0,9777478	0,9057119	0,8538987	1,0455236	1,0328471	0,0200577	0,9915241	0,6499734	0,1321181	0,4532683	0,3139458	0,2594052	0,2576564	0,5406637	1,0176379	0,1204138	0,6636292	0,9861063	0,2287864	0,3571194	0,7737504	1,0603331	0,7220709	0,8906676	0,6106280	0,7244124	0,9369472	0,9477306	0,3337691	0,8701999	0,8216318	0,8323789	1,0230500	0,2934579	1,0423281	0,7253891	0,6150527	0,8941714	0,9550085	0,9503824	0,7781178	0,9078097	0,9807504	0,5847871	0,0677555	0,6744039	0,2292917	1,0220835	0,5993264	0,7352806	0,7972274	0,8781682	0,4987362	0,9503162	0,1588951	0,6030033	0,9529955	0,5347501
320	0,9906289	0,3315743	0,3373454	0,0257061	0,2610321	0,9779793	1,0478359	0,8617463	0,9036127	1,0287289	1,0322771	0,0343491	1,0348810	0,7006164	0,1194892	0,4422045	0,3539961	0,2974226	0,2234754	0,5604570	0,9903259	0,1238165	0,6068651	0,9689031	0,2431861	0,3461973	0,8149638	1,0622773	0,7123701	0,8879709	0,6104772	0,7568430	0,9522294	0,9531244	0,3166666	0,8272286	0,7756102	0,8538875	1,0833077	0,2833649	1,0710088	0,6747010	0,6454270	0,9097922	0,9002010	0,9717387	0,8594335	0,8883123	1,0468617	0,5679836	0,0725191	0,6635987	0,2101625	0,9797541	0,5866458	0,7369919	0,8365486	0,8565232	0,4793657	0,9926396	0,1442444	0,5167912	1,0100769	0,5450592
340	1,0180893	0,3304002	0,2998909	0,0306457	0,2477839	1,0503239	1,0480342	0,8265386	0,8958732	1,0441518	1,0159391	0,0293097	0,9558562	0,7464411	0,0982464	0,5137347	0,3698688	0,3104154	0,2149593	0,5483138	1,0701614	0,1061097	0,6149335	0,9441163	0,2368535	0,3612757	0,7923045	1,0465966	0,7102417	0,9155002	0,6258039	0,7132111	0,9236647	0,9421774	0,3228841	0,8720098	0,8052266	0,8629064	1,0403188	0,2974000	0,9762685	0,6995227	0,6707435	0,9383450	0,8983380	1,0035687	0,8745747	0,9210175	0,9876037	0,5428326	0,0771912	0,6450744	0,2424698	0,9714477	0,6390148	0,6680330	0,7397372	0,8820559	0,4380610	0,9774550	0,1342507	0,5908068	1,0207053	0,5778208
360	0,9586831	0,3020153	0,3044946	0,0378017	0,2648648	1,0130354	1,0310801	0,8415361	0,9347773	1,0456285	0,9970553	0,0249108	0,9435540	0,7466685	0,0952369	0,4635112	0,3720457	0,2768962	0,2556904	0,5664128	1,0243865	0,1349888	0,6197210	0,9134920	0,2100262	0,3664958	0,8043546	1,0624247	0,7595188	0,8787808	0,7228534	0,7350556	0,8740611	1,0252561	0,3089161	0,9137400	0,8224318	0,8936893	0,9689559	0,3181057	1,0119988	0,6741414	0,7728269	0,9459574	0,9815459	1,0196211	0,8697361	0,9275330	0,9426663	0,5502201	0,0764692	0,6706756	0,2343745	1,0316072	0,6275430	0,7231093	0,8988937	0,8701126	0,4396984	1,0096153	0,1442619	0,6094373	1,0412732	0,5789924
