"Time"	hupB	fis	mtlR	marR	marA	rob	putA	xylR	glcC	hupA	soxS	soxR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	marB	mdtE	mdtF	hdeB	yhiD	hdeA	gadA	micF	gadB	fumC	gadC	zwf	dctR	slp	inaA	nfo	ygiA	ygiC	ygiB	tolC	acrA	acrB	sodA	fpr	gadY	rfaY	poxB	rfaZ	seqA	pqiB	pgm	nemA	pqiA	xylH	hdeD	purA	xylG	xylF	mtlA	mtlD	cadB	cadA	tyrP	ptsG
180	0,1044935	0,4866213	0,3227631	0,4890226	0,6501079	0,3386254	0,3157024	0,3798148	0,3686302	0,3766627	0,0461668	0,1298550	0,4491081	0,1689263	0,4877054	0,0495551	0,4240971	0,1925122	0,0927537	0,0862230	0,0905299	0,5549205	0,3497337	0,2418882	0,3096727	0,4578958	0,6551443	0,2773659	0,1117014	0,1421356	0,4735506	0,3527902	0,1575084	0,1022789	0,2243459	0,0473059	0,2314488	0,3263039	0,7467044	0,0831492	0,5080867	0,3021410	0,6922000	0,1342863	0,0386822	0,3869114	0,3766947	0,7661068	0,2471011	0,2235277	0,6769106	0,0489519	0,5414350	0,3721242	0,7299270	0,0761238	0,1758969	0,1597071	0,4143847	0,5779899	0,3726153	0,6252297	0,2117938	0,2556160
200	0,1409316	0,4039696	0,5039561	0,4407177	0,5187711	0,4020488	0,3273451	0,5900758	0,4143100	0,2839846	0,0756333	0,1128268	0,5108136	0,2113961	0,5741386	0,0453414	0,3766899	0,1969779	0,0734798	0,0679416	0,0753849	0,6074444	0,3129215	0,2324691	0,4073863	0,4503239	0,6778457	0,2002638	0,1864323	0,1520682	0,4500843	0,2964911	0,1940026	0,1733899	0,2883263	0,0583539	0,2407866	0,3623434	0,7224374	0,0713632	0,4393358	0,3722857	0,8078222	0,1028370	0,0231338	0,3722935	0,3499621	0,6101425	0,2163296	0,3139583	0,7312740	0,0468622	0,4554140	0,2553660	0,7282569	0,0377954	0,2052368	0,1407147	0,4314471	0,5937500	0,3560649	0,6050238	0,2840592	0,2242483
220	0,0756256	0,4038335	0,4119533	0,3539702	0,5423276	0,3122489	0,3922682	0,5190779	0,3666612	0,2859247	0,0608879	0,1480996	0,5034378	0,1568008	0,4099646	0,1062282	0,3782251	0,1450701	0,0566342	0,0996778	0,1296091	0,5995606	0,3651430	0,1713613	0,4033755	0,4737514	0,7933074	0,1679934	0,1665572	0,1176445	0,3960108	0,3373532	0,1298857	0,1323957	0,2309316	0,0468185	0,2991710	0,2673400	0,7557111	0,0585173	0,4432536	0,4128914	0,7606202	0,1407294	0,0229187	0,3307559	0,3475956	0,7316415	0,2215452	0,2728911	0,5844550	0,0799629	0,4479650	0,2629688	0,6791145	0,0499355	0,2325897	0,1861848	0,5010949	0,7526708	0,3461911	0,6538569	0,3352993	0,2596556
240	0,0684987	0,4500845	0,4369315	0,4292855	0,5040917	0,2935146	0,2785097	0,5179943	0,3731781	0,2136953	0,0444981	0,0757956	0,5081265	0,1974197	0,5870016	0,0222108	0,3127957	0,1234416	0,0903134	0,0622212	0,0613886	0,7298068	0,3625607	0,2130039	0,4812725	0,3834427	0,6468033	0,1694432	0,1850151	0,1154567	0,3588093	0,3510037	0,1631909	0,1261301	0,2132275	0,0438750	0,3197464	0,3171589	0,6762950	0,0629384	0,4913529	0,3004854	0,6467965	0,1194455	0,0353027	0,3138984	0,3832259	0,8847478	0,2891440	0,2067953	0,8538819	0,0437451	0,4311182	0,2461270	0,6188327	0,0181203	0,1784569	0,1344013	0,4781322	0,6391867	0,4927424	0,7111018	0,2808456	0,2441229
260	0,1182871	0,4294151	0,3974090	0,5155185	0,4905710	0,3260425	0,3597158	0,5162585	0,2593610	0,2593939	0,0500941	0,0876434	0,4697059	0,1476550	0,4039216	0,0448327	0,3529641	0,1336283	0,0982404	0,0929825	0,0642087	0,7997767	0,3384645	0,1904333	0,3075312	0,3136583	0,7530884	0,1436906	0,1650775	0,1681365	0,3935899	0,3683088	0,1481775	0,1267112	0,2758952	0,0281979	0,2181924	0,2536697	0,7040205	0,0719400	0,5176821	0,2960164	0,6127457	0,1756816	0,0179447	0,4717243	0,4074844	0,6921279	0,2869786	0,1558677	0,7676657	0,0578692	0,5338090	0,2697203	0,7226784	0,0211257	0,1494917	0,1937835	0,4796393	0,6309164	0,3185422	0,6079619	0,3319591	0,2041977
280	0,0841642	0,2793675	0,3765096	0,4011184	0,6564878	0,3501913	0,3528235	0,5641482	0,3463673	0,2391931	0,0415027	0,1006589	0,5835807	0,2152469	0,6170835	0,0329325	0,4155706	0,1081653	0,1112468	0,1446422	0,1113151	0,6109119	0,3619249	0,2174955	0,3368966	0,3523197	0,7933195	0,1393816	0,1508424	0,1380529	0,4334355	0,4162789	0,1449992	0,1350175	0,2781423	0,0406676	0,3148389	0,2980902	0,5962263	0,0834731	0,5441880	0,2873546	0,5878094	0,1136296	0,0141110	0,4135316	0,3825996	0,6159761	0,2017204	0,2226346	0,7684366	0,0645980	0,5326577	0,3513378	0,7993794	0,0349252	0,1499718	0,1738375	0,5348867	0,7381090	0,2543531	0,6044740	0,3350216	0,2155834
300	0,0923760	0,4278843	0,3701139	0,4794160	0,4860161	0,4126174	0,3363603	0,5409709	0,3955773	0,2074267	0,0335820	0,0841788	0,5795976	0,1156387	0,5281090	0,0414749	0,3396790	0,1006621	0,0526354	0,0847277	0,1682402	0,7485385	0,3393103	0,2007660	0,3190971	0,3088164	0,8141970	0,1973192	0,1691950	0,1831340	0,3921431	0,3962507	0,2097485	0,1346918	0,2371283	0,0179479	0,2695905	0,2480900	0,7196236	0,0520236	0,5852736	0,3736123	0,7504757	0,1075364	0,0202415	0,3101040	0,3818480	0,5739082	0,2387588	0,1806233	0,7703508	0,0695631	0,5297149	0,2700862	0,6900893	0,0334710	0,1820984	0,2323307	0,3986306	0,6005464	0,3419402	0,6302981	0,3703116	0,2267307
320	0,1500598	0,4338567	0,2896079	0,4417405	0,6781980	0,4004449	0,3693346	0,5969742	0,3582206	0,2111726	0,0467884	0,0997969	0,6909511	0,1389213	0,5016819	0,0998309	0,3805339	0,0773352	0,0824674	0,0832237	0,0876979	0,6507092	0,4949084	0,3349595	0,3881247	0,3667299	0,6996732	0,1640166	0,1132426	0,1364568	0,4040146	0,3361647	0,2197168	0,1642189	0,2847717	0,0234205	0,2869285	0,2261047	0,6848988	0,0980904	0,5743718	0,2463162	0,6830399	0,0831818	0,0339476	0,3607342	0,3285388	0,7459082	0,2093809	0,1882101	0,6326493	0,0701427	0,5961419	0,3870440	0,5222807	0,0256756	0,2314772	0,2168499	0,4623890	0,7239439	0,3072358	0,6264876	0,3174053	0,2951387
340	0,1230554	0,3609716	0,3555432	0,3760672	0,5534133	0,3843480	0,2761120	0,5117858	0,3385791	0,2457736	0,0218462	0,1595753	0,5316792	0,1048517	0,4911498	0,0384814	0,4700205	0,0673004	0,0923706	0,0555891	0,0820093	0,6336892	0,3457974	0,2074488	0,3924506	0,2962858	0,6113914	0,1481170	0,1164809	0,1542151	0,4577194	0,3489034	0,1735377	0,1470324	0,2762527	0,0331428	0,3686074	0,2138629	0,7035741	0,0648135	0,6121301	0,3244188	0,6560764	0,1638894	0,0482317	0,3568360	0,3527267	0,6717589	0,2625976	0,2134999	0,6634987	0,0964876	0,5573435	0,3485615	0,5529756	0,0216917	0,2382393	0,2190148	0,3992040	0,6101089	0,3217805	0,5521696	0,3571484	0,3184266
360	0,1887955	0,4616188	0,3977210	0,3677329	0,5427422	0,3667535	0,2853428	0,5820641	0,4289096	0,1975017	0,0322231	0,1201916	0,5254836	0,1061360	0,5199941	0,0327962	0,4055174	0,0727280	0,0738783	0,0795149	0,1224541	0,5972456	0,4467014	0,1606399	0,3887606	0,2614697	0,6019480	0,1280738	0,1289373	0,1471448	0,4353634	0,3170884	0,2222625	0,1592298	0,2459872	0,0249658	0,2462103	0,1601836	0,6236459	0,0693425	0,3823351	0,3219542	0,7303683	0,1505516	0,0281332	0,4159702	0,4864854	0,6662292	0,2035534	0,2410321	0,6246745	0,0868648	0,5279606	0,3023629	0,8058345	0,0269539	0,2059420	0,1169364	0,4605758	0,6059202	0,2965588	0,5927675	0,3668776	0,2558581
