"Time"	betI	arcA	lldR	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	hdeA	yhiD	hdeB	rutF	rutE	rutA	rutG	rutD	rutB	rutC	gadC	cadA	gadB	fadL	cadB	sra	wza	wcaA	wzb	wzc	osmB	nemA	lldP	wcaB	betA	betB	lldD	rprA	bdm	betT	gadY	treB	hdeD	slp	treC	dctR	yjbE	yjbF
180	0,0066646	0,6450861	0,4329988	0,2773189	0,6990468	0,5352926	0,1888377	0,4763017	0,5424587	0,7032978	0,7011492	0,7194821	0,6490886	0,0165202	0,6051203	0,6125344	0,6820939	0,1726565	0,4721598	0,4621727	0,6315192	0,5475081	0,4317345	0,2026333	0,0094567	0,4756060	0,5776174	0,0180013	0,5332937	0,5852887	0,5660343	0,5034106	0,4244979	0,5839736	0,5733605	0,7324227	0,2268120	0,0908838	0,6433483	0,1286297	0,4947233	0,5283544	0,3581498	0,2203861	0,6168218	0,5660988	0,6065107	0,7319022	0,3660655	0,3526500	0,1301501	0,3871285	0,1962190	0,6149607	0,3490715	0,4249489	0,7168601	0,4156567	0,5827362	0,4680560	0,1538441	0,3270900	0,6546891	0,6111551
200	0,0014587	0,5971567	0,3723426	0,2410574	0,6307056	0,4646239	0,2116965	0,3717121	0,4234515	0,6403825	0,6732708	0,6984785	0,6620288	0,0118715	0,5588267	0,7558877	0,7779695	0,1711637	0,4638885	0,3695178	0,6147646	0,5140300	0,3514921	0,2044959	0,0108742	0,5168489	0,5998130	0,0494877	0,5845339	0,4757981	0,6430232	0,4226316	0,5734333	0,5893385	0,6415399	0,6121494	0,3172751	0,1587768	0,6438638	0,1616411	0,5861435	0,5790086	0,3348548	0,1980473	0,6811608	0,5314673	0,6665275	0,5810837	0,3230266	0,3788920	0,1407537	0,2879270	0,1396518	0,6934812	0,4237140	0,4709333	0,6612851	0,3445714	0,5671164	0,3281525	0,2058548	0,2985348	0,5933186	0,6684342
220	0,0006443	0,7016137	0,3397513	0,2480043	0,5950445	0,4192499	0,2126493	0,3983516	0,4666734	0,6531677	0,6255057	0,6217017	0,8281940	0,0317208	0,5978539	0,7717679	0,6994998	0,1350778	0,4518609	0,4544385	0,7167730	0,7427797	0,3065397	0,1183338	0,0140402	0,4621545	0,6531221	0,1069706	0,6164133	0,6650871	0,6221278	0,5778976	0,5321353	0,6137467	0,6487459	0,7183473	0,3182448	0,1571778	0,6222791	0,1601146	0,5527613	0,5673715	0,4396053	0,2405903	0,6262001	0,5424218	0,6482864	0,7578921	0,3671661	0,4267183	0,0947975	0,2557759	0,2456671	0,6077279	0,3485762	0,6179161	0,5179829	0,3424339	0,6761076	0,4627046	0,2016413	0,3259854	0,7641556	0,5837102
240	0,0018076	0,7809656	0,3305519	0,3286469	0,6396124	0,4320307	0,1772598	0,4558911	0,4844191	0,7005709	0,6565189	0,7490899	0,7695926	0,0206380	0,6319310	0,5656227	0,7235364	0,2323731	0,4514287	0,3745722	0,7031323	0,6206787	0,3557300	0,2457704	0,0211555	0,4477633	0,6012642	0,0463694	0,6771821	0,6302901	0,7297833	0,5505305	0,5540064	0,5549347	0,6305814	0,5500291	0,2326771	0,1178810	0,6863109	0,2402449	0,4643350	0,5162451	0,4946168	0,2744538	0,6964244	0,6526822	0,7834013	0,5581749	0,4073269	0,5210633	0,1175697	0,3038984	0,1388683	0,6467327	0,3404982	0,4997582	0,7705482	0,3924074	0,5916861	0,4791618	0,1568145	0,3143875	0,5236801	0,7157711
260	0,0002231	0,7857624	0,3644388	0,3530377	0,8031070	0,3877055	0,1772607	0,4020111	0,4663342	0,5676006	0,6678661	0,7612408	0,7337509	0,0423004	0,6234919	0,6394750	0,7782235	0,1736297	0,4355899	0,4131197	0,7368859	0,5585146	0,2674256	0,1551110	0,0240408	0,3971565	0,5408610	0,0347842	0,4565818	0,6963953	0,5678593	0,6247488	0,4814670	0,5952986	0,5578690	0,5996382	0,3265775	0,0700139	0,6826225	0,1381744	0,5540038	0,6514772	0,4899657	0,2149586	0,6110485	0,5081280	0,6848460	0,6704701	0,4321892	0,4316921	0,1473782	0,2664254	0,0890175	0,8210987	0,4213771	0,6307542	0,6237766	0,3226310	0,6322790	0,5055120	0,1467038	0,3484665	0,7082461	0,5156462
280	0,0006456	0,7003704	0,3254248	0,3411197	0,7280048	0,4456156	0,1823364	0,3446508	0,4210073	0,6939369	0,6491305	0,7415452	0,6404747	0,0247258	0,6351776	0,7419479	0,7256611	0,1863818	0,3861080	0,3177654	0,7235733	0,5671776	0,4138052	0,2081303	0,0089907	0,4931466	0,6653886	0,0376939	0,6314349	0,5862203	0,5886857	0,5354010	0,5251993	0,6151259	0,5165524	0,5808099	0,2799480	0,1542528	0,7279889	0,1631195	0,5119588	0,5906635	0,4210462	0,2150735	0,6807663	0,4950500	0,5980955	0,6330107	0,4089518	0,4516497	0,1399832	0,2192716	0,1432957	0,6911305	0,4471581	0,6523636	0,7315611	0,3945835	0,5745662	0,3748178	0,1627571	0,3392473	0,6870765	0,6427101
300	0,0000699	0,7295219	0,3748297	0,3284512	0,7515098	0,3647821	0,1688655	0,4723241	0,4645581	0,5488357	0,7389905	0,8147924	0,6863698	0,0492226	0,5738590	0,6874976	0,6435308	0,1619047	0,5248073	0,3608825	0,6642217	0,6838616	0,4143424	0,2263759	0,0145305	0,5938217	0,5216365	0,0333828	0,5800960	0,7393478	0,7125286	0,6972854	0,5900659	0,7562593	0,5914849	0,6411353	0,3100965	0,1327049	0,7597730	0,1685515	0,5665602	0,5852474	0,4802815	0,2019150	0,6319511	0,6323666	0,6024417	0,7125951	0,3929229	0,4496429	0,1392782	0,2545755	0,0980844	0,6745405	0,4372151	0,5784336	0,5600515	0,4177683	0,6686327	0,5029661	0,1781572	0,4077633	0,6950030	0,6755436
320	0,0002287	0,6976457	0,3616640	0,2131724	0,6529501	0,5312482	0,2217561	0,4347608	0,4719152	0,6524901	0,7078383	0,6829818	0,8186985	0,0191652	0,5963633	0,7726384	0,7197130	0,1996491	0,4270452	0,4252494	0,7261880	0,6732682	0,2899869	0,1836399	0,0207807	0,5406193	0,4766554	0,0146880	0,5338251	0,5665998	0,6666380	0,5901267	0,5864205	0,6893139	0,5817798	0,6745980	0,2500966	0,1515827	0,7394618	0,1420516	0,5400666	0,5588970	0,5080349	0,2675134	0,6022046	0,6633549	0,5557069	0,7060057	0,4406636	0,3832666	0,4887481	0,3102056	0,1252527	0,8365140	0,4164748	0,7301467	0,5900355	0,4370974	0,6899024	0,3632015	0,1339340	0,3361220	0,7116813	0,6507626
340	0,0001673	0,6829868	0,2439027	0,2898883	0,7336988	0,3901594	0,2681197	0,4590308	0,4264620	0,6659764	0,7056620	0,7951449	0,6085434	0,0378457	0,5483174	0,7316267	0,6572707	0,1867155	0,4523011	0,3662437	0,7575113	0,6123029	0,3111102	0,1830580	0,0226664	0,4180083	0,5855111	0,0353242	0,5909270	0,6083819	0,6198089	0,5667063	0,5171859	0,6249577	0,7122197	0,6207760	0,2729935	0,1257850	0,7041860	0,2196758	0,5758181	0,5741446	0,5365857	0,2781573	0,6461033	0,5063498	0,6712749	0,6069347	0,3998618	0,4010204	0,4647340	0,2878863	0,1540280	0,6542460	0,4853371	0,6031970	0,6961108	0,4995745	0,6032989	0,4371054	0,1933846	0,4141909	0,7778257	0,7051608
360	0,0000001	0,6938479	0,3319998	0,4363760	0,6674414	0,4145690	0,1424777	0,4003900	0,4844796	0,7027152	0,6597525	0,6486649	0,7159516	0,0063598	0,6213280	0,6246213	0,7720017	0,1871923	0,4612238	0,4993907	0,6626677	0,6231994	0,3306198	0,2507990	0,0314586	0,4740169	0,5737228	0,0147280	0,5630637	0,5745955	0,6094696	0,5754510	0,4983841	0,6104753	0,7202571	0,6849050	0,2939809	0,2036713	0,6939666	0,2033325	0,5915657	0,6250926	0,5112430	0,2978633	0,6649255	0,5003537	0,6723819	0,6923765	0,3703757	0,5183682	0,4385259	0,2893365	0,2115427	0,6910296	0,4468724	0,7026029	0,4844625	0,4325577	0,5244195	0,5751739	0,1697770	0,3450993	0,6222389	0,6809433
