"Time"	dicA	ydfD	dicB	alaS	tdh	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	rcsA	csgD	mdtE	mdtF	hdeA	hdeB	yhiD	gadA	gadB	gadC	nemA	gadY	hdeD	slp	dctR	cadA	cadB	osmC	csgG	csgF	csgE	gltD	gltB	gltF	livK	livM	iraP	asnB	yfdX	lon	lysU	ydeP	livH	sdaA	kbl	livJ	livF	malZ	gnd	adrA	ybaT	yegR	ybaS	yneN	pepD	yojI
180	0,6830975	0,2641147	0,0000000	0,2377528	0,7764829	0,3645172	0,7383079	0,2600126	0,2209215	0,4813100	0,7303103	0,7310075	0,6052918	0,7198396	0,0042367	0,1083293	0,7445796	0,1866235	0,0841912	0,3196399	0,5620839	0,6748740	0,1565566	0,4670346	0,4825854	0,1897198	0,0175062	0,2263094	0,1506035	0,4535195	0,6899824	0,8331744	0,5133924	0,3738566	0,2882559	0,7383339	0,5869434	0,3157881	0,3817363	0,6171423	0,5677012	0,6042277	0,0010650	0,7068932	0,7549550	0,6335860	0,1049066	0,2028984	0,3095919	0,5011615	0,1138209	0,4892794	0,3949602	0,0280793	0,1808889	0,7746789	0,5881842	0,2131328	0,0345923	0,5633434	0,0081255	0,8447424	0,4938105	0,4635650
200	0,6226440	0,2148070	0,0001193	0,3506657	0,7754025	0,4051620	0,5275310	0,2412109	0,2666298	0,4380205	0,7183548	0,6812444	0,6449163	0,7025720	0,0040865	0,1755342	0,7215766	0,1701837	0,0609343	0,2387966	0,6238011	0,7377677	0,2288762	0,3199513	0,4472572	0,2100027	0,0275783	0,2061989	0,1634102	0,3534000	0,6327727	0,8331456	0,3905226	0,2782175	0,2886051	0,7174745	0,3885687	0,2722561	0,3691109	0,7652830	0,6561466	0,7264982	0,0007184	0,5943765	0,5997845	0,6971674	0,1663949	0,2133161	0,3427832	0,4521202	0,1268125	0,4732206	0,5431327	0,0243253	0,1728667	0,6982932	0,6800574	0,1504967	0,0465888	0,7375726	0,0180703	0,7245586	0,4979289	0,4681064
220	0,6801382	0,3175533	0,0031051	0,3397062	0,8255046	0,3700057	0,6357386	0,2493371	0,2554747	0,5482471	0,8198400	0,7240919	0,6646758	0,6215845	0,0025869	0,0769784	0,7144701	0,2015897	0,0811700	0,2512173	0,6892859	0,6945901	0,1976992	0,3176075	0,5684436	0,2649570	0,0254477	0,2282210	0,2434705	0,4513870	0,7772772	0,7911081	0,4333477	0,3971759	0,2282884	0,6743812	0,5056817	0,2988791	0,3684803	0,6777423	0,6254475	0,6820176	0,0005600	0,5614369	0,5898774	0,5570174	0,1679836	0,1937373	0,3666018	0,5178014	0,1204251	0,7229728	0,3982830	0,0167600	0,1288555	0,6571296	0,5767284	0,1969323	0,0500646	0,6376045	0,0234102	0,6999395	0,6744275	0,4838424
240	0,6509457	0,2719230	0,0024861	0,3372516	0,6964496	0,3573734	0,5872908	0,2648762	0,2620742	0,4866474	0,7409650	0,6830511	0,6806204	0,7104065	0,0016468	0,1179652	0,7254257	0,2084431	0,0609666	0,1904300	0,6240145	0,5993627	0,2112032	0,3642920	0,5491395	0,1847330	0,0141649	0,1608621	0,2437581	0,3354832	0,7143044	0,7430178	0,4365782	0,3770498	0,2375232	0,7901697	0,4897894	0,2795400	0,3259861	0,6748950	0,5768264	0,5860014	0,0001129	0,5812503	0,6319625	0,6188491	0,1468442	0,1893134	0,4806150	0,6206721	0,1246724	0,5551039	0,3921834	0,0441771	0,1632526	0,6851654	0,6240269	0,1256560	0,0360563	0,7422496	0,0136292	0,7036107	0,7144085	0,4653382
260	0,6932368	0,1972486	0,0008110	0,3027813	0,6797577	0,4192669	0,5971363	0,2084993	0,2397709	0,3884929	0,6992565	0,6520927	0,7133715	0,7250678	0,0136774	0,0787798	0,7229461	0,2760467	0,0845381	0,2621299	0,6786040	0,7237909	0,2194478	0,2784005	0,5224482	0,2046238	0,0143343	0,1713043	0,2278708	0,3577152	0,7190119	0,6280218	0,3664678	0,3515585	0,1636382	0,8092059	0,5501458	0,2233858	0,3285366	0,8602330	0,6755812	0,5064417	0,0005262	0,5338757	0,5982081	0,5628439	0,2591186	0,1788173	0,4027744	0,6919935	0,2091729	0,6984462	0,3464460	0,0576616	0,1155651	0,7010739	0,7341633	0,1193418	0,0336294	0,7121164	0,0032399	0,6589732	0,5911317	0,4459986
280	0,7106277	0,2378494	0,0004918	0,3249806	0,6713044	0,3402307	0,5894776	0,2870304	0,2587749	0,4371720	0,6640464	0,6127004	0,6955186	0,5614842	0,0086777	0,0698295	0,7038144	0,1895178	0,0666170	0,1958587	0,6846894	0,8370226	0,2424801	0,4002962	0,5642279	0,2594695	0,0096484	0,2337081	0,1316129	0,4221327	0,6755785	0,7379636	0,3563853	0,2762216	0,1902633	0,7376065	0,4669838	0,2422885	0,3022753	0,6145906	0,7469230	0,5010742	0,0006863	0,5657547	0,8031382	0,5357637	0,2884774	0,1617692	0,4621542	0,5313164	0,1806632	0,5755422	0,4357387	0,0279855	0,1920237	0,6763189	0,6535499	0,0768331	0,0385319	0,5923856	0,0177644	0,7690278	0,5756318	0,4450267
300	0,7016793	0,3051360	0,0000013	0,2654505	0,6779138	0,3576844	0,6024746	0,2215460	0,2976602	0,4576859	0,7094910	0,6366170	0,6363380	0,7086192	0,0140980	0,0730187	0,7066480	0,2235504	0,0533403	0,1444382	0,8277206	0,7181962	0,2428056	0,3235658	0,4547394	0,2034714	0,0173752	0,2557051	0,2134234	0,3961154	0,7944316	0,7189264	0,3995511	0,3869127	0,2891720	0,7960901	0,5176481	0,2426284	0,3417046	0,5804705	0,7601958	0,4696160	0,0000000	0,6029984	0,7066199	0,4076568	0,3006121	0,1874184	0,4656319	0,6762858	0,1439021	0,5338346	0,3477630	0,0194036	0,1324578	0,7152044	0,6929125	0,1278759	0,0414335	0,7133333	0,0249020	0,6764641	0,7292756	0,4083263
320	0,8176360	0,3014079	0,0000064	0,3221576	0,7107031	0,4169260	0,6584280	0,2139997	0,2565892	0,3969579	0,7356388	0,6121852	0,6460644	0,6528522	0,0052447	0,1038889	0,7735807	0,1606968	0,0705292	0,1952963	0,5381299	0,7089801	0,1490869	0,3428846	0,5922379	0,1780880	0,0254717	0,2496874	0,2632347	0,3492438	0,6528846	0,6649445	0,4047141	0,2792279	0,1939462	0,8019255	0,4127326	0,2331201	0,4361755	0,7684425	0,8461248	0,6645566	0,0007425	0,6183477	0,6884254	0,5710139	0,3155313	0,2114048	0,3646724	0,7525877	0,2378116	0,6141033	0,2384077	0,0728008	0,1664163	0,7169072	0,6999947	0,1337343	0,0556163	0,7023275	0,0040877	0,6252355	0,6310999	0,4480416
340	0,7945840	0,2412333	0,0001416	0,3137438	0,8029447	0,3036114	0,6786707	0,2247225	0,2618002	0,4820548	0,6922388	0,7357485	0,7580898	0,7498130	0,0080069	0,0647123	0,7204831	0,1669696	0,0936685	0,2926495	0,6971052	0,8136248	0,2489164	0,3787578	0,5299317	0,2551388	0,0181142	0,1286560	0,2157255	0,3771585	0,7166612	0,7213637	0,4972386	0,3520097	0,2705656	0,7345648	0,3740461	0,2485190	0,3228602	0,7526498	0,7453915	0,5512606	0,0001272	0,5716419	0,7601681	0,5431297	0,2928343	0,1519488	0,4429870	0,6698851	0,1789135	0,5016377	0,4197686	0,0330506	0,2090357	0,8472881	0,6512905	0,1278557	0,0446791	0,7448235	0,0058051	0,7295959	0,6722614	0,4212801
360	0,7257842	0,3467687	0,0000076	0,3472568	0,6991723	0,3699672	0,7287950	0,1653815	0,2824381	0,4109306	0,7101545	0,7158493	0,8337012	0,7091194	0,0059883	0,0978477	0,6924084	0,2257899	0,1231222	0,1710744	0,6517256	0,6947007	0,2292383	0,3867150	0,5121170	0,3037806	0,0125437	0,2136645	0,3017833	0,2401864	0,7035974	0,5946741	0,4779618	0,3045333	0,1709600	0,8558350	0,4003099	0,2146964	0,4421674	0,6935330	0,8765817	0,5954670	0,0006416	0,6669155	0,6934594	0,6063849	0,2831634	0,2387234	0,3668504	0,7281128	0,2028105	0,5529015	0,3740601	0,0538155	0,1104981	0,7055289	0,6660726	0,0931676	0,0476275	0,6673645	0,0081803	0,6785409	0,6859576	0,3716034
