"Time"	glrR	glmY	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	rstA	rcsB	rcsA	fhlA	hyfR	gadE	ydeO	evgA	csgE	csgG	csgF	sra	yjbE	yjbF	yjbG	yjbH	tdcB	tdcC	mdtF	tdcF	tdcE	mdtE	tdcD	tdcG	ompF	osmB	wzb	rprA	wzc	wcaB	wza	wcaA	bdm	hyfA	sgbE	yiaO	yiaK	hyfI	hyfJ	ftsZ	focB	hyfG	yiaL	yiaN	hyfE	hyfB	sgbU	ftsA	hyfD	hyfC	lyxK	sgbH
180	0,5560002	0,0969788	0,4097683	0,3949865	0,0192448	0,7649719	0,3903548	0,8292974	0,4708628	0,2427617	0,3916570	0,6175976	0,3093614	0,6005887	0,3289342	0,7173787	0,6249234	0,5810778	0,5488628	0,7403342	0,3975673	0,2934993	0,2169134	0,0587630	0,5439643	0,6291788	0,7754817	0,8416535	0,6133331	0,5241414	0,8302953	0,6751037	0,5427450	0,5476444	0,6546776	0,4240802	0,1708438	0,1563625	0,3073900	0,6733971	0,4648864	0,7101223	0,4224149	0,1581846	0,6559874	0,6267806	0,7441997	0,2479588	0,2398016	0,7026549	0,6818919	0,5577001	0,6667086	0,7151417	0,1917203	0,5083457	0,6388300	0,6798956	0,2520566	0,7289703	0,4909519	0,8430312	0,5570052	0,5231911
200	0,5707259	0,0901735	0,4174331	0,3098974	0,0171339	0,7737104	0,4375996	0,7767339	0,4829341	0,2017238	0,4188285	0,7762803	0,3746358	0,6032440	0,3388324	0,7009863	0,5943971	0,7946318	0,5273281	0,7058835	0,4373941	0,3208104	0,3014941	0,0605896	0,6314455	0,7219617	0,5834622	0,7426627	0,5604355	0,5413642	0,7421266	0,7206884	0,5106146	0,5210662	0,6044899	0,3883132	0,1897049	0,1680304	0,3514932	0,6792176	0,4676954	0,8836435	0,3869230	0,1717046	0,6076744	0,6709834	0,6751924	0,3028726	0,3087881	0,7273815	0,6203257	0,5049008	0,4841623	0,7448683	0,2303842	0,5162544	0,6005905	0,6626354	0,3179587	0,6797348	0,4823827	0,7271674	0,4089077	0,5904765
220	0,5256202	0,1315442	0,4506649	0,3452902	0,0287185	0,8232592	0,5117098	0,6779168	0,3995509	0,1777943	0,3323288	0,7441529	0,3063189	0,5042669	0,3283377	0,6747428	0,6662966	0,7662183	0,5479576	0,6147426	0,3658722	0,2945622	0,2991077	0,0650526	0,5956060	0,7280691	0,7628755	0,7027379	0,5813804	0,5254572	0,7489737	0,6394575	0,4770913	0,4800983	0,7366190	0,4181306	0,2569975	0,1412996	0,3522166	0,6074467	0,3736245	0,5310061	0,4819470	0,1541116	0,6499746	0,6960578	0,6711560	0,2663693	0,2521140	0,7210759	0,5712388	0,6007868	0,4921877	0,5609063	0,1994426	0,5130883	0,5856152	0,6129844	0,2983128	0,6639399	0,4957703	0,7089222	0,5384731	0,5773888
240	0,4691930	0,1130585	0,4688917	0,3949749	0,0246240	0,7313947	0,3694212	0,5975164	0,5447377	0,1513456	0,3798134	0,6133376	0,3081257	0,6266060	0,3197561	0,6520174	0,5554364	0,5677087	0,4067209	0,7481532	0,4920636	0,4133336	0,2755754	0,0522529	0,5532396	0,6731306	0,6613469	0,6807123	0,5446510	0,4013074	0,9433937	0,6291986	0,5321596	0,6026372	0,5786176	0,4249949	0,1844878	0,1328005	0,2349324	0,8353240	0,3902481	0,6127441	0,4327026	0,1503800	0,6798236	0,5658428	0,6610688	0,2135757	0,3071566	0,7517651	0,5704979	0,4820418	0,4795142	0,6159053	0,2110971	0,5855781	0,6568659	0,7080267	0,2653286	0,7329343	0,5228598	0,6545576	0,4846267	0,5692723
260	0,5691464	0,1111547	0,3947494	0,3758206	0,0049002	0,7795245	0,3941369	0,6662583	0,4324972	0,2068067	0,3372114	0,6296462	0,3875992	0,5547058	0,3114692	0,5712530	0,6821684	0,6273627	0,5476111	0,7617285	0,4407521	0,4278678	0,3230084	0,0549911	0,5474736	0,6494401	0,7518065	0,5862781	0,5753633	0,5260888	0,7513194	0,7210558	0,5600490	0,4658968	0,7262002	0,4133904	0,1726427	0,1120711	0,3329514	0,6232003	0,4477788	0,6353575	0,3835147	0,1157187	0,7795544	0,8231884	0,6051194	0,2867784	0,2462577	0,8479663	0,5281789	0,4308364	0,5333708	0,8090780	0,2273641	0,5175477	0,6115384	0,6694006	0,1893194	0,6735152	0,4707144	0,6967209	0,4287991	0,6638845
280	0,6254620	0,1220352	0,3632626	0,3779312	0,0052551	0,7353377	0,3395099	0,6580156	0,4426627	0,1791872	0,3671544	0,6372680	0,4050475	0,6702973	0,2473135	0,7907753	0,5386670	0,6687187	0,6028443	0,6768906	0,5173210	0,4227516	0,3199052	0,0492448	0,6032882	0,6854317	0,7854993	0,6998703	0,5970005	0,4221178	0,7585701	0,7592772	0,4168625	0,5574681	0,7527025	0,4231883	0,2985245	0,0996573	0,3111105	0,6746552	0,4609176	0,8159072	0,3495260	0,1037379	0,6409673	0,7070949	0,6336882	0,2596130	0,2148581	0,7850189	0,6120503	0,4688535	0,4870567	0,6467713	0,1880765	0,5092707	0,7546257	0,7396059	0,3137465	0,8080599	0,5264833	0,7826337	0,4818433	0,6473380
300	0,5679053	0,1651019	0,4972744	0,3496064	0,0038509	0,6799569	0,3179396	0,6955598	0,4397028	0,1982000	0,4033478	0,6431494	0,3426106	0,5364432	0,2202245	0,7290625	0,5672738	0,6531455	0,5657608	0,6031678	0,5310868	0,4223216	0,3338127	0,0883038	0,5162320	0,7049477	0,7284680	0,8467364	0,5970270	0,4524937	0,8051118	0,6496178	0,4871528	0,5999676	0,5977902	0,5126779	0,2628666	0,1239723	0,2857625	0,7167936	0,4617703	0,8341926	0,3447260	0,1050385	0,7592878	0,6624350	0,5533442	0,4325420	0,2378225	0,7577275	0,5648395	0,4801522	0,5066836	0,7069910	0,2130616	0,6806382	0,5560515	0,6859306	0,2652640	0,6233065	0,4993839	0,5150434	0,4587432	0,6741501
320	0,5602474	0,1741738	0,4508613	0,2793777	0,0010412	0,6480598	0,3743608	0,6754038	0,5220748	0,1926984	0,3488101	0,6181157	0,3118102	0,5227277	0,2788339	0,7211847	0,5087369	0,6488581	0,5258284	0,6785464	0,5127765	0,4156555	0,2850118	0,0683401	0,6266623	0,8264870	0,7951176	0,6803346	0,5959938	0,4306271	0,7959592	0,6374041	0,5626611	0,6103725	0,6758430	0,4180446	0,1990894	0,0798370	0,2813306	0,7803730	0,4534454	0,7000130	0,3302523	0,1373292	0,6522314	0,8218031	0,6832778	0,3499719	0,2081045	0,7980075	0,5058319	0,4157367	0,4917549	0,6674136	0,1604982	0,6885452	0,5217306	0,7407481	0,2686545	0,6012586	0,4996332	0,6404322	0,3707021	0,7539522
340	0,5760700	0,1264442	0,4525771	0,3183939	0,0002404	0,6661210	0,3977613	0,7068504	0,4626510	0,1677228	0,4061877	0,7174854	0,3501874	0,5774096	0,2327609	0,7562286	0,6164620	0,6960278	0,5703436	0,6897213	0,4961054	0,5152392	0,3114468	0,0507601	0,4757685	0,8059578	0,7204196	0,6031427	0,6476661	0,4816369	0,7569517	0,6908115	0,4556669	0,5688103	0,5625117	0,4411010	0,2532504	0,1302300	0,2605834	0,7484973	0,4519783	0,7557043	0,3625394	0,0992752	0,6676263	0,6156739	0,6448701	0,2927190	0,2188623	0,7060390	0,5447737	0,4254101	0,4859151	0,8385216	0,1820780	0,5864227	0,5505747	0,7448582	0,2415395	0,7325911	0,4510225	0,5662311	0,4800846	0,6562810
360	0,4819374	0,1131633	0,3949197	0,3086977	0,0013475	0,7476700	0,3771514	0,6244483	0,4337489	0,2383682	0,4285815	0,6787387	0,3351475	0,5795003	0,2522470	0,7832259	0,5254331	0,7652692	0,4607255	0,6111542	0,5700844	0,4411056	0,3407743	0,0348227	0,5968311	0,8183391	0,5925282	0,8792599	0,5501828	0,3105861	0,7542839	0,8120488	0,4520109	0,5901128	0,7007463	0,4702262	0,2904424	0,1225225	0,3707817	0,6666609	0,5276479	0,6230818	0,3818317	0,1100184	0,6862138	0,7644035	0,6058727	0,2750781	0,2497787	0,7845971	0,6202007	0,3707468	0,4151047	0,6067633	0,2552275	0,5887179	0,5813572	0,6826579	0,2620388	0,8007060	0,4039408	0,6004993	0,3833641	0,5864443
380	0,5276691	0,1719816	0,4055416	0,3378883	0,0079891	0,7465087	0,5283806	0,5750552	0,3861932	0,1340426	0,4346310	0,8273185	0,2994352	0,5750133	0,3332181	0,8155536	0,5584496	0,6970997	0,6009876	0,6835303	0,5306460	0,4166496	0,4218563	0,0347484	0,6255664	0,8446261	0,7016362	0,7918129	0,4672352	0,4711642	0,9157108	0,8459996	0,4963237	0,4713700	0,6319666	0,4113841	0,3176240	0,1674369	0,3003226	0,6626679	0,4058185	0,6367185	0,4068155	0,0684459	0,6623562	0,6902212	0,6421309	0,3112699	0,2654966	0,7510618	0,5785056	0,3479458	0,4085932	0,7005027	0,2005619	0,6248426	0,6382476	0,7051054	0,2313370	0,6122981	0,6185683	0,5578066	0,3908982	0,7974351
400	0,5523216	0,1969899	0,4052118	0,3177770	0,0023230	0,8106981	0,4189664	0,7396433	0,3991968	0,1161209	0,4086988	0,6303766	0,2584043	0,3666046	0,2969801	0,7358594	0,5850284	0,7305491	0,5241097	0,6115654	0,4923973	0,4227172	0,5058395	0,0300231	0,5426876	0,8773037	0,6686636	0,6891211	0,5108551	0,3885810	0,7413580	0,7367303	0,4931656	0,7621786	0,6673897	0,4232256	0,2542586	0,1419018	0,3470140	0,6512882	0,5045243	0,6664659	0,2866081	0,0821236	0,7125155	0,6118119	0,6373855	0,2652978	0,2214758	0,7621650	0,6553756	0,4340699	0,5122942	0,7249328	0,1689897	0,6577456	0,5709659	0,6383675	0,2341432	0,6034080	0,4110140	0,6573719	0,4724362	0,6368164
420	0,4696369	0,1447129	0,4280077	0,3553135	0,0000000	0,8045965	0,4053455	0,5587646	0,5095036	0,1372699	0,4088753	0,6314690	0,2901623	0,4730124	0,2234754	0,8103012	0,7098056	0,6807880	0,5279644	0,6347927	0,5049670	0,3844289	0,4944364	0,0266358	0,6564086	0,7326342	0,7948665	0,6366202	0,5821924	0,3497718	0,6883381	0,8186755	0,5642763	0,5848688	0,8223925	0,4309710	0,2326220	0,0872753	0,3584510	0,7212366	0,3615728	0,6283453	0,3248772	0,0613643	0,6887411	0,5524719	0,6987766	0,3651177	0,2324127	0,6941729	0,6169657	0,5559134	0,4081035	0,7389999	0,2122895	0,6737495	0,5863223	0,8082555	0,2467968	0,6377309	0,4756785	0,6153970	0,5014581	0,5547959
440	0,4287797	0,1757339	0,3941004	0,3529708	0,0002350	0,7313450	0,4537184	0,8580486	0,5319403	0,1124014	0,4833582	0,6433516	0,3237289	0,5512552	0,2563503	0,7665688	0,5970445	0,6690510	0,4451017	0,7525036	0,4081093	0,4074809	0,5282559	0,0519007	0,6550425	0,6875624	0,7443376	0,6820060	0,8519136	0,5600029	0,7381663	0,7511801	0,4728553	0,5406947	0,7731269	0,3885770	0,2725428	0,1007386	0,2996944	0,6167625	0,4604662	0,6157598	0,3969492	0,0720635	0,6531282	0,5885304	0,6348255	0,2974141	0,2860000	0,6733489	0,6644153	0,4085283	0,4669019	0,8077746	0,2065939	0,5973531	0,6609192	0,6520040	0,2605723	0,6067861	0,4931336	0,5756452	0,4217486	0,5068527
460	0,5638958	0,1850645	0,3426091	0,3505501	0,0003102	0,6586945	0,4683178	0,6644953	0,5404167	0,1683462	0,4090929	0,8052895	0,2156521	0,4904347	0,2236752	0,6638167	0,4889792	0,7131036	0,6885395	0,7920868	0,4205743	0,4037617	0,5515358	0,0549712	0,7367793	0,8742747	0,6811981	0,6522103	0,4839697	0,4319003	0,7428384	0,7554211	0,5746263	0,5571866	0,6584283	0,5269765	0,2773967	0,0617641	0,3225096	0,6583125	0,4006721	0,5784334	0,3272474	0,0473892	0,5717410	0,7630742	0,7974144	0,2901174	0,2818388	0,8145194	0,6012511	0,4060267	0,4753697	0,6760512	0,1563534	0,5141352	0,5686467	0,7693857	0,2323534	0,7340895	0,4050663	0,7596347	0,4385835	0,5400326
480	0,3945871	0,1683315	0,4221133	0,2548725	0,0001108	0,7593062	0,3140040	0,8464972	0,4029769	0,1608106	0,4742139	0,6165879	0,2810792	0,5374252	0,2746961	0,6851721	0,5012567	0,7827578	0,6797180	0,8320981	0,4975704	0,4518787	0,4697189	0,0676387	0,6064642	0,7763353	0,6101288	0,6441080	0,6672613	0,4257854	0,7479394	0,8228573	0,5811242	0,5725432	0,6755883	0,4314998	0,3132268	0,0923784	0,2613298	0,6652731	0,4211574	0,4884532	0,3135557	0,0521128	0,6736134	0,6456485	0,8153891	0,3295743	0,2615883	0,7442178	0,6059479	0,5633241	0,4864009	0,5985986	0,2034539	0,5819657	0,5952440	0,7773997	0,2084744	0,7581727	0,4379719	0,8691219	0,3424355	0,7042356
