"Time"	glrR	glmY	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	rstA	rcsB	rcsA	fhlA	hyfR	gadE	ydeO	evgA	csgE	csgG	csgF	sra	yjbE	yjbF	yjbG	yjbH	tdcB	tdcC	mdtF	tdcF	tdcE	mdtE	tdcD	tdcG	ompF	osmB	wzb	rprA	wzc	wcaB	wza	wcaA	bdm	hyfA	sgbE	yiaO	yiaK	hyfI	hyfJ	ftsZ	focB	hyfG	yiaL	yiaN	hyfE	hyfB	sgbU	ftsA	hyfD	hyfC	lyxK	sgbH
180	0,7584860	0,1736340	0,6677860	0,5416445	0,0302883	0,9798269	0,6199610	0,9951503	0,6459221	0,2376318	0,5655309	0,9194121	0,4285820	0,8032819	0,4257542	0,9436059	0,9056579	0,9976105	0,7962909	0,9964784	0,6186492	0,5883304	0,3931498	0,1139546	0,8639940	0,9637324	1,0427787	1,0113926	0,9155206	0,6412586	1,0358156	0,9968632	0,8045922	0,8503834	0,9451626	0,6009574	0,2915041	0,1749905	0,4129500	1,0482039	0,6496930	0,9701244	0,6321407	0,1549079	0,9598441	0,8906731	0,8565537	0,3628887	0,3900555	0,9867311	0,7865136	0,7452175	0,7896116	0,9516781	0,2767054	0,8354350	0,8609274	0,9891339	0,3131507	1,0726648	0,7364586	1,0791148	0,5842012	0,8595378
200	0,7890665	0,1815122	0,6272512	0,5611134	0,0163886	0,9510926	0,6167844	0,9811387	0,6698932	0,2388099	0,5425450	0,9617479	0,4325884	0,7901052	0,3863720	0,9833421	0,8717682	0,9695152	0,8028618	0,9738360	0,6292139	0,5913813	0,4213194	0,1071112	0,8355190	1,0074076	1,0069247	1,0556968	0,8616414	0,6353479	1,0369496	1,0030960	0,7777264	0,8767523	0,9386447	0,6988710	0,2980399	0,1788861	0,4010298	1,0037703	0,6269201	1,0087352	0,6167265	0,1804311	0,9529939	0,9653412	0,9106313	0,3968794	0,3987069	0,9830156	0,7923321	0,7089084	0,7226502	0,9934846	0,3439811	0,8145233	0,9244582	0,9163061	0,3239517	0,9884273	0,7744278	1,0484794	0,6019109	0,8302747
220	0,7602964	0,1807289	0,5541905	0,4986094	0,0151930	1,0143575	0,5634671	0,9894501	0,7286351	0,2490536	0,5564967	0,9098191	0,4498613	0,8471993	0,3886059	1,0247001	0,8520166	0,9450492	0,8075924	0,9593443	0,6491188	0,6209189	0,4263862	0,0923740	0,8325182	0,9901449	1,0019021	0,9747361	0,8467895	0,6495026	1,0103655	1,0031246	0,7979846	0,8935665	0,9827447	0,6854420	0,3314977	0,1729293	0,4082066	1,0177731	0,7538682	0,9457110	0,5475741	0,1906385	1,0023607	0,9546318	0,9321478	0,3952909	0,3699391	0,9799722	0,7424137	0,6567254	0,7056217	1,0366030	0,3098745	0,8241208	0,8538955	0,8792342	0,3296788	0,9984321	0,7215279	1,0049970	0,5745297	0,8751395
240	0,7526827	0,1951948	0,5829658	0,4751311	0,0045624	1,0736629	0,5491230	1,0185262	0,6798706	0,2409182	0,5797540	0,8690786	0,4641746	0,8151745	0,4098097	1,0670601	0,8148441	0,9078240	0,7926591	0,9007790	0,7344986	0,6597897	0,4355812	0,1103159	0,7711504	1,0106970	1,0096677	0,9973896	0,8459152	0,6089991	1,0275385	1,0006260	0,7909434	0,8996062	1,0077261	0,6390493	0,3620851	0,1562930	0,4174598	0,9661327	0,6646324	0,9271169	0,5452780	0,1454086	1,0446570	1,0325587	0,9024241	0,3885589	0,3401857	1,0236370	0,8002502	0,7021800	0,7504381	0,9810411	0,2611398	0,8050109	0,9111983	0,8989440	0,3207389	1,0156349	0,7797165	1,0318723	0,6238439	0,9340175
260	0,7170270	0,2206764	0,6041163	0,5534032	0,0019939	1,0275879	0,5130328	0,9381531	0,6649354	0,2788344	0,5476577	0,8539310	0,4330904	0,8357298	0,3876197	0,9681692	0,8208919	0,9508372	0,8243000	1,0021176	0,7159113	0,6731138	0,4755288	0,1021364	0,7401650	1,0277894	0,9973607	1,0574006	0,8387394	0,6534219	1,0290645	1,0109475	0,7289955	0,9223336	0,8837789	0,6994003	0,3451908	0,1713219	0,3716140	0,9627894	0,6580486	0,9620660	0,5750303	0,1410087	0,9729257	1,0416320	0,8174556	0,4229762	0,3193119	1,0251405	0,8335720	0,6504233	0,7895213	0,9869212	0,2482117	0,7500086	0,8669163	0,8566415	0,3226273	0,9955855	0,7141446	0,9756188	0,5773713	0,8547539
280	0,6702387	0,2122529	0,5975467	0,5814192	0,0000000	1,0115002	0,5414856	0,9667555	0,6930570	0,2802135	0,5272658	0,8793567	0,4712473	0,7749095	0,3781807	0,9764906	0,8420812	0,9323607	0,8189580	0,9923790	0,6752160	0,6259309	0,4487548	0,0924951	0,8132883	1,1349688	0,9908156	1,0824521	0,8387790	0,6611875	0,9715584	0,9806616	0,7416592	0,8411002	0,8918223	0,5694433	0,3254098	0,1609880	0,3686349	0,9260883	0,6171347	0,9652395	0,5779729	0,1762564	0,8893418	1,0651434	0,8800135	0,4049490	0,3344839	1,0302576	0,7724766	0,6601301	0,7772585	0,9941133	0,2708079	0,8122422	0,9363714	0,9148222	0,3335868	1,0119986	0,6687223	0,9564261	0,6220772	0,9086853
300	0,7587470	0,2200108	0,6430375	0,5192668	0,0013668	1,0309839	0,5130374	0,9959591	0,6694195	0,2507286	0,5215576	0,8572575	0,4545746	0,7563101	0,4008337	0,9362211	0,8745456	0,9947785	0,8026098	0,9299419	0,6876742	0,6508453	0,4969020	0,0857913	0,8202343	1,1521189	1,0047245	0,9982562	0,8312003	0,6631975	0,9329909	0,9120911	0,7802410	0,8027561	0,8547126	0,5363623	0,2970555	0,1573932	0,4357481	0,9484391	0,7331949	0,9697216	0,5293788	0,1524007	0,9438811	1,0527483	0,8901620	0,4457153	0,3888437	1,0120493	0,7851119	0,6570969	0,6548113	1,0271010	0,2627329	0,7602177	0,9468649	0,9673246	0,3728072	0,9653805	0,6138641	0,9602977	0,5730836	0,9038394
320	0,7780864	0,2148480	0,6183700	0,5101765	0,0021398	0,9972584	0,5697546	1,0233730	0,6098074	0,2378164	0,5477198	0,9109722	0,4357817	0,7753175	0,4437260	0,9186160	0,8831662	1,0488996	0,7590501	0,9584537	0,6781276	0,6391104	0,5472810	0,0771707	0,8225994	1,0440859	1,0447492	1,0378311	0,8019410	0,6532061	0,8922099	1,0158768	0,7974827	0,7319415	0,9283862	0,5680230	0,3060870	0,1413719	0,4468458	0,9997818	0,6539713	0,8601733	0,5024155	0,1153049	0,9774656	0,9599937	0,9675828	0,4730781	0,3290749	1,0310436	0,8018631	0,6001835	0,5917408	1,0695228	0,2650931	0,7716305	0,8995036	0,9199746	0,3878066	0,9264604	0,5586667	0,8934175	0,5646602	0,8514736
340	0,6932845	0,2000105	0,6423255	0,4682036	0,0031849	0,9513737	0,5557319	0,9844085	0,5928846	0,2317789	0,5818512	0,8923772	0,4326053	0,7164219	0,4031749	0,9381465	0,8817558	1,0556154	0,7811399	0,9747405	0,6782113	0,6239378	0,6271404	0,0710295	0,8209272	1,0881218	1,0077848	1,0231442	0,7616013	0,6407403	0,9221943	1,0246477	0,7925442	0,7381367	0,9618653	0,5329727	0,3378974	0,1119179	0,4399223	1,0092801	0,6720493	0,8605315	0,5075637	0,0993526	0,9731971	0,9401084	0,9899038	0,4718496	0,3612706	1,0925099	0,7385931	0,6434130	0,6498906	1,0181761	0,2972612	0,8169045	0,8941821	0,9007156	0,3831642	0,9326145	0,6216012	0,8608380	0,5959676	0,8253969
360	0,7361128	0,1982352	0,6547491	0,4626649	0,0028941	1,0046467	0,5479881	1,0058272	0,6217477	0,2750063	0,6673328	0,8714912	0,4026714	0,7176335	0,3867535	0,9010701	0,8664377	1,0865033	0,7784886	0,9477543	0,6936188	0,5838014	0,6270508	0,0730881	0,7733236	1,0794088	0,9536866	1,0614436	0,7977928	0,5789224	0,9730624	1,0587645	0,7701194	0,8074344	0,8883357	0,6210545	0,3682755	0,1107434	0,4428300	1,0245374	0,5842354	0,8231887	0,4918042	0,0927654	0,9832147	0,9684732	0,9911938	0,4013446	0,3686555	1,0520258	0,8232248	0,6683638	0,7315962	0,9727207	0,2601278	0,8835674	0,8767904	0,8678129	0,4026577	0,9074421	0,6356511	0,9261019	0,5952890	0,8475473
