"Time"	hns	cspA	bolA	bglJ	leuO	cadC	stpA	nhaR	gutM	srlR	appY	caiF	gadW	gadX	rutR	nemR	gadE	rcsA	ydeO	evgA	mdtF	mdtE	cadA	cadB	bglG	bglB	bglF	yhiD	hdeA	hdeB	gadA	hdeD	gutQ	srlD	srlB	srlE	srlA	gadB	osmC	gadC	nhaA	fliC	gadY	yjjQ	nemA	dctR	slp	yjjP	ampC	pgaC	gmr	yegR	proW	leuA	leuL	hchA	ybaS	leuC	cspD	mukE	evgS	yciE	gnd	proV
180	0,2858343	1,0000000	0,0519949	0,9110905	0,0210753	0,9051881	0,7339539	0,2241548	0,4806854	0,5933857	0,6284372	0,9451442	0,8934092	0,0025733	0,4666904	0,1300026	0,5676973	0,6538672	0,0177185	0,1155464	0,9064811	0,3978579	0,9928686	0,2802128	0,4757213	0,2356061	0,1838119	0,7016424	0,7803256	0,9354404	0,3330627	0,4414483	0,5569168	0,0985466	0,2172534	0,8237057	0,6152515	0,0103852	0,4219509	0,0023038	0,9725399	0,1040142	0,5547550	0,1269067	0,3012961	0,3566974	0,8690952	0,9002514	0,9870189	0,2830543	0,6295379	0,7344453	0,6871027	0,0040875	0,6290296	0,1404508	0,1348632	0,1160923	0,6191553	0,2067683	0,0882860	0,6753608	0,2138923	0,6788046
200	0,2872830	1,0000000	0,0506909	0,9098244	0,0210753	0,9303045	0,7338870	0,2215659	0,5167250	0,5939367	0,6255653	0,9447255	0,8894924	0,0026695	0,4667636	0,1303785	0,5839473	0,6416643	0,0177185	0,1155465	0,9146289	0,3997051	0,9943745	0,3199376	0,4753302	0,2350739	0,1838163	0,7161032	0,8033419	0,9454377	0,3484536	0,4522784	0,5656910	0,0985504	0,2200245	0,8422421	0,6289192	0,0110304	0,4046801	0,0023116	0,9708831	0,1193775	0,5545503	0,0947772	0,3091612	0,3560221	0,8690896	0,8995026	0,9888918	0,2722762	0,6367473	0,7344463	0,6737474	0,0040875	0,6522069	0,1371099	0,1348632	0,1163057	0,6453515	0,2082409	0,0882862	0,6733925	0,2396000	0,6760104
220	0,2886204	1,0000000	0,0497493	0,9082683	0,0210753	0,9482183	0,7338175	0,2194145	0,5458938	0,5944194	0,6224351	0,9442523	0,8858349	0,0027435	0,4667797	0,1305470	0,5957962	0,6324819	0,0177185	0,1155466	0,9202290	0,4006793	0,9952964	0,3519166	0,4748905	0,2344514	0,1838233	0,7279470	0,8214868	0,9529340	0,3601118	0,4609278	0,5741802	0,0985521	0,2221262	0,8567050	0,6401432	0,0116060	0,3902930	0,0023299	0,9692832	0,1336024	0,5541039	0,0708627	0,3143520	0,3548343	0,8689857	0,8986522	0,9903467	0,2630942	0,6416975	0,7344472	0,6633708	0,0040875	0,6693252	0,1348455	0,1348632	0,1164159	0,6659962	0,2100275	0,0882864	0,6710599	0,2618417	0,6738288
240	0,2898095	1,0000000	0,0490461	0,9064767	0,0210753	0,9608852	0,7337502	0,2176254	0,5688842	0,5948496	0,6192236	0,9437502	0,8826212	0,0028010	0,4667777	0,1306088	0,6043585	0,6255798	0,0177185	0,1155467	0,9240381	0,4009999	0,9958507	0,3767655	0,4744269	0,2337689	0,1838327	0,7374192	0,8354546	0,9585278	0,3688031	0,4676367	0,5820439	0,0985527	0,2237058	0,8677969	0,6497057	0,0121113	0,3783623	0,0023562	0,9677758	0,1463230	0,5534766	0,0532225	0,3177114	0,3533025	0,8687955	0,8977464	0,9914577	0,2553666	0,6450710	0,7344479	0,6553363	0,0040875	0,6818543	0,1332440	0,1348633	0,1164725	0,6821514	0,2120584	0,0882866	0,6684687	0,2805138	0,6720806
260	0,2908383	1,0000000	0,0485040	0,9045193	0,0210753	0,9697790	0,7336883	0,2161363	0,5866351	0,5952352	0,6160824	0,9432440	0,8799042	0,0028465	0,4667733	0,1306247	0,6104997	0,6203877	0,0177185	0,1155468	0,9266101	0,4008640	0,9961766	0,3955540	0,4739623	0,2330581	0,1838444	0,7448493	0,8460128	0,9626850	0,3752054	0,4727202	0,5890872	0,0985525	0,2248841	0,8761978	0,6579781	0,0125489	0,3685041	0,0023880	0,9663837	0,1573798	0,5527376	0,0403075	0,3198606	0,3515956	0,8685386	0,8968297	0,9922961	0,2489129	0,6473604	0,7344485	0,6491232	0,0040875	0,6909556	0,1320606	0,1348633	0,1165015	0,6947254	0,2142496	0,0882867	0,6657366	0,2958089	0,6706479
280	0,2917108	1,0000000	0,0480750	0,9024708	0,0210753	0,9759873	0,7336337	0,2148954	0,6001221	0,5955795	0,6131244	0,9427542	0,8776604	0,0028830	0,4667705	0,1306246	0,6148766	0,6164738	0,0177186	0,1155469	0,9283379	0,4004360	0,9963623	0,4094555	0,4735157	0,2323482	0,1838576	0,7505838	0,8538817	0,9657639	0,3798779	0,4764976	0,5952328	0,0985521	0,2257563	0,8825042	0,6651249	0,0129230	0,3603794	0,0024224	0,9651188	0,1667674	0,5519511	0,0309113	0,3212273	0,3498550	0,8682372	0,8959399	0,9929246	0,2435471	0,6489100	0,7344490	0,6443162	0,0040875	0,6975251	0,1311522	0,1348633	0,1165163	0,7044721	0,2165149	0,0882869	0,6629756	0,3080854	0,6694545
300	0,2924407	1,0000000	0,0477291	0,9004019	0,0210753	0,9803003	0,7335870	0,2138608	0,6102413	0,5958843	0,6104220	0,9422960	0,8758306	0,0029125	0,4667692	0,1306208	0,6179795	0,6135147	0,0177186	0,1155469	0,9294943	0,3998441	0,9964631	0,4195603	0,4731004	0,2316630	0,1838719	0,7549485	0,8596807	0,9680370	0,3832633	0,4792576	0,6004861	0,0985514	0,2263959	0,8872098	0,6712314	0,0132392	0,3536951	0,0024572	0,9639847	0,1745844	0,5511684	0,0241117	0,3220940	0,3481831	0,8679126	0,8951049	0,9933942	0,2390962	0,6499568	0,7344494	0,6405909	0,0040875	0,7022414	0,1304344	0,1348634	0,1165238	0,7120039	0,2187761	0,0882870	0,6602809	0,3177720	0,6684501
320	0,2930455	1,0000000	0,0474467	0,8983736	0,0210753	0,9832848	0,7335480	0,2129980	0,6177592	0,5961509	0,6080121	0,9418788	0,8743454	0,0029366	0,4667688	0,1306174	0,6201690	0,6112698	0,0177186	0,1155470	0,9302662	0,3991812	0,9965133	0,4267958	0,4727244	0,2310198	0,1838865	0,7582302	0,8639158	0,9697105	0,3857016	0,4812434	0,6049046	0,0985506	0,2268597	0,8907077	0,6763690	0,0135037	0,3482014	0,0024909	0,9629791	0,1809900	0,5504259	0,0192139	0,3226433	0,3466440	0,8675827	0,8943428	0,9937452	0,2354078	0,6506628	0,7344498	0,6376963	0,0040875	0,7056114	0,1298562	0,1348634	0,1165276	0,7178108	0,2209680	0,0882871	0,6577259	0,3253045	0,6676009
340	0,2935437	1,0000000	0,0472148	0,8964341	0,0210753	0,9853433	0,7335158	0,2122787	0,6233018	0,5963813	0,6059038	0,9415073	0,8731390	0,0029562	0,4667688	0,1306151	0,6217077	0,6095602	0,0177186	0,1155470	0,9307805	0,3985102	0,9965338	0,4319083	0,4723914	0,2304299	0,1839008	0,7606705	0,8669854	0,9709392	0,3874492	0,4826515	0,6085739	0,0985499	0,2271912	0,8933028	0,6806199	0,0137229	0,3436880	0,0025222	0,9620958	0,1861710	0,5497458	0,0157001	0,3229912	0,3452701	0,8672612	0,8936626	0,9940084	0,2323520	0,6511382	0,7344501	0,6354401	0,0040875	0,7080097	0,1293851	0,1348634	0,1165296	0,7222806	0,2230416	0,0882871	0,6553607	0,3310890	0,6668822
360	0,2939524	1,0000000	0,0470238	0,8946182	0,0210753	0,9867592	0,7334894	0,2116793	0,6273639	0,5965783	0,6040871	0,9411822	0,8721550	0,0029724	0,4667688	0,1306138	0,6227853	0,6082531	0,0177186	0,1155470	0,9311227	0,3978700	0,9965376	0,4354767	0,4721015	0,2298991	0,1839145	0,7624665	0,8691962	0,9718389	0,3886964	0,4836355	0,6115910	0,0985492	0,2274244	0,8952274	0,6840810	0,0139032	0,3399799	0,0025505	0,9613258	0,1903183	0,5491389	0,0131880	0,3232117	0,3440707	0,8669579	0,8930665	0,9942068	0,2298197	0,6514580	0,7344503	0,6336752	0,0040875	0,7097102	0,1289991	0,1348634	0,1165306	0,7257174	0,2249631	0,0882872	0,6532147	0,3354829	0,6662750
