"Time"	hns	cspA	bolA	bglJ	leuO	cadC	stpA	nhaR	gutM	srlR	appY	caiF	gadW	gadX	rutR	nemR	gadE	rcsA	ydeO	evgA	mdtF	mdtE	cadA	cadB	bglG	bglB	bglF	yhiD	hdeA	hdeB	gadA	hdeD	gutQ	srlD	srlB	srlE	srlA	gadB	osmC	gadC	nhaA	fliC	gadY	yjjQ	nemA	dctR	slp	yjjP	ampC	pgaC	gmr	yegR	proW	leuA	leuL	hchA	ybaS	leuC	cspD	mukE	evgS	yciE	gnd	proV
180	0,3369902	1,0211008	0,0383753	0,9293899	0,0167586	0,9901335	0,7400249	0,2105387	0,4799955	0,6640100	0,6681098	1,0028304	0,8446422	0,0102694	0,5260258	0,1171608	0,6178061	0,6310334	0,0273051	0,1091581	0,8642422	0,3951396	0,9221498	0,3316839	0,4220081	0,3356446	0,2241655	0,7664364	0,8267065	1,0322181	0,3553361	0,4911378	0,5697846	0,1051696	0,1959725	0,8680284	0,6914931	0,0122841	0,3379600	0,0103101	1,0276767	0,1168378	0,5174788	0,0593723	0,2600402	0,3158106	0,8491476	0,9256018	0,9937705	0,1500471	0,5961268	0,7808146	0,6202429	0,0077112	0,7233012	0,1621784	0,1277206	0,1264864	0,6828295	0,2831117	0,1326646	0,7349617	0,2621420	0,6972063
200	0,2797202	1,0781965	0,0471488	0,9172910	0,0233116	1,0371366	0,7571264	0,1836977	0,5272187	0,6135311	0,7906950	1,0124162	0,7872042	0,0045849	0,4413990	0,0997886	0,6167151	0,6104861	0,0239548	0,1192913	0,8823373	0,3941521	0,9044749	0,4199088	0,4988403	0,3527485	0,2128720	0,7371377	0,8825302	1,0236729	0,3288536	0,5055137	0,5579493	0,0919948	0,1732600	0,8851043	0,6291789	0,0108428	0,3517307	0,0108206	1,0702173	0,1233935	0,5594884	0,0393123	0,2888794	0,3133522	0,8325878	0,9162134	0,9694548	0,1916925	0,5618421	0,8020785	0,5736135	0,0083770	0,6957069	0,1500734	0,1343688	0,1567206	0,6759574	0,2190022	0,1038432	0,7337043	0,2617422	0,7077319
220	0,3148997	1,0752464	0,0386026	0,9444226	0,0217729	1,0187108	0,7848134	0,2044383	0,5284960	0,5926211	0,8494224	1,0248541	0,7499858	0,0026462	0,4415260	0,1088357	0,5999370	0,5646605	0,0208887	0,1176438	0,9126672	0,4268464	0,9542570	0,3833824	0,4906367	0,3298953	0,1923316	0,7846343	0,9035510	0,9627254	0,3743754	0,5591413	0,5150642	0,1060475	0,1739956	0,8530439	0,6256137	0,0130772	0,3524337	0,0081711	1,0142800	0,1047938	0,5296655	0,0380441	0,3479832	0,2943483	0,8962731	0,9423354	0,9342415	0,2687988	0,6340277	0,7382382	0,5624844	0,0053979	0,7032186	0,1486642	0,1258364	0,1536311	0,6900325	0,1806923	0,0800953	0,6983761	0,2515133	0,6446771
240	0,3588300	1,0740882	0,0446840	0,9415463	0,0207769	0,9529313	0,8243343	0,2088476	0,5153740	0,5746178	0,7658362	1,0150703	0,7739481	0,0027367	0,4961453	0,1294316	0,6411402	0,5485964	0,0204751	0,1113886	0,9225773	0,3619037	0,9670560	0,3881070	0,4729639	0,2846024	0,2081678	0,7406662	0,9186064	1,0035640	0,3554296	0,5483656	0,5351276	0,1001966	0,1919332	0,8770811	0,7017685	0,0231255	0,4058864	0,0069318	0,9762783	0,0932770	0,5658869	0,0282395	0,3265816	0,3036236	0,8576852	0,8899427	0,9911784	0,2610226	0,6640655	0,6877101	0,5946876	0,0030407	0,7229374	0,1568211	0,0985265	0,1385916	0,7030166	0,1656785	0,0632696	0,7741758	0,2738011	0,6063192
260	0,3302179	1,0911061	0,0548382	0,9616629	0,0175055	0,9304897	0,7358094	0,1899727	0,5991060	0,6138375	0,7231083	1,0351751	0,7339010	0,0065514	0,5175703	0,1088285	0,6176373	0,5398654	0,0203951	0,1078737	0,9264856	0,3394864	0,9551843	0,3874937	0,4938208	0,2919384	0,2186614	0,7761764	0,8877083	1,0125120	0,3973559	0,5520406	0,5129145	0,1190686	0,1793346	0,9006477	0,6697251	0,0228536	0,3904458	0,0058345	0,9839626	0,0864466	0,5381422	0,0253400	0,3523293	0,3286957	0,8353702	0,8872930	1,0070319	0,2180909	0,6450808	0,7148756	0,5907238	0,0048194	0,6672502	0,1570883	0,1060834	0,1234067	0,6980052	0,1626088	0,0684846	0,7602307	0,2722348	0,6204020
280	0,3082395	1,0393303	0,0398648	0,9816974	0,0166097	0,9255487	0,7904566	0,1974114	0,5904021	0,6151863	0,6130077	0,9057791	0,7930021	0,0104446	0,4683664	0,0920007	0,6820566	0,5811461	0,0200798	0,1163941	0,8715028	0,3805135	0,9138227	0,3918439	0,4920497	0,2587476	0,1992158	0,7500043	0,8320627	0,9944182	0,3816902	0,5291437	0,5112143	0,0866855	0,1826885	0,8059068	0,6942465	0,0089042	0,3580645	0,0079606	0,9305789	0,1372613	0,5161587	0,0154525	0,3513063	0,3423461	0,8513196	0,8841810	1,0382642	0,2224390	0,5932533	0,7218543	0,6191231	0,0050564	0,7058002	0,1518562	0,1324888	0,1209244	0,7179573	0,1938904	0,0854125	0,8284879	0,2757996	0,6515939
300	0,2641397	0,9732215	0,0595166	0,9669846	0,0212904	0,8965073	0,7945089	0,1951817	0,6421174	0,6023673	0,7284227	0,9007655	0,8524790	0,0057429	0,5152696	0,0985264	0,6602351	0,6191784	0,0170096	0,1034782	0,8785842	0,3529341	0,8960878	0,4695755	0,4398902	0,2552384	0,1709565	0,7386696	0,8662437	0,9469984	0,3480308	0,5374177	0,5019433	0,0781880	0,1887146	0,8257367	0,6530314	0,0161601	0,3730858	0,0065104	0,9002737	0,1173134	0,4755987	0,0074745	0,2947982	0,2706974	0,8319930	0,8579118	0,9953045	0,2527735	0,6064313	0,6776257	0,6045020	0,0075835	0,7648110	0,1433309	0,1409391	0,1183364	0,6918891	0,1738078	0,0835637	0,8054366	0,3407400	0,7220398
320	0,2819266	1,0457837	0,0640273	0,9343807	0,0276740	0,8804186	0,7648993	0,1934132	0,6036922	0,5418802	0,6988949	0,9647779	0,8976309	0,0051845	0,4944147	0,0884339	0,6355243	0,6477709	0,0176592	0,1014554	0,9533075	0,3523693	0,9740098	0,4689091	0,4356264	0,2375453	0,1585196	0,7486521	0,8814081	0,9165386	0,3450807	0,5207539	0,5500488	0,1093647	0,2058493	0,8436414	0,6701487	0,0142708	0,3770730	0,0059858	0,9041487	0,1066201	0,5191604	0,0059038	0,3024572	0,3286598	0,8673283	0,9059888	1,0324295	0,1877619	0,5958587	0,6119728	0,5942288	0,0083402	0,7495542	0,1473791	0,1216180	0,1229542	0,6800632	0,1729504	0,0697752	0,7563671	0,3525337	0,7001126
340	0,2639242	1,0502754	0,0516213	0,9130444	0,0222042	0,9392611	0,7465243	0,2055163	0,6236595	0,5491690	0,6530190	0,9381090	0,8602778	0,0045568	0,4704470	0,0888003	0,6600753	0,5832582	0,0061916	0,1302910	0,9636649	0,3354128	0,9260473	0,4591021	0,4536522	0,2260722	0,1484533	0,7820692	0,8449392	0,9660850	0,3614225	0,4715423	0,5121511	0,1093988	0,2186564	0,8542410	0,6689793	0,0128685	0,3312160	0,0029908	0,8953255	0,1447700	0,5654226	0,0041206	0,3456531	0,3659959	0,7828815	0,9638278	1,0576012	0,1132490	0,6244001	0,6617315	0,6220728	0,0082284	0,7290618	0,1258490	0,1216796	0,1078424	0,7203370	0,1644522	0,0521226	0,7247889	0,3617488	0,6865914
360	0,2755111	1,0994891	0,0347736	0,9718032	0,0243997	0,9448784	0,7491747	0,2240692	0,6930159	0,5681299	0,7779168	0,9639248	0,8118587	0,0011973	0,4819665	0,1214071	0,6312175	0,5755909	0,0077102	0,1191263	0,9625402	0,4069499	0,9023895	0,4703342	0,4270325	0,2007902	0,1774311	0,7875859	0,8795551	0,9203644	0,4217176	0,5004177	0,5011397	0,0735729	0,2104461	0,8703910	0,6466414	0,0236469	0,3005629	0,0000001	0,8901555	0,1192556	0,5343312	0,0038622	0,3807465	0,3262471	0,8245045	0,9130564	1,0242597	0,1365690	0,6402286	0,6985846	0,6471978	0,0061495	0,7728110	0,1439314	0,1263053	0,0863856	0,7734526	0,1618965	0,0721167	0,7722718	0,3242572	0,6259632
380	0,3012791	1,0956484	0,0335623	0,9299005	0,0122744	0,9487563	0,6817126	0,2243687	0,6583827	0,6429415	0,5988954	0,9238476	0,8912876	0,0019312	0,4947776	0,1302643	0,6060374	0,6228536	0,0082855	0,1204413	0,8865353	0,3851021	0,9212066	0,4571374	0,4773116	0,2131433	0,1872055	0,7773617	0,8301233	0,9892626	0,3695269	0,4626800	0,5438168	0,1035967	0,1809045	0,8879145	0,6841149	0,0290618	0,2891843	0,0039122	0,9175774	0,1697793	0,5543277	0,0057016	0,3687618	0,3077134	0,8543836	0,9088817	1,0219512	0,1234587	0,5873181	0,7250774	0,6341812	0,0082934	0,7539947	0,1407037	0,1263548	0,1017013	0,7946470	0,1685887	0,0899068	0,6865587	0,3721049	0,6324673
400	0,3295814	1,0477656	0,0406949	0,9212134	0,0107889	0,9203332	0,6738326	0,1962030	0,6721817	0,6710796	0,6256663	0,9510609	0,9730846	0,0029145	0,4844823	0,1223697	0,6028734	0,5793935	0,0054321	0,1297483	0,8690338	0,3985612	0,9588244	0,4164170	0,4586042	0,1959944	0,1839498	0,7723988	0,8273614	1,0091889	0,3799349	0,4561974	0,5472973	0,1188052	0,2166399	0,8227599	0,7519585	0,0316977	0,3079876	0,0018923	0,9767394	0,1970035	0,4990021	0,0065552	0,3021402	0,3092842	0,8922284	0,8608699	1,0492879	0,1249073	0,5296072	0,6463258	0,5678413	0,0032337	0,7437236	0,1246657	0,1192473	0,0675070	0,8092137	0,1758755	0,0859157	0,6879824	0,3485643	0,6489725
420	0,3343571	1,0413673	0,0370532	0,9385891	0,0225261	0,9148439	0,6693873	0,1706486	0,6180413	0,6172390	0,5745162	0,9715364	0,9727680	0,0012636	0,4452075	0,1094371	0,6180371	0,5542487	0,0045073	0,1378377	0,8493488	0,3658845	1,0289645	0,4261721	0,5225603	0,2121366	0,1758186	0,7714729	0,7861738	0,9914611	0,3714380	0,4175703	0,6202127	0,1347005	0,2376870	0,8551100	0,7128083	0,0257359	0,2907561	0,0027336	0,9781146	0,1891047	0,5217865	0,0076270	0,2997112	0,3098741	0,9334261	0,8475997	0,9608999	0,1253227	0,5640839	0,6589368	0,6166076	0,0021459	0,7379564	0,1204213	0,1282328	0,0853782	0,7582691	0,1896959	0,0803960	0,7035868	0,3667577	0,6639288
440	0,3134757	0,9700615	0,0377234	0,9521942	0,0218206	0,9735790	0,8101609	0,2090371	0,5915784	0,6152783	0,5736676	0,9250576	0,9187528	0,0036310	0,4646728	0,1010645	0,6022181	0,5728531	0,0142866	0,1419376	0,8742098	0,3936564	0,9930559	0,3929988	0,4861937	0,2197003	0,1650852	0,7673029	0,8675436	1,0262536	0,3986601	0,4089127	0,6973774	0,1461079	0,2512177	0,8633607	0,7540583	0,0196745	0,2903491	0,0012886	0,9343097	0,1831700	0,5229952	0,0061032	0,2968947	0,3096670	0,9721317	0,9405457	0,9335773	0,1239695	0,5681411	0,6934124	0,5727455	0,0023588	0,7560554	0,1085673	0,1270518	0,0984971	0,7711109	0,1793828	0,0901998	0,6264822	0,3730391	0,6377012
