"Time"	hns	cspA	bolA	bglJ	leuO	cadC	stpA	nhaR	gutM	srlR	appY	caiF	gadW	gadX	rutR	nemR	gadE	rcsA	ydeO	evgA	mdtF	mdtE	cadA	cadB	bglG	bglB	bglF	yhiD	hdeA	hdeB	gadA	hdeD	gutQ	srlD	srlB	srlE	srlA	gadB	osmC	gadC	nhaA	fliC	gadY	yjjQ	nemA	dctR	slp	yjjP	ampC	pgaC	gmr	yegR	proW	leuA	leuL	hchA	ybaS	leuC	cspD	mukE	evgS	yciE	gnd	proV
180	0,2507083	0,9473564	0,0439915	0,8327028	0,0233352	0,9931727	0,6320473	0,1973986	0,4181442	0,6088691	0,6286460	0,9900149	0,8404447	0,0060788	0,5214304	0,1234033	0,5415709	0,6678708	0,0497011	0,1163235	0,7922057	0,3826477	0,9645199	0,2912215	0,5024622	0,2620238	0,2108203	0,7874841	0,8054308	0,8381375	0,4004519	0,4699097	0,6491889	0,0861555	0,1830356	0,8196286	0,6256975	0,0191913	0,3835686	0,0153916	1,0878433	0,1700922	0,4642677	0,1717988	0,2563972	0,2857257	0,9527269	0,8931943	0,9423379	0,2392865	0,6374969	0,7591307	0,7189928	0,0117877	0,6663568	0,1508121	0,1145616	0,1605984	0,6909562	0,3258431	0,1324471	0,6823938	0,2365410	0,5984428
200	0,2502075	1,0318319	0,0461004	0,8821345	0,0211998	0,9890216	0,6742953	0,2390975	0,4047899	0,6416330	0,6235646	0,9290269	0,8895614	0,0040975	0,5418835	0,1002545	0,5673673	0,6272770	0,0366187	0,1161958	0,8579109	0,3563575	0,9152771	0,3302647	0,5529623	0,3122873	0,1965732	0,7477137	0,7872163	0,8785707	0,3655836	0,4780564	0,5927615	0,0954070	0,1914255	0,8949863	0,6647232	0,0175060	0,3673346	0,0185392	1,0312715	0,1410387	0,4954131	0,1195339	0,2789171	0,3089464	0,9558378	0,8993211	0,9593027	0,2281208	0,6261259	0,7801797	0,6522789	0,0091574	0,6295355	0,1570659	0,1321663	0,1635533	0,7124394	0,2727474	0,1214976	0,6828966	0,2287628	0,6923759
220	0,2369009	1,0386087	0,0427894	0,9272932	0,0262600	1,0055173	0,6913541	0,2334063	0,4547078	0,6514364	0,6936201	0,9594399	0,8245327	0,0060961	0,4515970	0,1098554	0,5598141	0,6763447	0,0289391	0,1078658	0,8927392	0,3923806	0,8797989	0,4007403	0,5648581	0,2900537	0,1796007	0,6908367	0,8381657	0,9418194	0,3878390	0,5264511	0,5668462	0,0805243	0,1699816	0,8215439	0,6227988	0,0221234	0,3785000	0,0109084	1,0321800	0,1269234	0,5431701	0,0998373	0,2822796	0,3026779	0,9184027	0,9154090	1,0129713	0,2291866	0,5936223	0,7646207	0,6752869	0,0059206	0,6666870	0,1526852	0,1605024	0,1537824	0,6993932	0,2674113	0,1112257	0,6969090	0,2580050	0,6429205
240	0,2509750	0,9994174	0,0447305	0,8927813	0,0221759	1,0059714	0,6534829	0,2341539	0,4410087	0,6307252	0,7497129	0,9994387	0,7848152	0,0067044	0,4883489	0,1117431	0,6153695	0,7391926	0,0188273	0,1191767	0,9066826	0,3400057	0,8865116	0,3214153	0,5425551	0,2865504	0,2121238	0,7161593	0,9555622	0,9793723	0,3415084	0,5185840	0,5214238	0,0831003	0,1841674	0,8127447	0,6179736	0,0153427	0,3637029	0,0096257	1,0320964	0,0988346	0,5567764	0,0713147	0,3027559	0,2998580	0,9667690	0,8357079	0,9882120	0,2392959	0,6216019	0,7894978	0,6848382	0,0058365	0,6801490	0,1472654	0,1557160	0,1571582	0,7392046	0,2272408	0,0902200	0,7578971	0,2428103	0,6311651
260	0,2437517	1,0179313	0,0641362	0,9105306	0,0203472	1,0296812	0,7389264	0,2038149	0,5077237	0,5842823	0,7151078	0,9459274	0,8147880	0,0067496	0,4712590	0,1267419	0,6333328	0,7237674	0,0171094	0,0918954	0,8915109	0,3554530	0,9370905	0,3484743	0,4973081	0,3022667	0,2348489	0,8130580	0,9539606	0,9916203	0,3307950	0,5705394	0,5279900	0,1170794	0,1500922	0,8392599	0,6064227	0,0211473	0,3806063	0,0124146	0,9800025	0,0753859	0,5414353	0,0432656	0,3009352	0,3180176	0,9105412	0,8106603	1,0276389	0,2699222	0,6276396	0,7144816	0,6951721	0,0095951	0,6786693	0,1377598	0,1285826	0,1518639	0,7096421	0,2196744	0,0745694	0,7332468	0,2410074	0,5792239
280	0,2705504	1,0445220	0,0544778	0,8893143	0,0189169	1,0054446	0,8267462	0,2257024	0,5101659	0,5421934	0,6678852	0,9627137	0,7750362	0,0051055	0,5132488	0,1376075	0,6413267	0,6840329	0,0242671	0,0868906	0,9452610	0,3341646	0,9352896	0,3303359	0,4417559	0,2948024	0,1778675	0,7884146	0,9067707	1,0053793	0,3448937	0,5284025	0,5063156	0,1166459	0,1894765	0,7843057	0,5935009	0,0081015	0,3775012	0,0094632	0,9643441	0,0961045	0,5676230	0,0307772	0,3188643	0,3516364	0,8639681	0,8631440	1,0274802	0,2742098	0,6221959	0,7080054	0,6558772	0,0107916	0,6783409	0,1327199	0,1348185	0,1575166	0,7742096	0,2325718	0,0699935	0,7329822	0,2525847	0,5862358
300	0,2459329	1,0802195	0,0493164	0,9700216	0,0167498	0,9336689	0,8188733	0,1902997	0,5892431	0,5717586	0,6600667	0,9075506	0,7287821	0,0016509	0,5407247	0,1346135	0,6299600	0,6233399	0,0168796	0,0934439	0,8707242	0,3517715	0,9621451	0,4120411	0,4093507	0,2810278	0,1868801	0,8467485	0,8727581	1,0238652	0,3642120	0,5730711	0,4354689	0,0889043	0,1940997	0,7666287	0,6206811	0,0184846	0,3745662	0,0099632	0,9610976	0,1168009	0,5597341	0,0264321	0,3201460	0,3420573	0,8650003	0,8984411	1,0421401	0,2669962	0,5686778	0,7276765	0,7021626	0,0116355	0,6643286	0,1156446	0,1144007	0,1665350	0,7211487	0,2222023	0,0700693	0,8142982	0,2309483	0,6432375
320	0,2666512	1,0594112	0,0538991	0,9873435	0,0216015	0,9747423	0,8497562	0,1746630	0,5575120	0,5924250	0,7226814	0,8971831	0,7890271	0,0019618	0,5317776	0,1003042	0,6549771	0,6171797	0,0151656	0,0922330	0,8469194	0,3303747	0,9098737	0,4227328	0,3645499	0,2455296	0,1623212	0,7638924	0,8907193	0,9644167	0,3503073	0,5237432	0,4465799	0,0950671	0,2161362	0,7844248	0,6329179	0,0068864	0,4183775	0,0053408	0,9959847	0,1249749	0,5513852	0,0200491	0,3424075	0,3130312	0,8991036	0,8811794	1,0088683	0,2431022	0,6100177	0,6747458	0,6859107	0,0168196	0,7338877	0,1169493	0,0989356	0,1438360	0,6670183	0,2064492	0,0843064	0,7741207	0,2993694	0,7163572
340	0,2620408	1,0184183	0,0843495	1,0399302	0,0099952	0,9835146	0,8468172	0,1682313	0,5641130	0,5594461	0,6855142	0,9072238	0,8247089	0,0066983	0,5077463	0,1002001	0,6363309	0,5584313	0,0143672	0,1334392	0,8628228	0,3158153	0,9607585	0,4263274	0,4228804	0,2406471	0,1509129	0,7620828	0,8575935	0,9410270	0,3660525	0,5119166	0,5565149	0,0837282	0,2207548	0,8476073	0,6496586	0,0126757	0,4045233	0,0062041	0,9073144	0,1305432	0,5148916	0,0145750	0,3001404	0,3197351	0,8466906	0,9135211	1,0788585	0,1832848	0,6413506	0,6058869	0,7099702	0,0136076	0,7068239	0,1410903	0,0919743	0,1474999	0,6581120	0,1659575	0,0947967	0,7145142	0,3036105	0,7308310
360	0,2546813	1,0219309	0,0838661	0,9498049	0,0117882	0,9461538	0,7461679	0,1712417	0,6132734	0,5828665	0,6524426	0,9235261	0,8580278	0,0032628	0,4669689	0,0934821	0,6374553	0,5646582	0,0129071	0,1287509	0,9717741	0,3518967	0,9689907	0,4562440	0,4220767	0,2199930	0,1651445	0,7785182	0,8839914	0,9425482	0,3860429	0,4961000	0,5480244	0,0915481	0,2020010	0,9336883	0,6024423	0,0123886	0,3714441	0,0052392	0,9409042	0,1580533	0,5241224	0,0063621	0,3292941	0,3427320	0,8581097	0,9347865	1,0410795	0,1694622	0,6434429	0,6987331	0,7650089	0,0129684	0,6636748	0,1334561	0,1176771	0,0975784	0,7159266	0,1712595	0,0861726	0,6729154	0,2854550	0,7021380
