"Time"	hupB	fis	mtlR	marR	marA	rob	putA	xylR	glcC	hupA	soxS	soxR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	marB	mdtE	mdtF	hdeB	yhiD	hdeA	gadA	micF	gadB	fumC	gadC	zwf	dctR	slp	inaA	nfo	ygiA	ygiC	ygiB	tolC	acrA	acrB	sodA	fpr	gadY	rfaY	poxB	rfaZ	seqA	pqiB	pgm	nemA	pqiA	xylH	hdeD	purA	xylG	xylF	mtlA	mtlD	cadB	cadA	tyrP	ptsG
180	0,1690967	0,5768146	0,4716357	0,7209552	0,7688139	0,5347529	0,5088218	0,7546727	0,4749792	0,4138470	0,0798010	0,1557642	0,7169315	0,2469337	0,7310341	0,1443281	0,5686490	0,4054520	0,0974107	0,1166230	0,2135548	0,8713584	0,5067870	0,3809510	0,4928872	0,6997707	0,9795644	0,3476402	0,1517945	0,2724222	0,5138331	0,4665477	0,3189593	0,2358915	0,3416716	0,0479703	0,4388609	0,6127170	0,9557023	0,1436455	0,7262622	0,4644071	0,9753440	0,2277463	0,0508693	0,5640635	0,5365236	0,9985382	0,3821522	0,5334520	0,9259552	0,0996085	0,7789549	0,2966475	1,0140725	0,1517130	0,2810744	0,2126135	0,5874243	1,0450725	0,5715458	0,9094591	0,4569793	0,3659246
200	0,2013212	0,5526055	0,4744315	0,6982793	0,8116158	0,5130786	0,4761210	0,7388554	0,4668855	0,3989120	0,0581489	0,1703565	0,7803453	0,2588809	0,7720565	0,1136392	0,5628787	0,3823118	0,1071854	0,1212169	0,1797681	0,8162229	0,5026598	0,3614785	0,5120686	0,6336433	1,0012505	0,3087923	0,1967722	0,2941520	0,5127600	0,4555334	0,3113622	0,2261831	0,3821170	0,0468884	0,4308522	0,5749362	0,9568070	0,1287736	0,7035675	0,4762873	1,0324962	0,1995249	0,0649244	0,5255914	0,5146333	0,9515787	0,3459944	0,4728919	0,9655744	0,0762251	0,7245132	0,2963992	1,0211976	0,1185354	0,2579313	0,2228364	0,6074453	0,9621489	0,5223100	0,9582817	0,4322963	0,3756881
220	0,1854705	0,5725311	0,5409931	0,6549655	0,7674521	0,5293622	0,4511008	0,7179941	0,5111031	0,3733371	0,0813181	0,1611852	0,7702344	0,2630209	0,7701054	0,1105045	0,6061412	0,3439193	0,1042725	0,1256588	0,1491478	0,8130295	0,5048633	0,3149887	0,4811878	0,6450803	1,0109744	0,2736680	0,2298336	0,2924248	0,5170619	0,4583990	0,2794641	0,2129983	0,3344224	0,0456701	0,4280705	0,5809872	0,9139780	0,1205510	0,7452599	0,4382181	0,9981483	0,1921192	0,0483030	0,5768673	0,5300733	0,8718765	0,3553098	0,4222193	0,9779753	0,0926322	0,7157087	0,2740090	1,0225510	0,1303573	0,2761374	0,2375133	0,6923168	0,9180329	0,6235835	0,9304813	0,4326474	0,3979344
240	0,1741864	0,6244915	0,5360276	0,5908848	0,7477679	0,4981745	0,4618282	0,7981856	0,5877812	0,3526517	0,0620230	0,1892549	0,7898319	0,2683080	0,7305905	0,0907874	0,5545494	0,3050453	0,0808687	0,1520264	0,1493590	0,8825436	0,4654933	0,2762908	0,5007420	0,6172282	1,1161955	0,2695635	0,2224805	0,2621977	0,5465632	0,4393591	0,2671850	0,2097689	0,3752741	0,0259421	0,4355499	0,5280205	0,8043889	0,1067585	0,7150927	0,3948730	1,0365880	0,2199918	0,0493611	0,5399219	0,5791287	0,8881076	0,3100869	0,3683527	1,0392363	0,0961495	0,7429550	0,3066542	1,0331609	0,0915078	0,2683366	0,2344375	0,6767684	0,8829096	0,4880201	0,9460023	0,4183740	0,3598669
260	0,1196263	0,6444624	0,5770088	0,6027057	0,7912221	0,4748005	0,4411675	0,8243149	0,6028236	0,3276005	0,0767371	0,1875233	0,8450830	0,2650919	0,6754119	0,0801127	0,4540751	0,2641381	0,1031705	0,1512529	0,1249625	0,9448598	0,4926213	0,3062867	0,4753549	0,5626926	1,0641063	0,2614704	0,2193484	0,2371594	0,5641119	0,5377144	0,2800782	0,2502218	0,3797506	0,0506344	0,3960900	0,4384101	0,9059154	0,1105971	0,6860026	0,4169842	1,0172502	0,2000640	0,0453587	0,5227337	0,5534870	0,9362491	0,3089036	0,3275133	1,0204426	0,0756836	0,7858417	0,3403556	1,0608665	0,0651834	0,2214891	0,2042701	0,6909605	0,8632325	0,5125681	1,0325549	0,3956725	0,3718645
280	0,1451657	0,5986679	0,5488260	0,6142311	0,7235233	0,4949991	0,5053811	0,7693787	0,5254625	0,3877154	0,0628159	0,1568371	0,7885595	0,2220030	0,7086874	0,0800204	0,4778643	0,2172918	0,1078729	0,1315010	0,1198329	0,9441204	0,4070001	0,2981195	0,4520857	0,5584405	1,0394435	0,2643488	0,2415674	0,2480084	0,5579553	0,5134486	0,2633306	0,1927604	0,3620539	0,0453762	0,3699745	0,4509175	0,9916511	0,1132240	0,8050106	0,3981821	1,0287571	0,1955265	0,0331843	0,5138855	0,5752947	0,9587566	0,3042154	0,2762815	1,0685404	0,0805586	0,7763916	0,3344314	1,1027602	0,0567773	0,2082589	0,1832637	0,6799115	0,9146897	0,4715907	0,9551369	0,4211272	0,3913083
300	0,1598222	0,5633877	0,5370615	0,5908111	0,7721891	0,4912532	0,4834619	0,7814082	0,5465488	0,4000510	0,0771282	0,1243362	0,8183488	0,2234081	0,7013043	0,0578157	0,5111227	0,2056502	0,0838515	0,1437048	0,1301945	0,9440343	0,4253901	0,2747535	0,4543857	0,5080546	1,1108019	0,2635452	0,2441535	0,2066934	0,5452579	0,5620021	0,2981114	0,1766068	0,3621769	0,0391580	0,3513145	0,4640160	0,9491112	0,1075578	0,7431272	0,4215388	1,0733899	0,1733563	0,0270361	0,5752868	0,5848888	0,9848092	0,3406413	0,2681977	1,0092114	0,0898583	0,7761741	0,3669857	1,0702120	0,0426674	0,2365299	0,2014296	0,6151307	0,9383562	0,4234850	0,9293155	0,4302108	0,3761964
320	0,1385032	0,5320958	0,5690472	0,6788843	0,8264152	0,5489475	0,4650032	0,7661687	0,5669401	0,3881158	0,0722689	0,1400272	0,8643279	0,2228722	0,7520005	0,0605508	0,5036313	0,1883717	0,0776147	0,1124299	0,1191878	0,9773104	0,5032763	0,2851705	0,4961440	0,5333459	1,1519426	0,2719368	0,2393203	0,2534382	0,5259341	0,5323212	0,2885059	0,1865397	0,3588245	0,0222245	0,4040775	0,4002917	0,9531751	0,0916061	0,7407473	0,3772272	0,9929645	0,1699149	0,0382740	0,5770823	0,5457117	0,9871536	0,3614550	0,2986106	0,9771936	0,1091513	0,8510048	0,3741646	0,9768814	0,0475272	0,2316088	0,2093269	0,6281029	0,9436470	0,4309583	0,9323453	0,4264827	0,3846088
340	0,1676670	0,5489125	0,4797797	0,6698098	0,8469014	0,5128299	0,4832343	0,7550012	0,5423546	0,3497581	0,0697326	0,1535604	0,8489362	0,1979244	0,7613302	0,0787569	0,5158222	0,1541628	0,0975709	0,1221495	0,1097829	0,9579882	0,5350552	0,3044730	0,4840768	0,5189238	1,1252345	0,2466292	0,2199206	0,2140627	0,5735828	0,5609688	0,2819732	0,2098613	0,3584895	0,0287726	0,4229596	0,3651064	1,0270639	0,1065754	0,7478526	0,3735715	0,9395204	0,1408421	0,0362475	0,5841388	0,5819392	1,0110614	0,3520615	0,2784685	0,9297070	0,1470897	0,8986572	0,4097474	0,8901214	0,0510246	0,2781508	0,2231905	0,6574873	0,9809554	0,4000022	0,9931090	0,4179195	0,3940769
360	0,1543759	0,6068812	0,4852127	0,6114580	0,8311980	0,5259204	0,4581817	0,7487595	0,5286658	0,3204075	0,0529594	0,1446342	0,8805459	0,1721582	0,7417787	0,0760476	0,5772588	0,1302768	0,1050004	0,1261131	0,1194005	0,8789477	0,4731494	0,2877960	0,5070468	0,5126781	1,0592758	0,2362970	0,2221211	0,1942673	0,6013155	0,5365414	0,3216966	0,2060325	0,3495669	0,0201893	0,4152096	0,3719293	0,9977860	0,0787391	0,7102559	0,4201216	0,9722065	0,2018965	0,0278023	0,5809597	0,5651094	1,0171589	0,3401186	0,3559731	0,9941224	0,1113577	0,8563088	0,4197896	0,9197381	0,0425968	0,2896393	0,2120370	0,6514741	0,9390131	0,4490909	1,0140842	0,4206950	0,3883937
380	0,1539249	0,5980689	0,5057278	0,6298046	0,7816842	0,5402902	0,4685390	0,6965680	0,5526545	0,3264431	0,0449445	0,1613295	0,8729816	0,1787227	0,7393451	0,0701836	0,6102190	0,0848051	0,1055679	0,1326284	0,1317691	0,7895524	0,4901123	0,3352790	0,5127479	0,4622617	1,0148414	0,1888395	0,1962167	0,2033127	0,5709345	0,5151045	0,3021714	0,1909733	0,4043573	0,0299642	0,4626974	0,3487251	0,9970837	0,0885647	0,7060590	0,4111771	0,9820841	0,1840867	0,0311595	0,5600417	0,5632084	1,0004267	0,3665695	0,3125912	1,0184289	0,1167916	0,8876132	0,4645668	0,9254173	0,0359673	0,2934939	0,2032565	0,5527142	0,9540759	0,4325138	1,0161865	0,4404671	0,3347366
400	0,1758252	0,6348921	0,5135077	0,6015762	0,8165849	0,5468516	0,4555061	0,7366948	0,5245910	0,3159625	0,0463419	0,1476630	0,8445884	0,2119592	0,7726945	0,0550450	0,5409272	0,0792503	0,1069914	0,1397715	0,1467989	0,7991859	0,5211879	0,3417506	0,4805462	0,4207401	1,0089757	0,1937035	0,1678307	0,2214559	0,6106579	0,5519966	0,2791021	0,2129735	0,4219498	0,0207156	0,4220187	0,3280436	0,9959845	0,0829577	0,6639559	0,4184730	0,9492791	0,1775167	0,0297649	0,5941804	0,6050293	0,9141609	0,3937817	0,3030426	1,0440760	0,0845451	0,7737998	0,4715145	0,9842438	0,0303103	0,2371655	0,2594577	0,5745568	1,0003856	0,4034199	0,9478606	0,4197268	0,3230233
420	0,1788682	0,5629929	0,5951840	0,6388825	0,7768016	0,5505323	0,5059852	0,7489269	0,5826137	0,3048571	0,0419700	0,1563320	0,7618741	0,2422014	0,7171812	0,0562499	0,6011317	0,0794186	0,1066617	0,1477152	0,1355211	0,8161983	0,5545374	0,3305184	0,5076085	0,4063917	0,9944607	0,2300006	0,1479165	0,2247682	0,6090050	0,4833452	0,2532618	0,2201138	0,4024872	0,0492787	0,4631650	0,2888293	0,9624738	0,0771603	0,6896075	0,4421256	0,9797218	0,1620684	0,0257738	0,5963324	0,5948207	0,9564720	0,4153263	0,2467057	1,0117531	0,0877851	0,7690675	0,4317453	1,0369336	0,0144761	0,2553008	0,2352545	0,5951272	1,0402179	0,4762773	0,8904993	0,4232947	0,3516725
