"Time"	dicA	ydfD	dicB	alaS	tdh	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	rcsA	csgD	mdtE	mdtF	hdeA	hdeB	yhiD	gadA	gadB	gadC	nemA	gadY	hdeD	slp	dctR	cadA	cadB	osmC	csgG	csgF	csgE	gltD	gltB	gltF	livK	livM	iraP	asnB	yfdX	lon	lysU	ydeP	livH	sdaA	kbl	livJ	livF	malZ	gnd	adrA	ybaT	yegR	ybaS	yneN	pepD	yojI
180	0,9624805	0,3561334	0,0000945	0,4708326	0,9485389	0,5704188	0,9413879	0,3314326	0,3478909	0,6334290	1,0455567	0,9965307	0,6189604	0,9386799	0,0045358	0,1699837	0,9987513	0,2922899	0,1353115	0,4850216	0,7096035	0,9578018	0,1824461	0,4680519	0,5986639	0,3299588	0,0150554	0,2690365	0,2182916	0,4685040	0,9188433	0,9063299	0,6054753	0,3927727	0,3522331	0,9545026	0,7529376	0,4519878	0,5417297	0,9747018	0,8555186	0,9250064	0,0015262	0,7709557	1,0806624	0,7811690	0,0649890	0,2590144	0,4837030	0,3454136	0,1337407	0,6345631	0,6465326	0,0488209	0,1920037	1,0452364	0,8351105	0,3585233	0,0741366	0,8208449	0,0181855	1,0332840	0,5969808	0,5811050
200	1,0057052	0,3976573	0,0003495	0,4406841	1,0820862	0,4941501	0,9056275	0,3218076	0,3767465	0,6040099	0,9927575	0,9640012	0,7241850	1,0096261	0,0030096	0,1744940	1,0829897	0,2445186	0,1418983	0,4424600	0,8164398	0,9053117	0,2093619	0,4402040	0,7350447	0,3232544	0,0237877	0,2861717	0,2402244	0,4570306	0,9164534	0,9688830	0,5948122	0,4034383	0,3420179	0,9457644	0,7034499	0,4712744	0,5746079	0,9831840	0,8856306	0,9165265	0,0003701	0,7752482	1,0614311	0,9337251	0,1028332	0,2838773	0,4975791	0,4979499	0,1570339	0,6630163	0,6581820	0,0438735	0,2295393	1,0549360	0,9027433	0,3211572	0,0544093	0,8108925	0,0196536	1,0497612	0,5847807	0,6309269
220	0,9784830	0,3979471	0,0002738	0,4811675	1,0574568	0,4802373	0,9143123	0,3800610	0,3804714	0,6443670	0,9156890	1,0065327	0,6987420	0,9449528	0,0016689	0,1767344	1,0390228	0,2290847	0,1326520	0,4233558	0,8217979	0,8847992	0,2684334	0,4741446	0,6557343	0,3472408	0,0202917	0,2800561	0,2465522	0,5064069	0,9365796	0,9935758	0,6157671	0,4272536	0,3442117	0,9188934	0,7062955	0,4293139	0,5385377	0,8556792	0,8453347	0,9822427	0,0004062	0,7850873	0,9968579	0,9634111	0,1445204	0,2908475	0,5657201	0,5573319	0,1509482	0,6927704	0,6412044	0,0418169	0,2071180	1,0111926	0,9077555	0,2735312	0,0643249	0,8686547	0,0200757	1,0662815	0,7104297	0,6796294
240	1,0108781	0,3893829	0,0062809	0,4539154	1,0289083	0,4919363	0,7972164	0,2701561	0,4117245	0,6750792	0,9415262	0,9072237	0,7584263	0,8389744	0,0012340	0,1551251	1,0854706	0,2585055	0,1060865	0,4022299	0,8147566	0,9510812	0,2540790	0,4584613	0,6925183	0,3384360	0,0179666	0,3010230	0,2535216	0,5074156	0,9379552	0,8922072	0,6163648	0,4188710	0,3303557	0,9409266	0,6790192	0,3343174	0,5258453	0,9266763	0,8708216	0,9226288	0,0009063	0,8348978	0,9795421	0,9119330	0,1632723	0,3239197	0,5145466	0,6689525	0,1630114	0,7179957	0,5611897	0,0421213	0,2138509	0,9467836	0,9667860	0,2481801	0,0721371	0,8594373	0,0179592	1,0588487	0,7484064	0,6374418
260	0,9655732	0,3594211	0,0049578	0,4324916	1,0258143	0,4710941	0,7389876	0,3019251	0,3855426	0,6789216	0,8882361	0,9210674	0,8018067	0,8853982	0,0017942	0,1430683	1,0079862	0,2860663	0,1065611	0,3697927	0,8239263	0,9592322	0,2533425	0,4800522	0,7436249	0,3255232	0,0206680	0,2929554	0,2663800	0,4988398	0,9134800	0,9261995	0,5442447	0,4582134	0,2927194	0,9057175	0,6845640	0,3775568	0,4758488	0,9596855	0,8770407	0,8320448	0,0005902	0,8146358	0,9530018	0,8355019	0,2052647	0,2879462	0,5462166	0,7275920	0,2009884	0,7771347	0,5187075	0,0434866	0,2143446	0,9645963	1,0180515	0,2184447	0,0628947	0,8586102	0,0178221	1,0946850	0,7595921	0,6510756
280	0,9320084	0,4149214	0,0011731	0,4474371	1,0597144	0,4316788	0,7888726	0,3232384	0,3623916	0,6647340	0,9863029	0,8902667	0,8904218	0,9358450	0,0038998	0,1448751	1,0183701	0,2846557	0,1048472	0,3333863	0,8014725	0,9599594	0,2818256	0,4684953	0,7135725	0,3330417	0,0257543	0,2466731	0,3185930	0,4985875	1,0109054	0,9814700	0,5871748	0,4617675	0,2776334	0,9301583	0,6764602	0,3415380	0,4422941	0,9143821	0,8733525	0,7765463	0,0024275	0,8340816	0,9338490	0,8741631	0,2421723	0,2876695	0,5585927	0,7996495	0,2261539	0,8445999	0,5673557	0,0389481	0,2002387	0,9674809	1,0022639	0,2270423	0,0790796	0,9472619	0,0109098	1,0599587	0,8318128	0,6165973
300	0,9129408	0,3748614	0,0002118	0,3882214	1,0862632	0,4251936	0,8040089	0,3475405	0,2803479	0,6383256	1,0377781	0,8929018	0,8595783	0,9468749	0,0073018	0,1134484	1,0191913	0,2937694	0,1189787	0,3265870	0,9396930	0,9815817	0,2660023	0,4203292	0,7065391	0,2774977	0,0242836	0,2469366	0,3080037	0,4714732	1,0271883	1,0402900	0,5686971	0,4158625	0,2474595	0,9948406	0,6406623	0,3127564	0,4624797	0,9486823	0,8348120	0,8081204	0,0004972	0,8251322	0,9050237	0,9166084	0,3261771	0,2709145	0,5846284	0,9303533	0,2605386	0,8273612	0,5674818	0,0394767	0,1922090	0,9094480	1,0540445	0,1963397	0,0922245	0,9546083	0,0095204	1,1036247	0,9123456	0,5566914
320	0,9531649	0,3502359	0,0005992	0,4226602	1,0211180	0,4386551	0,8031248	0,2932447	0,3162836	0,6286644	1,0429533	0,9442607	0,8317037	0,9964016	0,0074824	0,0981334	0,9620214	0,2657594	0,1553266	0,3273193	0,9004147	0,9215001	0,2819516	0,4911230	0,6883717	0,2748735	0,0353712	0,2751997	0,3328933	0,4525363	0,9780609	1,0763090	0,6373649	0,4143272	0,2595689	1,0430358	0,6025106	0,2977620	0,4396880	1,0103503	0,9289043	0,7749632	0,0000000	0,8602889	0,9359276	0,8468348	0,3513986	0,2605583	0,6137755	0,9129117	0,2252651	0,8538280	0,5081977	0,0476343	0,2136607	0,8942350	1,0347271	0,1895030	0,0936005	0,9451320	0,0128048	1,0786470	0,9295640	0,5980262
340	0,8967003	0,3773711	0,0000178	0,4092376	1,1622855	0,4820188	0,8505230	0,3088798	0,3518637	0,6126543	1,0125648	0,9546758	0,8631385	1,0196706	0,0140625	0,1281170	0,9799631	0,2613825	0,1149940	0,3451563	0,8540713	0,9032294	0,3035546	0,4567682	0,6929723	0,3319067	0,0392409	0,2856597	0,3603975	0,4677232	1,0138401	1,0174519	0,6602818	0,3823998	0,2862970	1,0777726	0,5504655	0,3053012	0,4564678	1,0083014	0,9913151	0,7485166	0,0016479	0,8505433	0,9040775	0,8418350	0,3857425	0,1930829	0,5854416	0,8716673	0,2362998	0,8612519	0,5228488	0,0533308	0,1977369	0,9649949	0,9477109	0,1930248	0,1036974	0,8967449	0,0113414	1,0516434	0,9480024	0,5801046
360	0,9257761	0,4345481	0,0000465	0,4238879	1,1250307	0,4486089	0,9189109	0,3189106	0,3765675	0,6834168	0,9811383	0,9899718	0,8588347	0,9955159	0,0120461	0,1094486	0,9757087	0,2249284	0,1050774	0,3054859	0,9161411	0,9257713	0,3056387	0,4520890	0,6480473	0,3424584	0,0204196	0,2560575	0,3422565	0,4794841	0,9997676	1,0081849	0,6574803	0,4021474	0,2802722	1,0483340	0,5647815	0,2756891	0,4641025	0,9956250	1,0227335	0,7458915	0,0009453	0,8731922	0,9681290	0,8249827	0,3572665	0,2258926	0,5688227	0,8558430	0,2550405	0,9488954	0,5368677	0,0564205	0,2316642	1,0432739	0,9469989	0,1500852	0,1068975	0,8680781	0,0112631	1,0783102	0,9495078	0,5445850
