"Time"	bolA	ompR	csgD	rstA	rcsB	rcsA	flhD	hdfR	flhC	qseB	lrhA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtE	mdtF	csgF	csgE	csgG	hdeA	hdeB	yhiD	gadA	gadB	gadC	sra	flgH	fliM	ppdA	flgM	fliT	fliF	osmB	fliK	wcaB	ygdB	gltJ	flgA	flgE	wzb	fliJ	flgG	wzc	wcaA	fliQ	fliE	fliG	recC	flgC	fliO	flgD	ygbK	fliR	fliN	yhjH	fliP	gltI	flgF
180	0,0938043	1,0000000	0,0910733	0,0451200	1,0000000	0,8505102	0,0124620	0,8148627	0,0771561	0,0472324	0,0855654	0,1546324	0,0238923	0,0040182	0,9924414	0,3516000	0,2103264	0,9979714	0,4980865	0,1209664	0,5311812	0,0106805	0,0230037	0,7027983	0,9998690	0,7013131	0,1029708	0,8750442	0,1211745	0,2481287	0,2318781	0,5665858	0,0196732	0,7829993	0,0234257	0,0070498	0,0499248	0,0982440	0,9951657	0,6034645	0,6921654	0,1479605	0,0000407	0,0432694	0,0620891	0,9499713	0,3016930	0,3090291	0,9037715	0,8965858	0,2689287	0,0209869	0,0068413	0,0107747	0,0204865	0,0122683	0,0544464	0,9833901	0,0131399	0,0253022	0,0734253	0,1298513	0,0297612	0,0717830
200	0,0869399	1,0000000	0,0910727	0,0451200	1,0000000	0,8731522	0,0098689	0,8092210	0,0771527	0,0472324	0,0855674	0,1944407	0,0218611	0,0040182	0,9906406	0,3637006	0,2078302	0,9985838	0,4990117	0,1209664	0,5366614	0,0111691	0,0230037	0,7182718	0,9998689	0,6851461	0,1120906	0,8764167	0,1247537	0,2509747	0,2403252	0,5665980	0,0179116	0,8116246	0,0234257	0,0070200	0,0498911	0,0880566	0,9970318	0,6025114	0,6954771	0,1364658	0,0000380	0,0432507	0,0620774	0,9517274	0,3023958	0,2406665	0,9057427	0,9004747	0,2238749	0,0209723	0,0066547	0,0084756	0,0204861	0,0122683	0,0544536	0,9833611	0,0130990	0,0219805	0,0712387	0,1298496	0,0297611	0,0717875
220	0,0820441	1,0000000	0,0910722	0,0451200	1,0000000	0,8923843	0,0081041	0,8052153	0,0771423	0,0472324	0,0855691	0,2335706	0,0202918	0,0040182	0,9887426	0,3719684	0,2067817	0,9989559	0,4995117	0,1209664	0,5410873	0,0120815	0,0230037	0,7300889	0,9998688	0,6771483	0,1293834	0,8773838	0,1297368	0,2533344	0,2599392	0,5666125	0,0164678	0,8330104	0,0234256	0,0069987	0,0498658	0,0797547	0,9981544	0,6018702	0,6994479	0,1272116	0,0000361	0,0432381	0,0620691	0,9537107	0,3022876	0,1848518	0,9080808	0,9047245	0,1881328	0,0209605	0,0065302	0,0066520	0,0204859	0,0122683	0,0544591	0,9832815	0,0130701	0,0196932	0,0697780	0,1298485	0,0297611	0,0717904
240	0,0785841	1,0000000	0,0910716	0,0451200	1,0000000	0,9079239	0,0069115	0,8023964	0,0771275	0,0472324	0,0855707	0,2699687	0,0190903	0,0040182	0,9868771	0,3774503	0,2065136	0,9991778	0,4996913	0,1209664	0,5445388	0,0135510	0,0230037	0,7390338	0,9998687	0,6758394	0,1560101	0,8779824	0,1365463	0,2555424	0,2932878	0,5666282	0,0153073	0,8488810	0,0234255	0,0069837	0,0498471	0,0731830	0,9988295	0,6014659	0,7037580	0,1199085	0,0000347	0,0432280	0,0620634	0,9557403	0,3017652	0,1415544	0,9105946	0,9089310	0,1602700	0,0209511	0,0064480	0,0052350	0,0204858	0,0122683	0,0544619	0,9832022	0,0130498	0,0181554	0,0688125	0,1298476	0,0297611	0,0717915
260	0,0761575	1,0000000	0,0910712	0,0451200	1,0000000	0,9200743	0,0061101	0,8004270	0,0771107	0,0472324	0,0855720	0,3024281	0,0181774	0,0040182	0,9851488	0,3809812	0,2066132	0,9993076	0,4996863	0,1209664	0,5471562	0,0156417	0,0230037	0,7457552	0,9998686	0,6791777	0,1907384	0,8782807	0,1453160	0,2577768	0,3374296	0,5666439	0,0143887	0,8605971	0,0234255	0,0069733	0,0498334	0,0681039	0,9992361	0,6012202	0,7081008	0,1142341	0,0000338	0,0432177	0,0620595	0,9576721	0,3010752	0,1092427	0,9131071	0,9128055	0,1388111	0,0209438	0,0063939	0,0041507	0,0204857	0,0122683	0,0544618	0,9831377	0,0130357	0,0171402	0,0681791	0,1298470	0,0297610	0,0717907
280	0,0744666	1,0000000	0,0910707	0,0451200	1,0000000	0,9293645	0,0055736	0,7990595	0,0770937	0,0472324	0,0855732	0,3304290	0,0174881	0,0040182	0,9836280	0,3831894	0,2068459	0,9993817	0,4996064	0,1209664	0,5490956	0,0183272	0,0230037	0,7507747	0,9998684	0,6852335	0,2306259	0,8783540	0,1558647	0,2600907	0,3862714	0,5666589	0,0136704	0,8692105	0,0234255	0,0069663	0,0498236	0,0642559	0,9994815	0,6010736	0,7122341	0,1098795	0,0000331	0,0432059	0,0620568	0,9594140	0,3003607	0,0858234	0,9154835	0,9161892	0,1224248	0,0209382	0,0063586	0,0033303	0,0204857	0,0122683	0,0544589	0,9830893	0,0130260	0,0164788	0,0677657	0,1298466	0,0297610	0,0717883
300	0,0732947	1,0000000	0,0910703	0,0451200	1,0000000	0,9363573	0,0052157	0,7981150	0,0770775	0,0472324	0,0855742	0,3539435	0,0169706	0,0040182	0,9823499	0,3845287	0,2070918	0,9994229	0,4995186	0,1209664	0,5505035	0,0214995	0,0230037	0,7545038	0,9998683	0,6924953	0,2722741	0,8782731	0,1677650	0,2624541	0,4340788	0,5666725	0,0131144	0,8755217	0,0234255	0,0069615	0,0498165	0,0613890	0,9996303	0,6009866	0,7159970	0,1065709	0,0000326	0,0431921	0,0620550	0,9609211	0,2996975	0,0692186	0,9176370	0,9190282	0,1099878	0,0209339	0,0063355	0,0027148	0,0204857	0,0122682	0,0544537	0,9830540	0,0130193	0,0160520	0,0674970	0,1298463	0,0297610	0,0717848
320	0,0724865	1,0000000	0,0910700	0,0451200	1,0000000	0,9415620	0,0049774	0,7974655	0,0770630	0,0472324	0,0855752	0,3732569	0,0165838	0,0040182	0,9813197	0,3853143	0,2072994	0,9994450	0,4994529	0,1209664	0,5515069	0,0249980	0,0230037	0,7572619	0,9998682	0,6999277	0,3127729	0,8780972	0,1804585	0,2647966	0,4771105	0,5666847	0,0126876	0,8801337	0,0234254	0,0069582	0,0498115	0,0592832	0,9997209	0,6009345	0,7193037	0,1040777	0,0000322	0,0431764	0,0620538	0,9621838	0,2991195	0,0576390	0,9195240	0,9213384	0,1005896	0,0209306	0,0063205	0,0022561	0,0204857	0,0122682	0,0544469	0,9830285	0,0130148	0,0157785	0,0673228	0,1298461	0,0297610	0,0717807
340	0,0719315	1,0000000	0,0910697	0,0451200	1,0000000	0,9454044	0,0048190	0,7970205	0,0770503	0,0472324	0,0855759	0,3888275	0,0162960	0,0040182	0,9805206	0,3857581	0,2074543	0,9994563	0,4994154	0,1209664	0,5522095	0,0286434	0,0230037	0,7592940	0,9998681	0,7069045	0,3501010	0,8778732	0,1933688	0,2670399	0,5136454	0,5666951	0,0123624	0,8834967	0,0234254	0,0069561	0,0498079	0,0577550	0,9997764	0,6009025	0,7221277	0,1022116	0,0000320	0,0431594	0,0620530	0,9632154	0,2986361	0,0496638	0,9211332	0,9231741	0,0935101	0,0209281	0,0063107	0,0019159	0,0204857	0,0122682	0,0544392	0,9830101	0,0130117	0,0156039	0,0672101	0,1298460	0,0297610	0,0717762
360	0,0715516	1,0000000	0,0910695	0,0451200	1,0000000	0,9482243	0,0047137	0,7967168	0,0770396	0,0472324	0,0855766	0,4011836	0,0160826	0,0040182	0,9799227	0,3859977	0,2075601	0,9994618	0,4994003	0,1209664	0,5526931	0,0322665	0,0230037	0,7607861	0,9998680	0,7131034	0,3831320	0,8776349	0,2059838	0,2691180	0,5433980	0,5667040	0,0121160	0,8859446	0,0234254	0,0069546	0,0498054	0,0566573	0,9998107	0,6008821	0,7244838	0,1008229	0,0000318	0,0431417	0,0620525	0,9640413	0,2982433	0,0442223	0,9224757	0,9246059	0,0881897	0,0209263	0,0063044	0,0016646	0,0204856	0,0122682	0,0544312	0,9829967	0,0130096	0,0154928	0,0671373	0,1298459	0,0297609	0,0717718
380	0,0712926	1,0000000	0,0910693	0,0451200	1,0000000	0,9502847	0,0046438	0,7965100	0,0770307	0,0472324	0,0855772	0,4108573	0,0159248	0,0040182	0,9794908	0,3861198	0,2076270	0,9994641	0,4993989	0,1209664	0,5530202	0,0357277	0,0230037	0,7618785	0,9998679	0,7184055	0,4114539	0,8774052	0,2179019	0,2709863	0,5669028	0,5667113	0,0119304	0,8877239	0,0234254	0,0069536	0,0498037	0,0558758	0,9998321	0,6008686	0,7264115	0,0997945	0,0000317	0,0431240	0,0620521	0,9646916	0,2979312	0,0405355	0,9235754	0,9257064	0,0841980	0,0209249	0,0063002	0,0014795	0,0204856	0,0122682	0,0544234	0,9829868	0,0130081	0,0154220	0,0670904	0,1298458	0,0297609	0,0717676
400	0,0711164	1,0000000	0,0910691	0,0451200	1,0000000	0,9517853	0,0045974	0,7963697	0,0770234	0,0472324	0,0855778	0,4183430	0,0158085	0,0040182	0,9791895	0,3861772	0,2076659	0,9994650	0,4994036	0,1209664	0,5532373	0,0389250	0,0230037	0,7626762	0,9998678	0,7228160	0,4351454	0,8771977	0,2288460	0,2726224	0,5850588	0,5667174	0,0117912	0,8890156	0,0234254	0,0069530	0,0498024	0,0553236	0,9998455	0,6008593	0,7279635	0,0990361	0,0000316	0,0431070	0,0620518	0,9651969	0,2976871	0,0380506	0,9244627	0,9265424	0,0812068	0,0209239	0,0062975	0,0013435	0,0204856	0,0122682	0,0544160	0,9829794	0,0130072	0,0153770	0,0670601	0,1298458	0,0297609	0,0717638
420	0,0709969	1,0000000	0,0910690	0,0451200	1,0000000	0,9528755	0,0045665	0,7962746	0,0770176	0,0472324	0,0855782	0,4240776	0,0157230	0,0040182	0,9789868	0,3862010	0,2076865	0,9994652	0,4994094	0,1209664	0,5533786	0,0417950	0,0230037	0,7632574	0,9998677	0,7264075	0,4545775	0,8770192	0,2386561	0,2740228	0,5988487	0,5667222	0,0116872	0,8899525	0,0234254	0,0069526	0,0498016	0,0549360	0,9998540	0,6008525	0,7291957	0,0984788	0,0000315	0,0430910	0,0620517	0,9655852	0,2974987	0,0363822	0,9251694	0,9271714	0,0789675	0,0209231	0,0062958	0,0012437	0,0204856	0,0122682	0,0544093	0,9829739	0,0130065	0,0153482	0,0670406	0,1298458	0,0297609	0,0717604
