"Time"	dicA	ydfD	dicB	alaS	tdh	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	rcsA	csgD	mdtE	mdtF	hdeA	hdeB	yhiD	gadA	gadB	gadC	nemA	gadY	hdeD	slp	dctR	cadA	cadB	osmC	csgG	csgF	csgE	gltD	gltB	gltF	livK	livM	iraP	asnB	yfdX	lon	lysU	ydeP	livH	sdaA	kbl	livJ	livF	malZ	gnd	adrA	ybaT	yegR	ybaS	yneN	pepD	yojI
180	1,0000000	0,3710371	0,0001693	0,4192602	0,9999534	0,5040169	0,8673015	0,3224909	0,3888167	0,6303153	0,9945262	0,9880837	0,8791172	0,9999999	0,0045974	0,1468553	0,9883461	0,2765017	0,1098696	0,4235053	0,7852022	0,9682600	0,2433082	0,5111751	0,6975475	0,3242572	0,0188962	0,2681708	0,2786199	0,4910275	0,9370449	0,9658922	0,6215063	0,4403001	0,3196958	0,9965860	0,7239475	0,3853315	0,5698261	0,9554756	0,9968584	0,8301137	0,0002239	0,7493846	0,9577058	0,8415300	0,2111379	0,2766412	0,5102579	0,7855705	0,1489150	0,7994585	0,6024021	0,0408664	0,2089735	0,9676189	0,9381484	0,2945887	0,0783327	0,9533386	0,0153045	0,9997936	0,6725912	0,6600187
200	1,0000000	0,3710371	0,0001331	0,4192602	0,9999475	0,5001280	0,8605628	0,3213573	0,3868884	0,6303153	0,9959065	0,9904484	0,9117900	0,9999999	0,0047915	0,1464540	0,9917524	0,2765017	0,1098860	0,3911926	0,8281593	0,9768340	0,2571653	0,5114935	0,6988940	0,3242572	0,0188962	0,2693077	0,2907665	0,4954833	0,9500776	0,9698560	0,6215066	0,4410044	0,3215892	0,9977634	0,6983520	0,3782409	0,5523148	0,9547628	0,9967721	0,8210730	0,0001783	0,7754780	0,9477538	0,8432373	0,2745089	0,2771969	0,5282468	0,8427867	0,1619044	0,8104032	0,5860367	0,0410762	0,2157966	0,9673867	0,9393603	0,2704029	0,0783327	0,9665677	0,0153045	0,9999206	0,7167834	0,6550873
220	1,0000000	0,3710371	0,0001090	0,4192602	0,9999427	0,4975564	0,8552962	0,3206072	0,3853419	0,6303153	0,9967439	0,9918482	0,9356082	1,0000000	0,0049469	0,1462547	0,9939904	0,2765017	0,1098990	0,3617874	0,8602494	0,9826100	0,2679034	0,5117369	0,6998248	0,3242572	0,0188962	0,2702735	0,2990478	0,4984970	0,9593583	0,9724016	0,6215069	0,4415911	0,3230849	0,9984929	0,6723332	0,3733276	0,5357529	0,9542306	0,9967078	0,8139234	0,0001535	0,7943033	0,9354094	0,8446591	0,3326897	0,2775171	0,5416502	0,8808392	0,1725777	0,8178951	0,5744756	0,0412515	0,2214397	0,9671604	0,9402231	0,2471296	0,0783328	0,9759249	0,0153045	0,9999682	0,7583379	0,6516541
240	1,0000000	0,3710371	0,0000930	0,4192602	0,9999389	0,4958560	0,8512876	0,3201174	0,3841399	0,6303153	0,9972514	0,9927041	0,9529517	1,0000000	0,0050670	0,1461566	0,9954551	0,2765017	0,1099089	0,3357133	0,8840005	0,9864948	0,2760922	0,5119183	0,7004651	0,3242572	0,0188962	0,2710651	0,3046004	0,5005360	0,9659672	0,9740364	0,6215073	0,4420620	0,3242197	0,9989448	0,6464629	0,3699251	0,5203659	0,9538401	0,9966599	0,8083966	0,0001404	0,8076829	0,9202832	0,8458969	0,3824510	0,2777020	0,5514282	0,9059351	0,1810825	0,8229722	0,5664662	0,0413932	0,2259804	0,9669501	0,9408241	0,2250546	0,0783328	0,9825390	0,0153045	0,9999862	0,7963296	0,6492999
260	1,0000000	0,3710371	0,0000824	0,4192602	0,9999360	0,4947315	0,8483002	0,3197954	0,3832289	0,6303153	0,9975595	0,9932447	0,9655722	1,0000000	0,0051571	0,1461090	0,9964106	0,2765017	0,1099163	0,3132037	0,9014695	0,9891071	0,2822599	0,5120509	0,7009034	0,3242572	0,0188962	0,2716976	0,3082781	0,5019164	0,9706735	0,9750862	0,6215076	0,4424296	0,3250552	0,9992248	0,6214015	0,3675700	0,5063549	0,9535576	0,9966244	0,8042011	0,0001337	0,8170842	0,9021306	0,8469826	0,4230094	0,2778091	0,5584432	0,9224747	0,1876980	0,8263888	0,5609940	0,0415047	0,2295587	0,9667624	0,9412349	0,2044614	0,0783328	0,9872127	0,0153045	0,9999931	0,8300877	0,6477031
280	1,0000000	0,3710371	0,0000753	0,4192602	0,9999339	0,4939878	0,8461113	0,3195819	0,3825522	0,6303153	0,9977470	0,9935968	0,9747520	1,0000000	0,0052231	0,1460864	0,9970323	0,2765017	0,1099217	0,2942618	0,9142623	0,9908649	0,2868594	0,5121461	0,7012018	0,3242572	0,0188962	0,2721938	0,3106910	0,5028514	0,9740249	0,9757605	0,6215079	0,4427107	0,3256562	0,9993983	0,5978079	0,3659407	0,4938689	0,9533556	0,9965982	0,8010624	0,0001305	0,8236313	0,8809713	0,8479245	0,4549964	0,2778714	0,5634090	0,9334200	0,1927461	0,8286765	0,5572917	0,0415906	0,2323329	0,9666003	0,9415115	0,1856021	0,0783328	0,9905145	0,0153045	0,9999957	0,8592635	0,6466284
300	1,0000000	0,3710371	0,0000706	0,4192602	0,9999323	0,4934959	0,8445295	0,3194399	0,3820576	0,6303153	0,9978615	0,9938324	0,9814274	1,0000000	0,0052707	0,1460760	0,9974359	0,2765017	0,1099256	0,2786831	0,9236022	0,9920494	0,2902620	0,5122136	0,7014037	0,3242572	0,0188962	0,2725781	0,3122619	0,5034852	0,9764115	0,9761934	0,6215082	0,4429223	0,3260809	0,9995058	0,5762380	0,3648138	0,4829819	0,9532126	0,9965789	0,7987423	0,0001290	0,8281582	0,8571774	0,8487263	0,4796582	0,2779078	0,5668865	0,9407151	0,1965391	0,8302031	0,5548041	0,0416557	0,2344558	0,9664644	0,9416953	0,1686627	0,0783328	0,9928472	0,0153045	0,9999968	0,8838378	0,6459089
320	1,0000000	0,3710371	0,0000675	0,4192602	0,9999312	0,4931704	0,8433993	0,3193458	0,3817009	0,6303153	0,9979319	0,9939936	0,9862807	1,0000000	0,0053044	0,1460714	0,9976972	0,2765017	0,1099284	0,2661189	0,9304063	0,9928492	0,2927624	0,5122609	0,7015397	0,3242572	0,0188962	0,2728726	0,3132779	0,5039152	0,9781110	0,9764715	0,6215084	0,4430797	0,3263768	0,9995723	0,5570698	0,3640346	0,4736854	0,9531121	0,9965648	0,7970444	0,0001285	0,8312700	0,8314802	0,8493951	0,4983752	0,2779292	0,5693003	0,9456206	0,1993533	0,8312193	0,5531406	0,0417044	0,2360633	0,9663531	0,9418161	0,1537398	0,0783329	0,9944952	0,0153045	0,9999973	0,9040689	0,6454290
340	1,0000000	0,3710371	0,0000655	0,4192602	0,9999304	0,4929550	0,8425995	0,3192836	0,3814465	0,6303153	0,9979754	0,9941058	0,9898089	1,0000000	0,0053281	0,1460695	0,9978662	0,2765017	0,1099304	0,2561478	0,9353552	0,9933904	0,2945893	0,5122938	0,7016308	0,3242572	0,0188962	0,2730968	0,3139313	0,5042071	0,9793213	0,9766501	0,6215086	0,4431956	0,3265805	0,9996136	0,5404754	0,3634958	0,4658982	0,9530420	0,9965545	0,7958121	0,0001285	0,8333988	0,8048783	0,8499421	0,5124246	0,2779420	0,5709636	0,9489514	0,2014195	0,8318945	0,5520319	0,0417403	0,2372700	0,9662639	0,9418949	0,1408351	0,0783329	0,9956596	0,0153045	0,9999975	0,9204032	0,6451097
360	1,0000000	0,3710371	0,0000641	0,4192602	0,9999298	0,4928124	0,8420378	0,3192425	0,3812666	0,6303153	0,9980026	0,9941850	0,9923735	1,0000000	0,0053446	0,1460688	0,9979752	0,2765017	0,1099318	0,2483357	0,9389506	0,9937576	0,2959177	0,5123165	0,7016914	0,3242572	0,0188962	0,2732662	0,3143494	0,5044055	0,9801831	0,9767648	0,6215088	0,4432804	0,3267195	0,9996391	0,5264388	0,3631234	0,4594852	0,9529933	0,9965472	0,7949241	0,0001286	0,8348492	0,7784708	0,8503813	0,5228883	0,2779496	0,5721030	0,9512352	0,2029234	0,8323427	0,5512947	0,0417666	0,2381693	0,9661937	0,9419459	0,1298661	0,0783329	0,9964825	0,0153045	0,9999976	0,9333812	0,6448977
