"Time"	flhD	hdfR	qseB	lrhA	flhC	ompR	rcsB	rcsA	csgD	bolA	rstA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtF	mdtE	csgF	csgG	csgE	yhiD	hdeB	hdeA	gadA	gadB	gadC	sra	flgM	flgJ	fliR	rprA	wcaB	flhE	fliQ	fliM	fliH	flgE	flgN	wzc	flgH	fliK	gltI	yhjH	osmB	flhB	fliN	recC	flgD	flgI	fliG	fliF	fliT	fliD	bdm	flhA	ppdC	gadY	flgA	flgG

0	0,7300843	0,6934863	0,0294956	0,0357673	0,0059012	0,8129699	0,7580030	0,6566920	0,2017013	0,1311659	0,6019701	0,5873708	0,6016997	0,7437717	0,6299345	0,5757281	0,1963477	0,3272121	0,4915932	0,9358079	0,5523379	0,0879740	0,6533433	0,1428480	0,1146950	0,4468893	0,7335237	0,5749343	0,3469671	0,3448629	0,2249492	0,5608141	0,1920055	0,0451240	0,3110802	0,3279895	0,3391952	0,4252814	0,0100077	0,3255466	0,5111376	0,2767682	0,0627388	0,2588819	0,0752754	0,5275810	0,0499272	0,0168153	0,5262049	0,0099480	0,0778593	0,0036611	0,0601673	0,0509582	0,0194985	0,4602953	0,0051832	0,0283838	0,4096488	0,0193782	0,0063302	0,6175739	0,0131234	0,0260412
20	0,5805112	0,4463827	0,0379643	0,0291820	0,0215463	0,6802790	0,4879472	0,6966369	0,1989792	0,0625007	0,6074006	0,5565217	0,5233333	0,6992859	0,7439597	0,5036057	0,1928310	0,2498222	0,3246691	0,7338183	0,6418539	0,2396332	0,7170875	0,1426007	0,1213916	0,5526456	0,6590475	0,6008709	0,4075476	0,2371008	0,3323180	0,4901636	0,2189254	0,0490707	0,4007800	0,2771818	0,2640361	0,3436005	0,0080773	0,3922695	0,4773617	0,4603749	0,0893600	0,2872977	0,0409964	0,4444576	0,0327377	0,0202290	0,6632276	0,1552653	0,0602229	0,0036374	0,2004556	0,0624060	0,0080651	0,7081837	0,3344637	0,0669008	0,4749708	0,0521840	0,0029102	0,6023272	0,0080981	0,0339647
40	0,5214776	0,3046508	0,0268915	0,0387009	0,0268832	0,6700621	0,4157052	0,5814410	0,1595892	0,0277012	0,5179460	0,5974275	0,5479156	0,7472496	0,8033013	0,4730558	0,1874289	0,2328293	0,3159421	0,5886932	0,6053548	0,3457905	0,6299366	0,1562018	0,1861573	0,4341813	0,6245802	0,6513378	0,4722622	0,3163266	0,4303799	0,4427953	0,1600537	0,0678705	0,5735680	0,2221940	0,2608797	0,3483016	0,0058081	0,3737812	0,5389199	0,2835239	0,0709168	0,2674400	0,0144676	0,2896709	0,0438848	0,0371354	0,5746542	0,2818322	0,0938672	0,0016228	0,2892946	0,0422832	0,0176445	0,5727079	0,5117838	0,0755858	0,4309373	0,0421979	0,0025467	0,5628830	0,0141095	0,0224966
60	0,5346579	0,2927377	0,0350105	0,0714760	0,0189107	0,7382226	0,3649984	0,5494005	0,2031374	0,0272378	0,5210965	0,5743971	0,6490115	0,6348230	0,5833028	0,4492153	0,2042229	0,2453611	0,3093183	0,7096558	0,6776169	0,5299716	0,7287824	0,1321902	0,2030573	0,4567806	0,4819964	0,5596913	0,4916897	0,3407030	0,4754006	0,4657528	0,1771472	0,0385991	0,6414362	0,2076323	0,2388245	0,3203388	0,0050246	0,3174474	0,5314647	0,2735083	0,0938222	0,2917419	0,0496831	0,3004572	0,0417019	0,0446725	0,5976135	0,3026817	0,1143053	0,0015146	0,2826789	0,0649470	0,0428326	0,6693914	0,5455714	0,1081327	0,3453836	0,0359862	0,0109443	0,7402972	0,0118794	0,0307229
80	0,4491819	0,2245133	0,0206422	0,0625306	0,0536895	0,7347560	0,3861718	0,6041806	0,3015263	0,0271320	0,7539617	0,5565737	0,5344851	0,8719605	0,7252140	0,5588922	0,1421114	0,2500159	0,2684109	0,6451944	0,6825564	0,6195822	0,6930583	0,1218096	0,2422677	0,4728813	0,5053163	0,6390208	0,5595956	0,3235482	0,5002334	0,5733745	0,2235056	0,0498703	0,6107101	0,2386675	0,3029276	0,4089801	0,0129566	0,2524310	0,4740835	0,3272670	0,0934018	0,3212670	0,0238984	0,4022454	0,0482024	0,0279076	0,4783512	0,3308639	0,1619979	0,0273183	0,4156718	0,0390878	0,0437662	0,6354806	0,4877667	0,1038730	0,3041027	0,0775518	0,0028349	0,8090391	0,0044393	0,0150029
100	0,4138567	0,2147255	0,0128935	0,0753528	0,0440900	0,6578887	0,3909095	0,7031354	0,2318514	0,0180137	0,5667368	0,4832015	0,5453731	0,6650696	0,6324949	0,5232130	0,1869668	0,2310688	0,2584239	0,7058940	0,6200811	0,5986918	0,6835512	0,1274658	0,2671356	0,4560726	0,5655794	0,4864851	0,6413781	0,3188230	0,3807101	0,3968149	0,2072110	0,0317949	0,6753944	0,1917133	0,2519690	0,4425951	0,0037388	0,2552128	0,5271330	0,3875279	0,0575318	0,1754642	0,0308482	0,3846764	0,0234689	0,0102390	0,6296070	0,3087192	0,1981052	0,0029641	0,4405963	0,0315147	0,0558242	0,6464813	0,5451978	0,1443071	0,3968467	0,0208054	0,0018122	0,7149198	0,0173411	0,0396888
120	0,5191697	0,1680240	0,0744175	0,0507808	0,1498773	0,6966029	0,3633160	0,5693820	0,2100627	0,0154183	0,5748203	0,6579017	0,6785529	0,6935826	0,5343971	0,4697912	0,2345872	0,2048945	0,2500658	0,5943741	0,6069721	0,6548208	0,5651990	0,1403802	0,2606312	0,4760914	0,4598448	0,5291264	0,5462499	0,3068912	0,5238161	0,5144905	0,2329113	0,0581308	0,7130273	0,1816055	0,2794321	0,3829105	0,0053885	0,3141672	0,3786531	0,1937445	0,0565786	0,1340482	0,0676872	0,3256689	0,0240498	0,0256931	0,6122882	0,2854204	0,3659978	0,0130976	0,3318200	0,0361981	0,0951581	0,6917878	0,5500065	0,1392940	0,3255768	0,0315265	0,0136182	0,7478598	0,0200075	0,0314164
140	0,4458341	0,1991024	0,0281131	0,0604567	0,1961841	0,7453747	0,3069134	0,6400614	0,2890816	0,0051467	0,5353651	0,5252220	0,6263808	0,6704416	0,7230656	0,5498395	0,2499726	0,2524184	0,4004926	0,5899904	0,7823770	0,4930585	0,6781995	0,1246269	0,2150205	0,5565384	0,4244979	0,4259583	0,5225450	0,2832197	0,3593990	0,4975266	0,2646034	0,0606400	0,8145917	0,2352923	0,2431338	0,4157051	0,0550845	0,2829468	0,4396332	0,2561723	0,0707930	0,1192226	0,0328170	0,3825783	0,0587872	0,1122795	0,6045276	0,3353826	0,4113743	0,0413291	0,3957833	0,0548767	0,2199312	0,6460257	0,5128812	0,2862262	0,4143400	0,0397514	0,0087562	0,5580910	0,0241089	0,0351441
160	0,5006949	0,1521561	0,0299661	0,0271744	0,1657774	0,6498883	0,3284471	0,5777103	0,3895201	0,0075523	0,5454035	0,5745866	0,5649788	0,5669147	0,5571607	0,5853832	0,1698736	0,2886249	0,3309438	0,6773331	0,5875034	0,5496265	0,7382109	0,1535789	0,2764677	0,4798216	0,4128921	0,5065269	0,5943830	0,2708502	0,4533353	0,5056635	0,2789509	0,0447370	0,7323180	0,2245091	0,3527304	0,3192807	0,0336974	0,2861229	0,3832954	0,2219867	0,1148508	0,1485459	0,0482791	0,3367699	0,1184741	0,1759924	0,7275349	0,4206587	0,6392852	0,0879975	0,3529917	0,0667036	0,2907682	0,7581212	0,6591232	0,3146579	0,3242393	0,0251416	0,0317091	0,6633235	0,0140104	0,0733076
