"Time"	nadR	nadB	pnuC	nadA	pncB	crp	rhaR	rhaS	zraR	melR	feaR	malI	mtlR	prpR	ascG	marR	rbsR	chbR	nagC	fucR	chbC	chbB	chbG	chbA	chbF	nagB	prpC	fucO	fucI	fucK	rbsD	prpD	zraS	nagD	malY	rhaD	nagE	rhaA	ascF	melA	rbsB	fucP	ascB	melB	rbsK	prpB	rbsC	fucU	rhaB	malX	fucA	prpE	rbsA	nagA	nanM	nanC	rhaT	manX	mtlD	manZ	mtlA	manY	galP	marB
180	0,7389335	0,2379426	0,2337886	0,0299236	0,3107286	0,6295874	0,4231578	0,2400259	0,5600851	0,8006612	0,6902995	0,0554483	0,6210968	0,5104340	0,0671540	0,2881959	0,2304076	0,1521047	0,1609271	0,2336214	0,7427097	0,0371624	0,4462458	0,6808459	0,2624892	0,2321700	0,4143551	0,5354761	0,1624103	0,4019732	0,4480571	0,4692484	0,4932891	0,6460724	0,2812190	0,3967385	0,6672589	0,4730904	0,7386491	0,0713824	0,6603158	0,3471744	0,4036625	0,7406833	0,7829340	0,7294209	0,6539785	0,4174302	0,0964897	0,2069144	0,0549395	0,1383980	0,3341534	0,7616957	0,4360584	0,3960526	0,2368936	0,5057951	0,3042142	0,7267981	0,0977747	0,4376990	0,7069612	0,2872741
200	0,6517965	0,2415430	0,2021135	0,0388566	0,3184397	0,6877805	0,5731614	0,3587146	0,6164157	0,5930605	0,7431237	0,0237102	0,6080330	0,4577923	0,0511075	0,2881149	0,2561992	0,2180737	0,1839689	0,2688988	0,7176029	0,0479409	0,4066169	0,7357810	0,2083914	0,2998386	0,4699281	0,5058127	0,1615372	0,4414805	0,3875396	0,4100703	0,7533546	0,5904465	0,2953676	0,4683658	0,4898120	0,4828952	0,8012628	0,1104655	0,7756404	0,4148552	0,4680298	0,6981488	0,7331303	0,6414754	0,5879883	0,5616394	0,1713738	0,2045999	0,0293624	0,1806199	0,2975294	0,7206039	0,3020248	0,4715242	0,3522785	0,4796828	0,3044372	0,7118694	0,0942805	0,3691345	0,6659670	0,3466003
220	0,6924709	0,2795032	0,1943541	0,0351029	0,2769776	0,6890110	0,6653930	0,3575893	0,6107764	0,6954989	0,6635183	0,0251122	0,5825084	0,4131313	0,0698353	0,3559120	0,2415084	0,1476580	0,1978846	0,2953526	0,7139627	0,0536368	0,2721001	0,6422437	0,2615148	0,2843138	0,4300751	0,5973829	0,2705544	0,5846564	0,6135114	0,4698252	0,6714592	0,7148388	0,2850325	0,5590674	0,6686148	0,4921787	0,6624483	0,1451209	0,7609511	0,4537238	0,4858486	0,6979955	0,6034618	0,7138675	0,6702692	0,5269207	0,2708610	0,2582573	0,0244880	0,3084341	0,2784117	0,6381250	0,3861829	0,3916296	0,4361827	0,4544077	0,2835362	0,7108742	0,0820099	0,3895541	0,7495621	0,3597519
240	0,7312224	0,2816370	0,1961371	0,0252525	0,2039989	0,7768804	0,5894627	0,4591420	0,5515035	0,6776533	0,7587240	0,0143142	0,6301744	0,5391621	0,0468059	0,2703284	0,2145579	0,1553970	0,1895936	0,3967278	0,7764986	0,0768993	0,4530863	0,6661512	0,2342448	0,2347581	0,5795531	0,6193939	0,3596569	0,6691665	0,5303495	0,4712305	0,7547159	0,6083361	0,3033359	0,4847156	0,6183198	0,4737547	0,7356077	0,1271872	0,6533729	0,5630850	0,4803853	0,7265750	0,8448228	0,7155636	0,6313127	0,6445816	0,4085035	0,2311603	0,0345030	0,3162936	0,1749971	0,6011002	0,3425679	0,4666061	0,5349030	0,5076868	0,2473297	0,6947187	0,1126513	0,3400189	0,6140376	0,3195822
260	0,6179919	0,2725828	0,1331703	0,0167859	0,3012199	0,6781788	0,7165696	0,5035165	0,6405986	0,6179839	0,7217478	0,0292937	0,6239678	0,4609562	0,0462586	0,2532599	0,2116017	0,1592983	0,1329449	0,3170490	0,8013327	0,0984042	0,3834138	0,8101940	0,1433291	0,2740829	0,5452180	0,6965019	0,3654620	0,6618716	0,3905136	0,4924473	0,7142629	0,7197674	0,2492510	0,6023424	0,6401685	0,6249810	0,6933553	0,1523174	0,9359330	0,4573905	0,3959993	0,7651688	0,6259299	0,7706683	0,6070201	0,6515550	0,5022636	0,3283840	0,0927877	0,4572356	0,2020972	0,6452837	0,3649944	0,3963454	0,5796926	0,5468847	0,2715601	0,7342470	0,1101417	0,3830298	0,6658671	0,3854304
280	0,5870845	0,2110832	0,1808692	0,0359085	0,2745857	0,5620101	0,6126692	0,5901231	0,6485097	0,8535919	0,8379570	0,0033301	0,7880271	0,5188000	0,0643438	0,2844063	0,2073337	0,1807057	0,1506097	0,4190658	0,8109105	0,0693658	0,3943785	0,6369198	0,1681792	0,2696467	0,5772838	0,6216580	0,4041133	0,6380144	0,4496936	0,4862659	0,6846256	0,6559338	0,2438856	0,5888105	0,7542915	0,6875488	0,7862232	0,2021651	0,7969328	0,6230916	0,4708696	0,7897539	0,7631758	0,6634004	0,7068578	0,6011039	0,6091047	0,4572510	0,0725652	0,4163665	0,1645054	0,6744080	0,3501960	0,4691292	0,6913433	0,6690885	0,3185808	0,7011528	0,1217919	0,5260266	0,7056615	0,3745041
300	0,5902236	0,2686977	0,1642757	0,0679539	0,2703980	0,6902059	0,6977976	0,5694591	0,5950825	0,7666381	0,6651233	0,0189006	0,7493484	0,5584903	0,0678513	0,3390063	0,1900913	0,1872900	0,1827822	0,2925922	0,7252959	0,0865015	0,4700838	0,8664661	0,1870394	0,3573727	0,6163571	0,7452361	0,4514953	0,5798306	0,5471784	0,5010200	0,6982753	0,8070127	0,3253623	0,7112133	0,6457361	0,6702677	0,8078186	0,2197295	0,7150609	0,5470606	0,4019158	0,5785243	0,7902433	0,6818530	0,5974949	0,7359120	0,7274921	0,4279874	0,0723432	0,4117335	0,1313995	0,5959306	0,4254497	0,5588086	0,5370361	0,5799500	0,4078512	0,6430682	0,0988644	0,5053411	0,7975090	0,3618691
320	0,7122805	0,2698771	0,2392532	0,0185730	0,2304213	0,6980931	0,7597627	0,5235245	0,5703960	0,6296225	0,8037801	0,0274311	0,6727454	0,4190736	0,1186469	0,2643989	0,2147943	0,1886645	0,2171993	0,2824494	0,7876254	0,1359727	0,4152698	0,5927047	0,1942714	0,2693291	0,4990983	0,8200877	0,4964072	0,6846224	0,4487092	0,4371071	0,7162142	0,7301613	0,2120578	0,5488160	0,6666802	0,5635508	0,7204987	0,2459065	0,7364020	0,4775949	0,5583065	0,5691002	0,6110256	0,7354434	0,5657181	0,6157007	0,6977115	0,3455098	0,0637470	0,3870840	0,1434292	0,6985693	0,3954204	0,5849502	0,7035304	0,5593723	0,4035858	0,8116698	0,1506741	0,4672630	0,8502243	0,3896043
340	0,7676683	0,3050214	0,2470923	0,0157644	0,1935701	0,6515727	0,6383346	0,6490143	0,5460962	0,9482530	0,7301375	0,0442758	0,8550820	0,4207007	0,0628538	0,3735902	0,1536535	0,2366011	0,1513906	0,3372397	0,7757639	0,1149578	0,3518799	0,6312403	0,2370983	0,2487119	0,5137549	0,9305903	0,5871075	0,6217613	0,4440010	0,4505638	0,6458497	0,6506189	0,2697951	0,5719154	0,6031230	0,5361926	0,7763676	0,2261334	0,8459653	0,5135326	0,4248076	0,5628952	0,6334237	0,6849713	0,5958855	0,5317917	0,6650999	0,3603333	0,0813191	0,4769636	0,1425306	0,6702130	0,3815405	0,6184000	0,5109547	0,7547931	0,3325730	0,7593564	0,1236333	0,4113706	0,7682588	0,3138878
360	0,7437726	0,3665296	0,2687012	0,0379409	0,2629552	0,8403621	0,8259687	0,5871463	0,5670437	0,7135407	0,6804998	0,0306347	0,6509694	0,6001226	0,0673031	0,3651478	0,2379490	0,1677858	0,1563468	0,3472146	0,7413031	0,0621936	0,4375027	0,6802957	0,1865523	0,2713633	0,6357338	0,6548918	0,5629297	0,6707631	0,5419158	0,4524469	0,7172517	0,7163666	0,1801878	0,6319902	0,6273117	0,6798386	0,8089658	0,1684514	0,7299860	0,5946404	0,4152002	0,6537984	0,7328588	0,7632236	0,5838830	0,7003254	0,6593880	0,3813726	0,0720109	0,5246909	0,1749085	0,7468206	0,3852035	0,5429856	0,6560144	0,6006477	0,3186283	0,7267134	0,1276517	0,3325812	0,7049880	0,4307803
