"Time"	rhaR	rhaS	crp	feaR	melR	zraR	malI	mtlR	prpR	ascG	rbsR	marR	fucR	chbR	nagC	srlR	gutM	idnR	xylR	uxuR	chbB	chbF	chbG	chbA	chbC	gutQ	srlE	srlD	srlA	srlB	zraS	rhaB	prpE	prpD	rbsC	rbsA	melB	nagE	fucO	rhaD	ascF	prpB	rbsB	fucU	rhaA	fucA	prpC	fucI	nagD	ascB	rbsK	fucP	malX	rbsD	gntP	melA	malY	nagB	fucK	xylF	uxuA	uxuB	rhaT	xylH
180	0,0012180	0,8812874	0,7808511	0,9023118	1,0813650	0,0252377	0,3445427	1,0116200	0,6500190	0,5995821	0,9333638	0,9066316	0,8879896	0,8186191	0,0751228	0,8511673	0,6098193	0,9170867	0,8990721	0,5475225	0,7253481	0,8203642	0,3512930	0,8921515	0,1660974	0,6369342	0,8198298	0,5343588	0,5742355	0,6764004	0,6538502	0,4036143	0,3798565	0,6668795	0,0823490	0,5502727	0,8672327	1,1220403	1,0185543	0,6347140	0,9149988	0,3715912	0,1659619	0,0675846	0,8505311	0,9519716	0,5097923	1,0113915	1,0499251	0,1025633	0,4494057	0,9554831	0,0361591	0,1969754	0,6336409	0,5896077	0,5845238	0,6780894	0,9665651	0,3439945	0,2884832	0,8014523	1,0445756	0,3752675
200	0,0044442	0,8462318	0,8162730	0,8629689	1,0697143	0,0237225	0,3889164	0,9621384	0,5898922	0,6176648	0,8714103	0,9269919	0,9266220	0,9111307	0,0739633	0,8443219	0,5607822	0,9217988	0,9753913	0,5565082	0,7198962	0,7829973	0,4002038	0,8475265	0,1633735	0,6145100	0,8276758	0,5371833	0,5336913	0,6592300	0,7081464	0,3908967	0,4646177	0,6310163	0,0754396	0,4911434	0,8677816	1,1126704	0,9883003	0,6712661	0,9245565	0,3991000	0,1557832	0,0864675	0,8717161	0,9605929	0,6001084	0,9837111	1,0210889	0,1261529	0,4445366	0,9429575	0,0298895	0,1438590	0,6268077	0,6130539	0,5633486	0,7375249	0,9643643	0,3056913	0,3174222	0,8772058	0,9635685	0,3944834
220	0,0024366	0,9088409	0,8028727	0,8855149	1,0366645	0,0176737	0,3552486	1,0411591	0,6293844	0,5892057	0,9167725	0,9275372	0,9828575	0,9659494	0,0836443	0,8430477	0,5590386	0,9149762	0,9907301	0,5673221	0,7330841	0,8899240	0,3943565	0,9140700	0,1295588	0,5849438	0,7706107	0,4681268	0,5186577	0,7098158	0,7221592	0,4011886	0,4910896	0,6199064	0,0633442	0,4792183	0,9248875	1,0988166	1,0318311	0,6208845	0,9268537	0,4474593	0,1538484	0,1104371	0,9114166	0,9456095	0,6228360	0,9729392	1,0753413	0,1287695	0,3586553	1,0026470	0,0212882	0,1387784	0,6669543	0,5892603	0,5446429	0,8408698	0,9854846	0,3279983	0,2855063	0,8528320	0,9692495	0,3834877
240	0,0043049	0,8941249	0,8334717	0,9140435	1,0111491	0,0269985	0,3522931	1,0703503	0,6248780	0,6423892	0,9552249	0,9629782	1,0059056	0,9130308	0,0498998	0,8157381	0,5700054	0,9547349	0,9173847	0,5100360	0,7336561	0,8727593	0,3863299	0,9451628	0,1683559	0,5480845	0,8117127	0,5054181	0,5105524	0,7055380	0,7239882	0,4297395	0,4848527	0,5977666	0,0529479	0,4423650	0,9158603	1,0647179	1,0592209	0,5867453	0,9479423	0,4218104	0,1279716	0,1137789	0,9563593	1,0030240	0,5966160	1,0263921	1,0323868	0,1158551	0,3391529	0,9892681	0,0133710	0,1426531	0,6901109	0,6097685	0,5493779	0,8143680	0,9600482	0,3856910	0,3514184	0,8363348	0,9792468	0,4156943
260	0,0009334	0,8912102	0,8487286	0,8933276	0,9638095	0,0321353	0,3556051	1,0999470	0,6069373	0,5686361	0,9748895	0,9725763	1,0792347	0,9451971	0,0445408	0,8630292	0,6214874	0,9038561	0,9290058	0,4883481	0,7336625	0,8925674	0,3727099	0,9411627	0,1162386	0,5563459	0,7865386	0,4954409	0,5128434	0,6958554	0,7464970	0,4082666	0,4919869	0,6377718	0,0448866	0,5208374	0,8988372	1,0404701	0,9858092	0,6652826	0,9213419	0,4567570	0,1382385	0,1240447	0,9739599	0,9981451	0,5939891	1,0562895	0,9588557	0,1056313	0,3596512	0,8369980	0,0091379	0,1295320	0,7724973	0,6025076	0,5351679	0,8208700	0,9231936	0,4077664	0,3518564	0,8052908	1,0131978	0,4605239
280	0,0032078	0,9543940	0,8605065	0,9439136	0,9377631	0,0285664	0,3630910	1,0406625	0,6358116	0,6748585	1,0258115	0,9961408	0,9621486	0,9501324	0,0348181	0,9003922	0,6131142	0,9355148	0,9556065	0,5255360	0,7484178	0,8945683	0,4418146	0,9929954	0,1583611	0,5567009	0,8075761	0,5388533	0,4884602	0,6641479	0,7747266	0,3953977	0,5178175	0,5901674	0,0456883	0,5553266	0,9081244	1,0050632	1,0423177	0,7145764	0,9820065	0,4315025	0,1667721	0,1179064	0,8885133	1,0233743	0,6316476	0,9566637	0,9178604	0,1427568	0,4049095	0,8896324	0,0046603	0,1432193	0,8204951	0,6287363	0,5031985	0,8249533	0,9283661	0,4761770	0,3836360	0,8047768	1,0126998	0,4521922
300	0,0071357	0,9476964	0,8662977	0,9509839	1,0186642	0,0219301	0,4035256	1,0733560	0,5771261	0,7056221	1,0254228	0,9895829	0,9707068	0,9457175	0,0356300	0,9225801	0,6188429	0,9762556	0,9446814	0,5029455	0,7019307	0,8634410	0,4543295	0,9932116	0,2291096	0,5976783	0,8132938	0,5222658	0,5008844	0,6636119	0,6885864	0,4409916	0,5878060	0,5837247	0,0547274	0,5702495	0,9313653	0,9766844	0,9193210	0,6887975	0,9713055	0,3660319	0,1698181	0,1248444	0,9067147	0,9853101	0,6637081	0,9757468	0,9996167	0,1548539	0,3869749	0,8725769	0,0068863	0,1715420	0,7908517	0,6157220	0,4771492	0,8483268	0,9991553	0,4995172	0,4116087	0,9125307	1,0250140	0,4919628
320	0,0073519	0,9746715	0,7982204	0,9771647	0,9698654	0,0280372	0,4220876	0,9695731	0,6240456	0,6900877	1,0482016	1,0177605	1,0560171	1,0219005	0,0417523	0,9149616	0,6474853	0,9806994	0,9203022	0,5788290	0,6904829	0,8453085	0,5103809	0,9725749	0,2959273	0,6630948	0,8046404	0,5893182	0,4845658	0,6205552	0,7154085	0,4506475	0,6214986	0,6491922	0,0541267	0,5780764	0,8627831	0,9976783	1,0052473	0,7662051	0,9331956	0,3978844	0,1429952	0,1501043	0,9110657	0,9903106	0,6664957	0,9290903	0,9959735	0,1519958	0,3706053	0,8983772	0,0066518	0,1723063	0,8242996	0,6010136	0,4609525	0,9114099	0,9941119	0,4700060	0,4660895	0,8916166	0,9741431	0,5404172
340	0,0006611	0,9403314	0,8512149	0,9693021	0,9790718	0,0285859	0,4394736	0,9503348	0,6622169	0,6707578	1,0898781	1,0875687	1,0448836	0,9649753	0,0422984	0,8604861	0,6725677	0,9411195	0,9270978	0,5947791	0,6701023	0,8099414	0,5468177	0,9764683	0,3759601	0,6528402	0,7704562	0,5320127	0,4671137	0,6621349	0,6960406	0,4824544	0,6866266	0,6381699	0,0575460	0,6149633	0,9094975	1,0163926	1,0103298	0,8458210	0,8638942	0,4186550	0,1584929	0,1707565	0,9172147	1,0303271	0,7188751	1,0100139	0,9639792	0,1476185	0,3957887	0,8731998	0,0062003	0,1532282	0,7552766	0,6236837	0,4518475	1,0016074	0,9673411	0,4477070	0,5158332	0,9388422	1,0068778	0,5296718
360	0,0000000	0,9128509	0,8637677	0,9570282	1,0108348	0,0229170	0,3789749	0,9644081	0,6475778	0,6592061	1,0655782	0,9617316	1,0440616	0,9596446	0,0441623	0,9151278	0,6189853	1,0533720	0,9883111	0,5903118	0,6224298	0,7654200	0,6220423	0,9492111	0,4045666	0,6081188	0,7689427	0,5104965	0,4934426	0,6689301	0,6603025	0,4863455	0,7033255	0,6340426	0,0666532	0,5969971	0,9419475	1,0304203	1,0397703	0,8310052	0,8747936	0,4225092	0,1657038	0,1725656	0,9822678	0,9643542	0,7741626	0,9834053	0,8713603	0,1616247	0,4018916	0,9322031	0,0012606	0,1520782	0,7662994	0,6186395	0,4620326	1,0067533	1,0146761	0,4702224	0,5437165	0,8389794	0,9839191	0,5002912
