"Time"	glrR	glmY	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	rstA	rcsB	rcsA	fhlA	hyfR	gadE	ydeO	evgA	csgE	csgG	csgF	sra	yjbE	yjbF	yjbG	yjbH	tdcB	tdcC	mdtF	tdcF	tdcE	mdtE	tdcD	tdcG	ompF	osmB	wzb	rprA	wzc	wcaB	wza	wcaA	bdm	hyfA	sgbE	yiaO	yiaK	hyfI	hyfJ	ftsZ	focB	hyfG	yiaL	yiaN	hyfE	hyfB	sgbU	ftsA	hyfD	hyfC	lyxK	sgbH
180	0,4885860	0,1152931	0,4600613	0,2929239	0,0152502	0,7116496	0,4883378	0,7837174	0,4520732	0,1666147	0,3506218	0,6265827	0,3599408	0,5575231	0,3032997	0,6726334	0,7029579	0,7048712	0,5293600	0,6750674	0,4391994	0,4678426	0,2571319	0,0784697	0,5988196	0,7072424	0,7549632	0,5899273	0,7435573	0,4037071	0,7327512	0,7302940	0,5044054	0,6416022	0,5409733	0,3982136	0,2575499	0,1353816	0,2935072	0,7478751	0,3822904	0,6619898	0,4132309	0,1113998	0,7101249	0,6051845	0,6092968	0,2848394	0,2137669	0,6395549	0,7081653	0,5858053	0,5141686	0,6231353	0,1614246	0,5895615	0,5950703	0,7274982	0,2047366	0,8150272	0,5011963	0,8148566	0,3761951	0,6122307
200	0,5319441	0,1679927	0,5236862	0,3587398	0,0184491	0,7389578	0,4533544	0,7697784	0,4677093	0,1278820	0,3748637	0,7901070	0,3206894	0,5524591	0,2564615	0,6102580	0,6563190	0,7179525	0,5505334	0,6579129	0,3871203	0,4999526	0,3425379	0,1180879	0,5673429	0,7276417	0,6801051	0,8101286	0,6385852	0,4489255	0,8383795	0,6885442	0,5565797	0,6911780	0,6906509	0,5575973	0,2141415	0,1227727	0,2770176	0,7383826	0,3948163	0,6903856	0,4716096	0,1528165	0,6949242	0,8177425	0,7803480	0,3750850	0,3221740	0,7320801	0,5096786	0,4973642	0,6089982	0,7053046	0,2805425	0,6247889	0,6188042	0,7025554	0,2237882	0,6588126	0,5672623	0,7966879	0,3638466	0,5253888
220	0,5425844	0,1996227	0,3364905	0,3340143	0,0157921	0,8028502	0,5251362	0,6147286	0,5386080	0,1652483	0,4164726	0,6836687	0,3567223	0,6707913	0,3072341	0,7265076	0,6179766	0,6374954	0,5715194	0,6828565	0,5100012	0,4740988	0,3756122	0,0914321	0,5460733	0,6105965	0,6678741	0,6488643	0,6062099	0,4685349	0,7077182	0,7200073	0,6268897	0,6935564	0,7692368	0,4176364	0,2443820	0,1413552	0,3327248	0,7412606	0,4545696	0,8319210	0,3501398	0,1203424	0,5959560	0,7362870	0,7039489	0,2371086	0,3040949	0,6782158	0,4908704	0,4088388	0,4668125	0,7147654	0,2322785	0,6235088	0,5929449	0,5584815	0,3066913	0,7500551	0,5448451	0,8491385	0,3467197	0,6427189
240	0,5623599	0,1497713	0,3552695	0,3157130	0,0065702	0,7542191	0,3829738	0,8235753	0,5365938	0,1774380	0,4308743	0,6768488	0,3243374	0,5620417	0,2859065	0,8058013	0,4981823	0,5356771	0,5886650	0,7054711	0,4924368	0,4324881	0,3602513	0,0753569	0,4630162	0,7462669	0,6404080	0,6677043	0,5949533	0,3626558	0,9000857	0,7301335	0,5382498	0,5768920	0,6471189	0,5372844	0,2477235	0,1003127	0,3140802	0,7719521	0,4263463	0,6287336	0,3716859	0,1074480	0,7595860	0,7501911	0,6216592	0,2461496	0,1927586	0,7405392	0,5407717	0,5437254	0,5082078	0,6502110	0,2199280	0,5524183	0,7563381	0,6666145	0,2340826	0,7551545	0,5225073	0,6517092	0,3884354	0,6674855
260	0,5478293	0,1708560	0,4453155	0,4151436	0,0022665	0,6996942	0,4091983	0,6947130	0,4476589	0,2125709	0,3569023	0,5988004	0,2685287	0,6851222	0,2789371	0,7654874	0,5984505	0,7309229	0,6060767	0,8057238	0,4801138	0,4552485	0,3683272	0,0896952	0,4982169	0,7888487	0,6247589	0,7471666	0,5463341	0,5338697	0,6871972	0,6452980	0,5427448	0,7041472	0,6147730	0,4544374	0,2325911	0,1163678	0,2849443	0,6608580	0,5416313	0,7469782	0,4350680	0,1145443	0,7402628	0,6998536	0,6460824	0,2979466	0,2596471	0,6055343	0,5799675	0,4026976	0,5023114	0,7051637	0,1757630	0,5637543	0,6434488	0,6102004	0,2366190	0,7181167	0,3769423	0,6494256	0,4196923	0,5764804
280	0,4216036	0,2527361	0,4883702	0,4168400	0,0000000	0,6368153	0,3731460	0,6302900	0,4651246	0,2380357	0,3223020	0,6858315	0,2697854	0,5923782	0,3281117	0,7579456	0,5603637	0,6568349	0,5700061	0,8353933	0,5094501	0,3890123	0,3845900	0,0606092	0,5726094	0,7699480	0,6825438	0,8062927	0,5965514	0,4396909	0,7230825	0,7228191	0,5260202	0,5534801	0,6932960	0,4147999	0,2242216	0,1029113	0,2067622	0,7720536	0,4052884	0,6328614	0,4024554	0,1399454	0,6244588	0,8153284	0,5586757	0,3709606	0,2100985	0,7256824	0,5260166	0,4652820	0,5804789	0,6949462	0,1717975	0,6353163	0,7844090	0,7408611	0,2214419	0,7229025	0,4628069	0,6543927	0,4571978	0,6268018
300	0,5041293	0,1425815	0,5282464	0,3234535	0,0025466	0,7983077	0,2989369	0,6443383	0,4257166	0,1810283	0,3443412	0,6616681	0,3535432	0,4862101	0,3112377	0,6366929	0,5259211	0,7530370	0,6241105	0,7333605	0,4310250	0,5034411	0,3982731	0,0443537	0,5635973	0,7855677	0,7427439	0,7612748	0,6440955	0,5610880	0,6774796	0,5997224	0,5571892	0,6034623	0,4647467	0,3689431	0,2205295	0,1257221	0,2634076	0,5795715	0,4851564	0,6135207	0,4249229	0,1227747	0,6907169	0,8922895	0,7341369	0,3361007	0,2371362	0,6878327	0,4766095	0,4908120	0,4001827	0,6903493	0,2215967	0,6230684	0,6464471	0,6450200	0,2322485	0,6928115	0,3686776	0,6111330	0,4787498	0,6281103
320	0,4897341	0,1263697	0,4844493	0,3181307	0,0011323	0,6865991	0,4389562	0,6388196	0,4418115	0,1702394	0,3651073	0,6789938	0,3998914	0,5450545	0,2516962	0,6390545	0,6780726	0,8327855	0,6392638	0,6389702	0,5458060	0,4152021	0,3462567	0,0429340	0,7073830	0,8573108	0,5834173	0,8495099	0,5060987	0,4559115	0,6263569	0,5821855	0,6758542	0,4475679	0,5464528	0,4188271	0,2008308	0,1552118	0,3624240	0,8096995	0,4459433	0,5375629	0,4191314	0,0758497	0,6627412	0,6183979	0,7337624	0,3519259	0,1895799	0,7239931	0,5918289	0,4745123	0,4390301	0,7868845	0,1687530	0,6859407	0,6207614	0,6483307	0,2591666	0,6502493	0,3634046	0,6851406	0,3807110	0,6602564
340	0,4270517	0,1434141	0,4026006	0,2913459	0,0017329	0,5851317	0,4138088	0,7663313	0,4248331	0,1178165	0,3709654	0,6556720	0,2530736	0,5181274	0,3338925	0,7169419	0,6167290	0,8866962	0,5519994	0,7041094	0,5107621	0,4095415	0,4878866	0,0468404	0,5882762	0,9041828	0,7360137	0,6441777	0,5141369	0,4718547	0,7296860	0,7304261	0,5807179	0,5726719	0,6568866	0,3020438	0,2756295	0,0773535	0,2608564	0,7944405	0,4379656	0,6583671	0,3698613	0,0902973	0,6909382	0,5976233	0,7567954	0,2835491	0,2809849	0,6938681	0,5108319	0,4042121	0,3991481	0,7488611	0,1750208	0,4475433	0,6820996	0,6729715	0,2192111	0,6630748	0,4546770	0,5452489	0,3894580	0,5427194
360	0,5773626	0,1021876	0,3965054	0,3272170	0,0036088	0,8357825	0,3652496	0,7210367	0,4422406	0,1843845	0,5389148	0,5593119	0,2281345	0,4543756	0,3659330	0,6238110	0,6405073	0,7712961	0,6009074	0,6346104	0,4457356	0,3435345	0,4001689	0,0693330	0,5721980	0,7602998	0,6988776	0,6874515	0,5221637	0,4142620	0,6668520	0,8070711	0,5807141	0,4796521	0,5358609	0,4448317	0,3001078	0,0585272	0,2785882	0,7460237	0,3569405	0,6919756	0,4027551	0,0717697	0,7119960	0,6504573	0,6946736	0,2666058	0,2933443	0,7052573	0,6434413	0,4962980	0,4638816	0,6624799	0,1840657	0,5610058	0,6724376	0,6260321	0,3408060	0,7318945	0,5117588	0,7617207	0,4125867	0,5868029
