"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	yhiD	hdeB	hdeA	rutB	rutG	rutC	rutE	rutF	rutA	rutD	cadB	gadB	fadL	cadA	gadC	sra	rprA	nemA	wcaB	wza	lldP	osmB	betT	betB	wcaA	wzc	gadY	wzb	betA	lldD	bdm	treC	slp	hdeD	treB	dctR	rpoS	yjbF
180	0,4180831	0,6136991	0,3496719	0,0540811	0,6375357	0,2269082	0,2594685	0,5350769	0,5605445	0,5726751	0,6114401	0,0528605	0,6261058	0,4050638	0,6814961	0,5389773	0,7887631	0,1261351	0,2902767	0,6770219	0,6490880	0,3304616	0,1269193	0,5858741	0,0470446	0,2936733	0,7457652	0,7496744	0,4218816	0,7608479	0,0149532	0,6265478	0,6279941	0,0767524	0,6460068	0,4437617	0,6101252	0,4685267	0,2450247	0,3751581	0,1105517	0,0430617	0,7372049	0,2547825	0,6227554	0,7396167	0,5388180	0,7834434	0,0148103	0,4563200	0,6501104	0,6847114	0,3770420	0,5874992	0,2458839	0,0822954	0,8219386	0,5066005	0,6843815	0,6111352	0,5106538	0,4745670	0,2140913	0,6167448
200	0,4663647	0,6161992	0,3023787	0,0367175	0,8420991	0,1937691	0,1976391	0,5450769	0,6209865	0,5247984	0,5842173	0,0543984	0,6314694	0,4420782	0,6138726	0,5828434	0,7259374	0,0922221	0,3053611	0,5978235	0,7209658	0,4840198	0,1431485	0,5654899	0,1047903	0,2405483	0,6927273	0,6791376	0,3781240	0,7083912	0,0275038	0,5910309	0,5563030	0,0648813	0,5271517	0,4598004	0,7142309	0,4546796	0,2812954	0,3824956	0,0963127	0,0437015	0,8388709	0,2544621	0,6274606	0,7102337	0,5593066	0,7462575	0,0040094	0,5155123	0,5218845	0,6132362	0,3735747	0,6526723	0,2803129	0,1666466	0,7726211	0,4304749	0,7710113	0,5404972	0,5475355	0,5093009	0,3241918	0,7169687
220	0,4906814	0,7529171	0,3190750	0,0103889	0,6524262	0,2696108	0,2683323	0,4821611	0,5781013	0,5448752	0,5701468	0,0618965	0,5237351	0,4940116	0,8191928	0,7651250	0,7323396	0,0791563	0,3269294	0,5628457	0,8429535	0,5254438	0,1332527	0,6732821	0,1051278	0,2596534	0,7357107	0,6751059	0,4273996	0,6965418	0,0261987	0,6484834	0,6162828	0,0938371	0,4902502	0,5973483	0,5414879	0,4514166	0,2487511	0,4008098	0,1101769	0,0238045	0,6496334	0,2446781	0,5469676	0,6778934	0,6271109	0,8003516	0,0081416	0,5188531	0,5888924	0,6517957	0,4277226	0,7422744	0,3356707	0,2075629	0,6833611	0,4605819	0,7084187	0,5374694	0,5327802	0,4692991	0,3966197	0,7460191
240	0,4882426	0,7796749	0,3974543	0,0306183	0,5828536	0,2505901	0,2500968	0,5121176	0,6021829	0,5919503	0,5620242	0,0408004	0,6103348	0,5025859	0,8612752	0,6723736	0,7783545	0,0867409	0,3333177	0,6684402	0,6085656	0,4621556	0,1039778	0,6710385	0,0929548	0,2983773	0,6857577	0,6514573	0,4176420	0,6050484	0,0139147	0,6154027	0,4654489	0,0869411	0,5514190	0,4173711	0,6343963	0,4850951	0,2987431	0,4138185	0,1135128	0,0535499	0,7106866	0,2161404	0,6007728	0,7523323	0,6372167	0,7524876	0,0143141	0,5155898	0,7079728	0,4700716	0,4994009	0,5223005	0,3476852	0,0899931	0,7592822	0,5208271	0,6115366	0,5303371	0,4881285	0,4254082	0,3203234	0,7862068
260	0,4789567	0,7196867	0,2782363	0,0214955	0,8604176	0,2604255	0,2875497	0,5475731	0,5567435	0,5033012	0,5849522	0,0571501	0,5464538	0,4811835	0,6393543	0,6219177	0,8148915	0,0781500	0,3594704	0,4967902	0,5479902	0,3965289	0,1178940	0,7444292	0,0735952	0,2819272	0,7332531	0,7798802	0,3553697	0,6524464	0,0204027	0,6475399	0,6266238	0,0650571	0,4624845	0,4521269	0,7217231	0,5698850	0,1984890	0,4153022	0,1666706	0,0334480	0,8269583	0,1958520	0,6714585	0,6294722	0,5836336	0,7381726	0,0020112	0,4706552	0,6444826	0,6084301	0,5762837	0,6804838	0,3136507	0,1127890	0,6700564	0,4748227	0,7174341	0,6461488	0,6359454	0,4427872	0,3137204	0,7281337
280	0,4393376	0,7603552	0,2465846	0,0416695	0,6321796	0,3182368	0,2016814	0,4369625	0,6524468	0,4927864	0,6073491	0,0992377	0,5607743	0,5044760	0,6047337	0,7023017	0,7349143	0,1123418	0,2705607	0,5599997	0,5391371	0,3736048	0,2010720	0,6000494	0,1093657	0,3113547	0,6243253	0,7323554	0,2903924	0,6061995	0,0138578	0,5360725	0,5779605	0,0800782	0,6616230	0,4801122	0,6894107	0,5975481	0,1672542	0,3807591	0,1695473	0,0557934	0,7690652	0,2469573	0,6721934	0,8158207	0,5485092	0,6093243	0,0008730	0,4234486	0,7303111	0,6012955	0,4001462	0,6020130	0,2961032	0,0897724	0,7474638	0,5522984	0,6844632	0,6949876	0,5395972	0,5365715	0,2483074	0,7601615
300	0,4333644	0,7046690	0,3674024	0,0248126	0,7071404	0,2486110	0,2594712	0,4496392	0,5666284	0,5645431	0,6112014	0,0228808	0,6304129	0,4003956	0,6854408	0,6083548	0,7634966	0,0676665	0,3730249	0,6034749	0,6287317	0,3314296	0,1327888	0,7094315	0,1274521	0,2843215	0,7608717	0,7928283	0,4834447	0,5576546	0,0183418	0,6810452	0,5291086	0,0792317	0,5021433	0,4738324	0,6666699	0,5073711	0,1868992	0,5143643	0,2123830	0,0473555	0,6335417	0,2484657	0,6889939	0,7216156	0,5615446	0,6955344	0,0022826	0,4624898	0,6172943	0,6717483	0,4075975	0,6621648	0,3089228	0,0796121	0,7209565	0,4039641	0,8239691	0,5723833	0,4513486	0,4504094	0,3912346	0,6795132
320	0,4301516	0,7025065	0,3148066	0,0377487	0,5849138	0,2741793	0,2441617	0,5132572	0,5776445	0,5373507	0,4848155	0,0654759	0,6365048	0,5142776	0,7069330	0,6073541	0,8029168	0,1208559	0,3136536	0,6275933	0,7056643	0,2988521	0,1566497	0,8101684	0,1013750	0,3473438	0,7065522	0,7208016	0,3897941	0,6816385	0,0328610	0,5979476	0,5844671	0,0665082	0,5776241	0,5244777	0,6795163	0,5503207	0,1944301	0,5570822	0,1090645	0,0723723	0,6486309	0,2383751	0,5597195	0,6524562	0,5218899	0,6309536	0,0188508	0,5010318	0,6678023	0,6092847	0,4944245	0,6131220	0,3007706	0,1262071	0,5820410	0,4245176	0,7145523	0,5462408	0,4813161	0,3987628	0,3497401	0,7602479
340	0,4222145	0,6902510	0,3104343	0,0258434	0,6068433	0,2386066	0,2244773	0,4555293	0,7050320	0,5162733	0,6575432	0,0589300	0,6466226	0,4494976	0,7055642	0,6092872	0,7097432	0,1061521	0,2585938	0,6553184	0,6460622	0,2871377	0,1107494	0,7237142	0,0698855	0,3681588	0,7363445	0,8554651	0,3593188	0,6427890	0,0373104	0,6962687	0,6196045	0,1037857	0,4981814	0,4590810	0,6638599	0,4936491	0,1940962	0,4598145	0,1015060	0,0317795	0,7345631	0,2119041	0,6661340	0,7057676	0,4711835	0,7576540	0,0048201	0,5061159	0,6173474	0,5744499	0,4551429	0,6630280	0,2976995	0,1452018	0,6748698	0,3846842	0,7779546	0,5469990	0,4978099	0,4590072	0,4464108	0,7380013
360	0,4136434	0,7307831	0,3116080	0,0725330	0,7677910	0,1956725	0,1521811	0,4437735	0,5957128	0,6025664	0,5081469	0,0710430	0,6508160	0,3992114	0,6942959	0,6450766	0,7011409	0,0995984	0,2949445	0,4975145	0,6305845	0,3746090	0,0961965	0,7122335	0,0613953	0,3576489	0,7099648	0,7676641	0,3731960	0,6241746	0,0274915	0,7046264	0,6302766	0,0763217	0,5789360	0,5526074	0,6670725	0,5241282	0,2606479	0,4629371	0,1492009	0,0447643	0,7444753	0,2297858	0,6464063	0,7454093	0,5409244	0,8083450	0,0058253	0,4985902	0,6054688	0,6217426	0,4303265	0,5379068	0,2979140	0,2074686	0,6223219	0,4830659	0,6428949	0,5704499	0,4029301	0,5216371	0,3343078	0,7538388
