"Time"	betI	arcA	lldR	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	hdeA	yhiD	hdeB	rutF	rutE	rutA	rutG	rutD	rutB	rutC	gadC	cadA	gadB	fadL	cadB	sra	wza	wcaA	wzb	wzc	osmB	nemA	lldP	wcaB	betA	betB	lldD	rprA	bdm	betT	gadY	treB	hdeD	slp	treC	dctR	yjbE	yjbF
180	0,0075847	1,0000000	0,4430658	0,4451950	0,9976972	0,5715364	0,2771915	0,6003644	0,7077372	0,9269595	0,9699491	0,9949477	0,9999751	0,0379344	0,8402870	0,9997711	1,0000000	0,2548683	0,6871866	0,6011428	0,9923551	0,8432747	0,5006834	0,2890815	0,0283342	0,6879528	0,7904902	0,0411801	0,7846968	0,8133952	0,9485709	0,8542767	0,7711969	0,9601859	0,9125143	0,9835285	0,4051324	0,2265392	0,9029891	0,2233158	0,8295564	0,8374036	0,6394794	0,3051433	0,9861731	0,8228763	0,9999006	0,9930021	0,4630101	0,6204616	0,1920527	0,3771242	0,3124616	0,9972431	0,5996023	0,6558849	0,8862388	0,5797492	0,9041670	0,6058086	0,2165348	0,4882572	0,9985063	0,9074565
200	0,0049368	1,0000000	0,4430658	0,4451992	0,9977303	0,5720802	0,2783426	0,6008109	0,7047186	0,9302819	0,9699491	0,9949477	0,9999751	0,0381234	0,8397259	0,9997776	1,0000000	0,2548683	0,6871866	0,6011428	0,9925747	0,8445972	0,5009305	0,2890915	0,0283916	0,6929378	0,7978072	0,0410179	0,7869638	0,8133991	0,9488538	0,8544056	0,7719275	0,9612868	0,9133785	0,9840038	0,4038709	0,2288431	0,9011995	0,2233158	0,8297332	0,8356618	0,6359089	0,3010619	0,9860590	0,8226129	0,9999017	0,9932818	0,4630101	0,6189231	0,1934118	0,3784874	0,3124614	0,9976063	0,5968789	0,7370406	0,8888153	0,5797492	0,9073635	0,6145098	0,2165348	0,4919991	0,9984879	0,9074531
220	0,0032136	1,0000000	0,4430658	0,4452026	0,9977450	0,5722929	0,2786654	0,6005191	0,7025238	0,9327116	0,9699492	0,9949477	0,9999751	0,0382486	0,8393956	0,9997818	1,0000000	0,2548683	0,6871866	0,6011428	0,9927387	0,8455203	0,5011491	0,2891000	0,0284429	0,6965990	0,8033749	0,0409008	0,7890724	0,8134000	0,9490401	0,8543368	0,7724098	0,9619321	0,9139005	0,9842972	0,4028789	0,2306353	0,8997087	0,2233158	0,8298335	0,8344174	0,6332849	0,2981761	0,9859766	0,8224132	0,9999021	0,9934457	0,4630101	0,6179347	0,1956066	0,3792591	0,3124613	0,9978213	0,5947551	0,8043813	0,8906360	0,5797492	0,9099085	0,6214143	0,2165348	0,4948697	0,9984740	0,9074507
240	0,0020922	1,0000000	0,4430658	0,4452053	0,9977504	0,5723371	0,2785571	0,5998928	0,7012889	0,9344822	0,9699492	0,9949477	0,9999751	0,0383301	0,8392012	0,9997844	1,0000000	0,2548683	0,6871866	0,6011428	0,9928598	0,8461644	0,5013349	0,2891069	0,0284871	0,6992941	0,8075315	0,0408181	0,7909299	0,8133996	0,9491613	0,8542128	0,7727236	0,9622967	0,9142034	0,9844733	0,4021413	0,2320134	0,8985038	0,2233158	0,8298908	0,8335454	0,6313893	0,2961685	0,9859182	0,8222645	0,9999022	0,9935394	0,4630100	0,6173093	0,1991492	0,3796902	0,3124613	0,9979485	0,5931232	0,8575066	0,8919211	0,5797492	0,9119082	0,6267418	0,2165348	0,4969959	0,9984637	0,9074489
260	0,0013624	1,0000000	0,4430658	0,4452074	0,9977520	0,5723118	0,2782912	0,5991874	0,7007977	0,9357665	0,9699492	0,9949477	0,9999751	0,0383824	0,8390868	0,9997861	1,0000000	0,2548683	0,6871866	0,6011428	0,9929477	0,8466136	0,5014877	0,2891123	0,0285242	0,7012838	0,8105820	0,0407609	0,7924982	0,8133988	0,9492405	0,8541008	0,7729286	0,9624991	0,9143765	0,9845783	0,4016259	0,2330630	0,8975572	0,2233158	0,8299234	0,8329439	0,6300389	0,2947908	0,9858774	0,8221554	0,9999021	0,9935935	0,4630100	0,6169182	0,2048517	0,3799286	0,3124613	0,9980237	0,5918835	0,8978781	0,8928235	0,5797492	0,9134626	0,6307461	0,2165348	0,4985182	0,9984562	0,9074477
280	0,0008875	1,0000000	0,4430658	0,4452092	0,9977527	0,5722689	0,2780225	0,5985416	0,7007481	0,9366929	0,9699492	0,9949477	0,9999752	0,0384155	0,8390195	0,9997871	1,0000000	0,2548683	0,6871866	0,6011428	0,9930104	0,8469268	0,5016099	0,2891165	0,0285546	0,7027566	0,8127867	0,0407222	0,7937784	0,8133981	0,9492930	0,8540234	0,7730657	0,9626135	0,9144783	0,9846425	0,4012922	0,2338564	0,8968327	0,2233158	0,8299417	0,8325344	0,6290879	0,2938560	0,9858494	0,8220762	0,9999021	0,9936261	0,4630100	0,6166760	0,2139745	0,3800596	0,3124613	0,9980682	0,5909505	0,9277218	0,8934520	0,5797492	0,9146602	0,6336822	0,2165348	0,4995727	0,9984508	0,9074469
300	0,0005784	1,0000000	0,4430658	0,4452106	0,9977535	0,5722310	0,2778176	0,5980137	0,7008930	0,9373573	0,9699492	0,9949477	0,9999752	0,0384362	0,8389799	0,9997878	1,0000000	0,2548683	0,6871866	0,6011428	0,9930543	0,8471449	0,5017055	0,2891195	0,0285789	0,7038487	0,8143582	0,0406966	0,7947948	0,8133976	0,9493290	0,8539806	0,7731609	0,9626827	0,9145430	0,9846840	0,4010982	0,2344519	0,8962919	0,2233158	0,8299519	0,8322587	0,6284245	0,2932279	0,9858303	0,8220195	0,9999020	0,9936475	0,4630100	0,6165272	0,2284064	0,3801312	0,3124613	0,9980944	0,5902534	0,9493355	0,8938850	0,5797492	0,9155757	0,6357846	0,2165348	0,5002797	0,9984468	0,9074464
320	0,0003772	1,0000000	0,4430658	0,4452117	0,9977549	0,5722044	0,2776894	0,5976139	0,7010791	0,9378306	0,9699492	0,9949477	0,9999752	0,0384491	0,8389566	0,9997882	1,0000000	0,2548683	0,6871866	0,6011428	0,9930844	0,8472967	0,5017787	0,2891218	0,0285981	0,7046590	0,8154648	0,0406800	0,7955836	0,8133974	0,9493545	0,8539634	0,7732299	0,9627289	0,9145889	0,9847128	0,4010052	0,2348962	0,8958977	0,2233158	0,8299576	0,8320748	0,6279654	0,2928094	0,9858174	0,8219790	0,9999019	0,9936628	0,4630100	0,6164363	0,2508129	0,3801701	0,3124613	0,9981099	0,5897354	0,9647506	0,8941797	0,5797492	0,9162709	0,6372563	0,2165348	0,5007383	0,9984441	0,9074460
340	0,0002463	1,0000000	0,4430658	0,4452126	0,9977565	0,5721886	0,2776251	0,5973275	0,7012341	0,9381656	0,9699492	0,9949477	0,9999752	0,0384571	0,8389429	0,9997885	1,0000000	0,2548683	0,6871866	0,6011428	0,9931046	0,8474022	0,5018339	0,2891234	0,0286131	0,7052596	0,8162359	0,0406696	0,7961844	0,8133974	0,9493730	0,8539614	0,7732814	0,9627628	0,9146245	0,9847342	0,4009803	0,2352258	0,8956168	0,2233158	0,8299609	0,8319531	0,6276499	0,2925325	0,9858088	0,8219504	0,9999019	0,9936745	0,4630100	0,6163811	0,2845855	0,3801913	0,3124613	0,9981190	0,5893525	0,9756180	0,8943776	0,5797492	0,9167953	0,6382640	0,2165348	0,5010257	0,9984421	0,9074458
360	0,0001611	1,0000000	0,4430658	0,4452134	0,9977582	0,5721804	0,2776036	0,5971309	0,7013372	0,9384012	0,9699492	0,9949477	0,9999752	0,0384619	0,8389348	0,9997887	1,0000000	0,2548683	0,6871866	0,6011428	0,9931178	0,8474755	0,5018748	0,2891245	0,0286246	0,7057038	0,8167683	0,0406633	0,7966349	0,8133974	0,9493866	0,8539665	0,7733206	0,9627889	0,9146532	0,9847506	0,4009977	0,2354690	0,8954211	0,2233158	0,8299630	0,8318732	0,6274343	0,2923506	0,9858031	0,8219302	0,9999018	0,9936835	0,4630100	0,6163477	0,3332768	0,3802028	0,3124613	0,9981244	0,5890704	0,9832116	0,8945085	0,5797492	0,9171887	0,6389392	0,2165348	0,5011993	0,9984407	0,9074456
