"Time"	hns	cspA	bolA	bglJ	leuO	cadC	stpA	nhaR	gutM	srlR	appY	caiF	gadW	gadX	rutR	nemR	gadE	rcsA	ydeO	evgA	mdtF	mdtE	cadA	cadB	bglG	bglB	bglF	yhiD	hdeA	hdeB	gadA	hdeD	gutQ	srlD	srlB	srlE	srlA	gadB	osmC	gadC	nhaA	fliC	gadY	yjjQ	nemA	dctR	slp	yjjP	ampC	pgaC	gmr	yegR	proW	leuA	leuL	hchA	ybaS	leuC	cspD	mukE	evgS	yciE	gnd	proV
820	0,1242276	0,7653153	0,1061833	0,5347992	0,0194838	0,0427431	0,5495279	0,4487776	0,1901096	0,3343470	0,4174746	0,6246498	0,5378058	0,0010954	0,3362689	0,2313787	0,0701484	0,6532814	0,0092761	0,0975538	0,4957001	0,2089146	0,6044701	0,0204737	0,4599351	0,1631121	0,1368528	0,3586262	0,3204788	0,4517553	0,0417252	0,2831304	0,3544114	0,0706119	0,3087947	0,5334969	0,0126802	0,0071489	0,7788145	0,0089909	0,7317672	0,0320916	0,3113122	0,8319043	0,1057282	0,0991675	0,5652943	0,6449819	0,7314112	0,5746372	0,3383067	0,5859912	0,6120426	0,0054791	0,0224091	0,3204996	0,0795321	0,0962784	0,0675198	0,1384604	0,0382250	0,5733602	0,0258101	0,5644915
840	0,1684707	0,6316824	0,0694133	0,7511645	0,0056004	0,0264266	0,6276363	0,4055573	0,1231360	0,3450425	0,5395780	0,5223415	0,5221341	0,0008971	0,3981171	0,1950299	0,0453474	0,6439983	0,0212869	0,0969416	0,4885044	0,1570260	0,5715459	0,0097469	0,4115315	0,1546459	0,1309406	0,3747508	0,4836494	0,4658793	0,0439141	0,2892073	0,3417776	0,0806929	0,1659217	0,5699088	0,0232534	0,0036168	0,7208712	0,0031786	0,7496467	0,0255927	0,3429953	0,5611477	0,0777368	0,1379802	0,7013657	0,6835566	0,6073186	0,6492561	0,2568588	0,5144021	0,7463145	0,0063460	0,0139500	0,3454312	0,1191925	0,1167093	0,0908211	0,0976725	0,0843101	0,5655494	0,0455188	0,5882989
860	0,2299942	0,7881713	0,1039344	0,6297988	0,0148630	0,0508182	0,5596385	0,3770680	0,1329394	0,3744757	0,5258415	0,5822349	0,5937731	0,0022737	0,4946635	0,1609672	0,0681068	0,6859463	0,0090277	0,1206443	0,5294507	0,1841639	0,5967357	0,0199056	0,3582863	0,1676127	0,1577420	0,3567146	0,3809271	0,4238021	0,0881536	0,3143725	0,3136878	0,0462749	0,1341932	0,5574926	0,0170429	0,0048753	0,7999701	0,0018577	0,7086810	0,0332993	0,3558807	0,6849485	0,1116336	0,2282812	0,5317313	0,6084832	0,7325541	0,6317569	0,3186051	0,4129779	0,7661235	0,0038784	0,0319569	0,3499850	0,0825001	0,1001835	0,0672022	0,0876526	0,0723202	0,5781336	0,0415823	0,5148675
880	0,2251205	0,7415725	0,1149021	0,6252762	0,0158150	0,0531871	0,5900736	0,3917849	0,1224115	0,4992690	0,4094613	0,7659619	0,5489489	0,0060668	0,4289578	0,2148671	0,1023199	0,7605697	0,0049930	0,0959441	0,5620891	0,2444503	0,6314415	0,0222634	0,3475276	0,2419021	0,1050076	0,4801254	0,4011731	0,4103144	0,0760062	0,2060633	0,2876841	0,0651405	0,1537261	0,4974009	0,0066292	0,0072926	0,5603871	0,0006859	0,8517864	0,0547514	0,4456374	0,7181988	0,1064816	0,1786820	0,5900743	0,6906935	0,6532736	0,5601140	0,2830964	0,4555251	0,6877046	0,0032310	0,0054290	0,3655894	0,0569954	0,1345897	0,1394657	0,1116995	0,0550215	0,4271319	0,0311397	0,5760314
900	0,2496102	0,6523051	0,1241621	0,5718230	0,0287012	0,0644992	0,5857100	0,3068293	0,1038954	0,4855689	0,3992128	0,6148646	0,6433553	0,0055444	0,4444240	0,2255915	0,0793793	0,7599086	0,0148866	0,1065096	0,4924047	0,1843058	0,5821462	0,0121483	0,3612351	0,2027899	0,1108131	0,3703681	0,3816021	0,5938803	0,0601919	0,2951833	0,4162086	0,0805940	0,1717238	0,4853937	0,0176346	0,0026149	0,6990444	0,0010001	0,6805694	0,0304698	0,4277314	0,7827373	0,1274732	0,1765561	0,5954553	0,6237483	0,7014734	0,5495844	0,3730790	0,4395183	0,7593024	0,0033665	0,0153085	0,3608282	0,0654220	0,1031108	0,0611096	0,2262765	0,0449965	0,5506068	0,0214580	0,4673642
920	0,2140807	0,8958328	0,1082121	0,6361606	0,0292742	0,0891182	0,4838712	0,3141753	0,1190161	0,3105728	0,3477745	0,7670792	0,5035469	0,0027099	0,3866200	0,1865402	0,0930348	0,7155260	0,0294677	0,0501761	0,5624286	0,1931767	0,6680121	0,0074762	0,3631770	0,1783229	0,1628565	0,4036979	0,4425145	0,5359205	0,0929158	0,2803371	0,3969236	0,1033289	0,2114269	0,3864728	0,0085961	0,0069080	0,7027147	0,0070404	0,6852610	0,0173117	0,3000975	0,6231815	0,1305552	0,2090139	0,6492657	0,6995914	0,6016028	0,5828211	0,3378502	0,5004982	0,8200863	0,0029131	0,0146808	0,3418131	0,0683315	0,0382232	0,0827812	0,1857818	0,0681524	0,4546538	0,0630003	0,5490075
940	0,2249975	0,5963719	0,0896614	0,6299852	0,0075021	0,0343063	0,4465583	0,2364100	0,0745813	0,4487470	0,3337870	0,6606342	0,3648411	0,0059818	0,4500203	0,1933996	0,0709269	0,6830474	0,0049805	0,1105695	0,5912304	0,1828221	0,6782990	0,0054378	0,2934909	0,1458276	0,1808607	0,4511230	0,3053838	0,4484442	0,0561600	0,2159617	0,4379951	0,1312825	0,1881276	0,5195622	0,0156683	0,0046016	0,6348336	0,0135821	0,7251452	0,0414405	0,2824857	0,6828803	0,1286562	0,1153051	0,6172687	0,5779572	0,6496930	0,5521517	0,3225435	0,5556289	0,6758633	0,0003518	0,0180041	0,2940586	0,0828804	0,0446490	0,0951452	0,2097912	0,0694395	0,4222550	0,0656371	0,4460173
960	0,2234475	0,7085244	0,0764066	0,6230468	0,0135833	0,0461713	0,5998117	0,1864839	0,0727141	0,3623971	0,3319282	0,7936224	0,4765577	0,0012338	0,4185829	0,2003210	0,1151123	0,7250638	0,0075554	0,0990172	0,6032168	0,1215904	0,5689955	0,0059337	0,3490212	0,0922279	0,1059425	0,3566590	0,3385829	0,4946291	0,1179881	0,3083907	0,4274815	0,1301484	0,1429777	0,4765185	0,0614381	0,0065220	0,6953394	0,0018060	0,7337886	0,0345358	0,3407743	0,6442939	0,1445302	0,2173669	0,4894822	0,4386042	0,6566497	0,3745294	0,2939232	0,5733270	0,6338222	0,0000000	0,0548715	0,2336170	0,0886987	0,0334782	0,1242813	0,2242934	0,0785575	0,3383577	0,0373772	0,5347358
980	0,2322634	0,6479035	0,0799861	0,5961030	0,0166392	0,0427555	0,4976701	0,2638573	0,0482376	0,3660047	0,3168295	0,7283719	0,4524288	0,0188572	0,4708849	0,2713601	0,1233206	0,8827963	0,0213998	0,0611809	0,5032229	0,1661527	0,6025053	0,0174057	0,3734429	0,0679520	0,1337393	0,4227677	0,3814257	0,5068521	0,1078570	0,2393502	0,5433839	0,0851649	0,1653075	0,5259003	0,0120807	0,0053456	0,6209581	0,0090790	0,7131537	0,0387976	0,3194882	0,5969642	0,1149819	0,1141631	0,5816252	0,4888138	0,6147622	0,3988058	0,3246495	0,5071372	0,6759791	0,0003876	0,0237130	0,2864040	0,1358624	0,0248316	0,1095874	0,2368806	0,0796471	0,3543570	0,0312195	0,5129688
1000	0,1948672	0,6986143	0,0601352	0,4984191	0,0164827	0,0402630	0,4458342	0,1926300	0,0553736	0,3867955	0,2889594	0,6422746	0,4411815	0,0007729	0,4199870	0,2235932	0,1829437	0,7758476	0,0165506	0,1006080	0,5462052	0,1359419	0,7985207	0,0100776	0,2870728	0,0994886	0,1082952	0,4288687	0,3935550	0,4082954	0,0995413	0,2574387	0,4374354	0,0502337	0,1728346	0,4419162	0,0144923	0,0078147	0,6457842	0,0081888	0,7202479	0,0269251	0,2659023	0,6715322	0,1649530	0,1342011	0,5529916	0,4847317	0,6057849	0,3769201	0,3733050	0,5944958	0,8165172	0,0012300	0,0090441	0,2421560	0,0938967	0,0284183	0,1982780	0,2378719	0,0836241	0,3659210	0,0393322	0,5001316
