"Time"	rhaR	rhaS	crp	feaR	melR	zraR	malI	mtlR	prpR	ascG	rbsR	marR	fucR	chbR	nagC	srlR	gutM	idnR	xylR	uxuR	chbB	chbF	chbG	chbA	chbC	gutQ	srlE	srlD	srlA	srlB	zraS	rhaB	prpE	prpD	rbsC	rbsA	melB	nagE	fucO	rhaD	ascF	prpB	rbsB	fucU	rhaA	fucA	prpC	fucI	nagD	ascB	rbsK	fucP	malX	rbsD	gntP	melA	malY	nagB	fucK	xylF	uxuA	uxuB	rhaT	xylH
180	0,0035391	0,8919287	0,7084384	0,8138044	0,9507811	0,0221062	0,3282824	0,9381429	0,6145241	0,6513928	0,9020952	0,8401695	0,9758359	0,7616259	0,1145697	0,7092283	0,5250756	0,7687237	0,8748039	0,5398073	0,6431618	0,6868630	0,2339621	0,9586336	0,1280790	0,5909354	0,7961921	0,4159881	0,4337541	0,6218716	0,6282961	0,3267786	0,3014190	0,5946929	0,1108166	0,3567151	0,7882728	0,9973164	0,9191368	0,3303144	0,8251855	0,2745698	0,1469489	0,0465184	0,8084605	0,9380366	0,3068680	0,9858673	0,9467260	0,0555892	0,3937075	0,8504286	0,1503057	0,2099824	0,6152839	0,4602680	0,6154922	0,6578955	0,9378485	0,1829892	0,1335094	0,6857329	0,9303022	0,2116238
200	0,0036620	0,9080944	0,7394193	0,8542771	0,9684600	0,0224674	0,3411082	0,9476364	0,6286427	0,6513928	0,9291020	0,8700831	0,9833679	0,7996677	0,0946570	0,7514326	0,5488324	0,8215551	0,9064241	0,5498273	0,6631993	0,7267151	0,2672548	0,9745955	0,1384776	0,6133142	0,8043531	0,4542242	0,4587814	0,6502930	0,6472740	0,3657762	0,3891212	0,6145654	0,0911702	0,4038423	0,8248035	0,9977559	0,9350749	0,4340481	0,8435042	0,3118994	0,1504880	0,0618045	0,8474345	0,9608068	0,3724997	0,9907558	0,9478380	0,0685494	0,3920026	0,8724304	0,1081418	0,1859275	0,6624775	0,5112304	0,5860588	0,7084342	0,9534821	0,2294339	0,1866712	0,7230012	0,9523892	0,2540692
220	0,0037849	0,9192579	0,7642771	0,8857482	0,9799259	0,0228808	0,3540745	0,9534282	0,6393025	0,6513928	0,9488898	0,8947691	0,9885826	0,8291073	0,0801871	0,7851624	0,5673369	0,8624676	0,9296874	0,5586237	0,6773468	0,7593938	0,3092447	0,9841751	0,1525615	0,6294787	0,8105159	0,4839666	0,4780548	0,6714561	0,6609371	0,3980179	0,4690935	0,6296900	0,0776876	0,4403560	0,8522119	0,9981724	0,9465019	0,5263492	0,8560698	0,3435645	0,1532244	0,0784088	0,8765273	0,9753726	0,4345935	0,9937143	0,9515083	0,0814357	0,3906122	0,8885893	0,0774112	0,1693015	0,7048394	0,5521099	0,5595543	0,7527731	0,9651990	0,2741539	0,2446575	0,7520137	0,9675630	0,2951754
240	0,0039031	0,9270204	0,7841175	0,9099989	0,9872917	0,0233354	0,3664822	0,9569409	0,6473731	0,6513928	0,9632402	0,9147147	0,9921554	0,8517998	0,0697053	0,8116013	0,5813230	0,8934673	0,9465549	0,5661785	0,6872348	0,7856094	0,3580884	0,9899299	0,1738254	0,6407859	0,8154717	0,5060117	0,4926876	0,6870893	0,6707845	0,4241372	0,5383170	0,6411719	0,0686579	0,4676086	0,8724915	0,9985402	0,9546806	0,6035772	0,8646351	0,3696935	0,1551692	0,0953184	0,8980013	0,9845941	0,4912077	0,9955013	0,9564507	0,0936142	0,3895583	0,9005532	0,0552740	0,1584897	0,7412401	0,5843952	0,5360186	0,7908056	0,9739490	0,3156898	0,3015521	0,7743821	0,9779371	0,3335950
260	0,0040138	0,9324682	0,7998851	0,9285491	0,9919867	0,0238202	0,3778665	0,9590698	0,6535088	0,6513928	0,9735638	0,9305721	0,9945829	0,8693289	0,0621145	0,8320460	0,5916431	0,9165658	0,9586547	0,5725514	0,6940843	0,8062261	0,4097743	0,9933950	0,2036144	0,6485133	0,8196696	0,5217675	0,5036801	0,6985680	0,6779260	0,4449921	0,5962215	0,6498908	0,0627758	0,4874284	0,8873229	0,9988509	0,9605344	0,6655084	0,8704464	0,3908218	0,1564976	0,1116909	0,9137232	0,9903848	0,5413789	0,9965798	0,9616910	0,1046886	0,3888258	0,9094832	0,0394692	0,1519322	0,7715446	0,6096287	0,5153646	0,8226910	0,9804672	0,3531976	0,3532992	0,7915035	0,9850059	0,3685086
280	0,0041152	0,9363324	0,8123724	0,9426537	0,9949601	0,0243246	0,3879786	0,9603649	0,6581945	0,6513928	0,9809432	0,9430224	0,9962212	0,8829289	0,0566068	0,8477049	0,5991118	0,9335573	0,9672699	0,5778487	0,6987900	0,8221571	0,4600585	0,9954888	0,2403894	0,6537077	0,8233412	0,5327365	0,5118727	0,7069567	0,6831654	0,4614748	0,6435621	0,6565245	0,0590707	0,5015861	0,8980635	0,9991055	0,9647301	0,7137293	0,8743754	0,4076546	0,1573991	0,1269238	0,9251680	0,9939978	0,5848611	0,9972310	0,9666222	0,1144637	0,3883760	0,9161982	0,0282629	0,1483257	0,7961930	0,6292187	0,4974282	0,8488611	0,9853145	0,3863183	0,3978642	0,8045378	0,9898111	0,3995280
300	0,0042067	0,9391047	0,8222344	0,9533256	0,9968331	0,0248394	0,3967372	0,9611594	0,6617880	0,6513928	0,9861912	0,9527021	0,9973211	0,8935222	0,0525958	0,8596182	0,6044317	0,9459350	0,9733755	0,5821993	0,7019974	0,8342806	0,5057749	0,9967601	0,2806100	0,6571623	0,8265950	0,5402407	0,5179421	0,7130645	0,6870745	0,4744110	0,6816673	0,6615861	0,0568385	0,5115782	0,9057759	0,9993098	0,9677450	0,7505193	0,8770254	0,4209210	0,1580252	0,1406541	0,9334678	0,9962405	0,6218847	0,9976244	0,9709397	0,1228929	0,3881586	0,9212803	0,0203586	0,1466691	0,8158975	0,6443656	0,4820026	0,8699428	0,9889151	0,4150416	0,4347595	0,8144212	0,9930722	0,4265852
320	0,0042884	0,9411165	0,8300059	0,9613679	0,9980076	0,0253569	0,4041743	0,9616528	0,6645542	0,6513928	0,9899083	0,9601699	0,9980564	0,9017918	0,0496602	0,8686399	0,6081719	0,9548862	0,9776928	0,5857376	0,7041659	0,8433858	0,5452108	0,9975370	0,3204257	0,6594480	0,8294798	0,5453258	0,5224186	0,7174978	0,6900553	0,4845166	0,7120096	0,6654607	0,0555792	0,5185780	0,9112732	0,9994711	0,9699193	0,7782080	0,8788098	0,4312961	0,1584818	0,1527197	0,9394735	0,9976270	0,6529626	0,9978626	0,9745444	0,1300281	0,3881210	0,9251472	0,0148048	0,1462365	0,8314484	0,6560523	0,4688599	0,8866592	0,9915874	0,4395866	0,4644477	0,8218942	0,9952828	0,4498312
340	0,0043605	0,9425924	0,8361193	0,9674086	0,9987412	0,0258706	0,4103905	0,9619644	0,6666904	0,6513928	0,9925325	0,9658963	0,9985465	0,9082492	0,0474994	0,8754514	0,6107736	0,9613254	0,9807451	0,5885925	0,7056196	0,8501471	0,5778895	0,9980154	0,3569262	0,6609611	0,8320198	0,5487642	0,5257095	0,7207074	0,6923869	0,4923881	0,7359890	0,6684362	0,0549454	0,5234635	0,9151662	0,9995969	0,9714939	0,7988685	0,8800104	0,4393665	0,1588363	0,1631075	0,9438155	0,9984815	0,6787480	0,9980069	0,9774569	0,1359790	0,3882141	0,9281025	0,0109129	0,1465244	0,8436053	0,6650619	0,4577630	0,8997432	0,9935697	0,4603072	0,4878550	0,8275336	0,9967801	0,4695523
360	0,0044238	0,9436863	0,8409217	0,9719341	0,9991979	0,0263754	0,4155211	0,9621650	0,6683443	0,6513928	0,9943804	0,9702665	0,9988723	0,9132851	0,0458989	0,8805850	0,6125677	0,9659408	0,9829065	0,5908811	0,7065851	0,8551199	0,6041545	0,9983129	0,3885275	0,6619696	0,8342336	0,5511004	0,5281232	0,7230257	0,6942619	0,4985092	0,7548396	0,6707280	0,0547004	0,5268716	0,9179071	0,9996941	0,9726398	0,8142119	0,8808179	0,4456219	0,1591285	0,1719036	0,9469557	0,9990068	0,6999391	0,9980947	0,9797568	0,1408829	0,3883954	0,9303690	0,0081900	0,1471976	0,8530432	0,6720087	0,4484748	0,9098784	0,9950397	0,4776228	0,5060484	0,8317842	0,9977937	0,4861064
