"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	yhiD	hdeB	hdeA	rutB	rutG	rutC	rutE	rutF	rutA	rutD	cadB	gadB	fadL	cadA	gadC	sra	rprA	nemA	wcaB	wza	lldP	osmB	betT	betB	wcaA	wzc	gadY	wzb	betA	lldD	bdm	treC	slp	hdeD	treB	dctR	rpoS	yjbF
180	0,6085506	1,0000000	0,4068059	0,0409783	0,9773696	0,3817841	0,3201301	0,7140095	0,8437616	0,7286837	0,7896563	0,0885822	0,8038741	0,5688942	1,0000000	0,8628799	1,0000000	0,1416421	0,4372011	0,8413720	0,8990636	0,5526411	0,2235266	0,9272189	0,1081616	0,3934142	0,9775778	0,9741684	0,5202195	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7181532	0,7132877	0,9135698	0,6306981	0,2866508	0,5892567	0,1984928	0,0537327	0,9541090	0,3923729	0,8201547	0,9732628	0,7350244	0,9987409	0,0067187	0,5922657	0,8320304	0,7728818	0,5842758	0,9766918	0,3568896	0,1180789	0,9791856	0,6576726	0,9999126	0,8069503	0,7196231	0,6153428	0,4602594	0,9999974
200	0,6031775	1,0000000	0,4068059	0,0409783	0,9787031	0,3826168	0,3201301	0,7137829	0,8437616	0,7457040	0,7921459	0,0885822	0,8169694	0,5667878	1,0000000	0,8630330	1,0000000	0,1416421	0,4372011	0,8413720	0,9015286	0,5585422	0,2092227	0,9263730	0,1026112	0,4034916	0,9785059	0,9752705	0,5122072	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7189194	0,7132877	0,9170977	0,6633551	0,2866508	0,6108285	0,2065551	0,0537335	0,9662431	0,3923729	0,8431064	0,9744776	0,7419422	0,9991991	0,0049679	0,5922659	0,8355489	0,7824994	0,5907636	0,9769859	0,3567623	0,1352498	0,9835589	0,6586433	0,9999224	0,8125396	0,7196231	0,6152666	0,4614448	0,9999983
220	0,5991009	1,0000000	0,4068060	0,0409783	0,9795998	0,3831920	0,3201301	0,7136270	0,8437616	0,7594509	0,7937060	0,0885822	0,8272607	0,5654888	1,0000000	0,8631240	1,0000000	0,1416421	0,4372011	0,8413720	0,9031980	0,5630407	0,1978603	0,9257911	0,0989715	0,4120440	0,9791943	0,9763669	0,5066367	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7194273	0,7132877	0,9197698	0,6877168	0,2866508	0,6292334	0,2128125	0,0537340	0,9743127	0,3923729	0,8597472	0,9755095	0,7478152	0,9994690	0,0037977	0,5922660	0,8379545	0,7905380	0,5956947	0,9772001	0,3566771	0,1500338	0,9865889	0,6592950	0,9999284	0,8168028	0,7196231	0,6150398	0,4624573	0,9999987
240	0,5959802	1,0000000	0,4068060	0,0409783	0,9802092	0,3835469	0,3201301	0,7135216	0,8437616	0,7705316	0,7946835	0,0885822	0,8353663	0,5646877	1,0000000	0,8631780	1,0000000	0,1416421	0,4372011	0,8413720	0,9043243	0,5664243	0,1888917	0,9254018	0,0965843	0,4191678	0,9797175	0,9774210	0,5028558	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7197639	0,7132877	0,9218175	0,7056975	0,2866508	0,6442687	0,2176569	0,0537343	0,9797106	0,3923729	0,8718194	0,9763907	0,7527186	0,9996291	0,0030154	0,5922661	0,8396007	0,7971681	0,5993911	0,9773562	0,3566199	0,1623476	0,9887001	0,6597325	0,9999320	0,8200057	0,7196231	0,6147729	0,4632849	0,9999989
260	0,5935761	1,0000000	0,4068060	0,0409783	0,9806281	0,3837423	0,3201301	0,7134511	0,8437616	0,7794482	0,7952961	0,0885822	0,8417631	0,5641935	1,0000000	0,8632101	1,0000000	0,1416421	0,4372011	0,8413720	0,9050823	0,5689421	0,1818335	0,9251462	0,0950135	0,4250239	0,9801209	0,9783999	0,5003318	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7199871	0,7132877	0,9234015	0,7189290	0,2866508	0,6562271	0,2214055	0,0537345	0,9833514	0,3923729	0,8806245	0,9771383	0,7567592	0,9997249	0,0024925	0,5922661	0,8407292	0,8025876	0,6021321	0,9774699	0,3565816	0,1723648	0,9901823	0,6600263	0,9999341	0,8223835	0,7196231	0,6145204	0,4639414	0,9999991
280	0,5917163	1,0000000	0,4068060	0,0409783	0,9809194	0,3838354	0,3201301	0,7134043	0,8437616	0,7866137	0,7956799	0,0885822	0,8468207	0,5638886	1,0000000	0,8632292	1,0000000	0,1416421	0,4372011	0,8413720	0,9055917	0,5707996	0,1762833	0,9249808	0,0939740	0,4297939	0,9804346	0,9792814	0,4986627	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7201350	0,7132877	0,9246361	0,7286852	0,2866508	0,6655807	0,2243087	0,0537346	0,9858324	0,3923729	0,8870996	0,9777665	0,7600546	0,9997830	0,0021430	0,5922661	0,8415049	0,8069907	0,6041478	0,9775528	0,3565559	0,1803809	0,9912323	0,6602235	0,9999355	0,8241321	0,7196231	0,6143051	0,4644513	0,9999992
300	0,5902735	1,0000000	0,4068060	0,0409783	0,9811245	0,3838697	0,3201301	0,7133732	0,8437616	0,7923663	0,7959205	0,0885822	0,8508264	0,5637005	1,0000000	0,8632405	1,0000000	0,1416421	0,4372011	0,8413720	0,9059337	0,5721608	0,1719167	0,9248747	0,0932805	0,4336545	0,9806797	0,9800553	0,4975613	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7202330	0,7132877	0,9256042	0,7359162	0,2866508	0,6728220	0,2265611	0,0537347	0,9875433	0,3923729	0,8919074	0,9782893	0,7627202	0,9998187	0,0019094	0,5922661	0,8420400	0,8105535	0,6056205	0,9776132	0,3565386	0,1867244	0,9919834	0,6603559	0,9999363	0,8254084	0,7196231	0,6141324	0,4648410	0,9999992
320	0,5891522	1,0000000	0,4068060	0,0409783	0,9812706	0,3838742	0,3201301	0,7133526	0,8437616	0,7969812	0,7960712	0,0885822	0,8540039	0,5635845	1,0000000	0,8632473	1,0000000	0,1416421	0,4372011	0,8413720	0,9061632	0,5731532	0,1684764	0,9248072	0,0928131	0,4367656	0,9808719	0,9807211	0,4968314	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7202980	0,7132877	0,9263670	0,7413132	0,2866508	0,6783943	0,2283125	0,0537348	0,9887388	0,3923729	0,8955132	0,9787209	0,7648622	0,9998410	0,0017532	0,5922661	0,8424105	0,8134285	0,6066913	0,9776572	0,3565271	0,1917073	0,9925264	0,6604448	0,9999368	0,8263345	0,7196231	0,6139995	0,4651354	0,9999993
340	0,5882798	1,0000000	0,4068060	0,0409783	0,9813760	0,3838664	0,3201301	0,7133388	0,8437616	0,8006814	0,7961656	0,0885822	0,8565283	0,5635129	1,0000000	0,8632512	1,0000000	0,1416421	0,4372011	0,8413720	0,9063171	0,5738739	0,1657614	0,9247644	0,0924944	0,4392654	0,9810230	0,9812849	0,4963430	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7203411	0,7132877	0,9269703	0,7453733	0,2866508	0,6826691	0,2296781	0,0537349	0,9895857	0,3923729	0,8982443	0,9790748	0,7665744	0,9998553	0,0016488	0,5922661	0,8426685	0,8157442	0,6074672	0,9776892	0,3565193	0,1956029	0,9929233	0,6605044	0,9999371	0,8270036	0,7196231	0,6139002	0,4653558	0,9999993
360	0,5876006	1,0000000	0,4068060	0,0409783	0,9814529	0,3838555	0,3201301	0,7133296	0,8437616	0,8036472	0,7962248	0,0885822	0,8585363	0,5634688	1,0000000	0,8632536	1,0000000	0,1416421	0,4372011	0,8413720	0,9064202	0,5743958	0,1636146	0,9247374	0,0922741	0,4412700	0,9811422	0,9817565	0,4960117	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7203697	0,7132877	0,9274488	0,7484527	0,2866508	0,6859450	0,2307459	0,0537349	0,9901943	0,3923729	0,9003316	0,9793636	0,7679373	0,9998647	0,0015791	0,5922660	0,8428490	0,8176071	0,6080279	0,9777126	0,3565141	0,1986398	0,9932165	0,6605445	0,9999373	0,8274854	0,7196231	0,6138275	0,4655196	0,9999993
380	0,5870718	1,0000000	0,4068060	0,0409783	0,9815097	0,3838458	0,3201301	0,7133232	0,8437616	0,8060238	0,7962619	0,0885822	0,8601355	0,5634415	1,0000000	0,8632550	1,0000000	0,1416421	0,4372011	0,8413720	0,9064893	0,5747732	0,1619139	0,9247203	0,0921197	0,4428755	0,9812365	0,9821472	0,4957837	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7203886	0,7132877	0,9278292	0,7508067	0,2866508	0,6884566	0,2315831	0,0537349	0,9906378	0,3923729	0,9019399	0,9795983	0,7690182	0,9998710	0,0015324	0,5922660	0,8429762	0,8191044	0,6084326	0,9777297	0,3565106	0,2010032	0,9934353	0,6605714	0,9999374	0,8278317	0,7196231	0,6137753	0,4656408	0,9999993
