"Time"	nadR	nadB	pnuC	nadA	pncB	crp	rhaR	rhaS	zraR	melR	feaR	malI	mtlR	prpR	ascG	marR	rbsR	chbR	nagC	fucR	chbC	chbB	chbG	chbA	chbF	nagB	prpC	fucO	fucI	fucK	rbsD	prpD	zraS	nagD	malY	rhaD	nagE	rhaA	ascF	melA	rbsB	fucP	ascB	melB	rbsK	prpB	rbsC	fucU	rhaB	malX	fucA	prpE	rbsA	nagA	nanM	nanC	rhaT	manX	mtlD	manZ	mtlA	manY	galP	marB
180	0,9448537	0,3792436	0,3035424	0,0476285	0,3956502	0,8221627	0,6064726	0,3320020	0,7953588	0,9596080	0,9819867	0,0790558	0,9321390	0,5917854	0,1050603	0,4084696	0,2705918	0,1941178	0,2322481	0,3625595	1,0246040	0,0571788	0,5322826	0,9091854	0,2958655	0,3404300	0,5316973	0,7306836	0,2304169	0,5981880	0,6991991	0,6122818	0,8490760	0,8823410	0,4095042	0,5368685	0,8136164	0,7187822	0,9823101	0,1358050	1,0184560	0,4563290	0,5671408	0,9589541	0,9389977	0,8702056	0,8598830	0,6396667	0,1318388	0,2756663	0,0423383	0,2087472	0,4032332	0,9653848	0,5094562	0,5737022	0,3232742	0,6644960	0,4569462	0,9448321	0,1000605	0,5555307	0,8526767	0,3907067
200	0,9336131	0,3647220	0,2816896	0,0444775	0,3561796	0,8628948	0,7648290	0,5132057	0,8348100	0,9666011	0,9835572	0,0526682	0,8897335	0,6008236	0,0957670	0,4279068	0,3025789	0,2002818	0,1982872	0,3907757	0,9488468	0,0618112	0,5056550	0,9264812	0,2880485	0,3827511	0,5859573	0,7826740	0,3242542	0,6799013	0,6974781	0,5910514	0,8442107	0,9213844	0,3968692	0,6422954	0,7471734	0,6834002	1,0136303	0,1461108	1,0478640	0,5261641	0,6309023	1,0026258	0,9246264	0,8808742	0,8451261	0,6809203	0,2484455	0,3131558	0,0356373	0,2730858	0,4052400	0,9570383	0,4428032	0,5561751	0,5216017	0,7187382	0,4275706	0,9852871	0,1072878	0,5627857	0,9044874	0,4361296
220	0,9796510	0,3361775	0,2573459	0,0510215	0,3516171	0,9133716	0,8037528	0,5761597	0,8652213	0,9563439	0,9812120	0,0451069	0,8644138	0,6154616	0,0983011	0,4642065	0,2989210	0,2071825	0,2338915	0,3967566	0,9728099	0,0804047	0,5106156	0,9267786	0,3196017	0,3673986	0,6188254	0,8228608	0,3660611	0,7239201	0,6915185	0,5727790	0,8845594	0,9301789	0,4128140	0,6861871	0,7912821	0,7127260	0,9784294	0,1727654	1,0437056	0,6179041	0,6620883	1,0056475	0,9389882	0,9087667	0,8598742	0,7368754	0,4221009	0,3730439	0,0393869	0,4205634	0,3649699	0,9255076	0,4331365	0,6128236	0,6627063	0,7823100	0,4406237	1,0112981	0,1198445	0,5477030	0,9021454	0,4833148
240	0,9467639	0,3474712	0,2921582	0,0350311	0,3021445	0,9047447	0,9323089	0,6137689	0,9355638	0,9315129	1,0204256	0,0232780	0,9244619	0,6425770	0,0952179	0,4206483	0,3019938	0,2183900	0,2456857	0,4734026	1,0088288	0,0933298	0,5799400	0,9569211	0,3033779	0,3600236	0,6562846	0,9278412	0,4923186	0,7664912	0,7010177	0,6337098	0,9319550	0,8734064	0,3669718	0,6692533	0,7973105	0,7397188	0,9213302	0,1915556	1,0856583	0,6932063	0,6299855	1,0098211	0,9689756	0,9481668	0,8802386	0,8229651	0,6186498	0,3812183	0,0537676	0,5319379	0,2880754	0,9226751	0,4660446	0,6253517	0,7257181	0,7718682	0,4409362	1,0000476	0,1084979	0,5506880	0,9025122	0,4913869
260	0,9807764	0,3930722	0,2739042	0,0364763	0,3277509	0,8456225	0,9723571	0,6883426	0,8829493	0,9889249	0,9952270	0,0294533	0,9966281	0,6642514	0,1108118	0,3851767	0,3211444	0,2213100	0,2124344	0,4721978	1,0017794	0,1279672	0,5756631	0,9701189	0,2489455	0,3438066	0,6933982	0,9261594	0,4763163	0,7750955	0,6588945	0,7038792	0,8970279	0,9086011	0,3560478	0,7500293	0,8071793	0,7585535	1,0563567	0,2356827	1,0404241	0,7277140	0,6073785	0,9904807	0,8767764	1,0029610	0,8328631	0,8334499	0,6939263	0,4582844	0,0849569	0,5992129	0,3032042	0,9053155	0,5451180	0,6321198	0,7785670	0,8167448	0,3980473	1,0039660	0,1224830	0,5836612	0,9018158	0,4915637
280	0,9363728	0,3561048	0,2596667	0,0398785	0,3218941	0,8308064	0,9415511	0,6938170	0,8495359	1,0185011	1,0011366	0,0129078	1,0216693	0,6650050	0,1020423	0,4352677	0,2824697	0,2057668	0,2473782	0,4807337	0,9891093	0,1152225	0,5635384	0,9126615	0,2298232	0,3512078	0,7464691	0,8868706	0,5210831	0,8223225	0,6881081	0,7245472	0,9083266	0,9323188	0,3771950	0,7612867	0,7993156	0,8083351	1,0015287	0,2908372	1,0124820	0,6597064	0,6586534	0,9597616	0,8972875	1,0495147	0,9075993	0,9026008	0,7632402	0,5134978	0,0928753	0,6024149	0,2354500	0,9532118	0,5652980	0,7173993	0,8698873	0,8065105	0,4476533	1,0010537	0,1437057	0,6226237	0,9456532	0,5062091
300	0,9041819	0,3760421	0,2762035	0,0297688	0,3292469	0,8932519	0,9672269	0,7434841	0,8634329	1,0670907	0,9992039	0,0229240	1,0353652	0,6258722	0,1059420	0,5001614	0,2728705	0,2245879	0,2577614	0,4519932	0,9392931	0,1042984	0,5824125	0,9504487	0,2243453	0,3728916	0,7662841	1,0146567	0,5682701	0,8354094	0,6655636	0,6881224	0,9216300	0,9439943	0,3645195	0,8811377	0,8141938	0,8639328	1,0457697	0,2718689	1,0091014	0,6735314	0,6256274	0,7839512	0,9720051	0,9872756	0,8057551	1,0024347	0,8961252	0,5424528	0,0847271	0,6250056	0,2412518	0,8932647	0,5842102	0,7175874	0,7931442	0,9032430	0,4373683	0,9354265	0,1487675	0,6111237	1,0134015	0,5210180
320	1,0210379	0,3389851	0,2753435	0,0330821	0,3089415	0,8900317	1,0805901	0,7475555	0,8406991	1,0070619	1,0374126	0,0279161	1,0348162	0,6785731	0,1202686	0,4268096	0,2555536	0,2484228	0,2513045	0,4344396	0,9489603	0,1266790	0,5571077	0,8688548	0,2753187	0,3572233	0,7462482	1,0965315	0,6920292	0,9195572	0,6212173	0,7066527	0,9347769	0,9550772	0,3375200	0,8737145	0,8144868	0,8512937	0,9690685	0,2806079	1,0366264	0,6786603	0,6677495	0,8078768	0,9240420	1,0446092	0,8142285	0,8551187	0,8759918	0,5637351	0,0710738	0,6901033	0,2367056	0,9206875	0,5545260	0,7268645	0,9161694	0,8797660	0,4688834	0,9392824	0,1768783	0,6006602	0,9748805	0,5418714
340	1,0279260	0,3539841	0,3090444	0,0218838	0,3016724	0,9181174	1,0332388	0,7585298	0,8807114	1,0189366	1,0043743	0,0382625	0,9998506	0,6415338	0,1320665	0,4556842	0,2654569	0,2713871	0,1929293	0,4715063	1,0533667	0,1229020	0,5826462	0,9290653	0,2534205	0,3560011	0,6935915	1,1212093	0,6909899	0,9107573	0,6009018	0,6325798	0,9328668	0,9432300	0,3202487	0,8777365	0,8139356	0,8652614	1,0662960	0,3002938	1,0342537	0,7270481	0,6185952	0,8040629	0,8800040	1,0595486	0,8555622	0,8714572	0,9474244	0,5492385	0,0804579	0,7210487	0,2066298	0,8935128	0,5816979	0,7374793	0,8234934	0,8905712	0,4547581	1,0514150	0,1733332	0,6203246	1,0426663	0,5251611
360	1,0217302	0,3463871	0,3431610	0,0404991	0,2952113	0,9726916	1,0787540	0,7641685	0,8759691	0,9935078	0,9722237	0,0358369	0,9082902	0,6492715	0,1177954	0,4802624	0,2710588	0,2882934	0,2043133	0,4555920	1,0334404	0,1125657	0,6048539	0,8970367	0,2495841	0,3909660	0,7321558	1,0145038	0,7152800	0,8810572	0,6066540	0,6797568	0,8863009	1,0020524	0,3037867	0,8430078	0,8161522	0,8157245	1,1458881	0,2633955	0,9764567	0,7594566	0,6042021	0,8212111	0,9150809	1,0492990	0,8597459	0,9567438	0,9295600	0,5270741	0,0975355	0,6356457	0,2063813	0,9425732	0,5943793	0,7654705	0,8649888	0,9006232	0,4353370	1,0121006	0,1629081	0,6151861	1,0049749	0,5246270
