"Time"	bolA	ompR	csgD	rstA	rcsB	rcsA	flhD	hdfR	flhC	qseB	lrhA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtE	mdtF	csgF	csgE	csgG	hdeA	hdeB	yhiD	gadA	gadB	gadC	sra	flgH	fliM	ppdA	flgM	fliT	fliF	osmB	fliK	wcaB	ygdB	gltJ	flgA	flgE	wzb	fliJ	flgG	wzc	wcaA	fliQ	fliE	fliG	recC	flgC	fliO	flgD	ygbK	fliR	fliN	yhjH	fliP	gltI	flgF
180	0,0751804	1,0000000	0,0910720	0,0451200	1,0000000	0,8929804	0,0054133	0,8009654	0,0771580	0,0472324	0,0855710	0,2680015	0,0177235	0,0040182	0,9888898	0,3704964	0,2013128	0,9993223	0,5004107	0,1209664	0,5409236	0,0112211	0,0230037	0,7553531	0,9998689	0,6653356	0,1152177	0,8781260	0,1310578	0,2556546	0,2423400	0,5666180	0,0142344	0,8840817	0,0234255	0,0069929	0,0498400	0,0760071	0,9981019	0,6020426	0,6987811	0,1183827	0,0000357	0,0432138	0,0620709	0,9533464	0,3036472	0,1600897	0,9069685	0,9013359	0,1846304	0,0209403	0,0066403	0,0063191	0,0204860	0,0122682	0,0544602	0,9834216	0,0130187	0,0204198	0,0674371	0,1298467	0,0297611	0,0717893
200	0,0735916	1,0000000	0,0910715	0,0451200	1,0000000	0,9104171	0,0050527	0,7993068	0,0771366	0,0472324	0,0855723	0,3096699	0,0170714	0,0040182	0,9867421	0,3768082	0,2036448	0,9994117	0,5004396	0,1209664	0,5446883	0,0122760	0,0230037	0,7586019	0,9998687	0,6641180	0,1386602	0,8787052	0,1382707	0,2568533	0,2698070	0,5666387	0,0134049	0,8874253	0,0234255	0,0069789	0,0498269	0,0696430	0,9987994	0,6015123	0,7039275	0,1123801	0,0000344	0,0432149	0,0620645	0,9557866	0,3027230	0,1154115	0,9097809	0,9060027	0,1562773	0,0209343	0,0065198	0,0048982	0,0204858	0,0122682	0,0544656	0,9832928	0,0130125	0,0185730	0,0672138	0,1298463	0,0297611	0,0717922
220	0,0725726	1,0000000	0,0910710	0,0451200	1,0000000	0,9231204	0,0048397	0,7982111	0,0771137	0,0472324	0,0855735	0,3434431	0,0166098	0,0040182	0,9847830	0,3807788	0,2053206	0,9994538	0,5001559	0,1209664	0,5474441	0,0140068	0,0230037	0,7607373	0,9998685	0,6695142	0,1748910	0,8788988	0,1485902	0,2585370	0,3191897	0,5666583	0,0128142	0,8894266	0,0234255	0,0069695	0,0498180	0,0649874	0,9992173	0,6012248	0,7090510	0,1080368	0,0000335	0,0432122	0,0620602	0,9580543	0,3017311	0,0855007	0,9126225	0,9104447	0,1350500	0,0209302	0,0064407	0,0038476	0,0204857	0,0122682	0,0544669	0,9831970	0,0130091	0,0173790	0,0671060	0,1298461	0,0297610	0,0717929
240	0,0719189	1,0000000	0,0910705	0,0451200	1,0000000	0,9322864	0,0047126	0,7974873	0,0770921	0,0472324	0,0855745	0,3698289	0,0162832	0,0040182	0,9831050	0,3832021	0,2064298	0,9994717	0,4998249	0,1209664	0,5494198	0,0164667	0,0230037	0,7621390	0,9998683	0,6782392	0,2203663	0,8788367	0,1616792	0,2606554	0,3818425	0,5666756	0,0123954	0,8906244	0,0234254	0,0069634	0,0498120	0,0616465	0,9994690	0,6010683	0,7137690	0,1049075	0,0000329	0,0432043	0,0620572	0,9600113	0,3007994	0,0661648	0,9152871	0,9143711	0,1191792	0,0209273	0,0063890	0,0030749	0,0204857	0,0122682	0,0544644	0,9831288	0,0130073	0,0166160	0,0670541	0,1298459	0,0297610	0,0717916
260	0,0714996	1,0000000	0,0910702	0,0451200	1,0000000	0,9388770	0,0046358	0,7970091	0,0770730	0,0472324	0,0855754	0,3898749	0,0160519	0,0040182	0,9817481	0,3846282	0,2071092	0,9994774	0,4995701	0,1209664	0,5508107	0,0195801	0,0230037	0,7630579	0,9998682	0,6879720	0,2692038	0,8786204	0,1766362	0,2630535	0,4437140	0,5666901	0,0120993	0,8913413	0,0234254	0,0069594	0,0498080	0,0592852	0,9996216	0,6009816	0,7178793	0,1026589	0,0000324	0,0431916	0,0620553	0,9616175	0,2999849	0,0539142	0,9176578	0,9176697	0,1073205	0,0209253	0,0063553	0,0025084	0,0204857	0,0122682	0,0544589	0,9830811	0,0130063	0,0161317	0,0670291	0,1298458	0,0297610	0,0717886
280	0,0712307	1,0000000	0,0910698	0,0451200	1,0000000	0,9436109	0,0045886	0,7966932	0,0770568	0,0472324	0,0855761	0,4047643	0,0158883	0,0040182	0,9807078	0,3854334	0,2074915	0,9994774	0,4994203	0,1209664	0,5517733	0,0231721	0,0230037	0,7636594	0,9998680	0,6973438	0,3162149	0,8783251	0,1923352	0,2655404	0,4960529	0,5667019	0,0118902	0,8917704	0,0234254	0,0069568	0,0498053	0,0576363	0,9997147	0,6009320	0,7213179	0,1010457	0,0000321	0,0431752	0,0620540	0,9628910	0,2993040	0,0462255	0,9196880	0,9203431	0,0984624	0,0209240	0,0063334	0,0020937	0,0204857	0,0122682	0,0544513	0,9830476	0,0130058	0,0158255	0,0670170	0,1298458	0,0297610	0,0717846
300	0,0710582	1,0000000	0,0910696	0,0451200	1,0000000	0,9470112	0,0045593	0,7964845	0,0770436	0,0472324	0,0855768	0,4156168	0,0157724	0,0040182	0,9799496	0,3858659	0,2076840	0,9994751	0,4993574	0,1209664	0,5524282	0,0270211	0,0230037	0,7640527	0,9998679	0,7056848	0,3582234	0,8780041	0,2077312	0,2679454	0,5365441	0,5667113	0,0117428	0,8920270	0,0234254	0,0069551	0,0498034	0,0564958	0,9997720	0,6009023	0,7241087	0,0998897	0,0000319	0,0431565	0,0620531	0,9638764	0,2987522	0,0414097	0,9213776	0,9224542	0,0918466	0,0209231	0,0063191	0,0017906	0,0204857	0,0122682	0,0544426	0,9830239	0,0130055	0,0156323	0,0670111	0,1298458	0,0297610	0,0717800
320	0,0709476	1,0000000	0,0910693	0,0451200	1,0000000	0,9494545	0,0045408	0,7963467	0,0770330	0,0472324	0,0855774	0,4234006	0,0156904	0,0040182	0,9794239	0,3860835	0,2077643	0,9994724	0,4993486	0,1209664	0,5528658	0,0309084	0,0230037	0,7643094	0,9998678	0,7127606	0,3939202	0,8776924	0,2220366	0,2701466	0,5663233	0,5667185	0,0116390	0,8921806	0,0234254	0,0069539	0,0498022	0,0557129	0,9998075	0,6008834	0,7263217	0,0990619	0,0000317	0,0431369	0,0620525	0,9646256	0,2983149	0,0383851	0,9227534	0,9240894	0,0869059	0,0209224	0,0063098	0,0015692	0,0204857	0,0122682	0,0544336	0,9830068	0,0130054	0,0155102	0,0670082	0,1298457	0,0297609	0,0717753
340	0,0708766	1,0000000	0,0910691	0,0451200	1,0000000	0,9512112	0,0045288	0,7962556	0,0770246	0,0472324	0,0855779	0,4289066	0,0156324	0,0040182	0,9790780	0,3861826	0,2077843	0,9994699	0,4993648	0,1209664	0,5531524	0,0346501	0,0230037	0,7644767	0,9998677	0,7185767	0,4232287	0,8774111	0,2347695	0,2720759	0,5876122	0,5667240	0,0115659	0,8922724	0,0234254	0,0069532	0,0498014	0,0551787	0,9998297	0,6008706	0,7280452	0,0984694	0,0000316	0,0431174	0,0620521	0,9651879	0,2979742	0,0364748	0,9238543	0,9253375	0,0832163	0,0209220	0,0063038	0,0014076	0,0204856	0,0122682	0,0544248	0,9829944	0,0130053	0,0154329	0,0670068	0,1298457	0,0297609	0,0717707
360	0,0708311	1,0000000	0,0910690	0,0451200	1,0000000	0,9524750	0,0045210	0,7961954	0,0770180	0,0472324	0,0855784	0,4327553	0,0155913	0,0040182	0,9788632	0,3862202	0,2077761	0,9994680	0,4993866	0,1209664	0,5533362	0,0381125	0,0230037	0,7645856	0,9998677	0,7232529	0,4467234	0,8771706	0,2457189	0,2737101	0,6026015	0,5667282	0,0115145	0,8923273	0,0234254	0,0069527	0,0498008	0,0548158	0,9998438	0,6008614	0,7293685	0,0980456	0,0000315	0,0430990	0,0620519	0,9656060	0,2977122	0,0352599	0,9247233	0,9262795	0,0804611	0,0209217	0,0062998	0,0012897	0,0204856	0,0122682	0,0544167	0,9829852	0,0130052	0,0153839	0,0670061	0,1298457	0,0297609	0,0717664
380	0,0708019	1,0000000	0,0910689	0,0451200	1,0000000	0,9533847	0,0045158	0,7961557	0,0770130	0,0472324	0,0855787	0,4354180	0,0155622	0,0040182	0,9787393	0,3862287	0,2077578	0,9994666	0,4994044	0,1209664	0,5534509	0,0412134	0,0230037	0,7646562	0,9998676	0,7269519	0,4652394	0,8769736	0,2548763	0,2750573	0,6130792	0,5667313	0,0114783	0,8923601	0,0234254	0,0069524	0,0498004	0,0545703	0,9998528	0,6008546	0,7303731	0,0977424	0,0000315	0,0430822	0,0620517	0,9659147	0,2975128	0,0344816	0,9254013	0,9269843	0,0784036	0,0209215	0,0062973	0,0012037	0,0204856	0,0122682	0,0544094	0,9829782	0,0130052	0,0153527	0,0670057	0,1298457	0,0297609	0,0717626
400	0,0707832	1,0000000	0,0910688	0,0451200	1,0000000	0,9540399	0,0045123	0,7961294	0,0770091	0,0472324	0,0855791	0,4372446	0,0155417	0,0040182	0,9786751	0,3862254	0,2077386	0,9994657	0,4994154	0,1209664	0,5535203	0,0439154	0,0230037	0,7647020	0,9998676	0,7298413	0,4796511	0,8768182	0,2623632	0,2761439	0,6203867	0,5667336	0,0114528	0,8923797	0,0234254	0,0069521	0,0498002	0,0544045	0,9998586	0,6008493	0,7311287	0,0975257	0,0000315	0,0430672	0,0620516	0,9661415	0,2973624	0,0339795	0,9259255	0,9275079	0,0768672	0,0209213	0,0062956	0,0011411	0,0204856	0,0122682	0,0544031	0,9829730	0,0130052	0,0153328	0,0670055	0,1298457	0,0297609	0,0717594
420	0,0707712	1,0000000	0,0910687	0,0451200	1,0000000	0,9545120	0,0045099	0,7961121	0,0770061	0,0472324	0,0855794	0,4384888	0,0155271	0,0040182	0,9786480	0,3862190	0,2077224	0,9994652	0,4994205	0,1209664	0,5535606	0,0462158	0,0230037	0,7647316	0,9998676	0,7320750	0,4907638	0,8766996	0,2683707	0,2770053	0,6254872	0,5667353	0,0114349	0,8923913	0,0234254	0,0069520	0,0498000	0,0542928	0,9998624	0,6008452	0,7316929	0,0973707	0,0000314	0,0430541	0,0620515	0,9663073	0,2972497	0,0336536	0,9263276	0,9278949	0,0757199	0,0209212	0,0062945	0,0010953	0,0204856	0,0122682	0,0543977	0,9829690	0,0130052	0,0153200	0,0670054	0,1298457	0,0297609	0,0717566
440	0,0707635	1,0000000	0,0910686	0,0451200	1,0000000	0,9548523	0,0045083	0,7961006	0,0770039	0,0472324	0,0855797	0,4393319	0,0155168	0,0040182	0,9786423	0,3862131	0,2077103	0,9994649	0,4994216	0,1209664	0,5535827	0,0481357	0,0230037	0,7647507	0,9998675	0,7337871	0,4992707	0,8766119	0,2731167	0,2776783	0,6290567	0,5667366	0,0114223	0,8923983	0,0234254	0,0069519	0,0497999	0,0542176	0,9998649	0,6008420	0,7321117	0,0972599	0,0000314	0,0430430	0,0620515	0,9664282	0,2971658	0,0334407	0,9266339	0,9281795	0,0748632	0,0209212	0,0062938	0,0010620	0,0204856	0,0122682	0,0543933	0,9829659	0,0130052	0,0153118	0,0670053	0,1298457	0,0297609	0,0717543
460	0,0707585	1,0000000	0,0910686	0,0451200	1,0000000	0,9550977	0,0045071	0,7960930	0,0770022	0,0472324	0,0855799	0,4399012	0,0155095	0,0040182	0,9786477	0,3862090	0,2077021	0,9994648	0,4994207	0,1209664	0,5535936	0,0497109	0,0230037	0,7647629	0,9998675	0,7350894	0,5057450	0,8765489	0,2768173	0,2781980	0,6315639	0,5667375	0,0114135	0,8924024	0,0234254	0,0069518	0,0497998	0,0541669	0,9998666	0,6008395	0,7324209	0,0971808	0,0000314	0,0430336	0,0620514	0,9665161	0,2971036	0,0333010	0,9268660	0,9283881	0,0742234	0,0209211	0,0062934	0,0010378	0,0204856	0,0122682	0,0543896	0,9829636	0,0130052	0,0153065	0,0670053	0,1298457	0,0297609	0,0717523
