"Time"	dicA	ydfD	dicB	alaS	tdh	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	rcsA	csgD	mdtE	mdtF	hdeA	hdeB	yhiD	gadA	gadB	gadC	nemA	gadY	hdeD	slp	dctR	cadA	cadB	osmC	csgG	csgF	csgE	gltD	gltB	gltF	livK	livM	iraP	asnB	yfdX	lon	lysU	ydeP	livH	sdaA	kbl	livJ	livF	malZ	gnd	adrA	ybaT	yegR	ybaS	yneN	pepD	yojI
180	1,0150668	0,4012436	0,0000000	0,4476874	1,0247593	0,4990142	0,8967181	0,3118241	0,3339737	0,5945660	0,9878509	1,0235527	0,7575028	1,0016744	0,0027085	0,1686606	1,0939336	0,2653163	0,1026428	0,3699728	0,7444355	0,9281143	0,2382015	0,4696283	0,6885050	0,3233835	0,0346368	0,2896081	0,2358641	0,4887399	0,9399438	1,0058008	0,6534979	0,4485350	0,4128222	0,9749212	0,6916469	0,4270481	0,5418751	0,9093526	0,8971148	0,8872704	0,0019400	0,7982726	0,9319136	0,9262428	0,1235589	0,3094184	0,4574391	0,6023155	0,1650668	0,7633489	0,6065949	0,0397412	0,2048191	0,9809882	0,8745594	0,2782641	0,0523559	0,9142960	0,0126123	0,9721052	0,6413997	0,6625141
200	0,9288316	0,3995671	0,0006213	0,4200241	1,0676853	0,4961978	0,8864384	0,3072287	0,3822382	0,7228118	0,8936199	0,9903002	0,8618847	0,9910898	0,0030673	0,1797193	1,0491225	0,2434701	0,0888959	0,3481045	0,8234575	0,9675270	0,2569344	0,4613717	0,6853258	0,3515700	0,0269604	0,3024852	0,2506147	0,4808447	0,9834024	1,0475548	0,6139868	0,4228982	0,3528754	0,9773556	0,6645559	0,4324560	0,5026503	0,9464842	0,8866810	0,9409490	0,0003821	0,7548611	0,8428715	0,9466329	0,1624234	0,2253496	0,5427365	0,7011584	0,1743855	0,7922774	0,6927465	0,0409488	0,1972187	0,9603911	0,8727740	0,2392797	0,0652114	0,8930872	0,0130863	0,9957982	0,8105193	0,6847535
220	0,9825940	0,3694948	0,0018199	0,4308804	1,0751603	0,4732469	0,8475786	0,3170907	0,3793220	0,6978975	0,9642519	0,9472242	0,8672248	0,9153976	0,0018364	0,1344055	1,0261002	0,2442314	0,0935033	0,3288570	0,8811403	1,0091145	0,2792380	0,4604502	0,7333145	0,3355597	0,0230611	0,2981816	0,2929362	0,5080431	1,0178507	1,0093850	0,6049970	0,4058741	0,3370885	0,9387196	0,6369993	0,3983806	0,4802088	0,9733116	0,8958597	0,9195770	0,0002805	0,7634945	0,8696229	0,9344389	0,2436513	0,3026454	0,5278400	0,7867760	0,1981845	0,8608626	0,5751997	0,0354678	0,2077740	0,9207023	0,9080035	0,2057510	0,0653962	0,9101803	0,0181198	0,9752997	0,8011674	0,7434900
240	1,0045600	0,3207089	0,0031337	0,3805062	1,0457612	0,4833687	0,7805963	0,3132764	0,3457604	0,6136606	0,9355092	0,9232382	0,8882755	0,9297786	0,0042427	0,1221499	1,0328178	0,3076721	0,1189496	0,2991692	0,8635373	0,9963299	0,2802108	0,4903514	0,7411689	0,3029129	0,0154058	0,2924322	0,3139100	0,5224224	0,9799744	0,9517672	0,5749165	0,4034069	0,3072455	0,9871176	0,6127668	0,3457844	0,4790078	0,9505172	0,8694286	0,7965489	0,0000479	0,7891136	0,9341002	0,8539717	0,2651291	0,3016831	0,5698752	0,8824714	0,2130707	0,7814588	0,6214792	0,0449530	0,2171886	0,9361696	0,9717348	0,1929254	0,0676233	0,9614041	0,0162507	1,0328844	0,8399357	0,6517201
260	0,9716632	0,3383601	0,0012645	0,3738882	1,0436302	0,4908943	0,7922394	0,3298866	0,3367882	0,5601471	0,9790169	0,9187030	0,8863423	0,9351683	0,0085633	0,1231786	1,0065464	0,3117837	0,1191439	0,2823572	0,9392920	1,0136938	0,2859729	0,4538544	0,7050629	0,3366917	0,0140900	0,2633037	0,3197358	0,5478665	0,9515198	0,9193169	0,5362191	0,4349086	0,2757049	0,9641383	0,6673418	0,3561412	0,4550447	0,9697749	0,9143254	0,7670409	0,0017495	0,7663446	0,9141766	0,8298415	0,3040453	0,2779560	0,5783452	0,8908992	0,2334384	0,9493377	0,5255701	0,0489927	0,2055155	0,9718981	0,9995274	0,1609734	0,0710350	0,9615354	0,0059974	0,9680505	0,8195477	0,6102033
280	0,9831185	0,3977046	0,0004684	0,3731630	1,0311822	0,4834767	0,7781229	0,3456284	0,3022604	0,5893319	1,0169393	0,8938739	0,8785540	0,9266184	0,0094823	0,1360290	0,9969073	0,2826839	0,1212640	0,2618105	0,9081138	0,9936818	0,3020472	0,4753892	0,7076001	0,3371400	0,0252168	0,2509939	0,2880101	0,5491092	0,9930127	0,9779101	0,5248522	0,4041431	0,2587975	1,0164148	0,6668130	0,3420547	0,4963879	0,9171563	1,0074915	0,7710489	0,0008955	0,8095320	0,9520871	0,7903102	0,3571808	0,2612213	0,6073046	0,9144880	0,2268525	0,8995751	0,5185736	0,0463741	0,1968735	1,0039596	1,0138405	0,1541948	0,0644440	1,0075837	0,0088177	1,0547303	0,9061630	0,6131475
300	0,9893253	0,3487524	0,0000177	0,3529738	1,0604554	0,4810363	0,8244969	0,3153134	0,3073641	0,5986197	1,0388984	0,8981856	0,9039599	0,9880183	0,0155776	0,1167351	0,9698750	0,2698819	0,1258532	0,2564497	0,8889891	1,0037099	0,3136064	0,4694097	0,6648023	0,2892459	0,0213036	0,2678933	0,3041969	0,4912999	0,9636730	0,9924127	0,5990032	0,4081297	0,2739058	1,0817362	0,6264772	0,3196734	0,4727329	0,9842317	1,0765196	0,7642835	0,0000000	0,8186503	0,9374384	0,7525037	0,4530284	0,2352803	0,6172854	0,9118901	0,2422625	0,8784196	0,4689211	0,0424817	0,2247705	0,9707309	1,0204330	0,1719061	0,0837019	0,9813161	0,0181928	1,0789494	0,9293258	0,6227728
320	0,9218412	0,3509105	0,0000132	0,4482318	1,0480903	0,5006092	0,8020056	0,3008430	0,3388057	0,6288167	1,0432020	0,9297258	0,9166990	0,9825843	0,0142704	0,1201814	1,0320447	0,2717607	0,1064642	0,2784805	0,9224822	0,9565362	0,3140847	0,4908849	0,6717268	0,3123171	0,0280749	0,2768822	0,3414827	0,4897326	0,9583850	0,9963090	0,5877755	0,4136319	0,3039527	1,0484334	0,5646025	0,3145967	0,4739912	0,9964083	1,0785592	0,7574130	0,0007672	0,8653740	0,9355869	0,7809817	0,4177464	0,2519119	0,6084246	0,9649071	0,2411838	0,8230376	0,4069018	0,0610192	0,2381924	0,9873052	0,9607134	0,1743055	0,0844465	1,0217572	0,0148753	0,9734248	0,9532480	0,5655471
340	0,9683607	0,3791849	0,0002871	0,4572913	1,1120181	0,5023670	0,8719522	0,2936038	0,3727812	0,6538269	1,0486969	1,0290064	0,9706265	0,9618199	0,0128384	0,1563115	1,0303712	0,2371315	0,1092993	0,2803223	0,9322026	0,9879574	0,2953956	0,4986342	0,6541798	0,3507528	0,0248482	0,2108371	0,3106583	0,5296784	0,9479152	0,9732795	0,6660073	0,4559872	0,3136205	1,0463440	0,5542532	0,3342490	0,4452598	0,9932432	1,1301674	0,7638503	0,0001840	0,8499547	0,9155190	0,8042854	0,4298330	0,2416805	0,5532248	0,8985453	0,2527277	0,7836179	0,4953919	0,0564752	0,2572929	0,9794340	0,8910550	0,1570495	0,0727646	0,9949621	0,0135333	1,0775287	0,9144804	0,5792397
360	1,0013251	0,4612321	0,0000079	0,4492215	1,0214774	0,4760979	0,8505841	0,2790313	0,4068698	0,6289041	1,0619030	1,0268389	0,9589088	0,9558914	0,0059251	0,1317991	0,9823774	0,2630529	0,1279552	0,2642686	0,9322665	0,9406792	0,3201243	0,5130524	0,6604606	0,3849352	0,0276221	0,2848003	0,3465651	0,4895336	0,9901215	0,9421277	0,6784749	0,4307649	0,2883530	1,0738663	0,5282001	0,3249636	0,4829378	0,9646091	1,0774944	0,7505615	0,0010147	0,9152292	0,9118923	0,8120323	0,3918014	0,2648719	0,5710217	0,8719104	0,2288852	0,7740020	0,4772138	0,0481228	0,2157039	1,0108235	0,9146141	0,1609584	0,0683909	0,9830456	0,0141497	1,0254257	1,0150432	0,6094445
