"Time"	flhD	hdfR	qseB	lrhA	flhC	ompR	rcsB	rcsA	csgD	bolA	rstA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtF	mdtE	csgF	csgG	csgE	yhiD	hdeB	hdeA	gadA	gadB	gadC	sra	flgM	flgJ	fliR	rprA	wcaB	flhE	fliQ	fliM	fliH	flgE	flgN	wzc	flgH	fliK	gltI	yhjH	osmB	flhB	fliN	recC	flgD	flgI	fliG	fliF	fliT	fliD	bdm	flhA	ppdC	gadY	flgA	flgG
180	0,6687300	0,2843384	0,0506161	0,0537847	0,1951795	1,0034515	0,4943296	0,7777830	0,4204266	0,0111286	0,8342448	0,7859817	0,7911551	0,9633021	0,8746079	0,6939001	0,3010938	0,3263059	0,4449453	0,9226465	0,9564397	0,7534681	0,9363311	0,1985798	0,3522402	0,7109212	0,7683000	0,6582225	0,7707154	0,3939994	0,6057526	0,7136544	0,4250317	0,1295783	0,9950323	0,3228501	0,3788091	0,5110854	0,0588686	0,3677696	0,6314174	0,4092185	0,1558605	0,2318873	0,0607020	0,5985243	0,1412183	0,0881597	0,8749509	0,4956568	0,5770229	0,1225896	0,4811475	0,0701026	0,3204023	1,0034651	0,9219809	0,4158672	0,4576394	0,0521360	0,0105415	0,9075003	0,0376805	0,0554402
200	0,6943598	0,3307377	0,0466131	0,0434288	0,2522462	1,0497549	0,4727557	0,7785097	0,3977523	0,0036075	0,8560020	0,7902403	0,8308063	0,9881323	0,9082806	0,6158144	0,3063009	0,3223713	0,4189283	0,9175064	0,9245407	0,7699537	0,9591660	0,2267226	0,3669735	0,7036947	0,7910114	0,6450304	0,7559719	0,3907931	0,6050232	0,7075536	0,5236289	0,1262858	0,9782590	0,3174489	0,3756405	0,5200172	0,1195232	0,3588529	0,6784666	0,4019362	0,1177416	0,1493135	0,0557283	0,5993704	0,2241207	0,0967645	0,8562925	0,5627165	0,6901653	0,2638294	0,5156419	0,0649620	0,4322946	0,9882215	0,9125461	0,5462822	0,4180517	0,0512574	0,0195737	0,9280326	0,0660989	0,1048517
220	0,6781886	0,3191508	0,0455188	0,0454614	0,2927007	1,0814518	0,4468069	0,8558990	0,4263248	0,0054698	0,8554620	0,7491565	0,8646522	1,0086802	0,9008497	0,6421693	0,3101280	0,3635317	0,4379712	0,9448956	0,8701834	0,7465203	0,9534846	0,2158371	0,4214398	0,7014000	0,7148204	0,6433128	0,7159060	0,3710442	0,7020581	0,6457814	0,6130522	0,1481957	0,9738570	0,3179165	0,2975153	0,4704774	0,1621539	0,3508371	0,6867971	0,4053211	0,1136431	0,1561107	0,0650473	0,5811503	0,2843907	0,1589963	0,8517133	0,5968890	0,7780241	0,3239486	0,5524670	0,0731970	0,5542928	1,0196498	0,8366186	0,6142810	0,4033686	0,0664805	0,0430113	1,0065264	0,1305697	0,1569641
240	0,6715431	0,3431555	0,0381800	0,0374622	0,3183458	0,9481932	0,3968950	0,8387393	0,4234692	0,0110213	0,8569827	0,7501135	0,8972887	1,0003583	0,8745959	0,6885641	0,2584963	0,3980425	0,4295341	0,9732332	0,9680951	0,7860245	0,9562586	0,2500621	0,4122436	0,6876283	0,7088176	0,7840865	0,7611058	0,4043797	0,6601404	0,6092115	0,6391307	0,1646451	0,9744999	0,3226754	0,3262858	0,4882031	0,2068146	0,3455563	0,6659315	0,3623299	0,1478181	0,1467813	0,0537170	0,6063643	0,3208936	0,2029827	0,7617786	0,5736873	0,8241606	0,4640585	0,6324929	0,0810401	0,5963238	0,9385994	0,8526904	0,5985046	0,3765300	0,0451633	0,0563511	0,9945719	0,1834314	0,2189637
260	0,6510992	0,3013022	0,0375076	0,0301098	0,3111427	0,9350792	0,3621426	0,8248166	0,4150251	0,0134200	0,8107856	0,7439483	0,8026604	0,9935538	0,8568355	0,7605142	0,2594202	0,3707281	0,4528170	0,9902271	0,9913615	0,7935736	0,9596200	0,2247394	0,3891040	0,6851513	0,7200828	0,6978240	0,6757697	0,3772976	0,6183886	0,6603060	0,7415779	0,1551202	0,9942444	0,3125010	0,3318365	0,5671383	0,2484380	0,3645994	0,7323315	0,3480735	0,2121006	0,1852457	0,0518380	0,5492742	0,4229568	0,2295471	0,7327166	0,6289712	0,7814787	0,6002686	0,6054788	0,0672064	0,6823933	0,8950810	0,8521276	0,6342454	0,3382922	0,0350440	0,0977185	1,0024715	0,2271955	0,2968061
280	0,6723843	0,3083152	0,0436233	0,0273785	0,3407473	1,0048231	0,3271420	0,7744136	0,4882846	0,0070138	0,8578862	0,7368956	0,8207155	0,9644152	0,8067978	0,8086951	0,2735182	0,3778446	0,4173548	1,0032807	1,0357728	0,8399679	0,9948132	0,2259310	0,4374264	0,7175497	0,7584618	0,6867317	0,7043039	0,4442325	0,5924495	0,6937730	0,8266356	0,1844499	0,9840922	0,3019472	0,3219268	0,6007436	0,3327295	0,3610553	0,6780193	0,3645700	0,1831425	0,1359575	0,0729325	0,5693026	0,4632727	0,2338989	0,8084395	0,6335361	0,8414260	0,6810299	0,6234914	0,0874315	0,7417848	0,8622585	0,7903326	0,6484159	0,3649797	0,0248523	0,1117986	0,9535034	0,2534531	0,3014935
300	0,6611773	0,2837596	0,0521804	0,0470804	0,3830399	0,9364647	0,3339957	0,8329993	0,4857871	0,0104573	0,8593009	0,7084357	0,8261591	0,9080589	0,8284229	0,7418368	0,3019386	0,3616422	0,4214539	0,9850620	0,9708431	0,8130372	1,0414659	0,2325017	0,4493287	0,7040703	0,7693395	0,6515140	0,6525552	0,4101930	0,6474716	0,6941619	0,8216476	0,1841757	0,9743402	0,2903747	0,2886577	0,5826036	0,3727230	0,3720887	0,7599036	0,3580361	0,2086312	0,1237069	0,0546317	0,5769719	0,5804818	0,3017857	0,8531925	0,5620992	0,8469416	0,8654492	0,6163251	0,0895863	0,7233544	0,8702562	0,7924253	0,7591904	0,3319637	0,0469276	0,1162438	0,9849062	0,2740212	0,3491926
320	0,6520138	0,2941179	0,0440961	0,0438159	0,4075029	1,0818322	0,3241789	0,8052418	0,4887332	0,0220471	0,8222854	0,7405457	0,7859651	0,9348033	0,8254856	0,7191992	0,2630130	0,3718867	0,4553290	0,9869883	0,9873260	0,7852874	0,9840372	0,2437585	0,4372795	0,7104601	0,7243122	0,7341237	0,7763724	0,4536795	0,6858532	0,6344224	0,8273391	0,1809655	0,9998789	0,2819202	0,2265257	0,6521154	0,4257007	0,3709408	0,8239656	0,4169551	0,2300579	0,1251303	0,0736652	0,6048463	0,6330122	0,3105333	0,8012589	0,6454609	0,8687106	0,9165232	0,6755289	0,0874260	0,7811184	0,9307130	0,7342004	0,8191669	0,3533524	0,0605315	0,1907344	1,0178169	0,3664368	0,3651988
340	0,6671753	0,2817923	0,0454664	0,0406545	0,3810046	0,9641226	0,3606409	0,7914554	0,5350106	0,0072395	0,8379907	0,7726805	0,8002044	0,9873579	0,7823573	0,8168080	0,3090623	0,3516936	0,4661744	1,0307727	1,0350646	0,7275488	0,9313976	0,2815681	0,4815311	0,7205966	0,7972512	0,7582941	0,7737912	0,4354646	0,6495271	0,6272433	0,8057768	0,1842493	0,9316462	0,2859915	0,2154618	0,7187917	0,4638418	0,3680326	0,7675209	0,3817682	0,2300231	0,1313364	0,0817353	0,6558647	0,6599520	0,3745982	0,7096867	0,6126184	0,8913479	1,0085366	0,7117088	0,1047090	0,9098818	1,0479337	0,8049958	0,8413866	0,3297363	0,0630537	0,1958424	0,9588250	0,4182005	0,4250764
360	0,6528992	0,2993359	0,0548011	0,0445693	0,3972535	0,9397517	0,3695328	0,7654431	0,5890243	0,0056596	0,8483890	0,8124099	0,7486214	0,9625132	0,8233825	0,8318098	0,2545315	0,3373993	0,4667269	1,0073177	1,0650610	0,6757325	0,8993987	0,2908779	0,4665857	0,7202890	0,8417190	0,6296289	0,7859850	0,4696909	0,6276522	0,5722840	0,7992694	0,2088931	0,9159448	0,2741561	0,2069015	0,7074500	0,4115190	0,3831821	0,8042130	0,4435613	0,2708062	0,1000474	0,1013452	0,6125012	0,7356663	0,4018119	0,7333213	0,5934356	1,0190901	0,9793775	0,7152269	0,1053376	0,8591470	1,0686448	0,8673573	0,8330418	0,3886453	0,0613309	0,2181601	0,9639834	0,4280628	0,4784730
380	0,6184087	0,2891768	0,0354610	0,0342419	0,3905311	0,9224936	0,3683759	0,8076547	0,6379405	0,0076368	0,8531260	0,8002822	0,7925629	1,0407685	0,8395408	0,7585374	0,2394442	0,3485617	0,4883371	1,0078932	1,0516876	0,6741749	0,9342855	0,2617167	0,4759737	0,6846396	0,8085001	0,6767351	0,8853696	0,4956456	0,7348828	0,5688246	0,8395647	0,1943901	0,9448133	0,2797072	0,2009857	0,7291257	0,4959631	0,3500184	0,7465650	0,4510904	0,2691038	0,1219197	0,1159760	0,6454405	0,7010804	0,4250392	0,7015096	0,7164983	1,0627984	0,9447079	0,7340650	0,1021592	0,8303126	1,0741883	0,8828061	0,7986574	0,3807197	0,0744769	0,2534534	0,9462239	0,5128708	0,4821119
400	0,5734335	0,2673881	0,0426171	0,0392210	0,3708816	0,9977300	0,3817930	0,7649577	0,5833280	0,0061624	0,8827560	0,7712888	0,8464609	0,9854045	0,8083462	0,6748198	0,2458706	0,3708171	0,4683888	0,9517488	0,9112399	0,7378178	1,0300175	0,2824582	0,4830061	0,7323471	0,7819361	0,6953112	0,8976795	0,4595062	0,7933925	0,5380238	0,8205520	0,2046412	0,9573601	0,2657942	0,2161464	0,7307030	0,4908605	0,3289852	0,6924456	0,4818365	0,2758846	0,1087189	0,0969547	0,6483700	0,7042328	0,4662965	0,7763749	0,7565759	1,0812819	0,9318159	0,7691456	0,1023169	0,8591379	1,0428741	0,8989043	0,7673380	0,3559679	0,0714632	0,2608437	0,8950574	0,5860859	0,5724109
420	0,5570162	0,2891151	0,0412277	0,0391944	0,3471340	0,9590312	0,3702210	0,7454053	0,5644492	0,0046247	0,8065589	0,7968195	0,8286248	0,9831996	0,8563255	0,7253311	0,2889091	0,4138505	0,4414232	0,9668651	0,8572735	0,7307401	0,9477027	0,2524104	0,4958650	0,7316270	0,7838046	0,7471636	0,8378453	0,4394532	0,7762648	0,5448924	0,7891353	0,1800559	0,9594710	0,2890667	0,1825859	0,7639485	0,4721330	0,2978185	0,6895508	0,4288258	0,2449327	0,1273128	0,0898579	0,7126264	0,6296687	0,4962337	0,7337615	0,7849951	1,0803890	0,8785559	0,7233955	0,1195095	0,9261783	1,0183311	0,8675918	0,7161934	0,3351702	0,0566134	0,3105315	0,8762551	0,5359011	0,5187549
440	0,6153690	0,2723183	0,0409888	0,0415250	0,3666340	0,8161377	0,3530640	0,7388111	0,5860445	0,0035210	0,8112167	0,8113952	0,8935411	0,9819286	0,8227778	0,7207927	0,2541156	0,3999048	0,4271646	0,9437425	0,8628817	0,8017244	0,9680027	0,2263112	0,5050892	0,7676550	0,7899452	0,6890243	0,8595118	0,4272290	0,7377799	0,5840602	0,6882665	0,1695488	1,0212945	0,2453316	0,1702575	0,7498093	0,4099030	0,3017739	0,7139843	0,4419874	0,2403712	0,1103816	0,0958464	0,6258196	0,6091622	0,4280117	0,8553791	0,7803321	1,0594518	0,9520091	0,7620948	0,1231466	0,9112977	0,9322624	0,8680758	0,7221872	0,3698017	0,0805679	0,3316157	0,8685626	0,5050983	0,4765485
