Time	Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9	Gene10	Gene11	Gene12	Gene13	Gene14	Gene15	Gene16	Gene17	Gene18	Gene19	Gene20	Gene21	Gene22	Gene23	Gene24	Gene25	Gene26	Gene27	Gene28	Gene29	Gene30	Gene31	Gene32	Gene33	Gene34	Gene35	Gene36	Gene37	Gene38	Gene39	Gene40	Gene41	Gene42	Gene43	Gene44	Gene45	Gene46	Gene47	Gene48	Gene49	Gene50	Gene51	Gene52	Gene53	Gene54	Gene55	Gene56	Gene57	Gene58	Gene59	Gene60	Gene61	Gene62	Gene63	Gene64
200	0.1857697	0.7512943	0.037125	0.6884521	0.0126756	0.6709149	0.5062539	0.1592956	0.3823388	0.3878179	0.574289	0.7739508	0.4913675	0.0060904	0.2897116	0.0750626	0.3700943	0.3923203	0.0327601	0.0732506	0.5656926	0.3223012	0.5637712	0.3277866	0.3150351	0.242522	0.1426778	0.5601682	0.6086243	0.8590176	0.2214975	0.4322733	0.3524406	0.0628911	0.1345966	0.5773479	0.4706062	0.0059534	0.2931046	0.0051941	0.6932541	0.1182056	0.3987577	0.0244386	0.1951421	0.195943	0.6235484	0.6494213	0.6558701	0.2018759	0.4062846	0.5769179	0.5383927	0.0039099	0.5815645	0.0917721	0.0566566	0.0886051	0.4602195	0.1515946	0.0812992	0.4350561	0.178138	0.4350275
220	0.1828385	0.8159686	0.0150222	0.5733694	0.0265174	0.6461071	0.5098606	0.2015906	0.354137	0.4387866	0.5553361	0.6901392	0.5540794	0.002153	0.3818747	0.115977	0.3547377	0.3118921	0.0114629	0.0752428	0.6697769	0.277638	0.7785794	0.3149789	0.3555655	0.2283136	0.1750547	0.5591124	0.6378266	0.6633305	0.2368401	0.4416538	0.4081636	0.0553683	0.1426452	0.6579646	0.5069484	0.004449	0.3231551	0.0085688	0.8156948	0.0578601	0.4126094	0.0240989	0.2648884	0.2392154	0.7634331	0.60882	0.8062759	0.1828471	0.4424847	0.49421	0.4196859	0.0061228	0.4860411	0.080906	0.0921511	0.087843	0.4446122	0.1353155	0.0496721	0.4742141	0.1948493	0.5142197
240	0.2964678	0.8210003	0.0216137	0.6961091	0.0108568	0.8109157	0.5482818	0.1781724	0.3715722	0.4360659	0.5181178	0.7857109	0.5825738	0.001124	0.375104	0.0623549	0.4395081	0.5262946	0.0088396	0.0573062	0.667097	0.1880665	0.7769376	0.3011977	0.4304517	0.1847789	0.1717196	0.5041446	0.6464892	0.7748934	0.2504344	0.4053148	0.4001458	0.0757288	0.0975824	0.4874605	0.4331856	0.0095911	0.3366849	0.0046543	0.6809674	0.0724148	0.4627023	0.0206033	0.2066971	0.2319697	0.6068002	0.6261585	0.8314528	0.1985022	0.4482745	0.4639048	0.3491953	0.004025	0.506341	0.1110605	0.0657622	0.0919678	0.3988907	0.1122382	0.0492221	0.6029721	0.1991598	0.4918524
260	0.186843	0.7820439	0.0180273	0.9045793	0.0331404	0.7424417	0.4935832	0.1336074	0.4315577	0.4340723	0.543118	0.5887576	0.5217763	0.0040261	0.4763745	0.0803172	0.4453126	0.3898369	0.0245635	0.0683957	0.6472745	0.2790208	0.6439335	0.282342	0.3303918	0.1713852	0.1334127	0.6173083	0.6479402	0.7578038	0.2437197	0.3919526	0.3703898	0.0910172	0.1514133	0.6536933	0.4656096	0.0253966	0.2221863	0.0028935	0.6479979	0.0686963	0.3939734	0.010913	0.2974476	0.2633302	0.5442864	0.6406278	0.6099232	0.1590289	0.5255299	0.5287198	0.3702171	0.0065225	0.5507629	0.1233658	0.0850563	0.0714835	0.4547236	0.1681437	0.0642294	0.4526714	0.2055639	0.4202446
280	0.1662184	0.7193199	0.0416364	0.7311873	0.0133762	0.6397131	0.626534	0.2314574	0.5549836	0.4297689	0.5764688	0.7452393	0.5265646	0.0051793	0.3077091	0.072896	0.4240675	0.4441121	0.0111474	0.0861292	0.5544184	0.216613	0.6624491	0.4093155	0.2986604	0.1607639	0.1435199	0.5476935	0.5647459	0.664501	0.2572616	0.4036159	0.2814452	0.0783579	0.1130144	0.5181747	0.5390454	0.0040659	0.2589853	0.0045875	0.5908801	0.0780573	0.3381047	0.0081685	0.260571	0.2367752	0.7964597	0.7447491	0.7451771	0.2543387	0.3404189	0.5781859	0.373106	0.0026182	0.4355305	0.105714	0.0835143	0.0843561	0.5468617	0.1210114	0.0718459	0.5299678	0.2545894	0.4764496
300	0.1895821	0.6889396	0.0725985	0.7234545	0.0185589	0.531847	0.5486181	0.155149	0.4265357	0.4521029	0.5060171	0.6238872	0.7154917	0.0045397	0.3499271	0.0749643	0.4210305	0.4886766	0.0209024	0.0466655	0.7112335	0.2040796	0.6490071	0.3680096	0.241455	0.1517617	0.0933842	0.5201085	0.4863188	0.6559263	0.2919019	0.3611495	0.285939	0.0669719	0.1554873	0.6565128	0.5561158	0.0120567	0.226411	0.0120192	0.7489409	0.1263364	0.3919872	0.0030159	0.2368957	0.1680936	0.5543589	0.6157349	0.7705515	0.1672345	0.4363138	0.5198464	0.4143997	0.0088904	0.5211578	0.093271	0.1086396	0.0809563	0.4396034	0.1116857	0.0376998	0.6231986	0.2391431	0.6559402
320	0.2174176	0.7251348	0.0408824	0.6716884	0.0186841	0.6668689	0.5475721	0.165699	0.3700901	0.3667517	0.5047101	0.5633415	0.6154961	0.0020368	0.3190536	0.0741647	0.6002432	0.4630747	0.0092729	0.0949134	0.6889711	0.2338485	0.7513597	0.2900506	0.3175671	0.1557777	0.096284	0.609243	0.6175616	0.573648	0.2352926	0.3031975	0.3603424	0.0813432	0.1104362	0.633531	0.6066223	0.0273218	0.3027914	0.0043971	0.6886879	0.1132192	0.3699501	0.0020405	0.24072	0.2508697	0.7836588	0.7788581	0.70105	0.1313466	0.3973815	0.3749708	0.3687171	0.009338	0.5024933	0.1162198	0.1085453	0.0981433	0.4167713	0.1074979	0.0299925	0.6772081	0.3590059	0.5723617
340	0.1653815	0.655681	0.0315819	0.6558862	0.0302875	0.6592988	0.4894734	0.1522061	0.4490197	0.4323201	0.4837346	0.6549175	0.6929345	0.0092661	0.2712963	0.0701452	0.4946074	0.3719986	0.0213282	0.1015477	0.7169194	0.2255266	0.7006672	0.3648639	0.2990776	0.1607992	0.1075088	0.6141352	0.5014845	0.6333708	0.314178	0.2505941	0.3500424	0.1219445	0.1579741	0.6165532	0.430111	0.0231637	0.2236207	0.0012548	0.5938485	0.1176107	0.4184887	0.0032199	0.238159	0.295486	0.6685272	0.7091727	0.7916348	0.0580709	0.5740576	0.491503	0.4631131	0.0075284	0.4785286	0.0704941	0.0740221	0.0747479	0.5296674	0.1195918	0.0431047	0.4799732	0.2022357	0.5053761
360	0.1780052	0.8479158	0.030079	0.6836103	0.0200954	0.6734126	0.5795031	0.1346107	0.4661288	0.3906496	0.56495	0.7721224	0.6141869	0.0008025	0.3372807	0.130409	0.4383678	0.407266	0.0038503	0.0943296	0.6890799	0.3391082	0.6729289	0.3500983	0.3009533	0.1820524	0.104301	0.5560638	0.6176184	0.6976823	0.2555863	0.3089769	0.3884648	0.0573895	0.1571368	0.5517204	0.4563801	0.0187827	0.2203268	1e-07	0.6458507	0.0855121	0.3481757	0.00064	0.3535488	0.2551752	0.6034772	0.711601	0.6902544	0.0725899	0.52766	0.4904126	0.3973445	0.0022987	0.5945983	0.1462899	0.0787533	0.0830088	0.4603391	0.0809867	0.0425071	0.535984	0.2103179	0.4323221
380	0.1672351	0.72667	0.0205595	0.7697023	0.0041456	0.6849435	0.4731836	0.2053894	0.6483088	0.4564561	0.4019473	0.6339262	0.6765008	0.0005034	0.3201419	0.0897065	0.3797273	0.4687028	0.0109746	0.1000504	0.7066069	0.2467291	0.6399341	0.2777044	0.409583	0.1283453	0.186049	0.5295113	0.590296	0.7108894	0.2589834	0.3418792	0.4028579	0.1018861	0.1069627	0.6258089	0.5488292	0.0157913	0.2097107	0.0032028	0.7044093	0.1118386	0.477446	0.0060016	0.2153644	0.1539136	0.5736595	0.609174	0.7277337	0.0910904	0.4365997	0.5127723	0.3958284	0.0089035	0.6010833	0.1107084	0.1261298	0.0722707	0.5714862	0.1202058	0.0579922	0.4687919	0.2367046	0.4506135
