"Time"	nadR	nadB	pnuC	nadA	pncB	crp	rhaR	rhaS	zraR	melR	feaR	malI	mtlR	prpR	ascG	marR	rbsR	chbR	nagC	fucR	chbC	chbB	chbG	chbA	chbF	nagB	prpC	fucO	fucI	fucK	rbsD	prpD	zraS	nagD	malY	rhaD	nagE	rhaA	ascF	melA	rbsB	fucP	ascB	melB	rbsK	prpB	rbsC	fucU	rhaB	malX	fucA	prpE	rbsA	nagA	nanM	nanC	rhaT	manX	mtlD	manZ	mtlA	manY	galP	marB
180	0,6898193	0,2813028	0,2333569	0,0395181	0,2369102	0,7444866	0,6102128	0,2993689	0,6675779	0,8526215	0,7817309	0,0311084	0,7703938	0,4808907	0,0736320	0,3967752	0,4081299	0,1913826	0,2138653	0,4585648	0,7015683	0,1002108	0,3835544	0,7183086	0,2219119	0,2658549	0,4023872	0,5046356	0,2407403	0,5819710	0,4791075	0,3992148	0,6662576	0,7135453	0,3464470	0,5411190	0,4588518	0,4903401	0,6654839	0,1852129	0,8238804	0,3261453	0,5290087	0,7217441	0,7514967	0,7151196	0,6093995	0,5241031	0,1856438	0,2823885	0,0195059	0,2731495	0,2608966	0,7167152	0,4638697	0,3857668	0,2405472	0,6200043	0,3391734	0,7499694	0,0783252	0,4499775	0,6270952	0,3877847
200	0,8960841	0,2822606	0,1972894	0,0401281	0,2335694	0,6814504	0,5781458	0,4541750	0,7807902	0,6467637	0,7309554	0,0112939	0,6670226	0,5002842	0,0984572	0,4490333	0,2708319	0,1882069	0,1912620	0,3330616	0,7907851	0,0740144	0,4268916	0,7548741	0,1210103	0,3494815	0,5007111	0,5996283	0,3089892	0,5897146	0,4113341	0,4053103	0,7127482	0,6636775	0,2641820	0,6132298	0,5489981	0,4578921	0,6830909	0,1367182	0,8478567	0,4025703	0,4427638	0,8022700	0,7147619	0,7516691	0,5812610	0,6602857	0,4662810	0,2731637	0,0297980	0,2551991	0,2183533	0,7407187	0,3323454	0,4866757	0,5173321	0,6092965	0,3187871	0,5562892	0,0645860	0,4727082	0,6370443	0,4267123
220	0,7995334	0,2727565	0,1681454	0,0359589	0,1687512	0,6063965	0,6026341	0,4882049	0,7628898	0,7042693	0,8602442	0,0153514	0,7463511	0,4247145	0,1062027	0,2360153	0,3135632	0,1741281	0,1588497	0,3690511	0,8419271	0,1067031	0,3825413	0,6988522	0,2109232	0,2202734	0,6012274	0,6858763	0,2946049	0,5941752	0,4288466	0,4669313	0,7191558	0,7248129	0,2500476	0,6450631	0,5517466	0,5032343	0,7111976	0,2004108	0,7414001	0,4113642	0,5390050	0,8073032	0,8418569	0,7967588	0,6752838	0,6392843	0,5315737	0,3830055	0,0313392	0,4281524	0,2070559	0,7499532	0,4194904	0,4933847	0,5081726	0,5607824	0,3353982	0,6144582	0,1213009	0,4476796	0,7202524	0,3784712
240	0,6438629	0,2770919	0,1984812	0,0673596	0,2039500	0,6674012	0,7099391	0,6259749	0,6966707	0,7454793	0,7092833	0,0074082	0,7748815	0,4538584	0,0662639	0,4663242	0,2173590	0,1859555	0,2037031	0,3664357	0,6742877	0,0907559	0,3710084	0,6927187	0,1958438	0,2254817	0,4647761	0,7402331	0,5478372	0,6387734	0,5070497	0,6099391	0,8192061	0,6825558	0,2122829	0,5238840	0,4417724	0,5502376	0,7145133	0,1682748	0,8796448	0,5439405	0,6255007	0,7692194	0,8405234	0,7525802	0,6262225	0,6714689	0,6120973	0,3388888	0,0430847	0,4649848	0,2084997	0,6792439	0,4369747	0,4905498	0,6391926	0,5777529	0,3365288	0,8735553	0,0898410	0,4314349	0,8023896	0,4190448
260	0,7614521	0,2554487	0,2280590	0,0253838	0,1835679	0,6645951	0,7578488	0,5903520	0,5575376	0,7129369	0,8325167	0,0124182	0,7797649	0,4997179	0,0749527	0,2390788	0,2341487	0,1030218	0,1082426	0,4014330	0,7442464	0,0860154	0,4225311	0,7929572	0,2137153	0,2354814	0,6340641	0,7352462	0,3102348	0,5597349	0,5313248	0,5559681	0,7982101	0,6481894	0,1952686	0,6873210	0,5489419	0,5891261	0,8540030	0,2613713	0,7578745	0,4182360	0,5020065	0,7372732	0,6716467	0,7637594	0,6077053	0,6723897	0,5508278	0,3873500	0,0545408	0,5631304	0,1436034	0,9416021	0,4106972	0,5755431	0,5816863	0,6929690	0,4107005	0,7121929	0,1498084	0,4151646	0,6976017	0,3203163
280	0,7550237	0,2499915	0,2302619	0,0299172	0,2277036	0,6929400	0,6769387	0,6441743	0,8001513	0,7680638	0,7017904	0,0159262	0,6784239	0,4549952	0,0572604	0,3558379	0,2021232	0,1490000	0,1799845	0,3422934	0,6880519	0,0936423	0,3728474	0,7222150	0,1595456	0,2508720	0,5377838	0,7994604	0,5493918	0,6296805	0,4597721	0,5528950	0,5651741	0,7227604	0,2265627	0,6710370	0,6220482	0,5509918	0,6630325	0,2074498	0,7031135	0,4702641	0,4654136	0,7118269	0,6755694	0,7132860	0,5405256	0,7855011	0,6999932	0,4193537	0,0687824	0,5659620	0,1408062	0,7387150	0,4838102	0,4609997	0,5748008	0,7786411	0,3853192	0,8383971	0,1235804	0,5317782	0,7840647	0,3429871
300	0,7424874	0,2656341	0,2609841	0,0327409	0,2196079	0,8132616	0,5906156	0,5857341	0,7493700	0,6888779	0,7546032	0,0129829	0,6706283	0,5514280	0,1023595	0,3249177	0,2565473	0,1635917	0,1590862	0,4034000	0,6899696	0,0732511	0,4648273	0,7026106	0,2457685	0,2708762	0,6420395	0,7441225	0,4964073	0,7441516	0,3901720	0,5741799	0,6520482	0,7055217	0,3168771	0,5317477	0,5237345	0,6373863	0,7494501	0,2441108	0,7633460	0,4901873	0,3732048	0,6906822	0,7764346	0,6914116	0,5251493	0,7912970	0,7258659	0,4056830	0,0346692	0,5935284	0,1132673	0,8084193	0,4191422	0,5581518	0,5867875	0,6086209	0,3609767	0,7392185	0,1019540	0,3642836	0,7677029	0,3828221
320	0,8793042	0,2921888	0,2316798	0,0179169	0,2853455	0,7736377	0,7717383	0,7181191	0,6969146	0,7478071	0,7158399	0,0270803	0,7305671	0,5418859	0,0927430	0,3464575	0,2691353	0,1985231	0,1600826	0,3753410	0,6570588	0,0627436	0,4241309	0,6941041	0,1869542	0,2169407	0,5436152	0,8863747	0,4918285	0,6622785	0,4477677	0,5206672	0,7107832	0,6746718	0,2987042	0,5428154	0,5658398	0,8172663	0,7711376	0,1880340	0,6905515	0,4717437	0,5217453	0,5309144	0,6989614	0,7249768	0,5664668	0,7248301	0,8593424	0,3959077	0,0359844	0,4984671	0,1782947	0,7854123	0,3828290	0,4501275	0,6144603	0,6973420	0,4556245	0,7682016	0,0898277	0,3902108	0,7087627	0,4628461
340	0,7814133	0,2472720	0,2478247	0,0561882	0,1716502	0,8591891	0,8659097	0,6047368	0,6274825	0,9318971	0,8187405	0,0245687	0,7973372	0,4752430	0,1091523	0,3829003	0,1876694	0,2112021	0,1654451	0,3696187	0,7954417	0,0863899	0,4284272	0,7338697	0,1535821	0,2524806	0,5060999	0,7813460	0,5558233	0,6260734	0,4839288	0,5301125	0,6436199	0,7468820	0,2159077	0,7030898	0,5969098	0,5910966	0,8646606	0,2235425	0,8371655	0,6208672	0,4926158	0,6546403	0,5990699	0,6712895	0,6542266	0,6329549	0,7801603	0,3428078	0,0596010	0,5424264	0,2499969	0,8490269	0,4585590	0,4892290	0,5682940	0,6107021	0,2838798	0,6714930	0,1178168	0,4898994	0,7902793	0,3356777
360	0,6833101	0,1901239	0,2791183	0,0160977	0,1829526	0,6939780	0,7075688	0,5476240	0,6807578	0,8074225	0,7381371	0,0117189	0,6870152	0,5926883	0,0933011	0,2864215	0,2823692	0,2026549	0,2557180	0,4278758	0,6975161	0,1089193	0,4639623	0,6936758	0,1519890	0,3070397	0,5488044	0,7603884	0,5987111	0,6605723	0,5197137	0,6242895	0,6909517	0,6675447	0,2483691	0,6520024	0,6060342	0,6264833	0,7993000	0,2407764	0,7887069	0,4373631	0,4630842	0,6558135	0,7599428	0,7473535	0,5869289	0,6823510	0,6832649	0,4307089	0,0643124	0,4165386	0,1303265	0,5752408	0,5363215	0,5976423	0,7766341	0,6107942	0,3890195	0,7766226	0,1301169	0,4859310	0,8343492	0,4499696
