"Time"	hupB	fis	mtlR	marR	marA	rob	putA	xylR	glcC	hupA	soxS	soxR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	marB	mdtE	mdtF	hdeB	yhiD	hdeA	gadA	micF	gadB	fumC	gadC	zwf	dctR	slp	inaA	nfo	ygiA	ygiC	ygiB	tolC	acrA	acrB	sodA	fpr	gadY	rfaY	poxB	rfaZ	seqA	pqiB	pgm	nemA	pqiA	xylH	hdeD	purA	xylG	xylF	mtlA	mtlD	cadB	cadA	tyrP	ptsG
180	0,1759454	0,5647505	0,5805450	0,7324292	0,8210321	0,5051479	0,4686462	0,6875443	0,5133595	0,4429321	0,0620531	0,1752214	0,7994891	0,2617094	0,7632774	0,0827658	0,5754555	0,2981129	0,1015394	0,1003140	0,1487066	0,8339464	0,4871676	0,3435485	0,5421823	0,5882208	0,9938484	0,2804126	0,1897961	0,2613824	0,5548125	0,5148478	0,2462241	0,2004429	0,3799840	0,0496740	0,3939805	0,4895469	1,0084839	0,1311835	0,7360640	0,4854335	1,0043032	0,1666578	0,0456405	0,5533207	0,5751109	1,0131007	0,3434606	0,4354322	1,0281553	0,0771999	0,7395239	0,3890148	0,9961176	0,1144936	0,2456579	0,2390615	0,5911411	0,9098576	0,5859170	0,9950905	0,3653709	0,2936508
200	0,1629636	0,5844324	0,6263001	0,5990133	0,8020457	0,4897748	0,4645897	0,7219720	0,5263446	0,4217598	0,0692223	0,1677267	0,8380921	0,2228613	0,7648739	0,0688761	0,5717621	0,2668624	0,1093664	0,1279243	0,1334906	0,8536112	0,4976114	0,2944199	0,5770626	0,6032243	1,0166050	0,2549688	0,2164027	0,2399999	0,5828603	0,5229713	0,2121354	0,2432766	0,3941147	0,0631172	0,4099122	0,4723665	0,9879497	0,0856009	0,6628774	0,5218502	0,9928700	0,1608348	0,0424028	0,5472946	0,5393216	0,9798311	0,3579577	0,3560859	1,0542449	0,0810708	0,7496832	0,3707205	1,0486684	0,0739776	0,2836071	0,2586830	0,6902752	0,9147867	0,5515486	1,0098615	0,4514680	0,3281853
220	0,1432071	0,5680612	0,5888655	0,6085290	0,7565635	0,4625455	0,4447755	0,7650760	0,5864021	0,3613929	0,0738590	0,1534491	0,8225965	0,1937607	0,6985228	0,0704513	0,5299181	0,2132603	0,1319214	0,1414042	0,1284355	0,9037017	0,4899485	0,2546150	0,5717623	0,6012119	1,0103016	0,2280362	0,2588640	0,2278888	0,5123062	0,5125644	0,2073275	0,2065321	0,3789192	0,0594066	0,4250264	0,4044443	0,9279192	0,0926862	0,7127710	0,4704806	1,0131061	0,1805741	0,0419768	0,5386298	0,5575808	0,9976994	0,3363478	0,3456483	1,0819417	0,0766287	0,6815727	0,3663591	1,0253815	0,0850894	0,2704540	0,2443127	0,6557663	0,9397941	0,5450452	0,9800702	0,4355443	0,3548815
240	0,1172671	0,5615224	0,5812709	0,6183713	0,7946315	0,5052760	0,4764908	0,7964267	0,5946511	0,3644620	0,0622294	0,1451285	0,8371933	0,2113525	0,7066845	0,0741580	0,5041729	0,1894284	0,1402615	0,1292328	0,1159028	0,9869594	0,5019305	0,3153543	0,5294844	0,5632281	1,0270534	0,2386173	0,2673969	0,2076083	0,5432657	0,5117906	0,2505080	0,2036248	0,3833980	0,0486919	0,3821347	0,3705648	0,9278331	0,0941532	0,7094169	0,4505264	1,0096535	0,1703506	0,0454016	0,5637034	0,5198739	1,0475918	0,3442661	0,3223786	1,1537105	0,0807903	0,7153021	0,4208044	1,0198872	0,0479174	0,2396970	0,2201656	0,6922641	0,9536640	0,4851627	0,9610134	0,4124282	0,3240521
260	0,1332773	0,5997397	0,5930444	0,5905390	0,7930257	0,4889628	0,5062981	0,7959625	0,4923342	0,3856805	0,0521656	0,1351973	0,8490099	0,2220857	0,7216454	0,0658116	0,5647789	0,1533796	0,1297467	0,1237047	0,1217081	0,9654708	0,5171260	0,2870830	0,5180561	0,5298621	1,0494472	0,2364072	0,2548174	0,2321510	0,5456431	0,5259798	0,2210970	0,1945560	0,4294616	0,0547192	0,3553097	0,3731100	0,9533181	0,1203527	0,7963978	0,4194698	0,8802714	0,1749359	0,0445249	0,5445431	0,5832789	1,0751986	0,3924812	0,3097411	1,0523761	0,0879991	0,7476186	0,4082927	1,0359220	0,0291739	0,2394343	0,2238051	0,6677465	0,9526700	0,4674128	0,9449650	0,4870978	0,2982521
280	0,1222869	0,5615272	0,5722151	0,5712785	0,7648819	0,5224232	0,5218102	0,7691429	0,4915736	0,3687545	0,0484252	0,1342725	0,7965257	0,2444355	0,7479008	0,0552570	0,5887340	0,1394553	0,1520469	0,1215535	0,1300017	0,9726705	0,4920937	0,2892536	0,5139177	0,5261484	0,9701250	0,2297929	0,2388964	0,2041759	0,5844155	0,5499744	0,2569971	0,1984914	0,4035556	0,0325550	0,3814617	0,3537241	0,9422718	0,1020977	0,8500300	0,4546498	0,9332400	0,1501593	0,0355158	0,5676177	0,5307384	0,9985199	0,3875014	0,3218977	1,0750111	0,1160034	0,7749879	0,4243084	1,0015014	0,0342811	0,2344694	0,2606172	0,6706651	0,9535880	0,4277329	0,8954966	0,5312580	0,3062318
300	0,1391769	0,5733619	0,5310931	0,6361906	0,8055171	0,5996357	0,5077038	0,7892535	0,5414309	0,3083566	0,0665456	0,1314240	0,8614228	0,2048256	0,7931585	0,0818618	0,5399570	0,1066595	0,1340379	0,1125147	0,1234426	0,9741331	0,5591075	0,2934608	0,5533183	0,4884421	1,0936725	0,2388055	0,2654299	0,2190498	0,5840889	0,5366392	0,2414004	0,2055946	0,3740028	0,0318033	0,4307637	0,3253141	0,9539040	0,0951386	0,7463884	0,4432080	0,9940915	0,1629705	0,0327542	0,5588876	0,5480266	0,9282243	0,3477609	0,2739663	1,0199822	0,1269591	0,7848664	0,4402506	0,9179200	0,0383693	0,2500325	0,2577544	0,6634465	0,9357212	0,4687901	0,8557062	0,4962756	0,3660932
320	0,1650531	0,5805505	0,5019551	0,6238970	0,8406945	0,5496381	0,4867994	0,7671543	0,5387614	0,3249759	0,0573143	0,1590467	0,8569334	0,2020617	0,7756141	0,0799293	0,5631272	0,0987500	0,1200754	0,0919874	0,1046371	0,9571951	0,5783340	0,3309799	0,5182666	0,4674351	0,9913595	0,2546334	0,2214773	0,2549382	0,5830443	0,5166701	0,2343908	0,2154024	0,3949524	0,0246823	0,4026585	0,3279107	1,0080326	0,1127755	0,6829350	0,4226010	1,0633660	0,1551178	0,0241870	0,5147397	0,5541108	0,9852904	0,3681133	0,2752284	1,0025796	0,1240607	0,7930970	0,4764819	0,8723765	0,0410578	0,2820744	0,2469144	0,6301286	0,9714760	0,4366009	0,8531235	0,4725566	0,4147633
340	0,1487128	0,6283339	0,5204199	0,5896327	0,8526150	0,5456600	0,4457884	0,7544996	0,5855167	0,3035886	0,0616481	0,1639440	0,8064698	0,1788083	0,7095875	0,0678154	0,6369004	0,0957597	0,1257374	0,0999829	0,1070848	0,8867094	0,5042128	0,3222661	0,5175289	0,4323559	0,9799342	0,2721084	0,1932379	0,2178109	0,6253568	0,4970294	0,2509178	0,2120794	0,4115091	0,0216589	0,4321661	0,3064866	0,9616991	0,1299211	0,7176025	0,4433114	1,0141490	0,1936656	0,0266077	0,5416814	0,5536307	0,9678601	0,3400467	0,3123618	0,9424170	0,1119620	0,8129732	0,4767632	0,9215528	0,0294452	0,2995504	0,2767364	0,6371267	0,9812293	0,4558439	0,9136089	0,4408986	0,3697002
360	0,1616478	0,6108383	0,5248272	0,6490927	0,8594122	0,5435661	0,4584339	0,7422117	0,5780309	0,2767539	0,0330343	0,1467997	0,8118616	0,1962773	0,7450366	0,0558022	0,6621175	0,0811151	0,1273321	0,1223528	0,1220614	0,8502173	0,5057551	0,3197121	0,5402097	0,3922339	0,9677781	0,2278351	0,1802137	0,2243843	0,5756975	0,5119466	0,2799252	0,2060058	0,4200607	0,0322530	0,3906788	0,2672051	0,9320830	0,0848481	0,6647895	0,4641778	1,0294106	0,2100759	0,0246903	0,5619638	0,5840461	1,0156968	0,3623928	0,3391272	0,9939699	0,0818068	0,7780777	0,4691815	1,0143093	0,0350264	0,3166195	0,2166768	0,6497533	0,9492522	0,4372765	0,8993701	0,4609108	0,3311124
