58 <- 58
58 <- 9
59 <- 59
59 <- 17
59 <- 22
56 <- 56
56 <- 62
56 <- 41
57 <- 3
57 <- 57
57 <- 8
54 <- 58
54 <- 53
54 <- 54
55 <- 55
55 <- 1
55 <- 52
52 <- 60
52 <- 63
52 <- 54
53 <- 6
53 <- 55
53 <- 53
50 <- 21
50 <- 50
50 <- 7
51 <- 51
51 <- 59
51 <- 41
17 <- 17
17 <- 18
17 <- 19
29 <- 29
29 <- 17
29 <- 4
64 <- 42
64 <- 57
64 <- 22
63 <- 58
63 <- 37
62 <- 6
62 <- 53
62 <- 62
61 <- 4
61 <- 61
61 <- 19
60 <- 60
60 <- 59
60 <- 39
23 <- 23
23 <- 31
23 <- 1
22 <- 60
22 <- 59
22 <- 22
21 <- 5
21 <- 57
21 <- 24
20 <- 5
20 <- 13
20 <- 61
27 <- 53
27 <- 22
27 <- 54
26 <- 26
26 <- 23
26 <- 9
25 <- 58
25 <- 26
25 <- 44
24 <- 32
24 <- 37
24 <- 24
49 <- 4
49 <- 35
49 <- 11
48 <- 16
48 <- 23
48 <- 48
45 <- 16
45 <- 6
45 <- 45
44 <- 44
44 <- 37
44 <- 41
47 <- 29
47 <- 63
47 <- 47
46 <- 58
46 <- 63
46 <- 41
41 <- 35
41 <- 38
41 <- 41
28 <- 35
28 <- 58
28 <- 22
43 <- 4
43 <- 57
43 <- 63
40 <- 40
40 <- 37
40 <- 47
16 <- 16
16 <- 55
16 <- 9
42 <- 42
42 <- 51
42 <- 22
18 <- 16
18 <- 59
18 <- 18
8 <- 56
8 <- 62
8 <- 20
9 <- 6
9 <- 31
9 <- 9
19 <- 26
19 <- 30
19 <- 19
1 <- 34
1 <- 1
1 <- 9
2 <- 23
2 <- 48
2 <- 24
3 <- 21
3 <- 56
3 <- 11
4 <- 4
4 <- 16
5 <- 26
5 <- 27
5 <- 20
6 <- 6
6 <- 64
6 <- 23
7 <- 35
7 <- 24
7 <- 11
12 <- 12
12 <- 10
12 <- 4
13 <- 13
13 <- 44
13 <- 11
10 <- 6
10 <- 61
10 <- 62
11 <- 7
11 <- 13
11 <- 11
38 <- 64
38 <- 34
39 <- 6
39 <- 62
39 <- 39
14 <- 40
14 <- 26
14 <- 33
15 <- 4
15 <- 44
15 <- 30
34 <- 50
34 <- 34
34 <- 63
35 <- 35
35 <- 60
35 <- 62
36 <- 29
36 <- 42
36 <- 4
37 <- 22
37 <- 37
30 <- 47
30 <- 17
30 <- 30
31 <- 17
31 <- 34
31 <- 22
32 <- 27
32 <- 32
32 <- 30
33 <- 51
33 <- 33
33 <- 11
