Cf2	Su(var)2-HP2	0
Cf2	CG6791	0
Cf2	lola	0
Cf2	CG32767	0
Cf2	Mef2	0
Cf2	hb	0
Cf2	Sin3A	0
Cf2	skd	0
Cf2	CG2926	0
Cf2	CG1677	0
Cf2	Su(Tpl)	0
Cf2	tay	0
Cf2	CG8949	0
Cf2	CG31510	0
Cf2	CG4266	0
Cf2	Ulp1	0
Cf2	e(y)3	0
Cf2	Ge-1	0
Cf2	pygo	0
Smox	CG10462	0
Smox	Cf2	0
Smox	CG9727	0
Smox	MTA1-like	0
Smox	wdn	0
Smox	ash1	0
Smox	E(bx)	0
Smox	osa	0
Smox	mxc	0
Smox	Smr	0
Smox	chif	0
Smox	mod(mdg4)	0
Smox	fs(1)h	0
Smox	Su(var)2-HP2	0
Smox	CG6791	0
Smox	lola	0
Smox	CG32767	0
Smox	Mef2	0
Smox	hb	0
Smox	CG31635	0
Smox	Sin3A	0
Smox	skd	0
Smox	CG2926	0
Smox	CG1677	0
Smox	CG15356	0
Smox	Su(Tpl)	0
Smox	tay	0
Smox	stau	0
Smox	CG8949	0
Smox	CG31510	0
Smox	CG4266	0
Smox	CG10289	0
Smox	Ulp1	0
Smox	e(y)3	0
Smox	Ge-1	0
Smox	pygo	0
CG9727	CG10462	0
CG9727	Cf2	0
CG9727	Smox	0
CG9727	MTA1-like	0
CG9727	wdn	0
CG9727	ash1	0
CG9727	E(bx)	0
CG9727	osa	0
CG9727	mxc	0
CG9727	Smr	0
CG9727	chif	0
CG9727	mod(mdg4)	0
CG9727	fs(1)h	0
CG9727	Su(var)2-HP2	0
CG9727	CG6791	0
CG9727	lola	0
CG9727	CG32767	0
CG9727	Mef2	0
CG9727	hb	0
CG9727	Sin3A	0
CG9727	skd	0
CG9727	CG2926	0
CG9727	CG1677	0
CG9727	Su(Tpl)	0
CG9727	tay	0
CG9727	stau	0
CG9727	CG8949	0
CG9727	CG31510	0
CG9727	CG4266	0
CG9727	CG10289	0
CG9727	Ulp1	0
CG9727	e(y)3	0
