Accuracy	Precision	Recall	F1	MCC	BM
0.2859848484848485	0.0759493670886076	0.7142857142857143	0.13729977116704808	-0.022903091875853713	-0.036743092298647806
0.3106060606060606	0.06951871657754011	0.6190476190476191	0.125	-0.05774657738960309	-0.09700176366843039
0.3068181818181818	0.08247422680412371	0.7619047619047619	0.14883720930232558	0.01801891306295634	0.029394473838918245
0.30303030303030304	0.07552083333333333	0.6904761904761905	0.13615023474178403	-0.024288490271810764	-0.03997648442092894
0.30492424242424243	0.07792207792207792	0.7142857142857143	0.1405152224824356	-0.009844026554699084	-0.01616696061140499
0.30113636363636365	0.064	0.5714285714285714	0.11510791366906473	-0.08994240298291867	-0.1507936507936508
0.2859848484848485	0.08436724565756824	0.8095238095238095	0.15280898876404495	0.0319961004359169	0.050264550264550234
0.2727272727272727	0.08292682926829269	0.8095238095238095	0.1504424778761062	0.02329353326487227	0.035861258083480285
0.2859848484848485	0.08020050125313283	0.7619047619047619	0.14512471655328796	0.0042575034011773415	0.006760728982951214
0.3428030303030303	0.0889487870619946	0.7857142857142857	0.15980629539951574	0.05342076033471605	0.09024103468547917
