Accuracy	Precision	Recall	F1	MCC	BM
0.7689393939393939	0.075	0.1111111111111111	0.08955223880597014	-0.03803491305644819	-0.04500703234880454
0.7803030303030303	0.1125	0.16666666666666666	0.13432835820895522	0.014263092396168072	0.016877637130801704
0.7784090909090909	0.10126582278481013	0.14814814814814814	0.12030075187969926	-0.0013938836486417979	-0.001640881387716786
0.7803030303030303	0.10256410256410256	0.14814814814814814	0.12121212121212123	0.00040035166320827775	0.00046882325363339916
0.7859848484848485	0.0958904109589041	0.12962962962962962	0.11023622047244094	-0.008436881085977404	-0.009610876699484239
0.7821969696969697	0.07042253521126761	0.09259259259259259	0.08	-0.04143153288648436	-0.04664791373652133
0.7746212121212122	0.10843373493975904	0.16666666666666666	0.13138686131386862	0.008781296912508027	0.010548523206751037
0.7746212121212122	0.07792207792207792	0.1111111111111111	0.0916030534351145	-0.03320591946948163	-0.03867791842475388
0.7803030303030303	0.10256410256410256	0.14814814814814814	0.12121212121212123	0.00040035166320827775	0.00046882325363339916
0.7840909090909091	0.13414634146341464	0.2037037037037037	0.16176470588235295	0.04510437612336403	0.05391467416783868
