Accuracy	Precision	Recall	F1	MCC	BM
0.49242424242424243	0.08455882352941177	0.5476190476190477	0.1464968152866242	0.0190978853547544	0.03527336860670194
0.49242424242424243	0.08148148148148149	0.5238095238095238	0.14102564102564105	0.00731938458716589	0.013521457965902428
0.48484848484848486	0.08333333333333333	0.5476190476190477	0.14465408805031446	0.014650130269696781	0.027042915931804856
0.48295454545454547	0.07692307692307693	0.5	0.13333333333333336	-0.010027613959936447	-0.0185185185185186
0.48674242424242425	0.07434944237918216	0.47619047619047616	0.12861736334405147	-0.01956985284260762	-0.03615520282186946
0.49053030303030304	0.09025270758122744	0.5952380952380952	0.1567398119122257	0.041569254179235925	0.07671957671957674
0.48863636363636365	0.07777777777777778	0.5	0.13461538461538464	-0.006682916362194943	-0.012345679012345734
0.4943181818181818	0.08487084870848709	0.5476190476190477	0.14696485623003197	0.02020975201014627	0.03733098177542615
0.48295454545454547	0.07692307692307693	0.5	0.13333333333333336	-0.010027613959936447	-0.0185185185185186
0.4791666666666667	0.07636363636363637	0.5	0.13249211356466878	-0.012259495208163789	-0.02263374485596703
