Accuracy	Precision	Recall	F1	MCC	BM
0.4264705882352941	0.22916666666666666	0.8461538461538461	0.360655737704918	0.14966941037143297	0.17342657342657342
0.40441176470588236	0.22772277227722773	0.8846153846153846	0.36220472440944884	0.15787959058720963	0.1755244755244756
0.39705882352941174	0.22	0.8461538461538461	0.3492063492063492	0.1221664066944384	0.13706293706293704
0.3897058823529412	0.22330097087378642	0.8846153846153846	0.35658914728682173	0.14432910380181574	0.1573426573426573
0.39705882352941174	0.23076923076923078	0.9230769230769231	0.36923076923076925	0.1815153475862575	0.19580419580419584
0.38235294117647056	0.22115384615384615	0.8846153846153846	0.3538461538461538	0.13743304888673782	0.14825174825174825
0.40441176470588236	0.21052631578947367	0.7692307692307693	0.3305785123966942	0.07490369829841301	0.0874125874125875
0.375	0.18947368421052632	0.6923076923076923	0.2975206611570248	-0.006591525450260345	-0.007692307692307665
0.39705882352941174	0.22	0.8461538461538461	0.3492063492063492	0.1221664066944384	0.13706293706293704
0.38235294117647056	0.22115384615384615	0.8846153846153846	0.3538461538461538	0.13743304888673782	0.14825174825174825
