Accuracy	Precision	Recall	F1	MCC	BM
0.7424242424242424	0.12	0.2	0.15	0.009692121307151625	0.011965811965811923
0.7897727272727273	0.1506849315068493	0.18333333333333332	0.16541353383458646	0.046758710664936025	0.050854700854700896
0.7859848484848485	0.15584415584415584	0.2	0.17518248175182483	0.05495220180446928	0.061111111111111116
0.740530303030303	0.14018691588785046	0.25	0.17964071856287422	0.04217545441691761	0.05341880341880345
0.7651515151515151	0.12790697674418605	0.18333333333333332	0.15068493150684928	0.01983426419728402	0.023076923076922995
0.7613636363636364	0.0975609756097561	0.13333333333333333	0.11267605633802817	-0.02171882531726884	-0.02478632478632481
0.7916666666666666	0.12121212121212122	0.13333333333333333	0.126984126984127	0.009022199366012779	0.009401709401709368
0.7727272727272727	0.14285714285714285	0.2	0.16666666666666666	0.040047491854067516	0.04615384615384621
0.7689393939393939	0.09210526315789473	0.11666666666666667	0.10294117647058823	-0.02781885028329745	-0.03076923076923077
0.7329545454545454	0.08247422680412371	0.13333333333333333	0.1019108280254777	-0.046581109975602775	-0.05683760683760686
