Accuracy	Precision	Recall	F1	MCC	BM
0.8382352941176471	0.1875	0.25	0.21428571428571427	0.12779141270558958	0.14516129032258052
0.8308823529411765	0.13333333333333333	0.16666666666666666	0.14814814814814814	0.055981953226537796	0.06182795698924726
0.8455882352941176	0.15384615384615385	0.16666666666666666	0.16	0.07520250232307693	0.07795698924731176
0.8529411764705882	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.08602150537634409	0.08602150537634401
0.8455882352941176	0.15384615384615385	0.16666666666666666	0.16	0.07520250232307693	0.07795698924731176
0.8382352941176471	0.2222222222222222	0.3333333333333333	0.26666666666666666	0.1844994695647875	0.22043010752688175
0.8676470588235294	0.2	0.16666666666666666	0.1818181818181818	0.11100865732158621	0.10215053763440851
0.8308823529411765	0.13333333333333333	0.16666666666666666	0.14814814814814814	0.055981953226537796	0.06182795698924726
0.875	0.2727272727272727	0.25	0.2608695652173913	0.1929551024312449	0.185483870967742
0.8235294117647058	0.2	0.3333333333333333	0.25	0.1636168870406704	0.20430107526881724
