TF	Gene	rank
FBgn0267033	FBgn0038128	178
FBgn0028550	FBgn0034650	179
FBgn0011655	FBgn0004656	180
FBgn0043364	FBgn0020912	181
FBgn0026869	FBgn0000611	182
FBgn0015602	FBgn0052767	183
FBgn0011274	FBgn0000097	184
FBgn0011655	FBgn0005694	185
FBgn0025525	FBgn0267978	186
FBgn0039209	FBgn0003345	187
FBgn0011655	FBgn0010328	188
FBgn0285879	FBgn0052264	189
FBgn0262160	FBgn0001297	190
FBgn0004198	FBgn0034217	191
FBgn0033010	FBgn0261239	192
FBgn0263112	FBgn0031759	193
FBgn0016076	FBgn0039602	194
FBgn0037717	FBgn0038767	195
FBgn0259789	FBgn0034534	196
FBgn0028550	FBgn0003963	197
FBgn0016076	FBgn0010228	198
FBgn0015602	FBgn0263102	199
FBgn0033010	FBgn0036126	200
FBgn0052264	FBgn0085451	201
FBgn0028550	FBgn0026160	202
FBgn0086655	FBgn0003459	203
FBgn0278608	FBgn0000546	204
FBgn0015903	FBgn0005612	205
FBgn0026869	FBgn0085432	206
FBgn0028550	FBgn0024321	207
FBgn0002609	FBgn0015239	208
FBgn0259789	FBgn0028387	209
FBgn0005659	FBgn0005659	210
FBgn0015602	FBgn0027951	211
FBgn0016076	FBgn0270924	212
FBgn0033010	FBgn0037207	213
FBgn0028550	FBgn0015664	214
FBgn0032587	FBgn0015602	215
FBgn0015602	FBgn0026573	216
FBgn0263112	FBgn0025185	217
FBgn0259176	FBgn0040366	218
FBgn0262160	FBgn0011656	219
FBgn0042696	FBgn0003567	220
FBgn0042696	FBgn0003507	221
FBgn0032587	FBgn0039209	222
FBgn0003053	FBgn0001297	223
FBgn0028550	FBgn0041092	224
FBgn0030432	FBgn0259211	225
FBgn0003053	FBgn0024244	226
FBgn0011655	FBgn0030659	227
FBgn0259789	FBgn0032979	228
FBgn0025525	FBgn0000567	229
FBgn0015602	FBgn0086655	230
FBgn0028996	FBgn0028996	231
FBgn0261963	FBgn0003053	232
FBgn0002609	FBgn0028550	233
FBgn0026160	FBgn0000370	234
FBgn0020309	FBgn0000964	235
FBgn0004893	FBgn0038316	236
FBgn0013469	FBgn0015664	237
FBgn0011655	FBgn0033155	238
FBgn0011655	FBgn0039169	239
FBgn0011655	FBgn0261885	240
FBgn0011655	FBgn0026573	241
FBgn0086655	FBgn0030486	242
FBgn0042696	FBgn0262636	243
FBgn0036152	FBgn0001978	244
FBgn0036152	FBgn0004859	245
FBgn0020912	FBgn0270924	246
FBgn0036152	FBgn0033569	247
FBgn0002609	FBgn0036661	248
FBgn0028550	FBgn0038301	249
FBgn0036152	FBgn0003963	250
FBgn0026869	FBgn0032587	251
FBgn0033010	FBgn0039509	252
FBgn0011655	FBgn0037445	253
