	1	2	3	4	5	6	7	8
FBgn0000592	467.598995776169	469.960193389191	474.558380005861	360.234799938179	342.08372891442	278.465840739175	260.6530369352115	276.762549514803
FBgn0001247	96.7360092725023	95.8192386891639	99.5444874180567	97.6337308243664	103.054006980046	90.8312801594083	88.24449927281006	94.2703341945565
FBgn0001404	112.717177557066	108.5987625779	104.725921239572	108.005278425842	111.208925469088	109.088538100028	106.79501767676554	106.550526788922
FBgn0002917	158.613095224299	154.931334293659	140.508293630509	156.930746430711	163.339996995337	146.171815910882	135.3867059004883	133.249253971696
FBgn0003068	34.9088644715948	39.6980954841598	40.963806212452	70.8088904310199	79.6161671745021	106.813490381571	132.52733172480242	149.439557640885
FBgn0003429	407.419908954607	409.651716824899	394.215676749891	437.342640744965	472.743645149965	419.348170704644	385.73990679437037	382.396644020563
FBgn0004795	76.360019709683	85.5956195781748	69.4921712532667	66.8991970943378	60.4068036225357	55.6817929092428	54.46818873839162	54.8026505330636
FBgn0005386	52.5880318863938	52.5320003256143	49.1321842369588	53.7039820830358	56.0575137617132	52.3829737174797	50.3092564181802	50.464871059432
FBgn0013953	10.7872885920808	10.9849524490415	8.41221020434282	8.90541260022029	9.72549538322825	7.39390508498627	8.010689873885362	10.5084235135863
FBgn0014396	51.9387969248334	56.4474289213122	56.1423594072444	139.337126415642	144.674294675973	231.42922916007	318.4004479175553	385.02374989896
FBgn0020618	1907.45231706451	1913.39382138379	1837.27547506444	1570.82790060471	1555.11275245856	1605.72867968717	1734.1009025025908	1862.12930389882
FBgn0023076	54.4857956201858	60.09095275342	39.5008131334358	32.6350791020268	42.4055761430201	36.2301349164327	32.025215525659675	31.2808885985826
FBgn0023094	31.912395418239	30.9971430492755	29.6256098500769	29.9743155812293	28.9952657388172	28.7224774455236	29.02726910405879	29.6924059744358
FBgn0025680	219.641181610978	220.78666803519	197.199275442384	177.456636448292	180.918376849495	161.585264203431	150.21456894450154	145.529446566062
FBgn0027109	26.968221480202	23.927619195932	25.4804627928645	24.0554742798634	22.3505173403382	25.4805344467219	24.74766407720175	21.5667063970696
FBgn0028424	41.0016848800849	39.5349526260058	35.2947080312644	36.5447724387089	34.3110644576003	32.1350490232096	29.50308617981476	26.8820136394069
FBgn0029768	52.4881495846153	46.115047904887	45.4137434944594	51.3147250439523	49.4127653632342	49.0272783327551	44.66213636054081	38.0624874939784
FBgn0029769	70.0674346976359	65.5290480252227	86.3165916619524	81.9949574776381	93.6909524185529	78.4891462867773	78.43512904983805	89.1994088943956
FBgn0030228	35.5580994331552	36.5440002265143	32.9783023228222	32.7979829910552	32.4988603489242	32.2488014091324	31.639404501864767	30.975411170862
FBgn0033153	12.8848169294298	10.5499048272973	10.119035463195	9.61132945267678	9.54427497236065	9.72582899640502	9.242371163332475	8.91994088943956
FBgn0034638	575.821469753201	538.915241435649	545.513544338144	472.584182071446	477.092935010787	402.285312816215	379.79521948232843	402.558154250118
FBgn0036260	23.9717524268462	23.8188572904959	23.1640570844223	27.9651676165454	26.5185867902932	28.2105917088707	27.00779013283348	23.5828574200251
FBgn0038842	41.5010963889775	37.9035240444649	35.5994982560595	34.8071309557391	32.8008943670369	42.9984018788432	43.04261498095425	35.6797635577582
FBgn0040092	2.44711639357388	2.93657144677347	2.62119593323725	3.20377648422559	3.98684903908736	3.58320015657027	3.3172762979093635	3.42134719046997
FBgn0050446	13.4341695892117	14.5197143757133	13.6546020708173	12.8694072332452	11.054445062924	13.934667275551	13.482130262142105	10.6917099702187
FBgn0052484	31.2631604566786	35.7826668884619	35.6604563010185	34.9157335484247	34.4922848684679	31.2819061287881	31.293023252533555	33.1748486504499
FBgn0053527	9.38893636718143	10.7674286381694	8.59508433921983	11.783381306389	9.72549538322825	12.0008767148623	11.72396107662317	9.2865138027042
FBgn0060296	36.8066282053868	36.054571652052	35.0508758514284	39.2598372558492	39.5060495691384	39.415201722273	37.94220142467795	35.9852409854788
FBgn0061492	28.4664560068799	26.8641906427054	35.8433304358955	33.3952972508261	33.7674032249975	32.5331823739396	36.97279328205683	43.7443676495803
FBgn0086370	77.2589604256897	72.9248575948745	68.0291781742506	71.4062046907908	59.0174471392174	72.3465174469426	75.46246139255885	68.4880392949435
FBgn0086676	220.739886930542	283.759811282666	190.676764631771	173.709847000639	211.665439893365	205.664313748541	236.12626468337427	286.232349774139
FBgn0260753	91.3423649764619	88.8584767412564	86.0118014371573	79.1169887714693	92.7244435605924	81.731089285579	77.02575715741096	80.829327374853
FBgn0262636	78.5574303488106	77.8191433394969	78.5749199521586	79.3884952531834	84.0258638389472	74.3940603935542	66.69942431013885	64.211355306856
FBgn0264975	233.275115803747	216.055525148722	221.277703201191	236.862254647323	242.352096133613	226.025990828734	214.0816228083122	208.824369589756
FBgn0265487	298.498258865124	315.844573386302	269.129768494011	292.1409743243	320.216466003062	299.851289292674	276.35929291483194	260.755532302247
FBgn0265577	0.0499411508892629	0.435047621744217	0.609580449590059	0.0543012963428067	0.664474839847893	0.113752385922866	0.17203388600573974	0.733145826529279
FBgn0267796	7.79081953872501	7.66771433324183	6.40059472069562	8.0908931550782	7.30922323832682	7.05264792721767	7.375368379087912	7.82022214964564
