	1	2	3	4	5	6	7	8
FBgn0000592	519.991921299015	360.212287806475	369.124530856764	320.78185818306	333.827024874703	317.291812429803	316.6900805189471	322.358985266949
FBgn0001247	98.4731519555313	100.025891490062	95.409972367857	97.5061444343911	92.309982551958	94.0230382098284	94.92885695390086	93.8737704348808
FBgn0001404	119.94474147967	124.71176855652	112.271668911463	116.953945296922	114.256732301226	116.881850251667	118.22037854990495	118.080214383498
FBgn0002917	152.429775630414	162.771070675678	150.2890344104	146.820210907237	144.272895892732	154.548571980987	133.96941626853777	101.489944262616
FBgn0003068	51.1801250295195	61.2795983579228	94.8863171956953	114.068831982151	128.648043612222	129.006125821029	133.02291246489858	147.068907014647
FBgn0003429	450.949654984329	474.802388771738	468.147723912536	412.678060060952	478.613896171399	438.774178312532	381.09755003409185	351.938078970015
FBgn0004795	76.1686128377841	74.8362210140851	66.0852827268032	59.3585350501965	57.719437865172	57.0751470478622	56.38552692560466	56.0881018321615
FBgn0005386	50.4860003681789	56.1500654609966	50.7945516996824	51.3443313980547	56.5886919764509	53.5289162489186	48.863998558205246	46.2284039311394
FBgn0013953	8.19067100382003	9.3888771774097	9.42579309891013	9.08276413909397	8.32640154421893	9.15310922430032	9.835480604475597	10.0368182225973
FBgn0014396	101.434750510585	124.391172750462	194.328434389197	261.423323132863	352.535729578998	361.140477038362	449.2306268650933	595.419481028788
FBgn0020618	1488.20327391442	1469.74857317197	1630.97639921475	1725.29776223307	1484.15537648683	1619.90864454986	1779.5320038926725	1832.19164648154
FBgn0023076	39.6576556512642	41.0820625762756	35.4514551553453	28.2634248798865	28.1658521372344	27.7468598998423	23.57031006994163	17.8891524790999
FBgn0023094	26.3304621535232	27.3422423166517	26.4445861941645	28.9579891964055	28.8340201623878	30.8617923583738	30.851858429132196	29.3429332742992
FBgn0025680	201.249876811375	192.952875845986	203.649496453675	199.072818719201	172.695735731948	164.516355848288	152.35680041627995	133.371602146161
FBgn0027109	27.6261615213591	27.9834339287675	22.517172402952	23.241190591211	26.9323111677205	24.2485511387223	21.075720468080874	19.6013155876607
FBgn0028424	37.5290066898195	40.9904637745448	34.7707034315351	35.1022119963808	32.3290529093439	33.4495824008462	36.61069628946248	38.6122301034038
FBgn0029768	50.5322753456016	52.2571163874364	47.4431585978476	50.3291989354501	48.9818559977817	47.0115191049142	39.707178546238836	30.7008557397094
FBgn0029769	69.5512910663362	53.7226972151297	73.5735516887152	73.7841016240516	74.0638557112314	73.1290297187554	87.78420417820911	106.213152837956
FBgn0030228	33.1328838346618	33.7999578386749	33.0950068806178	32.323954730305	33.4084012576686	33.0182840604341	32.43633286415751	32.2358985266949
FBgn0033153	10.92089467176	9.93846998779466	10.316006891585	12.6624417703839	8.89177448857948	5.99025472794523	6.28483174860653	7.97041447088611
FBgn0034638	447.756681542162	393.874847442553	425.836386001873	382.865222474985	387.17767180618	345.853346972646	342.8484794175334	362.152017514188
FBgn0036260	25.0347627856872	23.9530866526111	25.659103435922	24.5234631755537	26.623925925342	26.9801072946653	25.991809106760563	24.7378049133428
FBgn0038842	44.0075035289992	44.1048230333929	39.117041360477	46.1083850119888	38.8051429992919	38.1459421075552	41.678828742054705	45.0476017873044
FBgn0040092	2.6839486905173	2.56476644846314	2.98483448132154	2.99196936346625	3.03245488338838	3.25869857200221	2.8157793783898724	2.18448396609471
FBgn0050446	13.0958186106275	14.0604160656818	13.0390137868257	13.2501500382077	12.5923973971212	11.9325874180669	10.965719635038436	10.0958583297891
FBgn0052484	30.5877600764127	32.9755686230975	32.0476965362944	32.1636706572622	29.9133685107125	33.0662060982577	34.2029296196345	33.2395803489547
FBgn0053527	11.6612943105234	11.7246466215458	11.6251448219892	10.9527449912604	11.5130490487965	10.2073940564187	9.27390945579924	9.09217650752934
FBgn0060296	39.9815804932232	41.1736613780064	37.4937103267758	41.6204309667894	40.0386839688058	39.2481489774972	38.843511869804814	38.1989493530616
FBgn0061492	25.6826124696052	24.6858770664577	28.3297448139466	25.859163784244	26.3155406829635	26.0695885760177	29.34074505631194	33.3576605633382
FBgn0086370	71.8650399374718	75.4774126262009	69.2795792769895	85.00398673705	67.4849705404905	70.3974735628124	72.58946059129599	70.316767665373
FBgn0086676	181.629286384145	169.686780206356	224.019682650764	240.532965612947	204.099632914157	247.325637207403	254.06611033988582	232.499942121107
FBgn0260753	89.4958063355251	87.56845445467	94.781586161263	96.3841559230913	83.6751957653606	90.4288853730612	91.094423751651	85.5491153208442
FBgn0262636	82.0918099478912	85.8738766226497	82.580420649896	78.0583435718605	81.8762818514862	76.3877282907576	63.87176062160527	53.372256901341
FBgn0264975	239.473008162535	238.248483301879	228.9944067863	226.427967185178	230.003993273949	217.518129681147	215.39760900476819	221.1052014331
FBgn0265487	338.594009801984	338.411772994538	336.343717079443	268.475822346748	337.116467460074	289.736640681255	252.7638984824342	251.865097280001
FBgn0265577	0.555299729072545	0.0457994008654132	0.628386206594009	1.33570060869029	0.565372944360545	0.622986491706304	0.44167688571483366	0.0590401071917489
FBgn0267796	8.93107064258343	8.3354909575052	6.96461378975026	8.81562401735591	7.24705319589426	6.80492937094578	7.507208823863764	8.38369522122835
