Time	FBgn0000592	FBgn0001247	FBgn0001404	FBgn0002917	FBgn0003068	FBgn0003429	FBgn0004795	FBgn0005386	FBgn0013953	FBgn0014396	FBgn0020618	FBgn0023076	FBgn0023094	FBgn0025680	FBgn0027109	FBgn0028424	FBgn0029768	FBgn0029769	FBgn0030228	FBgn0033153	FBgn0034638	FBgn0036260	FBgn0038842	FBgn0040092	FBgn0050446	FBgn0052484	FBgn0053527	FBgn0060296	FBgn0061492	FBgn0086370	FBgn0086676	FBgn0260753	FBgn0262636	FBgn0264975	FBgn0265487	FBgn0265577	FBgn0267796
1	1.0	0.7987612934540105	0.616801535931093	0.8312482871878191	0.0	0.7816138723376813	1.0	0.41095348106332386	0.0	0.0	0.050917515332641855	0.9385843812163592	0.0	0.9658552711923892	0.9573768356793179	0.6003587477148256	0.9199842185051387	0.3015518471575848	0.5734982689571851	0.7389840711079093	1.0	0.35734019056508737	0.7361511400201314	0.4649580462561671	0.7566948145763095	0.15721691533838072	0.975934271509833	0.6028685688884433	0.114940070114303	0.2500180003167928	0.14153355044286373	0.45799266800155164	0.8836345170736553	1.0	1.0	0.39499174441916174	1.0
2	0.21407679891403558	1.0	1.0	1.0	0.10532486824131046	0.9699113257457684	0.9336475140833854	0.9576627103864356	0.649030673936859	0.046471926805905735	0.0	1.0	0.22328546307338856	0.8477953741629772	1.0	1.0	1.0	0.0	1.0	0.5917422930047785	0.48639064431207596	0.0	0.7483734574121351	0.3540097856397755	1.0	0.7138725931694571	1.0	0.8917373799304412	0.0	0.4562152346933736	0.0	0.3063396722462132	1.0	0.9491379207201652	0.9978987767499128	0.0	0.7198776520529667
3	0.25791429205277355	0.40176599293313386	0.0	0.796315162662913	0.45580088996181733	0.9173782929521241	0.4978549047801853	0.4407356000694778	0.669026869865849	0.18804970708540744	0.44483627337822523	0.7572272130862975	0.02518554938219585	1.0	0.34786633839224473	0.28189986137259204	0.7766793662287431	0.3781802660701814	0.549281186041036	0.6483259740960015	0.7910526050742134	0.5635960190060553	0.1219599643698646	0.7450564447973517	0.742366653004207	0.4975632637900047	0.9622021161695982	0.0	0.42019819207890846	0.10243775771218462	0.6439124647994534	0.873902369514198	0.8986679432903939	0.5647589762658393	0.9740537191450361	0.4516522677818056	0.07510527213531928
4	0.020126613947088586	0.6734348375694983	0.37638576209632524	0.7397100754818844	0.655850514008882	0.47949152752948176	0.16286603548680967	0.493801663094733	0.4832188496130795	0.3238735182248362	0.7050740043880774	0.44730360947891235	0.5798577733464757	0.9348774208508881	0.4342428554963209	0.32017406057697495	0.9105634560885871	0.3821914702565067	0.05629978539536374	1.0	0.38144532312080415	0.18842835592806959	1.0	0.7516983970715738	0.795622593627924	0.5245996243926269	0.706776678612438	1.0	0.13529935545650637	1.0	0.8396154045603027	1.0	0.7595340442167201	0.4581588910791289	0.19152465520119008	1.0	0.9457013384916809
5	0.08429310964426849	0.0	0.15956973387683046	0.6981423830518374	0.8078934467508191	1.0	0.08123976688410568	1.0	0.07352097331045777	0.5083172890890806	0.03974914786840121	0.44309660215454977	0.5524995742275958	0.559551961157472	0.874599389047971	0.0	0.8480599004076314	0.3875210884482402	0.749653623742303	0.43486786898794005	0.422552207462144	0.8823326922932424	0.08278877470752727	0.789386881010896	0.6297143927883684	0.0	0.9196201424575882	0.6167060637333602	0.18792715674832525	0.0	0.40783510195379435	0.0	0.8770032138262143	0.60669333760428	0.9829636703730662	0.40280103650051896	0.20794658889620074
6	0.0029597956838315156	0.22201605431224058	0.37059038687329443	0.8658233101123547	0.8116277960813021	0.6854986315538706	0.049154387327310964	0.704663063985273	0.5213225742190406	0.5257363446342539	0.4142997409406556	0.42503107110921867	1.0	0.4431657210138842	0.5544225650300189	0.12937031956355596	0.7566555086596004	0.369711641351929	0.5002275346890434	0.0	0.02864282767464571	1.0	0.0	1.0	0.46328725942093596	0.7350023714518273	0.4236392059881091	0.4251411238526729	0.15956481271214434	0.16624809233830581	0.9201170106255158	0.531411659481238	0.7081330588065184	0.08807831855592539	0.436665724266458	0.4474661216994941	0.0
7	0.0	0.33941230034609365	0.4781882628091047	0.5300077512772154	0.8535178541330624	0.23018972135557952	0.014811629712006814	0.25439395271047255	0.8909417320168788	0.7040619980088478	0.8547092041019921	0.24495233961750884	0.9978077233852948	0.27014466578986684	0.17589883850595847	0.49433555880844005	0.41780543266343906	0.6489085788820478	0.1281500873575354	0.044149994415269456	0.0	0.6735079456762292	0.4436938106686267	0.5876809054945236	0.21940941794696017	1.0	0.06903514205242896	0.3270881798833293	0.5367832339828057	0.2913685331147731	1.0	0.5837793095745423	0.3230455531230214	0.0	0.010363339932405746	0.3069052749527828	0.33030705075258554
8	0.027884178157218418	0.2026705985603636	0.46692113711026395	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.6648094454805508	0.0	0.0	0.7254219077984088	0.0	1.0	0.0	0.29677821235316215	0.18400408839074794	0.25923782937904727	0.8667766617084638	0.0	0.0	0.7754200846617859	0.0	0.17089575181020203	1.0	0.16164133265877334	0.7444140859538646	0.14744869227902285	0.0	0.2370715596833855	0.0	0.010264899548906633	0.7425498349253781
1	1.0	0.418388366564089	0.6482840850185129	0.674795460898932	0.0	0.35613708375023495	1.0	0.6552094396359163	0.005013925943446877	0.0	1.0	0.9378470789996755	0.7088188978708112	1.0	0.0	0.5087344817999715	0.6095706100661047	0.4660904007388806	0.5330522298546633	0.7566363522513553	1.0	0.18498975157609818	0.0	0.0467089680162728	0.9158225437888861	0.44237179405655136	0.6360592520108039	0.8020636337936137	1.0	0.0	1.0	0.7112980455847926	0.8436237667401366	1.0	0.4154151261323292	0.0	0.4022106801257232
2	0.4336672154885367	1.0	1.0	0.7843162904545263	0.09629542092342204	1.0	0.7421593797458212	1.0	0.08328314386631369	0.04779498106359247	0.8493696586843612	1.0	0.0	0.6373678946166379	0.42257333779901274	0.9435440039206754	0.816138425280461	0.5727201372308471	0.0	0.7397220115456216	0.7817218514060352	0.012434882026607297	0.6534897539574467	0.0	1.0	0.0	0.5206529833398497	0.8261611559489447	0.5931317824477864	0.884516054416386	0.0	1.0	1.0	0.8633453336752243	1.0	0.4221599137941059	0.35865538481105996
