Time	FBgn0000592	FBgn0001247	FBgn0001404	FBgn0002917	FBgn0003068	FBgn0003429	FBgn0004795	FBgn0005386	FBgn0013953	FBgn0014396	FBgn0020618	FBgn0023076	FBgn0023094	FBgn0025680	FBgn0027109	FBgn0028424	FBgn0029768	FBgn0029769	FBgn0030228	FBgn0033153	FBgn0034638	FBgn0036260	FBgn0038842	FBgn0040092	FBgn0050446	FBgn0052484	FBgn0053527	FBgn0060296	FBgn0061492	FBgn0086370	FBgn0086676	FBgn0260753	FBgn0262636	FBgn0264975	FBgn0265487	FBgn0265577	FBgn0267796
1	0.9674651220498337	0.573382327593731	1.0	0.8429117630188036	0.0	0.2769684064909224	0.7032970720896112	0.49901562619975937	0.944956488477644	0.0	0.9834166389614072	0.8054444758224164	1.0	0.9847790497463172	1.0	1.0	1.0	0.1611534010280945	0.8229532142691731	1.0	1.0	0.16004949981140465	0.8494863656130205	0.0	0.7164201835965912	0.0	0.23308879121318898	0.39409290528425767	0.09491993854815234	1.0	0.4179611968334124	0.9119621509319134	0.7240187168266105	0.7292694356119686	0.6347482996614915	0.0	0.8224729963364139
2	0.9785036383352457	0.5114781372950575	0.48463485395278877	0.7205564948970629	0.04181613574525333	0.3016710290726658	1.0	0.49092481108703173	1.0	0.013535982205803897	1.0	1.0	0.7130796538368674	1.0	0.4370834409469574	0.8961213594086008	0.5582108024099068	0.0	1.0	0.4111008569795672	0.8117281319896991	0.12975244495526872	0.4982199641820047	0.3178831433013901	1.0	1.0	0.6378381472945126	0.22528769116987563	0.0	0.7624044254031642	0.978026275362449	0.7537394709309853	0.6867587964951029	0.21567688311663685	0.9264745380764161	0.5636765739259498	0.7496425404955509
3	1.0	0.7630225371857202	0.0	0.24123829887184547	0.052867415478811956	0.13081820737358907	0.48266053797389896	0.0	0.28356772164837657	0.01262009119558615	0.7875457206050835	0.2853143433029468	0.2831208865801996	0.6865763559649619	0.7245664106384886	0.5958137585824935	0.509595743633313	0.738144102273601	0.35967659526378637	0.30242927185143276	0.8453884345939541	0.0	0.27325524631277354	0.11305828980804437	0.7740043601689057	0.9729593066658883	0.0	0.0	0.5319339832475164	0.49402321471411054	0.1507868845157597	0.5724074007826068	0.7249013833494601	0.37143388160080054	0.14083593496698177	0.8191385666038281	0.0
4	0.4655412603231571	0.6340002474875481	0.41036816440126106	0.7870025821698543	0.3134533195076408	0.608166248326318	0.3993586370789849	0.6601560012032972	0.4209099357372811	0.2623905064171348	0.043862624931013915	0.047004078025172445	0.39243583891910444	0.42424088026326023	0.46075366716379434	0.6843472935449174	0.9186571449344691	0.5846873571630739	0.3272950835442293	0.17437835540475577	0.4733496787338438	0.9513677977881453	0.1958886269535555	0.49142303558769707	0.5688857776393101	0.808179642374106	0.9361395574114313	0.9447356424485834	0.38690984137552187	0.6791518530845118	0.0	0.1332106114072403	0.7659609584434952	0.8362596557476438	0.527832983248677	0.006381902245413171	1.0
5	0.38068563791000426	1.0	0.8112622060843905	1.0	0.3903521533465662	1.0	0.19078397169078554	1.0	0.6492786259463326	0.27841395092483545	0.0	0.38613893688846895	0.08551577050785046	0.4702396606277875	0.1451094611799289	0.5261489939504196	0.7868115721789155	1.0	0.27357902744068474	0.15746623012270183	0.49635043977023946	0.6647194472063207	0.0	1.0	0.09475827462075052	0.7144860750900972	0.3319083841084639	1.0	0.40895380300103407	0.0	0.33731557650408817	1.0	1.0	1.0	1.0	0.8994869485969839	0.537555084444657
6	0.08327423498757681	0.17467028193883385	0.5459237805832375	0.4294530689731824	0.6278197042228014	0.4089956082898223	0.038988253707726725	0.4694057472501549	0.0	0.5388728329891836	0.14127435585822992	0.17178879891591933	0.0	0.21334587331204363	0.7245796761494235	0.37203666390397216	0.760089261060225	0.4601996399300339	0.22867376736623532	0.20325682287092234	0.11473000836780499	1.0	0.9956830396202206	0.7378448241042012	0.8471665551579458	0.004147725507739349	1.0	0.979608461393039	0.33583722071903377	0.7306998108325744	0.2839829008445015	0.29972776112111343	0.5139014712480241	0.5130565956053379	0.6575032472100436	0.09339988045870101	0.38576217859435397
7	0.0	0.0	0.25892004398156915	0.07103353769340284	0.8523345537507202	0.03700469005074082	0.0	0.16996623438841216	0.17175623888251382	0.799981051721121	0.49957467912261916	0.0258356567023506	0.09554843138356155	0.06225478813832452	0.5889010085458242	0.18563268901450708	0.4574936543707045	0.4582815439026914	0.11923906116375978	0.08132165309604733	0.0	0.7616579166602488	1.0	0.5651370105524371	0.7289490806014017	0.006607534761969554	0.9186927423352124	0.6489815563770465	0.5988445876624654	0.9015158992065035	0.5547016476195451	0.0	0.12556804016880949	0.1568031525095889	0.26242037656349604	0.1787059419669547	0.5766873106927712
8	0.07531140806646802	0.40688961718843697	0.2283252440990632	0.0	1.0	0.0	0.010744921300877603	0.19243659348043246	0.8673008492661384	1.0	0.8569153607843327	0.0	0.3040606489597451	0.0	0.0	0.0	0.0	0.8405099505550107	0.0	0.0	0.11612187008798755	0.08298770676691349	0.28109233782546633	0.6327272463403523	0.0	0.4229860544787392	0.20301574119119256	0.2097258588001072	1.0	0.5191779874287837	1.0	0.24228589066351508	0.0	0.0	0.0	1.0	0.8398679192225431
1	1.0	0.8932173730712494	0.0	0.2120720900258106	0.0	0.33180508302402645	0.5061033961762523	0.8648294316301388	0.5824682905696906	0.0	1.0	0.8700366572957375	0.13528641403804526	1.0	1.0	1.0	0.8418488234367824	0.6258041597731971	0.659707804437139	0.5013737147291023	1.0	0.5861778549493143	1.0	0.0	0.7572934448220671	0.2904469674519138	0.2421188681163752	0.8457968491084856	0.2068366284160857	0.619393763767902	0.967546181697985	0.9435037342646473	0.14361593712728019	0.49314755649264364	0.49382392428978544	1.0	0.0
2	0.7281581823095093	0.4626506711333948	0.41089355096543667	0.6756574006406092	0.1215279839062266	0.2864610821736058	1.0	0.5919306276057987	0.8961765034112925	0.05358118357294776	0.6322861716915108	1.0	0.5995048900460642	0.9517116825237991	0.7211332380035128	0.7648393482597365	0.9045247181671806	0.0	1.0	0.4039259134616143	0.844653397565889	0.28191571064030974	0.8164712719755157	0.564609553493163	0.7756822527665254	0.6981356606237553	1.0	0.6320386202642496	0.0	1.0	0.9507093428149704	0.8123613397688773	0.6172537161677438	0.5017157026769969	0.7446393281676807	0.4219038107318269	0.5304350760531398
3	0.5663771502681808	0.2060865887202489	0.15264088928173336	0.5631313844487177	0.3259909608380554	0.0	0.5135266604212428	0.0	0.0	0.10423429257680318	0.5836441278887037	0.3664740560720829	0.8505142911363962	0.7088304491163054	0.7778978769209585	0.435071479638299	0.8680694479328773	0.4164907884760471	0.25293147610557903	0.3326903163827044	0.37630375141743294	0.06898244364786957	0.3872660294773158	0.38727192256781023	0.6954055212146345	1.0	0.7138290963737504	0.43131659043954834	0.5416095332439744	0.8076470207337224	0.0	0.22072379533638764	0.6076815655062971	0.0	0.0	0.41301618903787085	0.2519485500951408
4	0.008086787694623353	0.0	0.31250222517876713	1.0	0.6425261809169864	0.2863285680053567	0.3204780711186616	0.05552437582424846	0.5112707918409733	0.2803589329918314	0.6951945297869838	0.3296948334412476	0.0	0.45908467206119735	0.223681515301051	0.2912948694877089	0.9263293609264261	0.6134755496048961	0.8440665802537798	0.37291324059975933	0.3859006438567603	0.3031638431036671	0.1154213613054011	1.0	1.0	0.744138549424308	0.5352062004739048	0.4968757500750751	0.244485820366964	0.555711022152762	0.5208429693164145	0.0	1.0	0.4375004096576358	0.09385353314434977	0.35834079251920764	0.4060691162617665
5	0.29448031196459545	1.0	0.6250524689407799	0.28120813047472437	0.8111734095043704	0.4597386821582538	0.15467210751574953	1.0	1.0	0.6678640886718563	0.3499045686272041	0.27687932534192056	1.0	0.3999925386892594	0.0	0.1697118675832216	0.8652248102664806	0.8837400625118378	0.20943397672878175	1.0	0.0	0.0	0.1463882352752732	0.32705474240700855	0.27693539508605236	0.7783383266850628	0.0	1.0	0.5865975098299298	0.6830486680722315	0.6826567090938132	0.5988867734492397	0.7631132928973429	0.6579365748287553	0.40944429002561133	0.4696011262461123	1.0
6	0.0	0.7983444067285972	1.0	0.16465581874012775	0.6942166226378121	1.0	0.0	0.815818531070207	0.29831830459084757	0.8097211771888205	0.0	0.33263014686340353	0.2464306573088622	0.10150989184989767	0.5431752332644281	0.0	1.0	0.7300437478803986	0.0	0.24846976248400504	0.06324376011805448	0.7938808196751586	0.0	0.2819346979154191	0.4524388658262833	0.0	0.44911166812939646	0.4477277911219269	0.9799395150498627	0.13462972834315018	0.9204311971469475	1.0	0.7725506207547578	1.0	1.0	0.0	0.4655050044820858
7	0.061406319657402064	0.6723303961016025	0.9118815593709555	0.1278447049991103	0.7730176057101894	0.9691007284374968	0.057962199809382185	0.4882543722570354	0.07700224107933094	0.8894316886476509	0.0746511230243421	0.22355785076831708	0.06849973694577435	0.0	0.5986627058791637	0.022874314746395955	0.6383597206609585	0.8008049387657042	0.10080088134661865	0.0	0.154362168699896	1.0	0.040629077798752786	0.4231075888160142	0.34985686462850496	0.08604058739305477	0.5157416003692815	0.050074444482546006	1.0	0.0	1.0	0.9762200533783525	0.4822348003546326	0.8200987480725364	0.9921636295589579	0.009996620648403969	0.3929090013941781
8	0.3698008517184365	0.8013189470075339	0.6012011143178889	0.0	1.0	0.4768849607336712	0.2154244904162324	0.30678761748201294	0.3351437352839976	1.0	0.38196131026996927	0.0	0.5950638771754495	0.027389402422490633	0.31606359022768216	0.1264419408334665	0.0	1.0	0.24503770869588504	0.24293699075961653	0.10648343834139752	0.5919441526888046	0.21270417147452778	0.539236964757493	0.0	0.7579895522031226	0.22227517793445176	0.0	0.895009514197509	0.2283992304283398	0.9992643995182791	0.7311251361620815	0.0	0.3251728190124776	0.5134128249335947	0.37049075731848646	0.7513336421930108
