"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
540	0,2804632	0,5440594	0,6247446	0,1194885	0,1520877	0,9219256	0,9935084	0,1702408	0,9908371	0,4064031	0,8464851	0,3924742	0,0304624	0,8757768	0,1184844	0,0330835
560	0,2804589	0,5441279	0,6247446	0,1194885	0,1520873	0,9219567	0,9935338	0,1702522	0,9908450	0,4064031	0,8464851	0,3924742	0,0304614	0,8757768	0,1184669	0,0330835
580	0,5197041	0,5341373	0,6247446	0,1194885	0,1520869	0,9199374	0,9930309	0,5104604	0,9900390	0,4064000	0,8464851	0,3924742	0,1869407	0,5957408	0,1971124	0,0330835
600	0,6794010	0,5037778	0,6247446	0,1194885	0,1520866	0,9105235	0,9897768	0,6618677	0,9844839	0,4063919	0,8464851	0,3924742	0,2874502	0,4459090	0,2547153	0,0330835
620	0,7859992	0,4739989	0,6247446	0,1194885	0,1520864	0,8947221	0,9824678	0,7191941	0,9694880	0,4063850	0,8464851	0,3924742	0,3520092	0,3657423	0,2969057	0,0330835
640	0,8571538	0,4525927	0,6247446	0,1194885	0,1520862	0,8760012	0,9722624	0,7341283	0,9432576	0,4063803	0,8464851	0,3924742	0,3934767	0,3228495	0,3278075	0,0330835
660	0,9046497	0,4387231	0,6247446	0,1194885	0,1520861	0,8572526	0,9613340	0,7321450	0,9088262	0,4063774	0,8464851	0,3924742	0,4201120	0,2999000	0,3504412	0,0330835
680	0,9363534	0,4300954	0,6247446	0,1194885	0,1520860	0,8401966	0,9512085	0,7247724	0,8715664	0,4063756	0,8464851	0,3924742	0,4372203	0,2876209	0,3670189	0,0330835
700	0,9575157	0,4248183	0,6247446	0,1194885	0,1520858	0,8255979	0,9425478	0,7167738	0,8360787	0,4063745	0,8464851	0,3924742	0,4482093	0,2810511	0,3791610	0,0330835
720	0,9716416	0,4216095	0,6247446	0,1194885	0,1520858	0,8136115	0,9354768	0,7098432	0,8050213	0,4063739	0,8464851	0,3924742	0,4552677	0,2775359	0,3880543	0,0330835
740	0,9810707	0,4196580	0,6247446	0,1194885	0,1520857	0,8040614	0,9298684	0,7043741	0,7793542	0,4063735	0,8464851	0,3924742	0,4598015	0,2756552	0,3945681	0,0330835
760	0,9873646	0,4184666	0,6247446	0,1194885	0,1520856	0,7966232	0,9255047	0,7002643	0,7589730	0,4063733	0,8464851	0,3924742	0,4627136	0,2746489	0,3993390	0,0330835
780	0,9915658	0,4177346	0,6247446	0,1194885	0,1520856	0,7909323	0,9221553	0,6972637	0,7432496	0,4063731	0,8464851	0,3924742	0,4645841	0,2741105	0,4028334	0,0330835
800	0,9943702	0,4172813	0,6247446	0,1194885	0,1520855	0,7866403	0,9196102	0,6951128	0,7313784	0,4063730	0,8464851	0,3924742	0,4657856	0,2738224	0,4053929	0,0330835
820	0,9962421	0,4169981	0,6247446	0,1194885	0,1520855	0,7834419	0,9176916	0,6935898	0,7225635	0,4063730	0,8464851	0,3924742	0,4665573	0,2736683	0,4072675	0,0330835
840	0,9974916	0,4168195	0,6247446	0,1194885	0,1520855	0,7810823	0,9162544	0,6925211	0,7161040	0,4063729	0,8464851	0,3924742	0,4670530	0,2735858	0,4086405	0,0330835
860	0,9983256	0,4167059	0,6247446	0,1194885	0,1520855	0,7793564	0,9151836	0,6917760	0,7114211	0,4063729	0,8464851	0,3924742	0,4673714	0,2735417	0,4096462	0,0330835
880	0,9988823	0,4166329	0,6247446	0,1194885	0,1520854	0,7781036	0,9143895	0,6912593	0,7080564	0,4063729	0,8464851	0,3924742	0,4675759	0,2735181	0,4103828	0,0330835
900	0,9992540	0,4165857	0,6247446	0,1194885	0,1520854	0,7772002	0,9138030	0,6909026	0,7056572	0,4063729	0,8464851	0,3924742	0,4677072	0,2735054	0,4109223	0,0330835
920	0,9995020	0,4165550	0,6247446	0,1194885	0,1520854	0,7765525	0,9133713	0,6906571	0,7039575	0,4063729	0,8464851	0,3924742	0,4677916	0,2734987	0,4113174	0,0330835
940	0,9996676	0,4165348	0,6247446	0,1194885	0,1520854	0,7760906	0,9130546	0,6904887	0,7027602	0,4063729	0,8464851	0,3924742	0,4678458	0,2734951	0,4116069	0,0330835
960	0,9997781	0,4165215	0,6247446	0,1194885	0,1520854	0,7757627	0,9128230	0,6903736	0,7019209	0,4063729	0,8464851	0,3924742	0,4678806	0,2734931	0,4118188	0,0330835
980	0,9998519	0,4165126	0,6247446	0,1194885	0,1520854	0,7755309	0,9126540	0,6902950	0,7013352	0,4063729	0,8464851	0,3924742	0,4679030	0,2734921	0,4119741	0,0330835
1000	0,9999011	0,4165068	0,6247446	0,1194885	0,1520854	0,7753678	0,9125310	0,6902415	0,7009281	0,4063729	0,8464851	0,3924742	0,4679173	0,2734915	0,4120878	0,0330835
1020	0,9999340	0,4165029	0,6247446	0,1194885	0,1520854	0,7752533	0,9124417	0,6902052	0,7006460	0,4063729	0,8464851	0,3924742	0,4679266	0,2734912	0,4121711	0,0330835
1040	0,9999560	0,4165003	0,6247446	0,1194885	0,1520854	0,7751732	0,9123770	0,6901805	0,7004513	0,4063729	0,8464851	0,3924742	0,4679325	0,2734911	0,4122321	0,0330835
1060	0,9999706	0,4164985	0,6247446	0,1194885	0,1520854	0,7751174	0,9123302	0,6901639	0,7003172	0,4063729	0,8464851	0,3924742	0,4679363	0,2734910	0,4122768	0,0330835
1080	0,9999804	0,4164973	0,6247446	0,1194885	0,1520854	0,7750785	0,9122963	0,6901526	0,7002251	0,4063729	0,8464851	0,3924742	0,4679388	0,2734909	0,4123095	0,0330835
1100	0,9999869	0,4164966	0,6247446	0,1194885	0,1520854	0,7750516	0,9122720	0,6901449	0,7001621	0,4063729	0,8464851	0,3924742	0,4679403	0,2734909	0,4123335	0,0330835

0	1,0000000	0,4164950	0,6247446	0,1194885	0,1525209	0,7749920	0,9122183	0,6901292	0,7000270	0,4063729	0,8464851	0,3924742	0,4679434	0,2734909	0,4125036	0,0330835
20	0,8318604	0,4165582	0,6247446	0,1194885	0,3616042	0,7758341	0,9124401	0,3666872	0,5187221	0,4063729	0,8464851	0,3924742	0,4679433	0,4940204	0,4124756	0,0330835
40	0,7196266	0,4168960	0,6247446	0,1194885	0,5022148	0,7799560	0,9136656	0,2085749	0,4205223	0,4063729	0,8464851	0,3924742	0,4679432	0,6120136	0,4124552	0,0330835
60	0,6447103	0,4176268	0,6247446	0,1194885	0,6004269	0,7874988	0,9162832	0,1328045	0,3769014	0,4063730	0,8464851	0,3924742	0,4679432	0,6751452	0,4124402	0,0330835
80	0,5947034	0,4188075	0,6247446	0,1194885	0,6719584	0,7973374	0,9202881	0,0979064	0,3658723	0,4063731	0,8464851	0,3924742	0,4679432	0,7089234	0,4124292	0,0330835
100	0,5613236	0,4204406	0,6247446	0,1194885	0,7256657	0,8081536	0,9253693	0,0830981	0,3717789	0,4063733	0,8464851	0,3924742	0,4679432	0,7269963	0,4124211	0,0330835
120	0,5390425	0,4224578	0,6247446	0,1194885	0,7666330	0,8188609	0,9310346	0,0779366	0,3846637	0,4063735	0,8464851	0,3924742	0,4679432	0,7366661	0,4124153	0,0330835
140	0,5241698	0,4247240	0,6247446	0,1194885	0,7980675	0,8287272	0,9367759	0,0771832	0,3989825	0,4063737	0,8464851	0,3924742	0,4679432	0,7418398	0,4124109	0,0330835
160	0,5142422	0,4270674	0,6247446	0,1194885	0,8222104	0,8373550	0,9421933	0,0782407	0,4121010	0,4063740	0,8464851	0,3924742	0,4679431	0,7446080	0,4124078	0,0330835
180	0,5076156	0,4293226	0,6247446	0,1194885	0,8407344	0,8446045	0,9470386	0,0798602	0,4230546	0,4063743	0,8464851	0,3924742	0,4679431	0,7460891	0,4124055	0,0330835
