"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB
540	0,2264031	1,1101671	0,3737333	0,3576752	0,0007704	0,4445273	0,3379904	0,0439487	0,7022064	0,4372707	0,1664903	0,3614351	0,0401756	0,2487148	0,0118894	0,0021267
560	0,2380685	1,1536350	0,3471927	0,3467130	0,0007587	0,4316520	0,3196446	0,0472263	0,6832661	0,3909700	0,1407256	0,3243798	0,0293660	0,2114747	0,0191381	0,0040017
580	0,2514800	1,1238051	0,3693445	0,3807930	0,0002390	0,4026270	0,2911812	0,0426597	0,6716960	0,4256632	0,1014134	0,2961424	0,0215125	0,1886185	0,0169528	0,0125087
600	0,2520952	1,0811354	0,4111394	0,3212964	0,0012208	0,3738126	0,2488440	0,0455786	0,5684934	0,4583866	0,0833635	0,2860764	0,0166050	0,1332657	0,0242032	0,0400582
620	0,2469297	1,0445477	0,4324881	0,3405262	0,0003464	0,3878309	0,1885412	0,0318749	0,4561281	0,4562921	0,0928887	0,2854054	0,0174964	0,0871927	0,0105656	0,0484417
640	0,2270278	1,0956636	0,4210674	0,3611628	0,0001227	0,3484457	0,1469026	0,0243326	0,3591716	0,4117045	0,1158327	0,2711027	0,0147444	0,0660539	0,0104884	0,0564386
660	0,1845651	1,0725229	0,3994950	0,3719655	0,0007664	0,4098158	0,1046641	0,0227174	0,2724658	0,4522392	0,0966917	0,2532890	0,0178216	0,0441145	0,0133788	0,0590119
680	0,1983883	1,0436833	0,4230585	0,3698426	0,0018581	0,3632811	0,0684355	0,0292461	0,2412992	0,4473432	0,0884511	0,2653550	0,0152764	0,0386487	0,0094557	0,0685181
700	0,2424278	1,0055450	0,4243197	0,3618750	0,0009504	0,4442652	0,0528921	0,0457502	0,2067791	0,4826675	0,1019273	0,2554365	0,0082707	0,0284346	0,0174010	0,0754559
720	0,2335516	0,9983228	0,4556034	0,3469329	0,0012289	0,5079552	0,0269032	0,0514364	0,1737773	0,4045930	0,1130796	0,2628165	0,0146405	0,0204751	0,0156636	0,0843200
740	0,2259649	0,9819672	0,4397362	0,3587126	0,0009579	0,5031485	0,0216595	0,0612257	0,1334910	0,4131025	0,0947824	0,2875102	0,0126449	0,0132550	0,0118994	0,0863281
760	0,2626806	1,0748290	0,4050002	0,4302319	0,0002422	0,5157153	0,0262310	0,0395730	0,1206988	0,4244154	0,0924664	0,3337441	0,0114328	0,0100815	0,0097559	0,0910045
780	0,2657267	1,0451185	0,4392741	0,4392659	0,0022895	0,5833853	0,0287143	0,0465593	0,1021002	0,4127536	0,1042812	0,2883115	0,0206926	0,0053035	0,0058874	0,0972497
800	0,2654164	1,1191986	0,4517687	0,4422584	0,0016009	0,5960140	0,0222007	0,0365228	0,0882490	0,4502054	0,1374376	0,3147921	0,0149092	0,0007588	0,0079500	0,0833415
820	0,2335547	0,9906236	0,4287476	0,3979092	0,0017129	0,5444196	0,0288338	0,0309519	0,0784479	0,4261067	0,1085311	0,3312908	0,0194126	0,0005232	0,0090689	0,0900036
840	0,2169122	0,9216839	0,3679560	0,3535529	0,0030848	0,5580782	0,0260681	0,0197675	0,0987859	0,4204755	0,1135980	0,3472248	0,0160014	0,0013613	0,0035221	0,1050915
860	0,2055349	0,9041776	0,3837548	0,3663769	0,0001803	0,5274595	0,0193245	0,0203328	0,1034783	0,4162389	0,0923103	0,3496009	0,0101118	0,0008621	0,0072613	0,1081725
880	0,2574029	0,8879585	0,4424003	0,3555338	0,0001234	0,5173680	0,0115962	0,0238075	0,1155785	0,4327326	0,1272286	0,3281650	0,0180944	0,0017150	0,0125871	0,1014603
900	0,2372431	0,8864426	0,4730024	0,3595262	0,0000000	0,5021375	0,0105249	0,0350177	0,1161680	0,4133869	0,1234893	0,3632798	0,0107127	0,0013366	0,0148452	0,0860886
920	0,2010993	0,9918641	0,5254649	0,3744220	0,0000000	0,5379476	0,0168677	0,0394948	0,1163300	0,3890863	0,1425089	0,3677819	0,0042546	0,0004072	0,0149681	0,0547307
940	0,2010267	1,0449904	0,4938949	0,3790120	0,0028755	0,5142207	0,0084236	0,0255558	0,0945470	0,3819489	0,1420790	0,3800340	0,0138302	0,0000237	0,0134337	0,0634430
960	0,2037162	1,0298432	0,4766453	0,3887996	0,0015284	0,5578382	0,0148760	0,0230061	0,0721307	0,4313934	0,1351357	0,3216276	0,0163711	0,0001296	0,0143030	0,0674450
980	0,1901474	1,1009969	0,4503579	0,4350827	0,0017492	0,5426044	0,0130536	0,0166978	0,0758472	0,3901554	0,1200823	0,3146404	0,0061347	0,0001765	0,0078730	0,0596826
1000	0,2230402	1,1125161	0,3916847	0,3656805	0,0010112	0,5671628	0,0205335	0,0218162	0,0857285	0,3946948	0,1156887	0,3133863	0,0073266	0,0000000	0,0092368	0,0786274
1020	0,2444367	1,1170060	0,3656825	0,3622409	0,0015204	0,5132449	0,0196851	0,0343383	0,0721740	0,4417165	0,1321549	0,2779737	0,0109700	0,0033235	0,0193968	0,1209360
1040	0,2430545	1,1103603	0,4004158	0,3014535	0,0004435	0,4864286	0,0142076	0,0509830	0,0566497	0,3937435	0,1376754	0,2474890	0,0110778	0,0019818	0,0136787	0,1105211
1060	0,2194367	1,0249141	0,4205522	0,2951042	0,0017425	0,4552387	0,0091822	0,0460630	0,0521396	0,4192985	0,1236092	0,2454867	0,0103730	0,0033363	0,0071097	0,1152387
1080	0,2377040	0,9664585	0,4516131	0,2979359	0,0020114	0,4340423	0,0125438	0,0370584	0,0834110	0,3707529	0,1406546	0,2647710	0,0105251	0,0011870	0,0043669	0,0838205
1100	0,2609079	0,9240179	0,5024948	0,2863628	0,0002114	0,4148403	0,0101082	0,0343130	0,0907977	0,3879043	0,1253446	0,3037823	0,0098058	0,0002074	0,0014122	0,1022522

0	0,2047126	1,0951503	0,4561080	0,4243780	0,0005961	0,4925884	0,0249694	0,0423739	0,0994897	0,4769992	0,1765674	0,3602823	0,0322255	0,0005082	0,0247264	0,1036493
20	0,2467185	1,1288233	0,4042442	0,3592676	0,0016751	0,4905619	0,0139308	0,0613359	0,0351512	0,4288344	0,1129529	0,3423683	0,0384518	0,0017829	0,0155351	0,0986286
