mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA	Time	Experiment
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	20	0
0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	40	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	60	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	80	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	100	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	120	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	140	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	160	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	180	0
1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	200	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	220	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	240	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	260	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	280	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	300	0
1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	320	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	340	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	360	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	380	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	400	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	420	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	440	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	460	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	480	0
1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	500	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	520	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	540	0
0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	560	0
1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	580	0
0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	600	0
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	620	0
0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	640	0
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	660	0
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	680	0
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	700	0
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	720	0
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	740	0
1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	760	0
