"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE
540	0,4148912	1,0000000	0,0744886	0,2770593	0,5163303	0,0246563	0,9005898	0,7726278	0,5182742	0,8730934	0,1888706	0,8086705	0,7230896	0,5740420	0,4820720	0,4143476
560	0,4148910	1,0000000	0,0744902	0,2770594	0,5163303	0,0246563	0,9006043	0,7726279	0,5182694	0,8730996	0,1888702	0,8086701	0,7230910	0,5740417	0,4820724	0,4143473
580	0,5869631	1,0000000	0,0945566	0,2769148	0,8278328	0,1117167	0,9022033	0,6711812	0,5270518	0,8684747	0,2109985	0,8026057	0,7158670	0,7052722	0,4869983	0,5434175
600	0,6775206	1,0000000	0,1008643	0,2764447	0,9065306	0,1578047	0,9044372	0,6653193	0,5639233	0,8453051	0,2039987	0,7758567	0,6832473	0,7397723	0,5074548	0,5976763
620	0,7194987	1,0000000	0,0990882	0,2759392	0,8953957	0,1841616	0,9019372	0,6655657	0,6175791	0,8032776	0,1844888	0,7338296	0,6311349	0,7125263	0,5373914	0,6052348
640	0,7353020	1,0000000	0,0942448	0,2755551	0,8489969	0,1982092	0,8941130	0,6614629	0,6719860	0,7516278	0,1644901	0,6884695	0,5739444	0,6587498	0,5680294	0,5904648
660	0,7385770	1,0000000	0,0889183	0,2753084	0,7965014	0,2033770	0,8829269	0,6556894	0,7188106	0,7001293	0,1484038	0,6481821	0,5218966	0,6027977	0,5944015	0,5687318
680	0,7367770	1,0000000	0,0841801	0,2751687	0,7525995	0,2027269	0,8705809	0,6499969	0,7557193	0,6548997	0,1368182	0,6164387	0,4794121	0,5560747	0,6149018	0,5478046
700	0,7335634	1,0000000	0,0803581	0,2751003	0,7214683	0,1990859	0,8586548	0,6449288	0,7832741	0,6183589	0,1290017	0,5934184	0,4471128	0,5214394	0,6297697	0,5307191
720	0,7305085	1,0000000	0,0774498	0,2750741	0,7017769	0,1945629	0,8480381	0,6406383	0,8030764	0,5905368	0,1239719	0,5777594	0,4237898	0,4977265	0,6399944	0,5180369
740	0,7281331	1,0000000	0,0753243	0,2750705	0,6904554	0,1903744	0,8391084	0,6372070	0,8168925	0,5702836	0,1208644	0,5676734	0,4076207	0,4824701	0,6467169	0,5092331
760	0,7264837	1,0000000	0,0738179	0,2750770	0,6845531	0,1870209	0,8319159	0,6346539	0,8262979	0,5560587	0,1190194	0,5614993	0,3967901	0,4731852	0,6509590	0,5034409
780	0,7254295	1,0000000	0,0727761	0,2750866	0,6818435	0,1845737	0,8263217	0,6329019	0,8325664	0,5463581	0,1179700	0,5579102	0,3897526	0,4678411	0,6535312	0,4998063
800	0,7248031	1,0000000	0,0720699	0,2750959	0,6808511	0,1829061	0,8220934	0,6317966	0,8366676	0,5399041	0,1174020	0,5559399	0,3853044	0,4649513	0,6550279	0,4976262
820	0,7244578	1,0000000	0,0715988	0,2751035	0,6806862	0,1818328	0,8189713	0,6311578	0,8393081	0,5356981	0,1171133	0,5549312	0,3825638	0,4635067	0,6558609	0,4963773
840	0,7242840	1,0000000	0,0712885	0,2751091	0,6808563	0,1811778	0,8167080	0,6308235	0,8409853	0,5330035	0,1169789	0,5544626	0,3809149	0,4628632	0,6563011	0,4956970
860	0,7242073	1,0000000	0,0710860	0,2751129	0,6811145	0,1807992	0,8150905	0,6306705	0,8420392	0,5313001	0,1169248	0,5542781	0,3799444	0,4626326	0,6565192	0,4953477
880	0,7241813	1,0000000	0,0709547	0,2751153	0,6813528	0,1805934	0,8139461	0,6306153	0,8426962	0,5302338	0,1169094	0,5542304	0,3793844	0,4625945	0,6566178	0,4951817
900	0,7241789	1,0000000	0,0708696	0,2751167	0,6815362	0,1804899	0,8131419	0,6306074	0,8431037	0,5295701	0,1169103	0,5542402	0,3790667	0,4626320	0,6566563	0,4951115
920	0,7241856	1,0000000	0,0708146	0,2751175	0,6816629	0,1804435	0,8125788	0,6306183	0,8433563	0,5291577	0,1169167	0,5542680	0,3788888	0,4626884	0,6566667	0,4950877
940	0,7241943	1,0000000	0,0707788	0,2751179	0,6817435	0,1804266	0,8121850	0,6306338	0,8435130	0,5289006	0,1169234	0,5542962	0,3787898	0,4627398	0,6566659	0,4950841
960	0,7242019	1,0000000	0,0707555	0,2751180	0,6817912	0,1804236	0,8119093	0,6306480	0,8436108	0,5287394	0,1169289	0,5543187	0,3787347	0,4627787	0,6566617	0,4950877
980	0,7242076	1,0000000	0,0707401	0,2751180	0,6818173	0,1804262	0,8117158	0,6306588	0,8436724	0,5286372	0,1169328	0,5543344	0,3787036	0,4628052	0,6566574	0,4950927
1000	0,7242115	1,0000000	0,0707299	0,2751180	0,6818304	0,1804302	0,8115796	0,6306662	0,8437115	0,5285716	0,1169352	0,5543444	0,3786857	0,4628217	0,6566541	0,4950969
1020	0,7242139	1,0000000	0,0707231	0,2751179	0,6818362	0,1804340	0,8114833	0,6306709	0,8437366	0,5285290	0,1169367	0,5543503	0,3786750	0,4628313	0,6566519	0,4950998
1040	0,7242154	1,0000000	0,0707186	0,2751179	0,6818381	0,1804368	0,8114151	0,6306737	0,8437528	0,5285010	0,1169374	0,5543535	0,3786684	0,4628364	0,6566507	0,4951015
1060	0,7242161	1,0000000	0,0707155	0,2751178	0,6818382	0,1804388	0,8113665	0,6306752	0,8437635	0,5284823	0,1169378	0,5543551	0,3786641	0,4628388	0,6566501	0,4951024
1080	0,7242165	1,0000000	0,0707134	0,2751178	0,6818376	0,1804400	0,8113318	0,6306760	0,8437705	0,5284698	0,1169379	0,5543557	0,3786612	0,4628398	0,6566498	0,4951028
1100	0,7242167	1,0000000	0,0707119	0,2751178	0,6818369	0,1804407	0,8113071	0,6306763	0,8437752	0,5284614	0,1169380	0,5543559	0,3786593	0,4628400	0,6566497	0,4951029

0	0,7242162	1,0000000	0,0707800	0,2751226	0,6818358	0,1804332	0,8111890	0,6306389	0,8437538	0,5284770	0,1169379	0,5543549	0,3786652	0,4628384	0,6566494	0,4951037
20	0,7223151	0,5794293	0,0707585	0,2751185	0,6819039	0,1804341	0,8112116	0,6328530	0,8839397	0,5284856	0,1169428	0,5543743	0,3786781	0,4628700	0,6566401	0,4951176
40	0,7128491	0,3404984	0,0707793	0,2751174	0,6832076	0,1804765	0,8113829	0,6335319	0,9099947	0,5288994	0,1170443	0,5547666	0,3790272	0,4635110	0,6564424	0,4954178
60	0,6944363	0,2047591	0,0709412	0,2751199	0,6886468	0,1806968	0,8121644	0,6342633	0,9266989	0,5308658	0,1175058	0,5565378	0,3806595	0,4664046	0,6555376	0,4967978
80	0,6683512	0,1276441	0,0713862	0,2751279	0,7010894	0,1813419	0,8142143	0,6358200	0,9370445	0,5359229	0,1186693	0,5609290	0,3848424	0,4736044	0,6532600	0,5002816
100	0,6373243	0,0838342	0,0722621	0,2751438	0,7218771	0,1827260	0,8181495	0,6387013	0,9428979	0,5454430	0,1208553	0,5689267	0,3927398	0,4868153	0,6490364	0,5067492
120	0,6049516	0,0589453	0,0736947	0,2751700	0,7502018	0,1851606	0,8243248	0,6431282	0,9454346	0,5602057	0,1243033	0,5809580	0,4051048	0,5068932	0,6425412	0,5166835
140	0,5748496	0,0448056	0,0757639	0,2752092	0,7832358	0,1888719	0,8326877	0,6489569	0,9454338	0,5801232	0,1291230	0,5967450	0,4220581	0,5335146	0,6337878	0,5300219
160	0,5497149	0,0367727	0,0784775	0,2752630	0,8170579	0,1939123	0,8427677	0,6556941	0,9434827	0,6041772	0,1352434	0,6153231	0,4429730	0,5650818	0,6231576	0,5461208
180	0,5307778	0,0322091	0,0817525	0,2753313	0,8480376	0,2000938	0,8538106	0,6626558	0,9401088	0,6306320	0,1423818	0,6352476	0,4665387	0,5990208	0,6113452	0,5638669
200	0,5178745	0,0296165	0,0854146	0,2754115	0,8738955	0,2069915	0,8649908	0,6691900	0,9358383	0,6574720	0,1500658	0,6549396	0,4910333	0,6324500	0,5992180	0,5819237
220	0,5099465	0,0281436	0,0892268	0,2754980	0,8939272	0,2140436	0,8755996	0,6748389	0,9311839	0,6828748	0,1577240	0,6730395	0,5147186	0,6629183	0,5876298	0,5990292
240	0,5056155	0,0273068	0,0929386	0,2755836	0,9085686	0,2207038	0,8851472	0,6793898	0,9265944	0,7055311	0,1648165	0,6886383	0,5361951	0,6888693	0,5772555	0,6142318
260	0,5035978	0,0268315	0,0963384	0,2756610	0,9187948	0,2265680	0,8933763	0,6828389	0,9224036	0,7247423	0,1709503	0,7013353	0,5545959	0,7097149	0,5684990	0,6269988
280	0,5029010	0,0265614	0,0992870	0,2757255	0,9256776	0,2314264	0,9002217	0,6853159	0,9188086	0,7403470	0,1759328	0,7111593	0,5695985	0,7256298	0,5614886	0,6371954
300	0,5028570	0,0264080	0,1017249	0,2757749	0,9301621	0,2352465	0,9057514	0,6870109	0,9158805	0,7525650	0,1797580	0,7184238	0,5813123	0,7372508	0,5561351	0,6449850
320	0,5030680	0,0263208	0,1036596	0,2758097	0,9329957	0,2381184	0,9101104	0,6881211	0,9135971	0,7618344	0,1825506	0,7235816	0,5901198	0,7454062	0,5522152	0,6507062
340	0,5033276	0,0262713	0,1051425	0,2758322	0,9347321	0,2401955	0,9134772	0,6888194	0,9118803	0,7686788	0,1845002	0,7271115	0,5965283	0,7509282	0,5494506	0,6547643
360	0,5035476	0,0262432	0,1062467	0,2758454	0,9357638	0,2416479	0,9160343	0,6892424	0,9106282	0,7736169	0,1858086	0,7294480	0,6010609	0,7545474	0,5475643	0,6575555
380	0,5037041	0,0262272	0,1070497	0,2758522	0,9363579	0,2426338	0,9179495	0,6894900	0,9097380	0,7771106	0,1866564	0,7309489	0,6041894	0,7568502	0,5463143	0,6594241
400	0,5038025	0,0262181	0,1076226	0,2758549	0,9366900	0,2432858	0,9193681	0,6896304	0,9091180	0,7795427	0,1871894	0,7318876	0,6063051	0,7582770	0,5455068	0,6606462
420	0,5038579	0,0262129	0,1080252	0,2758555	0,9368707	0,2437069	0,9204097	0,6897082	0,9086932	0,7812140	0,1875159	0,7324612	0,6077120	0,7591409	0,5449962	0,6614300
440	0,5038853	0,0262100	0,1083052	0,2758549	0,9369672	0,2439736	0,9211693	0,6897505	0,9084058	0,7823510	0,1877117	0,7328052	0,6086353	0,7596540	0,5446788	0,6619248
460	0,5038967	0,0262083	0,1084982	0,2758540	0,9370183	0,2441394	0,9217206	0,6897735	0,9082131	0,7831191	0,1878275	0,7330087	0,6092355	0,7599548	0,5444840	0,6622337
480	0,5039000	0,0262074	0,1086307	0,2758531	0,9370457	0,2442411	0,9221193	0,6897863	0,9080847	0,7836355	0,1878953	0,7331282	0,6096233	0,7601298	0,5443653	0,6624251
