"Time"	yoeB	yefM	alaS	mngB	mngR	mngA	artJ	argR	argB	artI	artQ	argA	artM	argC	argE	artP
540	0,2893416	0,5489056	0,2013764	0,1453498	0,1002796	0,0548411	0,2686482	0,3510386	0,0131445	0,9654392	0,0004266	0,8138734	0,6726882	0,4767479	0,0072893	0,2393441
560	0,2685298	0,6635520	0,1823311	0,0852333	0,0651264	0,0904203	0,3648360	0,3397396	0,0028051	0,6703007	0,0053789	0,6741200	0,6353400	0,5068215	0,0165915	0,1626047
580	0,2324030	0,5844255	0,3201542	0,1135685	0,1306750	0,1314965	0,3053494	0,2902923	0,0113068	0,7612194	0,0142017	0,9037916	0,7762722	0,4478199	0,0115904	0,1846168
600	0,2496958	0,6500336	0,2970445	0,2250694	0,1752087	0,1905139	0,2155419	0,3948063	0,0107528	0,6528848	0,0195185	0,5853674	0,7147388	0,5418420	0,0088569	0,2018106
620	0,2269864	0,6243369	0,3154362	0,3898434	0,3168215	0,2858294	0,2658839	0,3474012	0,0181361	0,6660191	0,0284337	0,7706002	0,7576941	0,5337489	0,0131734	0,2060259
640	0,2185043	0,5636547	0,4178414	0,4103605	0,4214445	0,3371460	0,1728397	0,2675407	0,0057171	0,6348122	0,0505412	0,8164883	0,6954949	0,5835514	0,0060954	0,1988114
660	0,2992253	0,5995834	0,5477947	0,4358539	0,4645652	0,2368806	0,2364312	0,3266134	0,0212415	0,5739937	0,0515154	0,7853839	0,7377342	0,5742802	0,0039887	0,1302137
680	0,2851882	0,5252499	0,5402052	0,5105363	0,3958316	0,2350670	0,2448339	0,2569346	0,0129175	0,6462264	0,0753195	0,7701031	0,6692945	0,5232394	0,0105361	0,1788669
700	0,2472305	0,5710194	0,4884931	0,5219615	0,3798474	0,1972812	0,2519396	0,2428668	0,0219384	0,7085345	0,0950001	0,7317333	0,7736452	0,5635091	0,0069724	0,2333766
720	0,1808082	0,3687901	0,5150202	0,5818759	0,4679070	0,1448788	0,2213861	0,2185613	0,0143326	0,7346615	0,0989040	0,9602211	0,7321571	0,5168069	0,0099936	0,2031623
740	0,3533100	0,5211924	0,4571038	0,5816477	0,3151042	0,1681991	0,2440840	0,3744968	0,0041185	0,7493942	0,0835618	0,5924026	0,5963370	0,4780941	0,0073411	0,1774913
760	0,2299967	0,6030392	0,3868047	0,8038461	0,2586889	0,2076759	0,2105165	0,3055576	0,0104745	0,7462476	0,0695775	0,8014246	0,7185812	0,4803736	0,0017838	0,2257813
780	0,2185188	0,4658943	0,4134781	0,7245687	0,3162654	0,2056193	0,1597184	0,3288568	0,0095722	0,7147750	0,0755086	0,7896822	0,7287178	0,4194768	0,0048520	0,1527221
800	0,4013683	0,4856016	0,4988128	0,7358334	0,3425687	0,2424254	0,2318409	0,3124775	0,0124806	0,6403156	0,0460631	0,7840233	0,6258538	0,4318695	0,0058860	0,1826797
820	0,3371350	0,4889860	0,4315658	0,6734362	0,3681409	0,1820795	0,1806038	0,3489500	0,0189917	0,7037282	0,0914474	0,7216290	0,7019167	0,4558082	0,0141479	0,1891219
840	0,3658157	0,6144680	0,5024707	0,8125756	0,4325248	0,1489328	0,1953103	0,4467531	0,0014725	0,6594873	0,1773693	0,5951591	0,6403790	0,4275268	0,0119037	0,2442531
860	0,3289819	0,4961665	0,4954462	0,7029544	0,3536093	0,1734872	0,2568413	0,2897656	0,0102424	0,6169370	0,1131659	0,6223445	0,5958673	0,4889251	0,0105040	0,2756210
880	0,2514597	0,4647257	0,4593922	0,6707101	0,4011728	0,1315518	0,2690507	0,2416445	0,0040953	0,6938459	0,1303848	0,6950580	0,5572841	0,3601293	0,0060324	0,2997262
900	0,3346021	0,4037281	0,4299146	0,7586428	0,3028626	0,1495010	0,2414056	0,3005246	0,0098732	0,6704652	0,0965672	0,6675067	0,5841542	0,5818079	0,0298375	0,2785997
920	0,3907920	0,5052749	0,3627422	0,6940613	0,3052637	0,1389056	0,3460392	0,3219977	0,0146425	0,7714431	0,1370224	0,8013761	0,7098215	0,5794285	0,0079657	0,3661346
940	0,3390787	0,4491471	0,5051454	0,7849210	0,3796641	0,1436799	0,2237944	0,2663494	0,0021729	0,7595129	0,1833620	0,9261600	0,7111741	0,4943041	0,0063110	0,2440833
960	0,3794258	0,4896408	0,4250993	0,7953491	0,3970443	0,1738554	0,2481457	0,3110255	0,0057662	0,6496838	0,1452025	0,7012065	0,8730349	0,4186458	0,0018981	0,2311887
980	0,3933038	0,5393251	0,5034105	0,7838632	0,3401133	0,1267728	0,2032706	0,3171726	0,0007090	0,6294691	0,0919078	0,6432116	0,6262450	0,4660178	0,0057870	0,2248511
1000	0,3176852	0,5222123	0,5074684	0,6410632	0,3845589	0,1578120	0,3256461	0,3362044	0,0044446	0,5756811	0,1125411	0,6317006	0,7827549	0,5016429	0,0024969	0,2162684
1020	0,3267889	0,5750690	0,5155187	0,7819582	0,2970841	0,1605380	0,2372532	0,3597955	0,0024770	0,5412248	0,0842929	0,6163316	0,7383058	0,5638007	0,0085546	0,2069519
1040	0,3651802	0,5302731	0,4176338	0,8290648	0,3422541	0,1965421	0,2486281	0,3349967	0,0319645	0,5964901	0,1391827	0,7103724	0,6476634	0,5454678	0,0101460	0,2572410
1060	0,3021026	0,5313619	0,4531371	0,8175983	0,3869263	0,1766726	0,2751899	0,3737394	0,0171046	0,5479695	0,0988635	0,7425478	0,6414105	0,5194915	0,0092706	0,2791195
1080	0,3153372	0,6072200	0,4838646	0,8150023	0,4736222	0,1464354	0,2676767	0,3772190	0,0100705	0,5454165	0,0964915	0,7383648	0,7391649	0,5715044	0,0122771	0,2571331
1100	0,3018149	0,4922788	0,6201954	0,6598276	0,3312280	0,1510781	0,2963044	0,2880998	0,0158244	0,5238989	0,0886360	0,6190001	0,5154517	0,5681315	0,0079620	0,2051935

0	0,3957159	0,4347026	0,5530295	0,8153192	0,3560613	0,1542876	0,2292357	0,3876800	0,0082023	0,6732269	0,0925555	0,6803574	0,7688448	0,4555731	0,0275268	0,2045040
20	0,2760140	0,5005882	0,5206920	0,7072598	0,3831654	0,1255498	0,2876858	0,2843516	0,0099142	0,6285680	0,1083544	0,7999103	1,0025910	0,4628179	0,0119597	0,2387565
40	0,2283086	0,4834826	0,4617898	0,9626905	0,3782797	0,1635340	0,2537928	0,3181329	0,0028219	0,6039523	0,1070642	0,8193165	0,6700758	0,5903475	0,0121961	0,1555049
60	0,4056203	0,6383798	0,4569295	0,8158040	0,2294201	0,1373429	0,2679172	0,3096998	0,0034779	0,6663924	0,1092493	0,6860412	0,7460574	0,5196736	0,0299878	0,2067580
80	0,2052716	0,5464269	0,3341648	0,7346889	0,1564917	0,1663094	0,2833272	0,4000806	0,0047219	0,6528837	0,0942633	0,9079701	0,7464703	0,4737819	0,0025329	0,1872465
100	0,2524431	0,4384162	0,4740783	0,8102307	0,1366231	0,3312906	0,3586243	0,3238708	0,0015645	0,7297066	0,0753268	0,8266971	0,9472633	0,4486633	0,0054081	0,1843287
120	0,1540594	0,5567853	0,5207108	0,8734797	0,0981890	0,2826220	0,3273425	0,2992855	0,0071140	0,7772863	0,0866571	0,8601772	0,7055609	0,4505750	0,0108221	0,2427276
140	0,1525890	0,5287604	0,5850922	0,8651085	0,0568902	0,3948603	0,2403753	0,2759987	0,0021673	0,6304504	0,0352080	0,7527193	0,7031811	0,5386771	0,0048197	0,2155621
160	0,2096324	0,5680033	0,4786300	0,9190019	0,0564950	0,4387045	0,2446384	0,3111188	0,0008295	0,6946951	0,0411377	0,7000332	0,7438553	0,5472239	0,0020674	0,2364330
180	0,0812420	0,5805743	0,5599539	0,8144329	0,0372063	0,5660525	0,2467989	0,2414606	0,0152854	0,5996623	0,0547265	0,6144930	0,7647699	0,5846511	0,0005855	0,2715940
200	0,1077648	0,6662841	0,4363703	0,8221156	0,0318251	0,4390907	0,2898434	0,2013557	0,0012390	0,5656002	0,0594979	0,6879422	0,7165719	0,4895137	0,0010085	0,3192731
220	0,0893675	0,6900699	0,4651697	0,8010566	0,0303785	0,6012539	0,3078874	0,2403009	0,0086747	0,7989484	0,0368114	0,6282887	0,7924345	0,5921541	0,0023680	0,2954419
240	0,1058946	0,7106742	0,4924786	0,8037667	0,0265675	0,5860616	0,3819741	0,2294185	0,0019694	0,6389083	0,0452450	0,8661689	0,6739294	0,6016780	0,0023975	0,2909807
260	0,0826234	0,5264384	0,4553156	0,8125096	0,0464596	0,6006178	0,3047687	0,2812877	0,0020467	0,7292197	0,0246580	0,9110248	0,8023830	0,5110675	0,0050345	0,2884298
280	0,0747015	0,6799801	0,4748142	0,8690384	0,0183419	0,6571793	0,2805811	0,2378140	0,0218237	0,6193317	0,0319338	0,8093903	0,7775779	0,5059178	0,0000924	0,2729816
300	0,0824543	0,7093504	0,5352573	0,8229943	0,0344214	0,7289234	0,3022118	0,2809177	0,0024418	0,9486691	0,0388812	0,7867201	0,7731463	0,5442847	0,0010369	0,3579915
320	0,0883183	0,5342889	0,5075401	0,8261431	0,0625167	0,8105929	0,1936600	0,3189335	0,0095642	0,6483582	0,0456564	0,6363726	0,7743879	0,5814668	0,0044074	0,3477932
340	0,1102041	0,6873032	0,4032476	0,6932627	0,0491342	0,7516807	0,3150268	0,1930645	0,0042195	0,7477455	0,0449423	0,5479142	0,7590513	0,4902382	0,0029348	0,3436374
360	0,0602424	0,6169771	0,4227554	0,9215437	0,0181844	0,6563091	0,2206223	0,2570558	0,0067517	0,6721673	0,0509576	0,7074097	0,8310528	0,5034362	0,0112603	0,2849616
380	0,0537669	0,7661433	0,4530670	0,7479190	0,0293427	0,9528903	0,2310417	0,2728752	0,0036243	0,5953137	0,0478516	0,7280833	0,6830397	0,5872354	0,0041795	0,3002639
400	0,0948582	0,8769431	0,4540551	0,8628912	0,0554584	0,6933841	0,3227519	0,2470428	0,0000000	0,8146955	0,0635509	0,6588614	0,8624091	0,5849070	0,0055048	0,2137508
420	0,0917802	0,8147164	0,4971235	0,7226136	0,0319256	0,8430336	0,2608544	0,2704588	0,0001112	0,6511004	0,0309587	0,7189815	0,7316791	0,4921546	0,0049273	0,3181491
440	0,0646030	0,6391776	0,4152846	0,6837544	0,0222333	0,8007868	0,3038414	0,2144209	0,0013264	0,8351671	0,0594214	0,6412639	0,7351284	0,6116308	0,0063754	0,2266409
460	0,0944598	0,6910078	0,5172980	0,8016969	0,0265053	0,7013446	0,2478481	0,3067894	0,0012120	0,7684029	0,0262795	0,8478570	0,7884950	0,5506239	0,0007194	0,2350998
480	0,0846923	0,6539917	0,4088726	0,7428967	0,0138817	0,7885013	0,2760018	0,2442672	0,0011728	0,6866203	0,0476432	0,7294886	0,6957118	0,5771446	0,0041776	0,2789444
500	0,0593168	0,5824636	0,4088289	0,7814782	0,0147578	0,8966868	0,2907917	0,2528803	0,0017210	0,6142113	0,0373880	0,6877780	0,6018582	0,5875992	0,0009496	0,3001870
520	0,1088168	0,6067024	0,5290406	0,7586051	0,0145205	0,7939722	0,2856761	0,2328428	0,0043415	0,6229583	0,0483312	0,5711576	0,7717889	0,5932923	0,0007003	0,2893670
540	0,0835599	0,6954583	0,4528954	0,7929839	0,0600628	0,8248222	0,3332390	0,2621519	0,0010274	0,7467767	0,0232730	0,8229870	0,7004903	0,5914788	0,0021499	0,2476236
560	0,0938568	0,7882547	0,4655316	0,8008230	0,0121156	0,7749312	0,3468446	0,1940475	0,0011161	0,8322849	0,0411043	0,8060932	0,7257630	0,6804840	0,0007570	0,2750138
