"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK
540	0,9954577	0,3254600	0,1192329	0,5872461	0,3814500	0,2971563	0,2763534	0,0685279	0,2816180	0,0749416	0,2547585	0,0111953	0,4425999	0,3430113	0,0680863	0,6058274
560	0,9485809	0,3292561	0,1382698	0,5656804	0,3855200	0,2963333	0,2811407	0,0674657	0,2993918	0,0904588	0,2297229	0,0193847	0,4212721	0,3337298	0,0821854	0,5740415
580	1,0112129	0,2974838	0,1668212	0,6834763	0,3573174	0,3240777	0,2396345	0,0837739	0,2781671	0,0829510	0,2391637	0,0196153	0,4569533	0,3263637	0,0819145	0,5653203
600	1,0347521	0,3142242	0,1871343	0,7715523	0,3621939	0,3393103	0,1922270	0,1004838	0,2880960	0,0747398	0,2131710	0,0165759	0,4534769	0,2816118	0,0893619	0,5170302
620	1,0721497	0,3677939	0,2038596	0,8023392	0,3301500	0,3478576	0,1286038	0,0966034	0,2772739	0,1029048	0,2511918	0,0181422	0,4171969	0,2334609	0,0858045	0,4486659
640	1,0467950	0,3958554	0,2291513	0,8511133	0,3512291	0,3733486	0,0658243	0,0951008	0,2347061	0,0831714	0,2859982	0,0255859	0,4030488	0,1949093	0,1053640	0,3515370
660	0,9803862	0,4409374	0,2428576	0,9239466	0,3269919	0,4036961	0,0334525	0,0707065	0,2174490	0,0763087	0,2914132	0,0295150	0,4012408	0,1502328	0,1007270	0,2800715
680	0,9544756	0,4750208	0,2488785	0,9581213	0,3308661	0,4234541	0,0385329	0,0703627	0,2188399	0,0671843	0,3017363	0,0320723	0,3354256	0,1435516	0,1070542	0,2480253
700	0,9793331	0,4906066	0,2313369	0,8806717	0,3530748	0,4367512	0,0332739	0,0791384	0,1992374	0,0769487	0,3007269	0,0273268	0,3905424	0,1351073	0,1276500	0,2313848
720	1,0230458	0,5105070	0,2281598	0,9061826	0,3064076	0,4255515	0,0316749	0,0986116	0,2397280	0,0843191	0,3307144	0,0213913	0,3804440	0,1558838	0,1319046	0,1811928
740	1,0977117	0,5235421	0,2538077	0,9199828	0,3164893	0,4303743	0,0281520	0,1027032	0,2108539	0,1020220	0,3451072	0,0213600	0,3403981	0,1499176	0,1603503	0,1388275
760	1,0485956	0,5023563	0,2735604	0,9656331	0,3161791	0,3920838	0,0124178	0,0928943	0,2229570	0,1110169	0,3426247	0,0268716	0,3942119	0,1450666	0,1508694	0,1206320
780	1,0401325	0,5407424	0,2434245	0,9448302	0,3628508	0,3941169	0,0195126	0,0972630	0,2253841	0,0958445	0,3592735	0,0346389	0,4229892	0,1308506	0,1515554	0,1281660
800	0,9971403	0,5236983	0,2646404	0,9577089	0,3540667	0,3853983	0,0172965	0,1090703	0,2614977	0,0836162	0,3862906	0,0286562	0,3974338	0,1249129	0,1507600	0,1295582
820	1,0043314	0,4967306	0,2595720	0,9351753	0,3502413	0,4128193	0,0148945	0,1178536	0,3013801	0,0953797	0,4022118	0,0200106	0,3915465	0,1486011	0,1441965	0,0986612
840	1,0015052	0,5572403	0,2559387	0,9077091	0,3065451	0,4048604	0,0120118	0,1390635	0,2993697	0,0899646	0,4192661	0,0239321	0,4141031	0,1537396	0,1567179	0,0819239
860	1,0538017	0,5845909	0,2303041	0,9119705	0,3526267	0,4353368	0,0159584	0,1420818	0,2970849	0,1200471	0,4593954	0,0127948	0,4201428	0,1775421	0,1440759	0,0667362
880	1,0497466	0,5647044	0,2363127	0,8998766	0,3263260	0,4333896	0,0209381	0,1364072	0,2838992	0,0970350	0,4184233	0,0197221	0,4669494	0,1604070	0,1321053	0,0649406
900	1,0116170	0,5556618	0,2063463	0,9687772	0,3456761	0,4220059	0,0123684	0,1211021	0,2609818	0,1159818	0,3783901	0,0099590	0,4487647	0,1742633	0,1762871	0,0532042
920	1,0039752	0,5573916	0,2326220	0,9841509	0,3160425	0,4367224	0,0138813	0,1172776	0,2266274	0,1420535	0,3720230	0,0147764	0,4529680	0,1527555	0,1542108	0,0533524
940	1,0417282	0,5618827	0,2347437	1,0056551	0,3035312	0,3977130	0,0129904	0,1084935	0,2049608	0,1144913	0,4145633	0,0086299	0,4712773	0,1550599	0,1433065	0,0562648
960	1,0144142	0,5526515	0,2351408	1,0149915	0,3095896	0,4056770	0,0053439	0,0804083	0,2048804	0,0707173	0,3851982	0,0077969	0,4751826	0,1567819	0,1373242	0,0633316
980	1,0420207	0,5487837	0,2238151	1,0269664	0,3058620	0,4414777	0,0084854	0,1160541	0,2057038	0,0834009	0,3489299	0,0093594	0,4512699	0,1765456	0,1033701	0,0710160
1000	1,0673781	0,5054614	0,2253121	0,9564164	0,3321295	0,4577835	0,0080478	0,1130216	0,2268181	0,0982213	0,3461949	0,0110791	0,4579045	0,1818531	0,1272072	0,0845114
1020	1,0679796	0,5447219	0,2191254	0,8995174	0,3322796	0,4737943	0,0086953	0,0971080	0,2235565	0,0858649	0,4033480	0,0115540	0,4378905	0,1633782	0,1192388	0,0518399
1040	1,0785862	0,5668683	0,2338329	0,8511627	0,3333172	0,4682395	0,0080335	0,0979550	0,1918596	0,0627977	0,3808169	0,0145675	0,4157380	0,1703045	0,1370353	0,0427941
1060	1,0656180	0,5570270	0,2223649	0,9121836	0,3372139	0,4456776	0,0052847	0,0869295	0,1849145	0,0551047	0,3718269	0,0130767	0,3890315	0,1687581	0,1207247	0,0470522
1080	1,0188143	0,5749785	0,2485273	0,9317139	0,3417635	0,4141485	0,0043240	0,0876720	0,2115493	0,0944701	0,3857999	0,0152942	0,3955491	0,1722229	0,1084414	0,0487690
1100	1,0253038	0,5099437	0,2442375	0,9143668	0,3660059	0,4158168	0,0022847	0,0764368	0,1999384	0,0586947	0,3473266	0,0223734	0,3931180	0,1806415	0,1139478	0,0411442

0	1,0168799	0,6180102	0,2157128	0,9610993	0,3481701	0,4535668	0,0136403	0,1081878	0,2993641	0,1270029	0,4084998	0,0264635	0,3794365	0,1733925	0,1849556	0,0342330
20	0,9895912	0,6029636	0,2483677	0,9186859	0,3601277	0,5030603	0,0901235	0,1854700	0,2607242	0,1938788	0,3971845	0,0556348	0,3208312	0,1843476	0,1850096	0,0370742
40	0,9412970	0,6399907	0,2236335	0,9287262	0,3587991	0,6487894	0,1840026	0,3015899	0,2273855	0,3230436	0,3717824	0,1610186	0,3028593	0,1804955	0,1674000	0,0261750
