"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
620	0,9813609	0,5784815	0,6777273	0,8618669	0,0338500	0,3833869	0,4023366	0,0181374	0,4743982	0,5923131	0,0344466	0,7280054	0,5420837	0,8213954	1,0139605	0,1950327
640	0,9827457	0,5690715	0,6361149	0,8784129	0,0339527	0,2828664	0,3826622	0,0106303	0,4732468	0,5432050	0,0293010	0,7176257	0,4820523	0,8646886	0,9312855	0,2317891
660	0,9870833	0,5926182	0,6285960	0,8833565	0,0308024	0,2385639	0,3938313	0,0078310	0,4665115	0,4368295	0,0268279	0,6812118	0,5277807	0,8368018	0,9913521	0,2273903
680	1,0646977	0,6012974	0,6304551	0,8500348	0,0222256	0,2089945	0,4052839	0,0095819	0,4417699	0,3821113	0,0240267	0,6724830	0,4915711	0,7340711	0,9344216	0,2184833
700	1,0227362	0,5638354	0,6752044	0,8104799	0,0215611	0,1797068	0,4164352	0,0087569	0,4385155	0,3568626	0,0230468	0,6702829	0,5052566	0,8130048	0,9303189	0,1948934
720	0,9583812	0,6081494	0,6495126	0,8394393	0,0315675	0,1357878	0,4362846	0,0109542	0,4250418	0,3831560	0,0151248	0,6707209	0,5690721	0,7973646	0,9267000	0,1767138
740	0,9543525	0,6534116	0,6732912	0,8905439	0,0289405	0,1350564	0,4401854	0,0144423	0,4081510	0,3535045	0,0061898	0,6437444	0,4703869	0,7843985	0,8822521	0,1496761
760	0,9736115	0,6050494	0,6543636	0,8259619	0,0458376	0,1416240	0,4075124	0,0121500	0,4118033	0,3990561	0,0057555	0,6222270	0,5029274	0,7653940	0,9826766	0,1463355
780	0,9273873	0,6065048	0,6660400	0,8675759	0,0356030	0,1169732	0,4270384	0,0113357	0,4347854	0,3784647	0,0070904	0,5982402	0,5193753	0,7668379	0,9925571	0,1450712
800	0,9106094	0,6227465	0,7211591	0,8147155	0,0307681	0,0973119	0,4025155	0,0096820	0,4230042	0,4063022	0,0098642	0,6758524	0,4740948	0,8416275	0,9150938	0,1630856
820	0,9037333	0,5769850	0,7246400	0,7906769	0,0243539	0,0961276	0,4174671	0,0073833	0,4112581	0,4180689	0,0140394	0,5889341	0,5346494	0,8309410	0,8993447	0,1218459
840	0,8817118	0,5976665	0,6531716	0,7957325	0,0281535	0,0993870	0,4521266	0,0110828	0,4301491	0,4079281	0,0255189	0,6137088	0,5663405	0,7939631	0,9521680	0,1280164
860	0,9564810	0,6254284	0,7026417	0,8331189	0,0353197	0,0735138	0,4773427	0,0098078	0,3931494	0,4046398	0,0168808	0,6484195	0,6068303	0,7643576	0,9892481	0,1335693
880	0,9833215	0,6584630	0,6850491	0,8253195	0,0296689	0,0883046	0,4537219	0,0078144	0,3705169	0,4041266	0,0131535	0,6479748	0,5240196	0,7943887	1,0272691	0,1276472
900	0,9584952	0,6570979	0,6488423	0,8768814	0,0255433	0,0893861	0,3861794	0,0049044	0,3605997	0,4072169	0,0076625	0,6822422	0,5498089	0,7957535	0,9792698	0,1449304
920	0,9020325	0,6518752	0,5761615	0,8705465	0,0211900	0,0824640	0,3522403	0,0043773	0,3535561	0,3637600	0,0182160	0,6024173	0,5398209	0,7619787	0,9287779	0,1611502
940	0,9905596	0,6638820	0,5889985	0,8727377	0,0210543	0,0785851	0,3056548	0,0042963	0,4007115	0,3814819	0,0048100	0,6600545	0,5602772	0,7252862	0,8863695	0,1637060
960	0,9502741	0,6583817	0,6175366	0,8185396	0,0176545	0,0717883	0,3460725	0,0032346	0,3449274	0,3688291	0,0082715	0,6318910	0,5594825	0,7542091	0,9557332	0,1692584
980	0,9649216	0,6270943	0,6117510	0,8725738	0,0158696	0,0579173	0,3466215	0,0020410	0,3268535	0,3052066	0,0108762	0,6457510	0,5909243	0,7949882	0,9487190	0,1543826
1000	1,0164508	0,6393846	0,6270630	0,7913228	0,0175677	0,0840735	0,3474072	0,0042385	0,3459689	0,3019800	0,0071669	0,6688403	0,4669637	0,7410101	0,9655678	0,1489715
1020	1,0409340	0,6143419	0,6330278	0,8239223	0,0128434	0,0803651	0,2928602	0,0037338	0,3647998	0,2908235	0,0102768	0,6393852	0,5131985	0,7716664	0,9554843	0,1512118
1040	0,9841581	0,6168594	0,6136967	0,8293483	0,0286565	0,0922034	0,3335464	0,0079341	0,3622154	0,3263300	0,0119750	0,6293461	0,4914138	0,7865588	0,9662286	0,1668939
1060	0,9802708	0,5852095	0,5768273	0,8635241	0,0370919	0,0895936	0,3441663	0,0059883	0,3193227	0,3233727	0,0128119	0,6337903	0,5551076	0,8133498	0,9691740	0,1645845
1080	0,9762837	0,5534795	0,6084320	0,8135200	0,0255566	0,0759536	0,2694472	0,0049081	0,3230696	0,3266095	0,0203597	0,6750064	0,4126924	0,8209829	0,9754442	0,1847266
1100	0,9448463	0,5910025	0,6756959	0,8192421	0,0294511	0,0786178	0,3130419	0,0043203	0,3118727	0,2948125	0,0216359	0,6613332	0,4715614	0,7568716	0,9926526	0,1969323

0	0,9952826	0,6492347	0,7434686	0,8462526	0,0305394	0,0891638	0,4700268	0,0069775	0,4426839	0,3798406	0,0265086	0,6857390	0,7390327	0,8228484	0,9597602	0,2029886
20	0,9235716	0,6072294	0,5938013	0,8456045	0,0843477	0,0942422	0,3816771	0,0798901	0,5409325	0,5673770	0,0734113	0,4786072	0,6543190	0,8767650	1,0373869	0,1389725
