"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA
540	1,0009702	0,5605170	0,6380760	0,8258992	0,0197457	0,6567711	0,3345739	0,0287832	0,3968815	1,0093785	0,0141823	0,6743371	0,6782370	0,7992753	1,0010264	0,1732672
560	1,0430112	0,5956372	0,5938182	0,8465870	0,0242917	0,6520710	0,3503698	0,0203137	0,3994342	1,0191553	0,0235106	0,6908447	0,6583602	0,7987857	1,0366251	0,1709496
580	0,9589585	0,5502035	0,5958890	0,8561550	0,0320461	0,4346825	0,3895687	0,0210486	0,4029295	0,6825673	0,0305495	0,6380578	0,6250475	0,8234171	1,0529839	0,1759153
600	1,0039450	0,6070541	0,6316555	0,8672663	0,0386426	0,3016512	0,3516891	0,0153050	0,4308873	0,4346303	0,0235584	0,6630626	0,5607445	0,8419988	1,0470572	0,2097707
620	1,0070383	0,5874565	0,6758600	0,9119499	0,0265284	0,2108730	0,3580627	0,0112204	0,4413449	0,3865631	0,0364464	0,6704609	0,5388984	0,8211717	1,0350161	0,1714810
640	1,1124882	0,5731799	0,6818310	0,8921085	0,0259478	0,1627945	0,4080138	0,0112873	0,4905896	0,3835869	0,0256685	0,6377971	0,5285249	0,8268043	0,9746204	0,1778210
660	1,0521760	0,5721583	0,6498207	0,8876457	0,0154848	0,1362834	0,4269225	0,0047494	0,3912961	0,3577620	0,0136193	0,6717937	0,5000027	0,7840584	0,9478639	0,1812892
680	1,0191407	0,5371792	0,7202565	0,8217440	0,0184668	0,1330894	0,4034894	0,0019930	0,3811053	0,3509014	0,0086796	0,6381416	0,5531998	0,8329924	0,9271320	0,1800638
700	1,0014529	0,5501830	0,6635516	0,8269587	0,0237679	0,1096930	0,4120414	0,0006795	0,3888452	0,3957575	0,0089994	0,6188851	0,5456907	0,8757100	0,8651940	0,1773583
720	0,9835376	0,5170591	0,6787020	0,7993088	0,0174293	0,0728250	0,3806464	0,0031818	0,4091439	0,3904174	0,0151318	0,6457977	0,5359162	0,8231247	0,9274029	0,1642963
