"Time"	hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD
620	0,6937989	0,3345595	0,3492908	0,6047376	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
640	0,6937989	0,3345595	0,3492908	0,6047427	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
660	0,6937989	0,3345595	0,3492908	0,6047471	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
680	0,6937989	0,3345595	0,3492908	0,6047508	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
700	0,6937989	0,3345595	0,3492908	0,6047541	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
720	0,6937989	0,3345595	0,3492908	0,6047569	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
740	0,6937989	0,3345595	0,3492908	0,6047593	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
760	0,6937989	0,3345595	0,3492908	0,6047614	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
780	0,6937989	0,3345595	0,3492908	0,6047633	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
800	0,6937989	0,3345595	0,3492908	0,6047648	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
