"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP
540	0,2858990	0,4691471	0,5602727	0,1007488	0,1899569	0,8001831	1,0217070	0,1359063	1,0306561	0,3768186	0,7242168	0,2806800	0,0250671	0,8279471	0,1058419	0,0379148
560	0,2978297	0,4849969	0,6561539	0,1311211	0,2098634	0,8899351	1,0765301	0,1316958	0,9632413	0,4144219	0,8097126	0,3218300	0,0215736	0,8400057	0,1177007	0,0201516
580	0,5479102	0,4557081	0,6381832	0,1753577	0,1632570	0,8986812	1,0375850	0,5000377	1,0119220	0,4001101	0,8331186	0,3504952	0,1905089	0,5662768	0,1746774	0,0268534
600	0,7167347	0,4122443	0,5818009	0,1411085	0,1844404	0,8473371	0,9816413	0,7079586	0,9974444	0,4126207	0,8643876	0,4032419	0,2807268	0,3611389	0,2192568	0,0429308
620	0,8405710	0,4002061	0,5940587	0,1214535	0,1496316	0,8233429	1,0586270	0,7178681	0,9312103	0,4192090	0,8596630	0,3412062	0,3463741	0,3314009	0,2584584	0,0497633
640	0,8992038	0,4193446	0,6176765	0,1427961	0,1635579	0,8495966	1,0189091	0,7395967	0,9238337	0,4025386	0,9176764	0,3768456	0,3639092	0,3096865	0,2638615	0,0330773
660	0,9608400	0,4246274	0,5899908	0,1172465	0,1808954	0,8511312	0,9975265	0,7212978	0,8832320	0,3851889	0,8904256	0,3747727	0,3615319	0,3020850	0,2854794	0,0367431
680	0,9350345	0,4215381	0,6339288	0,1384179	0,1669867	0,8523708	0,9400385	0,7130583	0,7760611	0,3530788	0,8466336	0,4210456	0,3626985	0,3256302	0,2959857	0,0350456
700	0,8968236	0,4424385	0,7125256	0,1191798	0,1828879	0,7972816	0,8747080	0,7134286	0,7330470	0,3529375	0,8468960	0,4489766	0,3837891	0,3089394	0,3376890	0,0333248
720	0,9713235	0,4404821	0,6563887	0,2028605	0,1506747	0,7993279	0,8816003	0,7351118	0,7601861	0,3650079	0,8878588	0,4360728	0,3945590	0,2799640	0,3514859	0,0377776
740	1,0214293	0,3935961	0,5940912	0,1739569	0,1441782	0,7806916	0,9060092	0,7055999	0,7419935	0,3963450	0,8639815	0,4323098	0,4006121	0,2895904	0,3458307	0,0328659
760	1,0169436	0,3679505	0,6411994	0,1043334	0,1773041	0,7804816	0,8774361	0,7563749	0,7164334	0,3353216	0,7818338	0,4212655	0,3965593	0,3404935	0,3485822	0,0327370
780	1,0008813	0,3924629	0,7171060	0,1048469	0,1699314	0,7612137	0,9607422	0,7074670	0,7083244	0,3472337	0,8797266	0,4262907	0,4179021	0,3418757	0,3773566	0,0318853
800	1,0452277	0,4252542	0,6065365	0,1093636	0,1685793	0,7529970	0,9793031	0,6899795	0,8023361	0,4415506	0,8718826	0,3904400	0,4356163	0,3416986	0,3717125	0,0374199
820	1,0658671	0,4101122	0,6418871	0,1201822	0,1748149	0,7190212	0,9482961	0,7154661	0,7875724	0,4139205	0,8660320	0,4167719	0,4361192	0,2558133	0,3902715	0,0381693
840	0,9681305	0,4421541	0,6414240	0,1118702	0,1575048	0,7322903	0,9233080	0,7876282	0,7076418	0,3920150	0,8085364	0,3972206	0,4406339	0,2305698	0,4050306	0,0430468
860	0,9801197	0,4254503	0,6737760	0,1730173	0,1276915	0,7054997	0,8702344	0,7487868	0,7307409	0,4120553	0,7760272	0,4137724	0,4156994	0,2263220	0,3784589	0,0457744
