"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK
540	0,7416330	0,2697907	0,1217191	0,4229455	0,2411280	0,3010785	0,2081271	0,0474714	0,1517717	0,0356341	0,1232268	0,0133411	0,2370256	0,2781461	0,0646129	0,5221419
560	0,8283765	0,2643703	0,1552727	0,5653560	0,2305117	0,2196868	0,2464306	0,0354868	0,1996605	0,0487324	0,1119491	0,0039780	0,3003072	0,3020037	0,0476994	0,5308246
580	0,7292626	0,2805539	0,1612358	0,6464333	0,2070811	0,2991143	0,1254259	0,0861289	0,2027521	0,0145832	0,1286570	0,0214519	0,2680512	0,1448353	0,0727053	0,2816321
600	0,7539912	0,3200040	0,1814066	0,6470718	0,3062994	0,3928355	0,0313529	0,1146991	0,1892364	0,0665390	0,1729304	0,0152029	0,2824962	0,1141768	0,0559310	0,2154660
620	0,7309120	0,3857611	0,1889227	0,7185406	0,1955212	0,3783579	0,0375763	0,0889825	0,1572239	0,0610313	0,2019974	0,0061895	0,3386581	0,1245835	0,0732353	0,1507473
640	0,6721981	0,3244776	0,1527322	0,8653763	0,2934591	0,3126140	0,0166281	0,0650299	0,1141276	0,0852565	0,2599313	0,0090935	0,3502774	0,1097094	0,0662954	0,1206896
660	0,8222104	0,4860325	0,2016636	0,7041882	0,2845861	0,3051715	0,0139134	0,0518640	0,1839681	0,1204418	0,3214551	0,0153620	0,2514573	0,0816592	0,0856311	0,0725136
680	0,7274379	0,4724607	0,2053534	0,7681317	0,2621056	0,3962810	0,0339600	0,0542716	0,1935106	0,0418993	0,2912340	0,0109970	0,3299266	0,1266082	0,1120093	0,0669624
700	0,8444062	0,5238649	0,1632751	0,8030369	0,2424044	0,3258847	0,0077038	0,0335010	0,2160988	0,0552571	0,3080842	0,0071264	0,3705019	0,1475164	0,1432406	0,0453003
720	0,6352510	0,4217121	0,1755408	0,7653987	0,2581362	0,4097935	0,0225249	0,0679915	0,2776297	0,0854815	0,3189267	0,0126236	0,4082718	0,1265842	0,0845057	0,0272541
740	0,7634337	0,3815994	0,2232707	0,7868124	0,2311326	0,3203652	0,0137153	0,0888971	0,1661698	0,0807449	0,2826059	0,0303711	0,3174644	0,1261052	0,1369653	0,0294102
760	0,6485983	0,3856383	0,1944279	0,7923579	0,2403372	0,3555795	0,0074233	0,0948963	0,1422931	0,0484712	0,3010795	0,0177867	0,2735850	0,0790485	0,0895132	0,0499090
780	0,8563595	0,3837776	0,1760704	0,6518659	0,2650306	0,3770889	0,0104497	0,0565433	0,1694956	0,0662960	0,2985820	0,0086050	0,3220454	0,0927694	0,0813112	0,0522542
800	0,9274840	0,3059389	0,2604845	0,6201904	0,2288716	0,3039561	0,0097389	0,1214170	0,2327273	0,0738706	0,2858774	0,0183194	0,3281371	0,1539059	0,1475120	0,0662933
820	0,7067449	0,3548244	0,1885018	0,6535875	0,1903414	0,3057603	0,0131452	0,1252277	0,1922927	0,0873610	0,2684704	0,0089639	0,2892209	0,1175853	0,1029984	0,0473589
840	0,8330123	0,4886371	0,1951005	0,7507358	0,2635663	0,3437602	0,0233641	0,1043207	0,2419863	0,0844186	0,3029663	0,0158340	0,3176729	0,1190861	0,1513576	0,0276796
860	0,9113874	0,4980449	0,2650257	0,7878260	0,2729104	0,3948546	0,0143809	0,0638585	0,2566428	0,0695915	0,3016270	0,0103066	0,3306055	0,1136525	0,1602283	0,0371647
880	0,7947097	0,5044201	0,2110352	0,7078892	0,2142837	0,3169522	0,0101151	0,0682727	0,2200382	0,0832355	0,2798963	0,0115515	0,3253640	0,1652159	0,0979653	0,0424327
900	0,6358564	0,4094763	0,2154175	0,8689061	0,2770652	0,2694081	0,0026472	0,0523100	0,1291873	0,0844105	0,4044810	0,0176677	0,2672127	0,1322566	0,1101984	0,0244176
920	0,7221478	0,4264495	0,1804118	0,7800479	0,2316162	0,3005047	0,0052267	0,1327033	0,2351079	0,0731212	0,3098258	0,0220668	0,3359817	0,1104452	0,1034339	0,0302718
940	0,6697694	0,4439663	0,1617467	0,7212355	0,2125928	0,2944572	0,0053826	0,0514211	0,1891696	0,0579373	0,2780731	0,0050037	0,3065372	0,0993823	0,0823051	0,0270833
960	0,7229620	0,4302667	0,1399782	0,7232790	0,3642195	0,3317054	0,0036836	0,1138282	0,1550883	0,0745803	0,2673936	0,0157636	0,3444056	0,1370265	0,1355606	0,0841019
980	0,8042429	0,3665260	0,1997883	0,6953503	0,2917400	0,2946179	0,0027560	0,0650173	0,1880361	0,0593847	0,2714917	0,0063749	0,2986329	0,1659146	0,1181173	0,0267325
1000	0,6915320	0,4745068	0,1697784	0,6932262	0,3648813	0,3761936	0,0051793	0,0897937	0,1429827	0,0280905	0,3301155	0,0118561	0,2742341	0,1140611	0,1570473	0,0203712
1020	0,8089657	0,4781878	0,1604714	0,7814559	0,3543754	0,2504836	0,0055597	0,1023557	0,1858249	0,0408595	0,4030216	0,0068244	0,2746937	0,0929813	0,1853175	0,0422661
1040	0,8441902	0,3730263	0,1362701	0,6560838	0,2858156	0,3101012	0,0012598	0,0951075	0,1523330	0,0288634	0,3046745	0,0272979	0,2674361	0,1551199	0,1251028	0,0209811
1060	0,8036786	0,3811731	0,1785537	0,6940910	0,2279152	0,3118268	0,0021501	0,1710132	0,1711904	0,0904954	0,2805071	0,0056951	0,2770616	0,1664952	0,1669208	0,0328719
1080	0,9883417	0,4810517	0,2080131	0,5806612	0,3105059	0,3581909	0,0011461	0,0565332	0,1990544	0,0589639	0,2826494	0,0093466	0,2941867	0,1387240	0,0841599	0,0126352
1100	0,6763693	0,4624772	0,1353095	0,7576348	0,2468346	0,3231104	0,0030053	0,0688921	0,1634967	0,0612933	0,2772642	0,0053530	0,2914085	0,1165085	0,0926618	0,0336994

0	0,7636342	0,4672942	0,1956235	0,7689871	0,2396958	0,2990377	0,0134033	0,1217053	0,2364676	0,1128931	0,2854719	0,0138715	0,2594999	0,1210350	0,1486903	0,0390229
20	0,6644136	0,5059132	0,1412688	0,6627437	0,1897347	0,6068344	0,2191319	0,2757687	0,2422943	0,2524038	0,2844488	0,1851539	0,2238750	0,1330700	0,1216693	0,0121284
40	0,7318217	0,4738289	0,1729657	0,6291098	0,2702979	0,7317078	0,2704241	0,5125075	0,2054992	0,3515276	0,2985135	0,2312063	0,0854800	0,1848248	0,1655577	0,0292929
